GeneType,GeneDescription,GenomicEndPosition,GeneDbId,EncodedProtein,GenomicStartPosition,StrandOrientation
1,0,335828,153,0,333633,1
1,0,480279,204,0,478171,0
1,0,7012,6,0,5501,1
1,0,2096,143,0,747,1
0,0,1138,5,3,2,0
1,0,1116077,150,0,1113876,0
0,0,76316,30,1,74154,1
1,0,496899,101,0,495853,0
0,0,15153,206,1,12949,1
0,0,1027491,76,1,1024990,0
1,0,170211,121,0,168412,1
1,0,799420,225,0,796943,0
0,0,377705,96,1,375522,0
0,0,3932,160,1,1401,0
0,0,914046,63,3,913312,0
0,0,244454,156,2,243822,0
0,0,394758,20,2,393970,0
0,0,574603,168,1,572120,0
1,0,4883,42,0,2628,1
1,0,252998,129,0,250869,0
0,0,2976,162,1,781,0
1,0,92964,92,0,90784,1
0,0,7454,52,1,5259,1
1,0,470842,187,0,468923,0
0,0,2907,36,1,667,0
0,0,4593,1,1,2230,1
1,0,689616,82,0,687517,0
1,0,598394,167,0,596190,0
0,0,2152,10,1,38,0
0,0,507624,191,1,505363,0
1,0,459000,172,0,456733,0
1,0,123424,232,0,121439,0
0,0,53099,223,1,50910,1
0,0,3147,43,1,535,1
0,0,7548,54,1,5362,0
0,0,11573,108,1,9210,0
0,0,81116,4,2,80040,1
0,0,703891,72,2,701787,0
0,0,79561,117,1,77369,1
0,0,6111,23,2,4843,1
1,0,299939,227,0,297915,1
0,0,115059,158,1,112891,1
0,0,1036,15,3,2,1
0,0,28523,81,1,26538,1
1,0,547726,132,0,545198,0
0,0,19404,199,1,17227,0
0,0,1039862,77,1,1037046,0
1,0,1937904,26,0,1935421,0
1,0,52834,182,0,50840,0
1,0,13918,120,0,11750,1
1,0,18062,131,0,16122,1
1,0,62927,147,0,60651,1
1,0,34512,89,0,32440,1
0,0,5683,56,3,3845,0
0,0,828692,194,1,827244,1
0,0,711734,32,2,710958,0
0,0,482055,111,1,479794,0
1,0,89110,207,0,86993,1
0,0,71096,136,1,68619,1
0,0,7735,184,1,5258,1
0,0,2326647,17,3,2325364,0
1,0,5117,217,0,2943,0
0,0,120751,185,3,119534,1
0,0,9642,211,1,7252,0
0,0,28514,109,1,26043,0
0,0,1699,85,3,101,1
1,0,3774,18,0,1570,0
1,0,468090,40,0,465892,0
1,0,811009,210,0,808763,0
1,0,619207,203,0,617003,0
0,0,194620,123,1,192110,0
0,0,52112,103,1,49749,1
1,0,1108,159,0,1,0
0,0,3468,70,1,1171,0
1,0,813661,180,0,811541,0
0,0,560608,179,1,558551,0
1,0,961848,151,0,959689,0
0,0,915393,62,2,914149,0
0,0,6868,183,1,4559,1
0,0,50074,189,1,47909,1
0,0,487691,31,1,485538,0
1,0,17178,106,0,14941,1
0,0,669010,130,1,666635,0
0,0,2335,169,3,101,1
0,0,798,164,3,1,1
0,0,1159648,141,1,1157084,0
0,0,140815,228,2,140096,1
0,0,3637,161,2,1680,1
0,0,5471,135,1,3207,1
0,0,5333,21,1,3093,1
1,0,8253,102,0,6340,1
0,0,477141,198,2,476586,0
0,0,5583,97,1,3223,0
1,0,20192,202,0,18165,1
1,0,636865,79,0,634829,0
0,0,391932,8,1,389746,1
0,0,827,14,2,3,0
1,0,122003,229,0,119982,1
0,0,16433,193,2,14709,1
1,0,35613,195,0,33460,1
1,0,16106,73,0,14127,0
0,0,2352753,128,2,2351474,0
0,0,85349,66,2,84366,1
0,0,303473,216,3,301437,1
0,0,49973,27,2,48072,1
0,0,7225,105,1,4853,0
0,0,3201,59,2,2560,1
0,0,17152,134,1,14774,1
0,0,369971,60,1,367785,0
1,0,19107,104,0,16912,1
0,0,316113,226,1,313945,1
0,0,3704,22,1,1446,1
0,0,4679,113,1,2307,1
0,0,2152465,190,1,2150273,0
1,0,1287,19,0,1,0
0,0,3133,51,1,824,1
0,0,23314,236,1,21104,0
0,0,763294,174,1,761027,0
1,0,411395,37,0,410220,0
1,0,51771,234,0,49540,1
1,0,469090,34,0,466913,0
0,0,909502,74,1,907241,0
0,0,68193,145,1,66007,1
0,0,315631,215,1,313523,1
1,0,10067,29,0,8418,1
1,0,609383,78,0,607077,0
0,0,351915,200,2,350539,1
0,0,400277,28,1,398004,0
0,0,702444,212,3,701878,0
1,0,369509,61,0,367296,1
0,0,5540,44,2,3963,1
0,0,526037,39,3,525222,0
0,0,57522,124,1,55348,1
1,0,1375691,118,0,1373202,0
1,0,3258,208,0,754,1
0,0,66424,233,1,64094,1
1,0,16197,176,0,13717,1
0,0,1669,47,3,2,1
1,0,399311,90,0,397290,0
0,0,646569,181,2,644707,0
0,0,20107,68,1,17801,1
0,0,2123600,86,1,2121408,0
1,0,5726,0,0,3723,0
1,0,654471,75,0,652312,1
1,0,828777,107,0,827212,1
0,0,27070,138,1,24536,1
0,0,311650,214,1,309482,1
0,0,6765,192,1,4204,1
0,2,1518,58,3,1,1
1,0,477984,148,0,475453,0
0,0,1178466,115,1,1176085,0
1,0,2336,146,0,3,1
1,0,60946,144,0,58898,1
0,0,4334,94,1,1968,1
1,0,1028709,166,0,1026565,0
1,0,224206,201,0,222371,1
0,0,92121,137,1,90979,1
1,0,731499,33,0,729406,0
0,0,7491,125,1,5182,1
0,0,1333,16,2,3,0
0,0,14203,57,1,11819,1
0,0,1475,2,3,3,0
0,0,471716,220,2,470270,0
1,0,1909430,127,0,1907460,1
1,0,669243,186,0,667156,0
0,0,18709,35,1,16532,1
0,0,6479,133,2,5838,1
0,0,668634,154,1,666520,0
