Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position
1,0,11460,143,143,7,0,69,9091
0,0,772874,149,149,6,0,80,769737
1,0,341160,155,155,2,1,84,338881
0,0,135805,156,156,6,0,27,132644
0,0,326955,28,28,6,0,9,323962
1,0,2735,74,74,2,1,59,246
1,0,4884,47,47,2,1,70,1753
0,0,562767,55,55,6,0,56,559651
0,0,676357,26,26,2,1,91,675068
1,0,11360,88,88,6,0,42,8184
0,0,1011,6,6,8,0,37,1
0,0,7732,61,61,6,0,36,4595
0,0,696,114,114,7,0,79,1
1,0,552643,116,116,2,1,27,550361
0,0,225838,89,89,6,0,32,222980
1,0,46094,71,71,5,0,60,43491
0,0,296392,22,22,6,0,50,293633
1,0,36371,141,141,2,1,57,34218
0,0,220362,115,115,5,0,9,217744
0,0,532553,153,153,2,1,5,531252
1,0,34862,85,85,1,0,6,34431
0,0,638513,68,68,2,1,40,636579
0,0,685611,65,65,2,1,29,683131
1,0,40751,37,37,2,1,65,38379
1,0,5438,138,138,7,0,69,3198
1,0,13944,58,58,5,0,0,11467
1,0,37772,134,134,6,0,60,34755
0,0,11809,34,34,2,1,76,9641
0,0,8362,131,131,2,1,87,5834
1,0,96112,112,112,6,0,12,92984
1,0,6579,62,62,2,1,7,5257
1,0,16287,31,31,2,1,11,13156
1,0,8449,121,121,6,0,74,5315
1,0,3141,87,87,7,0,31,982
0,0,1015710,30,30,6,0,46,1014604
1,0,93861,97,97,2,1,49,92599
0,0,905463,46,46,6,0,62,902746
0,0,673601,70,70,2,1,79,670680
0,0,741862,157,157,2,1,72,740972
0,0,559272,78,78,6,0,53,556483
0,0,12199,144,144,2,1,35,10430
0,0,631461,69,69,2,1,40,630235
1,0,2165,135,135,7,0,21,1
1,0,68231,96,96,6,0,72,65097
0,0,704396,14,14,8,0,44,703461
1,0,301337,19,19,2,1,3,298548
0,0,796646,57,57,2,1,9,794730
1,0,11508,107,107,5,0,45,8902
0,0,1017672,44,44,2,1,10,1015075
