Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position
0,0,1771,20,20,8,0,17,5
0,0,9252,128,128,8,0,81,7177
1,0,1005,18,18,8,0,65,1
0,0,573456,48,48,2,1,32,572590
0,0,632799,51,51,6,0,70,629461
0,0,1017672,50,50,2,1,11,1015075
1,0,1291,14,14,8,0,93,11
1,0,55385,130,130,6,0,55,52233
0,0,6751,106,106,2,1,91,5450
1,0,3425,119,119,2,1,68,855
1,0,68231,99,99,6,0,75,65097
0,0,750258,9,9,7,0,71,748432
1,0,153763,103,103,5,0,54,151067
0,0,307836,152,152,8,0,44,304756
1,0,13944,63,63,5,0,0,11467
1,0,43791,72,72,6,0,79,40663
0,0,100486,55,55,2,1,47,98009
1,0,1126783,132,132,5,0,13,1124243
1,0,4790,125,125,6,0,20,1644
0,0,304,129,129,7,0,82,2
1,0,30678,115,115,7,0,43,29548
0,0,642289,108,108,6,0,50,639173
1,0,40231,111,111,7,0,15,38468
1,0,704,15,15,3,0,16,18
0,0,701522,70,70,2,1,35,698580
1,0,33620,87,87,6,0,69,30504
0,0,673825,84,84,2,1,74,670661
0,0,782421,64,64,2,1,74,781378
0,0,100844,35,35,7,0,72,99663
1,0,506465,73,73,2,1,42,504186
0,0,559272,83,83,6,0,55,556483
1,0,4270,38,38,5,0,85,1799
0,0,673601,76,76,2,1,81,670680
0,0,429068,85,85,6,0,86,425925
1,0,484,140,140,8,0,61,2
1,0,7065,69,69,2,1,75,6076
0,0,506906,101,101,0,0,88,503742
1,0,28960,2,2,2,1,87,27503
1,0,1651,95,95,2,1,14,830
0,0,302755,61,61,8,0,44,301802
0,0,1330,12,12,8,0,66,2
0,0,492209,24,24,2,1,83,489726
0,0,704396,17,17,8,0,47,703461
1,0,7840,68,68,2,1,8,6842
1,0,24175,39,39,6,0,18,21059
0,0,1482,107,107,2,1,45,1
0,0,3560,33,33,2,1,5,861
1,0,40333,120,120,6,0,23,37199
1,0,6322,46,46,6,0,18,3197
0,0,694715,135,135,2,1,35,691713
0,0,201983,147,147,2,1,52,197949
0,0,232598,155,155,2,1,32,230508
1,0,52289,86,86,6,0,9,48939
0,0,796646,62,62,2,1,10,794730
0,0,762911,104,104,2,1,35,760413
0,0,1815,94,94,2,1,53,1
1,0,11460,144,144,7,0,72,9091
0,0,767496,96,96,2,1,10,766105
1,0,341160,156,156,2,1,87,338881
0,0,135805,157,157,6,0,29,132644
0,0,326955,34,34,6,0,10,323962
1,0,2735,80,80,2,1,61,246
1,0,4884,52,52,2,1,73,1753
0,0,562767,60,60,6,0,58,559651
0,0,720169,30,30,6,0,51,717008
1,0,11360,92,92,6,0,45,8184
0,0,1011,8,8,8,0,39,1
0,0,7732,66,66,6,0,38,4595
0,0,696,116,116,7,0,81,1
1,0,552643,118,118,2,1,29,550361
0,0,225838,93,93,6,0,34,222980
1,0,5115,57,57,5,0,38,2545
0,0,296392,26,26,6,0,52,293633
1,0,36371,142,142,2,1,59,34218
0,0,220362,117,117,5,0,10,217744
0,0,532553,154,154,2,1,6,531252
0,0,772874,150,150,6,0,82,769737
0,0,638513,74,74,2,1,43,636579
0,0,685611,71,71,2,1,31,683131
1,0,40751,43,43,2,1,67,38379
1,0,5438,139,139,7,0,72,3198
1,0,8449,123,123,6,0,76,5315
1,0,37772,136,136,6,0,62,34755
0,0,11809,40,40,2,1,78,9641
0,0,8362,134,134,2,1,90,5834
1,0,96112,114,114,6,0,13,92984
1,0,6579,67,67,2,1,8,5257
1,0,16287,37,37,2,1,12,13156
1,0,371763,4,4,9,1,40,371065
1,0,3141,91,91,7,0,33,982
1,0,5564,41,41,2,1,36,2433
0,0,567659,27,27,1,0,18,567123
0,0,634208,32,32,8,0,2,633441
1,0,34862,89,89,1,0,7,34431
0,0,742903,102,102,2,1,77,741965
1,0,11203,45,45,2,1,58,8075
0,0,12199,145,145,2,1,37,10430
0,0,631461,75,75,2,1,43,630235
1,0,2165,137,137,7,0,22,1
0,0,676357,31,31,2,1,94,675068
1,0,46094,77,77,5,0,62,43491
1,0,301337,23,23,2,1,4,298548
1,0,48145,3,3,4,0,21,47690
1,0,11508,109,109,5,0,48,8902
0,0,1015710,36,36,6,0,49,1014604
