SportType,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,CyclistDescription,MemoireDuCyclismeCyclistId,BirthPlace,UciRiderId,WeightKg,BirthDate,SportsTeam,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm,FreebaseId,SportCountry
2,36,48143.0,21971.0,44,205449.0,168754.0,17,34,17,79462.0,,41,2,25,49,30,64280.0,16672.0,184.0,42,12
1,55,30398.0,9794.0,18,37720.0,140493.0,2,15,29,62315.0,63.0,20,11,28,37,5,43241.0,2277.0,175.0,30,18
4,3,,,8,,,30,34,30,,,53,24,28,27,38,,,,43,13
1,56,,16636.0,27,,138290.0,29,34,0,65007.0,72.0,29,3,28,9,13,52713.0,6234.0,183.0,0,10
4,17,,31634.0,26,,262718.0,21,34,32,112281.0,,47,10,28,5,12,170457.0,57961.0,184.0,43,13
3,45,26009.0,12193.0,55,1940308.0,140797.0,34,31,51,54603.0,78.0,24,8,12,33,40,30229.0,784.0,184.0,22,13
4,42,56345.0,20861.0,56,2247.0,155558.0,23,28,3,86624.0,71.0,40,6,28,2,41,80972.0,16816.0,184.0,7,7
4,7,69634.0,26526.0,63,5000.0,194619.0,35,34,18,149727.0,66.0,49,19,26,31,48,115790.0,45992.0,176.0,43,15
4,41,,,4,,,0,34,30,,,53,24,28,27,38,,,,21,13
4,32,7153.0,544.0,43,10861.0,140516.0,4,1,6,12974.0,81.0,2,29,28,16,29,7364.0,547.0,190.0,12,0
6,22,23014.0,7606.0,22,95405.0,140501.0,8,33,36,45633.0,68.0,19,13,6,36,8,20340.0,828.0,179.0,13,17
4,41,,,53,,,30,34,30,,,53,24,28,27,38,,,,43,8
4,41,,,1,,,41,34,30,,,53,24,28,27,38,,,,43,13
6,31,39287.0,13240.0,31,66281.0,140835.0,26,0,14,55029.0,67.0,22,13,10,45,16,21075.0,1310.0,178.0,28,8
4,15,22663.0,5789.0,24,1529344.0,140869.0,7,2,28,43936.0,69.0,14,13,14,10,11,22017.0,713.0,186.0,16,11
4,41,,,53,,,30,34,30,,,53,24,28,27,38,,,,43,0
4,30,62729.0,23558.0,39,20811.0,181257.0,15,34,19,97437.0,75.0,42,21,22,1,25,101407.0,27121.0,192.0,43,5
4,23,16313.0,3333.0,35,134950.0,140752.0,6,11,22,44513.0,74.0,13,7,13,43,20,18746.0,150.0,181.0,10,2
4,41,,,65,212924.0,,30,34,30,,,53,24,28,27,38,,,,43,13
2,49,41892.0,19165.0,51,16935.0,137797.0,18,34,48,66315.0,73.0,34,31,28,38,36,43238.0,11313.0,184.0,4,13
2,62,15477.0,3348.0,72,101538.0,140665.0,12,7,34,27822.0,68.0,15,5,17,51,52,13279.0,4669.0,183.0,15,4
3,27,19558.0,3828.0,36,65423.0,140870.0,16,21,11,34012.0,69.0,12,32,8,11,22,21215.0,264.0,182.0,17,5
4,12,55192.0,19941.0,71,31137.0,135398.0,6,23,15,86228.0,75.0,28,28,28,19,51,59790.0,10971.0,180.0,3,2
4,41,,,66,212951.0,,30,34,30,,,53,24,28,27,38,,,,43,13
4,4,16289.0,5.0,13,470645.0,140924.0,37,10,27,14575.0,61.0,4,15,0,42,2,7005.0,38.0,177.0,18,16
4,41,,,53,,,30,34,30,,,53,24,28,27,38,,,,43,6
4,41,,,20,,,41,34,30,,,53,24,28,27,38,,,,43,13
4,41,,,0,,,41,34,30,,,53,24,28,27,38,,,,43,13
4,54,71935.0,28298.0,14,,192457.0,25,34,4,98774.0,66.0,50,30,28,7,3,114071.0,45987.0,176.0,43,8
4,29,69190.0,25740.0,38,,196424.0,13,34,13,112082.0,,45,27,28,44,24,115868.0,38195.0,175.0,43,5
4,2,,,6,,,30,34,30,,,53,24,28,27,38,,,,43,13
4,40,62142.0,22703.0,52,5158.0,164943.0,20,34,12,88833.0,72.0,39,9,28,29,37,77956.0,20448.0,177.0,43,13
4,10,,,7,,,30,34,30,,,53,24,28,27,38,,,,43,13
4,61,11585.0,1994.0,70,569371.0,140778.0,28,5,24,28378.0,65.0,11,3,3,25,50,13069.0,133.0,181.0,29,8
4,57,,,9,120333.0,,30,34,30,,,53,24,28,27,38,,,,43,13
4,57,,,9,120333.0,,30,34,30,,,53,24,28,27,38,,,,43,13
4,46,,,68,268211.0,,30,34,30,,,53,24,28,27,38,,,,43,13
4,51,52044.0,20798.0,46,9184.0,132438.0,22,27,2,86938.0,70.0,37,16,23,35,32,71789.0,16643.0,183.0,43,7
4,33,505.0,7.0,40,3077244.0,126972.0,42,16,33,,71.0,0,23,19,0,26,300.0,2.0,177.0,34,13
6,8,61538.0,24057.0,32,,177672.0,25,34,42,91640.0,82.0,44,33,21,12,17,79184.0,27099.0,193.0,43,8
4,50,,,16,,,41,34,30,,,53,24,28,27,38,,,,43,13
4,13,92428.0,32221.0,21,,238711.0,6,34,21,490235.0,,52,20,28,47,7,130986.0,113439.0,182.0,43,13
4,41,,,5,,,1,34,30,,,53,24,28,27,38,,,,6,13
5,47,56041.0,20719.0,58,127549.0,174582.0,36,26,40,88889.0,65.0,23,31,20,32,43,72449.0,18655.0,177.0,41,13
4,2,,,6,,,30,34,30,,,53,24,28,27,38,,,,43,13
4,0,3262.0,387.0,12,1397142.0,137456.0,38,12,23,518429.0,62.0,9,32,4,6,1,1567.0,3.0,176.0,25,16
6,24,19255.0,3891.0,33,508772.0,140196.0,40,8,8,32532.0,71.0,16,13,7,39,18,11292.0,716.0,183.0,9,17
4,19,,,59,,,30,34,30,,,53,24,28,27,38,,,,43,13
4,34,58428.0,21992.0,41,23650.0,168776.0,15,34,41,86895.0,,43,26,28,28,27,77835.0,16793.0,179.0,8,5
6,41,15752.0,,53,,115135.0,33,34,30,26355.0,,7,22,28,27,21,10851.0,,,43,13
4,41,,,19,,,41,34,30,,,53,24,28,27,38,,,,43,13
4,60,15225.0,2437.0,62,,140630.0,44,32,39,30369.0,68.0,17,33,5,50,47,13510.0,147.0,176.0,14,15
4,28,,26392.0,37,,193131.0,6,34,26,148275.0,69.0,48,4,28,30,23,89152.0,45363.0,176.0,43,2
6,18,41890.0,17794.0,29,16190.0,139904.0,18,18,45,68844.0,64.0,32,11,24,48,14,52412.0,7724.0,187.0,38,12
3,52,7362.0,871.0,60,91041.0,140868.0,43,4,44,20884.0,71.0,5,17,2,17,45,9918.0,52.0,190.0,32,13
4,25,46958.0,13863.0,34,,140739.0,26,14,25,58761.0,72.0,21,17,28,26,19,38022.0,2982.0,184.0,31,8
4,41,,,53,,,30,34,30,,,53,24,28,27,38,,,,43,13
4,41,,,10,120359.0,,11,34,30,,,53,24,28,27,38,,,,43,13
4,41,,,53,,,30,34,30,,,53,24,28,27,38,,,,43,13
4,41,,,4,,,0,34,30,,,53,24,28,27,38,,,,21,13
4,41,,,53,,,30,34,30,,,53,24,28,27,38,,,,43,5
4,58,,,28,,,41,34,30,,,53,24,28,27,38,,,,43,13
4,41,,,0,,,41,34,30,,,53,24,28,27,38,,,,43,13
4,43,38259.0,13066.0,47,26443.0,140384.0,3,17,7,62919.0,72.0,25,31,28,22,33,39964.0,2211.0,178.0,23,0
0,21,,,53,,,45,34,30,,,53,24,28,27,38,,,,35,13
4,9,,,3,,,30,34,30,,,53,24,28,27,38,,,,33,13
4,41,,,5,,,1,34,30,,,53,24,28,27,38,,,,6,13
4,37,15997.0,67.0,45,,140418.0,44,9,9,12711.0,74.0,1,32,28,40,31,7526.0,184.0,181.0,26,8
4,41,,,53,,,30,34,30,,,53,24,28,27,38,,,,43,9
4,7,69634.0,26526.0,63,5000.0,194619.0,35,34,18,149727.0,66.0,49,19,26,31,48,115790.0,45992.0,176.0,43,15
4,41,,,2,,,41,34,30,,,53,24,28,27,38,,,,27,13
