GENE_TYPE,ORTHOLOG_ID,GENOMIC_END_POSITION,GENE_DB_ID,ENCODED_PROTEIN,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION
0,3,90623,190,0,7,89650,1
1,15,155111,218,1,8,154099,1
0,23,3591099,120,0,0,3590238,1
0,23,3943402,132,0,0,3942518,1
0,23,1925586,71,0,0,1924600,1
0,3,2700655,209,0,7,2699685,0
0,23,566514,19,0,0,565550,1
0,3,173724,193,0,7,172733,1
0,1,65837,260,0,13,64781,1
0,5,1253998,146,0,2,1253021,0
0,23,605384,20,0,0,604369,1
0,3,220934,195,0,7,219956,1
0,23,2664333,90,0,0,2663373,1
0,23,1989967,74,0,0,1988968,1
0,3,2642245,207,0,7,2641489,0
0,23,2811023,94,0,0,2810056,1
0,23,2825953,95,0,0,2825009,1
0,17,2885211,252,0,12,2884260,0
0,23,1962233,73,0,0,1961243,1
0,23,705383,26,0,0,704423,0
0,23,1036988,41,0,0,1036017,1
0,17,2950391,255,0,12,2949454,0
0,23,1951701,72,0,0,1950744,1
1,2,621314,22,1,0,620361,0
0,20,1234677,138,0,1,1233707,1
0,23,3554822,118,0,0,3554085,1
0,12,22128,171,0,6,21118,1
0,23,2580660,85,0,0,2579676,1
1,2,2687685,91,1,0,2686888,1
0,5,1261944,147,0,2,1260960,0
1,2,2923780,98,1,0,2922814,1
1,22,2218428,230,1,9,2217492,0
0,1,132449,263,0,13,131407,1
0,11,194080,158,0,4,193107,1
0,24,2093905,225,0,9,2092884,0
0,4,34889,151,0,3,33931,1
0,24,89815,221,0,9,88823,0
0,23,3675676,123,0,0,3674736,1
0,23,1043987,42,0,0,1043027,1
0,17,2631052,245,0,12,2630098,0
0,3,2630816,206,0,7,2629838,0
1,21,1789660,166,1,4,1788675,0
0,23,3178788,108,0,0,3177802,0
0,3,2346965,200,0,7,2346009,0
0,3,127076,192,0,7,126066,1
0,23,3244723,111,0,0,3243964,0
1,14,320709,199,1,7,319707,0
1,13,250517,237,1,10,249557,1
1,8,1894910,178,1,6,1894237,0
0,11,278997,159,0,4,278392,1
1,21,8035,153,1,4,7042,1
1,21,311627,161,1,4,310667,1
0,5,1276401,148,0,2,1275562,0
1,2,613465,21,1,0,612696,1
0,23,63052,3,0,0,62038,0
0,23,3192903,110,0,0,3191963,1
0,24,2052986,224,0,9,2051981,0
0,17,2922898,253,0,12,2921940,0
0,23,3411054,114,0,0,3410011,0
0,1,315605,267,0,13,314638,1
1,0,1302731,139,1,1,1301798,0
0,23,3615342,121,0,0,3614358,1
0,23,2137083,79,0,0,2136116,0
0,23,829945,31,0,0,828981,0
0,23,2310802,83,0,0,2309816,0
1,2,1661637,61,1,0,1660898,1
0,23,3070241,106,0,0,3069280,0
0,3,80570,189,0,7,79583,1
1,22,1975350,223,1,9,1974370,0
0,23,3781213,126,0,0,3780167,1
0,12,1987656,180,0,6,1986653,0
0,17,2410931,239,0,12,2409980,0
0,23,1227129,48,0,0,1226153,0
1,22,2191993,228,1,9,2191163,0
0,23,1896974,70,0,0,1895961,1
1,8,196537,177,1,6,195815,1
0,23,2569200,84,0,0,2568416,1
0,12,2026638,181,0,6,2025643,0
0,23,2012514,76,0,0,2011537,1
0,4,143681,152,0,3,142743,1
0,23,350270,10,0,0,349232,0
0,23,961008,37,0,0,960057,0
0,23,818515,30,0,0,817520,0
0,11,1798060,167,0,4,1797042,0
0,20,74070,136,0,1,73103,1
1,14,2500826,203,1,7,2499858,0
0,23,3747742,125,0,0,3746758,1
0,24,96817,222,0,9,95832,0
0,23,1493581,54,0,0,1492608,0
0,23,2790671,93,0,0,2789740,0
0,1,192905,265,0,13,191876,1
0,12,81446,174,0,6,80444,1
0,3,2363219,201,0,7,2362256,0
0,23,3501883,117,0,0,3500926,1
0,23,1169323,46,0,0,1168314,1
0,23,2609560,88,0,0,2608581,1
1,2,175684,5,1,0,174773,0
0,3,2599688,204,0,7,2598686,0
0,23,3907034,131,0,0,3906026,1
0,23,756430,28,0,0,755452,0
1,10,2620539,244,1,12,2619563,0
0,20,1379,134,0,1,408,1
1,2,1719528,63,1,0,1718592,1
0,17,2929889,254,0,12,2928926,0
0,23,29762,1,0,0,28779,0
1,8,146994,175,1,6,146054,1
1,2,3832545,128,1,0,3831499,1
1,8,1944091,179,1,6,1943137,0
0,23,2931247,99,0,0,2930282,1
0,3,56587,188,0,7,55870,1
1,2,3864794,129,1,0,3863936,1
0,24,10066,219,0,9,9119,1
0,3,2768159,212,0,7,2767187,0
0,23,2970973,102,0,0,2969987,1
0,11,1819402,168,0,4,1818421,0
0,23,2886495,96,0,0,2885569,0
0,23,1029803,40,2,0,1028849,1
0,3,2799553,214,0,7,2798511,0
0,23,1831592,67,0,0,1830638,1
0,5,1202243,144,0,2,1201265,0
0,23,1323924,50,0,0,1322970,0
0,17,2991514,257,0,12,2990543,0
1,2,1609442,58,1,0,1608554,0
0,23,325126,9,0,0,324116,0
1,10,2866118,251,1,12,2865319,0
0,3,232090,196,0,7,231104,1
1,18,825304,169,1,5,824320,0
0,23,797603,29,0,0,796557,0
1,0,62075,135,1,1,61062,1
0,9,83058,232,0,10,82100,1
0,9,243795,236,0,10,242828,1
0,23,101259,4,0,0,100271,0
0,23,3485524,116,0,0,3484511,1
0,23,854400,34,0,0,853408,0
1,2,530848,17,1,0,529877,1
0,11,93901,156,0,4,93026,1
1,22,2164937,226,1,9,2163912,0
1,2,3565904,119,1,0,3564858,1
0,17,2729418,249,0,12,2728442,0
0,23,3958204,133,0,0,3957431,1
0,23,1842055,68,0,0,1841258,1
0,23,3896577,130,0,0,3895570,1
0,23,3626724,122,0,0,3625683,1
0,23,264759,7,0,0,263742,0
0,23,1863193,69,0,0,1862233,1
0,23,418380,13,0,0,417494,0
0,5,1314686,150,0,2,1313668,0
0,23,1158170,45,0,0,1157129,1
1,14,188127,194,1,7,187156,1
1,2,1104725,43,0,0,1103973,1
0,6,47733,216,0,8,46712,1
1,19,3129,141,1,2,2111,1
0,17,2571118,241,0,12,2570141,0
0,3,2611171,205,0,7,2610116,0
0,3,2751961,211,0,7,2751003,0
1,8,2075234,183,1,6,2074416,0
0,1,77248,261,0,13,76246,1
1,16,19593,238,1,11,18641,1
1,14,116363,191,1,7,115392,1
1,2,992940,38,1,0,992231,1
0,3,257930,197,0,7,256958,1
0,11,82197,155,0,4,81176,1
0,23,1206640,47,0,0,1205634,0
0,6,59985,217,0,8,58996,1
0,3,35674,186,0,7,34737,1
1,2,7609,0,1,0,6614,0
0,23,3008310,104,0,0,3007265,1
0,23,1632520,59,0,0,1631515,0
0,23,52191,2,0,0,51200,0
0,23,1435342,52,0,0,1434369,0
0,23,2247622,81,0,0,2246622,0
0,3,2402964,202,0,7,2401983,0
0,23,937139,36,0,0,936183,0
1,2,462656,15,1,0,461872,0
0,23,2647975,89,0,0,2647001,1
0,23,1550036,56,0,0,1549070,1
1,2,474134,16,1,0,473342,1
0,17,2718036,248,0,12,2717006,0
0,23,361388,11,0,0,360375,0
0,23,2598728,87,0,0,2597760,1
1,2,1305031,49,1,0,1304292,0
0,11,1753616,162,0,4,1752621,0
1,10,2694134,247,1,12,2693159,0
0,23,3821699,127,0,0,3820752,1
1,13,207934,235,1,10,206941,1
0,17,2806993,250,0,12,2805961,0
0,23,1647699,60,0,0,1646762,0
0,23,1456456,53,0,0,1455519,0
0,12,5080,170,0,6,4079,1
0,3,23469,185,0,7,22545,1
1,7,2821,258,1,13,1796,1
0,12,2037842,182,0,6,2036855,0
0,11,1782786,165,0,4,1781826,0
0,23,1758744,64,0,0,1757779,1
0,23,1410592,51,0,0,1409631,0
0,17,2491047,240,0,12,2490060,0
0,1,98100,262,0,13,97104,1
0,23,669332,24,0,0,668377,0
1,15,7509,215,1,8,6770,1
0,11,36053,154,0,4,35076,1
1,2,1571655,57,1,0,1570786,1
0,3,47279,187,0,7,46316,1
1,21,168621,157,1,4,168018,1
0,1,204979,266,0,13,203989,1
1,14,300350,198,1,7,299433,1
0,5,1190403,143,0,2,1189413,0
0,23,3699200,124,0,0,3698199,1
0,5,1242580,145,0,2,1241593,0
0,23,2901620,97,0,0,2900680,1
0,23,2595178,86,0,0,2594197,1
0,3,2787380,213,0,7,2786407,0
0,23,3422379,115,0,0,3421396,0
1,7,49077,259,1,13,48083,1
0,23,632947,23,0,0,631997,0
0,3,4464,184,0,7,3665,1
0,23,2023898,77,0,0,2022911,1
0,23,3035493,105,0,0,3034472,1
1,2,1004126,39,1,0,1003339,1
0,23,2953405,100,0,0,2952535,1
