Gene_Classification,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,13967339,104,16,0,13965975,0
0,1044324,9,5,0,1043726,0
0,18233087,130,1,0,18230676,0
0,7207112,57,1,0,7205454,1
0,21033305,145,1,0,21032577,1
0,14264630,107,5,0,14263463,0
0,19361160,138,2,0,19359904,0
0,22800650,152,1,0,22799643,0
0,6170322,49,2,0,6168823,1
0,5212347,42,1,0,5211163,1
0,10790484,83,1,0,10789222,0
0,4756236,38,5,0,4754812,0
0,19131431,136,11,0,19128978,1
0,24324304,161,2,0,24323249,0
0,18526135,132,1,0,18525296,0
0,5646569,45,1,0,5645517,0
0,4431456,36,26,0,4430512,1
0,8662629,68,1,0,8661322,0
0,1565906,12,5,0,1564519,1
0,5596435,44,2,0,5595701,0
0,17573162,125,1,0,17572161,0
0,24075061,159,2,0,24073248,1
0,13816694,102,16,0,13815414,0
0,3098509,26,1,0,3097631,0
0,17383110,122,5,0,17381675,1
0,23718778,156,2,0,23717642,0
0,9294,164,14,0,6891,1
0,4910787,40,5,0,4909550,1
0,15945723,116,2,0,15943858,1
0,13953853,103,1,0,13952477,0
0,16025845,117,8,0,16025135,0
0,10514318,80,1,0,10512900,0
0,9311660,77,1,0,9310200,0
0,11737964,90,2,0,11736173,0
0,8661219,67,1,0,8660182,0
0,7303713,58,5,0,7302490,1
0,12665749,95,1,0,12664313,1
0,24717108,162,2,0,24715475,1
0,1471242,11,2,0,1469688,1
0,21368024,147,2,0,21366772,1
0,7009171,56,2,0,7008393,1
0,10634319,82,1,0,10632709,1
0,1005618,8,2,0,1005001,1
1,8987276,72,4,1,8985246,0
0,20333137,140,1,0,20331131,0
0,10429864,79,5,0,10428729,1
