EventsParticipated,ProfileImage,CycleBaseCyclistId,CqRankingMaleCyclistId,InstagramUsername,CommonsCategory,SocialMediaFollowers,ProCyclingStatsCyclistId,TwitterUsername,BirthPlace,UciRiderId,WeightKg,BirthDate,SportsTeam,OlympediaPeopleId,LastName,FirstName,CyclingArchivesCyclistId,FirstCyclingRiderId,HeightCm
4,28,19558.0,3828.0,17,33,65423.0,140870.0,36,13,34012.0,69.0,9,31,7,13,19,21215.0,264.0,182.0
2,38,,,0,47,,,19,31,,,50,21,30,27,32,,,
12,5,46381.0,18610.0,4,36,77168.0,137427.0,27,36,71557.0,62.0,30,24,18,0,22,63999.0,12474.0,173.0
3,42,26009.0,12193.0,29,49,1940308.0,140797.0,39,50,54603.0,78.0,20,6,13,33,34,30229.0,784.0,184.0
24,36,53778.0,21261.0,25,45,2006.0,174179.0,17,8,78098.0,74.0,35,11,30,35,30,70986.0,21855.0,189.0
15,12,,,0,6,,,19,31,,,50,21,30,27,32,,,
24,38,19402.0,2694.0,0,47,,138138.0,19,12,33670.0,,6,0,30,24,39,15658.0,6595.0,
26,40,38259.0,13066.0,0,42,26443.0,140384.0,31,9,62919.0,72.0,22,30,30,22,28,39964.0,2211.0,178.0
25,38,,,0,0,,,19,31,,,50,21,30,27,32,,,
10,20,44733.0,16677.0,0,66,213342.0,140118.0,43,23,73892.0,69.0,23,26,21,8,45,64982.0,2324.0,185.0
22,55,,,0,25,,,40,31,,,50,21,30,27,32,,,
23,10,69634.0,26526.0,37,58,5000.0,194619.0,23,20,149727.0,66.0,45,18,28,31,43,115790.0,45992.0,176.0
31,24,16313.0,3333.0,16,32,134950.0,140752.0,9,22,44513.0,74.0,10,5,14,42,18,18746.0,150.0,181.0
31,31,39287.0,13240.0,15,28,66281.0,140835.0,35,17,55029.0,67.0,18,12,10,44,14,21075.0,1310.0,178.0
31,60,15477.0,3348.0,36,70,101538.0,140665.0,46,34,27822.0,68.0,12,3,17,50,49,13279.0,4669.0,183.0
31,0,28095.0,12823.0,35,55,,137337.0,22,1,58891.0,71.0,21,5,11,7,40,34412.0,2322.0,182.0
20,59,54395.0,20730.0,40,68,252749.0,168961.0,26,15,75859.0,70.0,38,3,25,47,47,74709.0,18258.0,187.0
7,17,22663.0,5789.0,8,21,1529344.0,140869.0,32,29,43936.0,69.0,11,12,15,12,8,22017.0,713.0,186.0
24,38,,,3,9,120359.0,,0,31,,,50,21,30,27,32,,,
30,7,16289.0,5.0,5,12,470645.0,140924.0,29,28,14575.0,61.0,2,14,0,41,2,7005.0,38.0,177.0
23,10,69634.0,26526.0,37,58,5000.0,194619.0,23,20,149727.0,66.0,45,18,28,31,43,115790.0,45992.0,176.0
17,14,55192.0,19941.0,41,69,31137.0,135398.0,45,18,86228.0,75.0,25,27,30,21,48,59790.0,10971.0,180.0
29,38,,,0,18,,,19,31,,,50,21,30,27,32,,,
0,32,505.0,7.0,0,37,3077244.0,126972.0,37,33,,71.0,0,20,20,1,23,300.0,2.0,177.0
13,4,,,0,5,,,19,31,,,50,21,30,27,32,,,
21,18,,31634.0,9,22,,262718.0,33,32,112281.0,,43,8,30,4,9,170457.0,57961.0,184.0
20,29,,26392.0,18,34,,193131.0,19,27,148275.0,69.0,44,2,30,30,20,89152.0,45363.0,176.0
8,38,,,0,3,,,19,31,,,50,21,30,27,32,,,
32,11,61538.0,24057.0,0,29,,177672.0,19,42,91640.0,82.0,40,32,23,14,15,79184.0,27099.0,193.0
9,38,,,0,4,,,19,31,,,50,21,30,27,32,,,
27,25,19255.0,3891.0,0,30,508772.0,140196.0,8,10,32532.0,71.0,13,12,6,38,16,11292.0,716.0,183.0
22,54,,,0,8,120333.0,,0,31,,,50,21,30,27,32,,,
24,38,,,33,62,212951.0,,3,31,,,50,21,30,27,32,,,
24,39,56345.0,20861.0,30,50,2247.0,155558.0,20,5,86624.0,71.0,37,4,30,2,35,80972.0,16816.0,184.0
4,23,,,0,47,,,19,31,,,50,21,30,27,32,,,
24,30,69190.0,25740.0,19,35,,196424.0,25,16,112082.0,,41,25,30,43,21,115868.0,38195.0,175.0
29,47,,,0,15,,,19,31,,,50,21,30,27,32,,,
30,2,3262.0,387.0,1,11,1397142.0,137456.0,28,24,518429.0,62.0,5,31,4,5,1,1567.0,3.0,176.0
19,38,,,0,61,212924.0,,3,31,,,50,21,30,27,32,,,
31,53,,16636.0,10,23,,138290.0,19,2,65007.0,72.0,26,1,30,11,10,52713.0,6234.0,183.0
13,38,,,0,60,,,19,31,,,50,21,30,27,32,,,
31,58,11585.0,1994.0,39,67,569371.0,140778.0,44,25,28378.0,65.0,7,1,3,25,46,13069.0,133.0,181.0
4,41,39004.0,,27,48,47028.0,138497.0,7,35,66298.0,,28,17,12,10,33,60878.0,89540.0,
9,38,,,0,4,,,19,31,,,50,21,30,27,32,,,
16,50,56666.0,18975.0,2,10,32176.0,133024.0,1,7,70590.0,58.0,31,28,19,45,0,65132.0,20147.0,172.0
31,3,47885.0,18123.0,38,43,21399.0,139801.0,15,49,68832.0,71.0,27,31,16,40,28,58401.0,6309.0,179.0
30,57,15225.0,2437.0,0,57,,140630.0,19,39,30369.0,68.0,14,32,5,49,42,13510.0,147.0,176.0
24,51,71935.0,28298.0,6,13,,192457.0,19,6,98774.0,66.0,46,29,30,6,3,114071.0,45987.0,176.0
14,34,43345.0,15281.0,24,39,3825.0,140722.0,38,37,64941.0,72.0,24,13,30,17,25,32784.0,6246.0,178.0
31,49,7362.0,871.0,0,56,91041.0,140868.0,42,44,20884.0,71.0,3,16,2,18,41,9918.0,52.0,190.0
14,46,41892.0,19165.0,0,44,16935.0,137797.0,16,47,66315.0,73.0,32,30,30,37,29,43238.0,11313.0,184.0
29,38,,,0,1,,,19,31,,,50,21,30,27,32,,,
8,38,,,0,59,,,19,31,,,50,21,30,27,32,,,
22,54,,,0,8,120333.0,,0,31,,,50,21,30,27,32,,,
28,21,,,0,53,,,19,31,,,50,21,30,27,32,,,
24,43,,,20,64,268211.0,,11,31,,,50,21,30,27,32,,,
6,19,41890.0,17794.0,13,26,16190.0,139904.0,4,45,68844.0,64.0,29,9,27,48,12,52412.0,7724.0,187.0
7,17,22663.0,5789.0,8,21,1529344.0,140869.0,32,29,43936.0,69.0,11,12,15,12,8,22017.0,713.0,186.0
13,4,,,0,5,,,19,31,,,50,21,30,27,32,,,
31,35,15997.0,67.0,0,40,,140418.0,19,11,12711.0,74.0,1,31,30,39,26,7526.0,184.0,181.0
8,38,,,0,3,,,19,31,,,50,21,30,27,32,,,
24,45,83295.0,28377.0,34,54,84000.0,212377.0,6,0,587366.0,62.0,47,24,24,9,38,141854.0,84019.0,171.0
28,38,,,0,0,,,19,31,,,50,21,30,27,32,,,
