Gene_Subclass,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation,Gene_Label,Gene_Db_Id,Genomic_End_Position
1,1,355485,5,0,174,174,358301
0,0,201683,2,0,79,79,202126
1,1,83233,5,1,200,200,83691
1,1,1031220,5,0,76,76,1034156
1,1,390821,5,1,84,84,393196
1,1,367493,5,0,51,51,368350
1,1,63011,5,1,97,97,66037
1,1,2,5,0,16,16,877
1,1,2,5,0,106,106,1381
1,1,1152030,5,0,149,149,1153652
1,1,45168,5,1,31,31,45746
1,1,46339,5,1,232,232,47107
1,1,33647,5,1,152,152,35665
1,1,1445,5,0,131,131,2035
1,1,919047,5,0,67,67,921959
0,0,1,2,1,119,119,282
1,1,902475,5,0,162,162,903359
1,1,1112,5,0,173,173,3364
1,1,6310,5,0,62,62,8634
1,1,3256,5,0,113,113,6051
1,1,221369,5,0,157,157,223303
1,1,1,5,0,10,10,147
1,1,704473,5,0,36,36,706956
1,1,14362,5,1,24,24,15156
1,1,941918,5,1,163,163,944659
1,1,513297,5,0,237,237,513917
1,1,45609,5,1,185,185,46181
1,1,44094,5,1,233,233,46075
1,1,1049748,5,0,160,160,1050263
1,1,321,5,1,180,180,1991
1,1,6150,5,1,90,90,7580
1,1,315381,5,0,195,195,317768
0,0,586959,2,0,70,70,587282
1,1,10619,5,1,203,203,10942
1,1,492,5,0,17,17,929
1,1,3546,5,0,63,63,6341
1,1,48096,5,1,213,213,50252
1,1,748829,5,0,191,191,751195
0,0,1968,0,1,60,60,2270
1,1,627348,5,0,211,211,629366
1,1,606950,5,0,210,210,609376
1,1,1362,5,1,219,219,2735
1,1,1346,5,1,227,227,4117
1,1,4295,5,0,11,11,6226
1,1,478592,5,0,111,111,481120
1,1,3,5,0,5,5,215
1,1,1,5,1,145,145,2208
1,1,854629,5,0,112,112,857583
1,1,2632,5,0,103,103,4959
1,1,38134,5,1,93,93,38673
1,1,2181870,5,1,89,89,2184398
1,1,818471,5,0,102,102,821170
1,1,638082,5,0,124,124,640889
1,1,696140,5,0,74,74,699100
0,0,2028950,3,0,141,141,2029693
1,1,2810,5,1,46,46,4564
1,1,692,5,1,12,12,1582
1,1,605,5,0,58,58,3052
1,1,497942,5,0,236,236,498493
1,1,3066,5,0,223,223,6017
1,1,2173,5,1,128,128,4965
1,1,583600,5,0,190,190,585603
1,1,1,5,1,91,91,2706
1,1,86623,5,1,184,184,89160
1,1,473026,5,0,99,99,475584
1,1,618505,5,0,165,165,620331
1,1,4936,5,1,15,15,6087
1,1,1637255,5,0,201,201,1639600
1,1,1,5,1,2,2,1686
1,1,7736,5,1,179,179,10351
1,1,1397420,5,0,23,23,1399795
1,1,650348,5,0,197,197,651190
0,0,17345,1,1,32,32,17833
1,1,103,5,1,73,73,612
1,1,29822,5,0,205,205,32383
1,1,68706,5,1,86,86,69602
1,1,180932,5,1,44,44,182518
1,1,15659,5,0,120,120,18217
1,1,87465,5,0,222,222,88109
1,1,537914,5,0,37,37,540826
1,1,3972,5,0,172,172,5666
1,1,267153,5,0,228,228,267665
1,1,28311,5,1,143,143,28634
1,1,1120731,5,0,217,217,1121147
1,1,2,5,0,161,161,583
1,1,909,5,1,39,39,2783
1,1,66466,5,1,224,224,67398
1,1,452610,5,0,134,134,453362
1,1,9216,5,0,107,107,11981
1,1,933350,5,0,194,194,935665
1,1,6119,5,1,154,154,9109
1,1,1,5,0,18,18,228
0,0,1520,1,1,20,20,2248
1,1,576644,5,0,166,166,578251
1,1,735,5,1,56,56,3080
1,1,42281,5,0,206,206,45115
1,1,1,5,1,101,101,2190
1,1,412,5,0,9,9,922
1,1,518895,5,0,136,136,521339
1,1,662509,5,0,135,135,663276
1,1,783721,5,0,69,69,783875
1,1,22313,5,0,117,117,24991
0,0,288,1,1,216,216,1238
1,1,3526,5,1,150,150,4197
0,0,947,1,1,0,0,1066
1,1,1159086,5,0,96,96,1161359
1,1,71692,5,1,214,214,73875
1,1,5343,5,0,50,50,8168
1,1,1840004,5,0,212,212,1842055
1,1,38052,5,1,52,52,40883
1,1,7402,5,1,92,92,9729
1,1,15238,5,0,80,80,17064
1,1,519241,5,0,40,40,521580
1,1,204852,5,1,122,122,207218
1,1,637990,5,0,118,118,640440
1,1,103,5,1,171,171,957
1,1,502038,5,0,75,75,504842
1,1,44981,5,1,115,115,45868
1,1,15392,5,1,55,55,18211
1,1,103,5,1,78,78,963
1,1,769332,5,0,49,49,772241
0,0,1097,2,0,1,1,1411
1,1,23342,5,1,189,189,24472
1,1,35374,5,1,41,41,35958
1,1,33176,5,1,7,7,34273
1,1,1,5,0,57,57,617
1,1,477242,5,0,137,137,478396
1,1,389835,5,0,108,108,392192
1,1,25624,5,1,221,221,28437
1,1,3232,5,0,220,220,4194
1,1,13620,5,1,33,33,16367
1,1,10472,5,1,198,198,13228
1,1,3,5,1,59,59,1874
1,1,49106,5,0,110,110,51751
0,0,580762,2,0,238,238,581031
1,1,183608,5,0,77,77,184333
1,1,380155,5,0,104,104,382722
1,1,7086,5,0,229,229,9773
1,1,8487,5,1,83,83,10829
1,1,279111,5,0,155,155,281858
1,1,323649,5,0,105,105,326018
1,1,109194,5,0,88,88,112160
1,1,3,5,1,45,45,563
1,1,7165,5,0,81,81,8610
1,1,247890,5,0,175,175,250640
1,1,1018377,5,0,164,164,1020701
1,1,21104,5,0,168,168,23344
1,1,55331,5,1,53,53,57748
1,1,5580,5,1,100,100,7904
0,0,2010699,3,0,3,3,2011553
1,1,26201,5,1,114,114,26773
1,1,2030554,5,0,142,142,2033316
1,1,15195,5,1,209,209,15743
1,1,821002,5,0,215,215,822273
1,1,15296,5,0,28,28,16756
1,1,86619,5,1,98,98,88412
1,1,4494,5,0,234,234,7310
0,0,586129,2,0,181,181,586872
1,1,358083,5,1,47,47,360854
1,1,214062,5,1,64,64,215357
1,1,251879,5,1,182,182,254233
1,1,26184,5,0,139,139,26957
1,1,855554,5,0,132,132,856711
