Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Gene_Category,Strand_Orientation
0,0,216763,321,4,216122,0,0
1,0,588625,154,3,587969,1,1
0,0,416038,382,4,415541,0,0
1,0,463493,99,3,462885,1,1
0,0,14001,393,4,13402,0,1
1,0,385637,19,3,384969,1,0
0,0,602338,319,4,601643,0,1
0,0,1845,388,2,1489,0,1
0,0,375081,120,4,374536,0,1
0,0,1473130,85,4,1472456,0,0
0,0,1134002,407,4,1133424,0,1
0,0,444695,30,4,444042,0,0
0,0,42175,385,4,41594,0,0
0,0,9261,126,4,8539,0,0
0,0,382637,55,4,382086,0,0
0,0,35038,301,4,34388,0,1
0,0,416102,245,4,415509,0,0
1,0,13194,348,3,12661,1,1
0,0,653543,82,4,652923,0,1
0,0,320021,422,4,319437,0,1
0,0,78452,298,4,77844,0,0
0,0,2893,383,4,2228,0,0
0,0,38888,77,4,38181,0,1
0,0,22995,303,2,22609,0,1
0,0,1066542,404,4,1065931,0,1
0,0,438865,350,4,438233,0,0
0,0,345916,151,4,345353,0,0
1,0,499409,365,3,498789,1,0
0,0,262228,36,4,261515,0,0
0,0,350824,413,2,350453,0,1
0,0,224418,164,4,223792,0,0
0,0,17055,46,4,16375,0,0
0,0,1049,282,4,204,0,1
0,0,807166,149,4,806492,0,1
1,0,874302,273,3,873739,1,1
0,0,281,9,5,3,0,1
0,0,16035,341,4,15472,0,0
0,0,311595,411,2,311224,0,1
0,0,6125,10,4,5631,0,1
0,0,578960,75,4,578253,0,0
0,0,1670681,27,4,1670067,0,0
1,0,544317,144,1,543658,1,0
0,0,285006,244,4,284026,0,0
0,0,482096,252,4,481446,0,0
0,0,16573,162,4,15977,0,0
0,0,1236,123,4,691,0,0
0,0,2152710,104,4,2152117,0,1
0,0,218124,163,4,217234,0,0
0,0,505974,293,4,505327,0,1
0,0,314714,121,4,314181,0,0
0,0,729959,94,4,729363,0,0
0,0,358436,276,2,358038,0,1
0,0,594102,230,4,593512,0,1
0,1,22696,71,4,22061,0,1
1,0,1261581,323,3,1260970,1,0
0,0,160801,402,4,160181,0,0
1,0,10872,102,3,10210,1,0
0,0,412598,278,4,411981,0,1
0,0,517192,292,4,516578,0,1
0,0,53893,305,4,53279,0,1
0,0,253563,286,4,252895,0,0
0,0,237931,284,4,237338,0,0
0,0,266589,174,4,265723,0,0
0,0,1078119,190,4,1077559,0,0
0,0,468817,295,4,467864,0,1
0,0,1243238,184,4,1242540,0,1
0,0,1176204,398,4,1175530,0,0
0,0,6197,386,4,5628,0,0
0,0,47042,78,4,46335,0,1
0,0,374682,40,4,374062,0,0
0,0,1420673,89,4,1420101,0,0
0,0,388432,192,2,388043,0,1
0,0,70633,57,4,70109,0,0
0,0,11230,373,4,10535,0,0
0,0,694973,306,4,694383,0,0
0,0,1677970,116,4,1677395,0,0
0,0,5761,374,4,5141,0,0
0,0,1886263,215,4,1885670,0,0
0,0,311313,421,4,310645,0,1
0,0,282372,171,4,281740,0,1
0,0,456160,320,4,455483,0,0
0,0,36542,384,4,35961,0,1
0,0,541203,101,4,540331,0,0
0,0,377041,362,4,376496,0,1
0,0,1142859,408,4,1142287,0,1
0,0,1481322,91,4,1480762,0,1
0,0,1306828,206,4,1306226,0,1
0,0,1739,5,4,1236,0,1
0,0,410649,138,2,410251,0,0
0,0,1587490,209,4,1586741,0,0
0,0,2442,283,4,1612,0,1
0,1,327963,423,4,327337,0,1
0,0,1411596,20,4,1410949,0,0
0,0,260483,175,4,259935,0,0
0,0,917604,272,4,916954,0,0
0,0,371048,275,4,370350,0,1
0,0,11470,45,2,11081,0,1
0,0,377176,139,4,376607,0,0
0,0,1943209,8,4,1942577,0,0
0,0,7470,267,4,6853,0,1
0,0,120884,33,2,120498,0,0
0,0,21243,14,4,20602,0,1
0,0,617680,231,4,617066,0,1
0,1,340144,412,4,339536,0,0
1,0,862102,240,3,861431,1,0
0,0,1875155,216,4,1874526,0,0
0,0,633183,232,2,632827,0,1
0,0,59685,47,4,58891,0,0
0,0,1611491,329,4,1610868,0,0
0,0,31626,356,4,31012,0,0
0,0,76266,277,4,75574,0,1
0,0,430625,12,4,430509,0,0
0,0,288480,173,4,287506,0,0
0,0,1187163,345,4,1186465,0,0
0,0,1200244,311,4,1199621,0,0
0,0,18926,389,4,18276,0,0
0,0,2115566,24,4,2114982,0,1
0,0,1109679,315,4,1109041,0,1
0,0,1559,49,4,987,0,1
0,0,413954,417,4,413337,0,0
0,0,159847,65,4,159101,0,1
0,0,1139142,314,4,1138561,0,1
0,0,462219,363,4,461563,0,1
0,0,1348,165,4,512,0,1
0,0,1344856,196,4,1344239,0,0
0,0,203566,68,2,203195,0,1
0,0,3660,193,4,3085,0,1
0,0,1001979,93,4,1001410,0,0
1,0,1671935,117,3,1671336,1,0
0,0,3008,160,4,2760,0,1
0,0,17644,347,4,17072,0,0
0,0,393310,279,4,392783,0,0
0,0,1025055,189,4,1024453,0,0
0,0,1654543,29,4,1654004,0,1
0,0,11006,13,4,10434,0,1
0,0,1840810,108,4,1840178,0,0
0,0,1182146,312,4,1181541,0,1
1,0,356421,430,3,355831,1,1
0,0,398667,247,4,398035,0,0
0,0,1235855,185,2,1235211,0,1
0,0,1806636,336,4,1806064,0,0
0,0,7249,51,4,6641,0,0
0,0,452612,280,4,451995,0,0
0,0,425782,137,2,425384,0,0
0,0,1121,1,4,531,0,0
0,0,725245,148,4,724664,0,1
0,0,7534,342,2,7151,0,0
0,0,14571,376,4,14272,0,0
0,0,244449,287,4,243556,0,0
0,0,622513,25,4,621803,0,0
0,0,261062,172,4,260553,0,0
0,0,253089,176,4,252442,0,0
0,0,305429,371,4,304515,0,0
1,0,690105,145,3,689434,1,0
0,0,26110,304,4,25487,0,1
0,0,55203,79,4,54550,0,0
0,0,6670,225,4,6140,0,1
0,0,467996,364,4,467418,0,0
0,0,1079,125,2,750,0,0
0,1,1784731,332,4,1784156,0,1
0,0,1392058,307,4,1391459,0,0
0,0,174019,63,4,173294,0,1
1,0,44727,394,3,44119,1,1
1,0,978860,274,1,978390,1,0
0,0,7294,260,4,6638,0,0
0,0,9111,129,2,8734,0,0
0,0,641578,81,4,640880,0,1
0,0,2852,16,4,2211,0,0
0,0,1610144,113,4,1609563,0,0
1,0,225709,67,3,225092,1,1
0,0,873,4,4,262,0,1
0,0,462632,136,4,462006,0,0
0,0,1707,377,4,1054,0,0
0,0,555039,76,4,554104,0,0
0,0,897457,271,4,896894,0,0
0,0,528985,291,4,528356,0,1
0,0,930600,241,4,929947,0,1
0,0,459742,248,4,459083,0,0
0,0,8892,375,4,8245,0,0
0,0,410431,179,4,409799,0,0
0,0,95645,62,4,95094,0,1
0,0,296809,420,4,296102,0,1
0,0,438791,31,4,438168,0,1
0,0,302673,243,4,302005,0,0
0,0,332148,410,4,331510,0,0
0,0,22912,56,2,22523,0,0
0,0,20624,72,4,19953,0,1
0,0,276224,133,4,275592,0,0
0,0,605996,237,4,605367,0,1
0,0,610905,153,4,610333,0,0
1,0,893116,238,3,892445,1,1
0,0,9993,32,4,9376,0,1
0,0,1448091,87,4,1447573,0,1
0,0,12594,195,4,11959,0,1
0,0,389569,246,4,388676,0,0
0,0,28027,42,4,27344,0,0
0,0,406686,135,4,406078,0,0
0,0,32545,261,4,31979,0,0
1,0,11424,39,3,10828,1,0
0,0,474095,353,4,473496,0,0
1,0,891600,270,1,891058,1,1
0,0,1570983,119,4,1570405,0,1
0,0,487260,199,4,486679,0,1
1,0,28680,127,3,27985,1,0
0,0,478938,100,4,478315,0,0
0,0,1109266,397,4,1108595,0,0
0,0,21792,344,4,21193,0,0
0,0,652493,235,4,651543,0,1
0,0,538452,143,4,537880,0,1
0,0,21840,228,4,21079,0,0
0,0,567898,122,2,567485,0,0
0,0,53116,396,5,52718,0,0
0,0,308712,369,4,308044,0,0
0,0,641268,233,4,640657,0,1
0,0,1591262,330,4,1590720,0,0
0,0,559332,141,2,558976,0,0
0,0,627298,98,4,626603,0,1
0,0,555039,428,4,554545,0,1
0,0,269583,419,4,268954,0,0
1,0,1591401,210,3,1590901,1,0
0,0,1060193,187,4,1059636,0,1
0,0,272757,178,4,271798,0,0
0,0,21892,338,4,21179,0,0
0,0,400683,54,4,400036,0,1
0,0,11825,43,4,11139,0,0
0,0,610947,366,4,610288,0,1
0,0,1183104,324,4,1182499,0,0
0,0,1871216,107,4,1870641,0,0
0,0,1100102,406,4,1099440,0,1
0,0,223254,288,4,222562,0,0
0,0,2130876,103,4,2130250,0,1
0,0,5418,229,4,4696,0,1
0,0,274287,170,4,273715,0,1
0,0,643220,197,4,642618,0,0
0,0,253619,168,4,252897,0,0
0,0,190891,64,4,190256,0,1
0,0,33533,390,4,32910,0,1
0,0,66227,300,4,65685,0,0
0,0,1038285,188,4,1037734,0,1
0,0,1299223,183,4,1298663,0,0
0,0,549268,73,4,548651,0,0
0,0,1790185,217,4,1789544,0,1
0,0,110877,152,5,110344,0,1
0,0,70385,297,4,69732,0,0
0,0,375323,425,4,374682,0,1
0,1,1894275,109,4,1893637,0,1
0,0,48963,357,4,48349,0,0
0,0,63431,61,4,62859,0,0
0,0,563485,92,2,563114,0,0
1,0,1947,15,3,1330,1,1
0,1,849658,22,4,849029,0,1
0,0,17246,265,4,16593,0,0
0,0,11667,258,4,10975,0,1
0,0,1192370,313,4,1191744,0,1
0,0,789660,147,4,789061,0,1
0,0,484940,354,4,484143,0,0
0,0,551183,224,2,550740,0,0
0,0,1665163,28,4,1664528,0,0
0,0,15815,360,4,15231,0,0
0,0,423275,201,4,422700,0,0
0,0,50225,395,4,49587,0,0
0,0,23909,361,4,23259,0,0
0,0,1935320,213,4,1934724,0,0
0,0,1439745,88,4,1439215,0,1
0,0,1646736,211,4,1646206,0,0
0,0,5356,349,4,4736,0,1
0,0,281837,177,4,281250,0,0
0,0,217404,21,4,216745,0,0
0,0,431207,426,4,430704,0,0
0,0,565167,381,2,564760,0,0
0,0,4939,6,4,4241,0,1
0,0,497547,250,4,496699,0,0
0,0,2159962,325,4,2159390,0,0
0,0,1722444,337,4,1721857,0,1
0,0,627125,83,4,626559,0,1
0,0,636879,156,4,636250,0,1
0,0,2103139,218,4,2102468,0,1
0,0,211634,418,5,211245,0,0
0,0,34921,266,4,34262,0,1
0,0,1578872,118,4,1578312,0,0
0,0,596495,157,4,595866,0,0
0,0,9539,194,4,8904,0,1
0,0,497850,294,4,497083,0,1
0,0,465000,352,4,464038,0,0
0,0,283286,424,4,282588,0,0
0,0,1863,41,4,1279,0,0
1,0,1337715,208,3,1337152,1,0
0,0,10499,37,2,10110,0,1
0,0,6256,128,2,5888,0,0
0,0,77237,58,4,76545,0,0
0,0,1685667,115,0,1685527,0,0
0,0,584282,131,4,583626,0,1
0,0,1212108,310,4,1211533,0,0
0,0,8071,392,4,7124,0,1
0,0,631273,155,4,630704,0,1
0,0,1357417,309,4,1356881,0,1
0,0,1413348,207,4,1412725,0,1
0,0,897652,239,4,897068,0,0
0,0,102031,0,4,101630,0,1
0,0,460277,281,4,459570,0,0
0,0,550961,289,4,550314,0,1
0,0,2082607,34,4,2081918,0,1
0,0,673589,182,4,672981,0,1
0,0,262590,285,4,261997,0,0
0,0,1069989,191,4,1069351,0,0
0,0,54130,399,4,53294,0,1
0,0,238595,169,4,237978,0,1
0,0,2039757,327,4,2039173,0,1
0,0,55031,264,4,54300,0,0
0,0,42738,391,4,42403,0,1
0,0,698962,95,4,698387,0,1
0,0,1037760,368,4,1037092,0,1
0,0,510533,431,4,509916,0,0
0,0,1653046,111,4,1652444,0,1
0,0,602022,158,4,601444,0,0
0,0,9693,359,4,9067,0,0
0,0,331967,150,4,331098,0,0
0,0,57983,60,4,57381,0,1
0,0,488252,249,4,487683,0,0
0,0,152203,401,4,151562,0,0
0,0,7816,166,4,6941,0,1
0,0,473006,251,4,472107,0,0
0,0,8984,254,4,8412,0,1
0,0,296422,242,4,295724,0,0
0,0,786,372,4,88,0,0
0,0,521226,205,4,520573,0,0
0,0,1896,253,4,1198,0,1
0,0,433446,202,4,432955,0,0
0,0,297265,221,4,296609,0,0
0,0,421453,416,4,420860,0,0
0,0,10738,161,4,10142,0,1
0,0,422988,180,4,422386,0,0
0,0,739582,269,4,738989,0,0
0,0,741926,198,4,741234,0,0
0,0,2021354,35,4,2020752,0,1
1,0,22510,52,3,21845,1,0
0,0,12963,340,4,12349,0,0
0,0,1279824,186,4,1279111,0,1
0,0,2141017,326,4,2140400,0,0
0,0,213605,69,4,212727,0,1
0,0,649380,234,4,648745,0,1
1,0,1773473,333,3,1772775,1,1
0,0,542828,290,4,542232,0,1
0,0,3185,159,4,2544,0,1
0,0,1094415,317,4,1093786,0,1
0,0,548259,140,2,547909,0,0
0,0,4704,226,4,4066,0,0
0,0,67780,414,4,67067,0,0
0,0,288418,220,4,287768,0,0
0,0,498188,429,4,497556,0,1
0,0,633393,80,4,632488,0,1
0,0,606832,84,4,606242,0,0
0,0,11303,48,4,10641,0,1
0,0,667099,3,4,666332,0,1
