GeneType,OrthologId,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition,StrandOrientation
0,96,153559,234,81,152606,0
0,92,4472,216,77,3321,0
0,74,979496,117,20,978543,1
0,36,1905082,69,20,1904309,1
1,1,27009,45,29,25858,1
0,95,38006,197,76,37197,0
0,69,1147481,176,18,1146423,1
0,33,226729,43,12,226322,1
1,70,76658,39,46,76494,0
0,98,987733,115,20,987176,1
0,97,914563,156,19,913814,0
0,73,400728,175,15,399566,0
0,55,983808,116,20,982858,1
1,44,493669,122,15,492404,1
1,94,3831,168,74,3070,1
1,68,3587,162,72,2544,0
0,28,10011,38,45,9199,1
0,55,1474427,53,20,1473666,0
0,83,36547,223,38,35690,0
0,89,531335,172,1,530982,1
0,73,462427,173,15,461594,0
1,14,1925877,68,20,1925107,1
0,36,1564778,74,20,1564014,1
0,59,1098330,232,15,1097515,0
0,2,15525,111,32,14710,1
1,12,2102,113,60,1101,1
0,50,1062126,196,16,1060936,0
0,10,705599,93,14,704769,0
0,7,77581,8,8,76523,1
0,10,837722,210,14,837087,0
0,45,1677,77,50,712,1
0,73,272963,214,15,272211,0
1,17,11639,198,76,10170,0
0,97,2202884,184,19,2202237,1
0,100,1471918,182,18,1470884,0
0,28,2879,134,63,2091,1
0,60,12102,220,36,11231,0
1,5,551759,89,14,550737,1
0,71,12897,5,25,11857,1
0,10,863354,141,14,862533,0
1,6,2640,170,34,1327,0
0,56,2089274,125,19,2088630,1
0,39,384191,37,4,383100,0
0,54,323886,159,11,323095,1
0,90,571633,48,7,570836,0
0,98,684782,58,20,683826,0
0,24,826530,13,19,825718,1
0,0,31139,62,49,29922,0
0,18,1229889,178,18,1228786,0
0,80,1222996,108,20,1222181,1
1,5,290434,82,14,289571,0
0,7,1022329,213,14,1021526,1
0,57,36628,46,29,35402,1
1,14,1131697,169,20,1130438,1
0,83,31870,222,38,31118,0
1,26,295086,102,12,293887,1
0,65,941707,7,14,940901,1
1,64,2901,221,37,1762,0
0,49,1588977,123,18,1588012,0
0,62,644758,119,6,643769,0
0,91,17814,235,81,16873,1
0,97,750678,155,19,750031,1
0,53,335,10,26,3,0
1,66,7239,183,0,5971,1
1,41,41030,152,69,39978,0
0,0,19059,166,73,18244,0
1,5,1152958,194,14,1151783,1
0,55,1745136,191,20,1744339,0
1,35,2521,110,59,1283,1
0,73,247509,145,15,246700,0
0,61,731234,57,20,730422,0
0,10,1070767,195,14,1069991,0
1,26,137805,158,12,136807,0
0,10,461022,201,14,460051,1
0,47,1577124,189,19,1576114,0
0,0,11189,50,47,10047,1
1,72,13960,14,27,13361,1
0,0,39296,63,49,38151,0
0,7,375903,35,4,374896,1
0,92,12268,236,82,10958,0
0,61,2097143,190,20,2096334,1
0,28,13009,153,69,11804,0
0,90,550504,49,7,549704,0
0,34,11743,224,38,10985,1
1,35,556235,171,1,555144,0
0,73,1148502,228,15,1147669,0
1,77,381597,15,10,380962,0
0,19,9178,76,30,8375,1
0,56,2165485,185,19,2164835,1
1,48,41345,80,31,40839,0
1,75,29968,164,73,28721,0
0,100,1648331,124,18,1647294,0
0,65,492438,202,14,491209,0
0,99,37518,31,28,36670,0
0,100,1522877,181,18,1521903,1
0,48,178084,112,17,176870,1
0,84,15379,219,79,14528,0
0,82,77977,41,3,77144,0
0,7,617253,207,14,616495,0
0,28,3650,149,66,2478,1
0,10,537352,90,14,536177,1
1,61,35179,44,13,34406,1
0,28,614,51,47,222,1
0,97,1912694,127,19,1911738,1
1,26,287088,101,12,285889,1
0,59,1165493,229,15,1164663,0
0,28,37248,165,73,35989,1
1,54,55904,32,28,55386,1
0,56,1783506,129,19,1782673,1
0,25,432927,247,5,431740,0
0,28,13082,114,61,12327,1
0,93,320234,147,15,319014,0
1,5,827468,209,14,826311,1
0,28,28969,25,41,28568,0
0,76,738,2,23,1,0
0,103,5008,9,26,4142,0
0,33,227094,19,12,226831,1
0,0,14090,64,49,12945,0
0,14,1026,225,80,841,1
0,0,1863,105,58,1015,0
0,80,2029082,20,20,2027874,1
1,9,445921,18,4,445157,0
0,7,247162,12,14,246347,0
0,7,1018268,212,14,1017216,1
0,28,23025,135,64,22318,0
0,85,1675,215,35,854,1
1,102,26635,163,73,25832,0
0,36,2151652,67,20,2150759,1
0,49,2155792,186,19,2155145,0
0,31,392050,88,12,391007,0
0,63,19523,47,29,18321,1
0,55,1687805,71,20,1687044,0
0,0,10624,97,53,9845,0
0,46,255296,143,15,254511,0
0,10,305564,86,14,304740,0
0,27,486743,59,1,485586,0
0,7,277578,84,14,276769,0
0,65,822069,208,14,821287,0
0,3,1047,1,22,259,0
0,52,265814,200,11,265029,1
0,28,18784,100,56,18002,0
0,10,992655,211,14,991897,1
0,10,297062,81,14,295851,0
1,37,13592,103,57,12324,1
0,0,30765,28,43,29968,1
0,7,422034,17,4,420934,0
0,65,907521,140,14,906301,0
0,45,12388,137,65,11468,0
1,14,269718,148,20,269074,1
0,32,65754,233,81,64810,1
0,100,1487286,180,18,1486264,1
0,11,17173,217,78,16040,1
0,28,13948,30,44,13148,0
0,10,313431,85,14,312547,0
0,10,285745,83,14,284939,0
0,55,975187,118,20,974237,1
0,55,1679298,73,20,1678525,0
1,43,6002,241,83,5043,0
1,14,1592913,75,20,1591840,1
1,14,663114,16,20,662260,0
0,10,407549,138,14,406749,1
0,7,251858,21,14,251211,0
1,13,4723,24,40,4340,1
0,28,23810,60,48,22572,1
0,77,231201,246,5,230431,0
0,29,2142542,187,19,2141583,0
0,28,13418,151,68,12669,0
0,74,1694274,70,20,1693627,0
1,17,25842,199,76,24370,0
1,30,9998,78,51,9753,0
0,53,1153229,240,19,1151997,0
0,100,1221966,177,18,1220947,0
0,16,1604402,188,19,1603254,0
0,7,1075329,3,14,1075195,1
1,67,884301,139,14,883339,1
1,54,23852,33,28,23046,0
0,93,1106541,227,15,1105297,0
1,22,655,0,84,2,1
1,34,223492,245,5,222386,0
0,74,1631767,72,20,1631120,0
0,10,658646,92,14,657867,0
0,73,266241,144,15,265438,0
1,78,11872,131,62,11348,0
0,15,1207750,193,14,1206605,0
