Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Orthologous_Gene,Genomic_Start_Position
1,0,299939,228,228,79,297915
1,0,115059,164,164,115,112891
1,0,1036,14,15,54,2
0,0,763015,85,86,113,760970
0,0,547726,138,138,20,545198
0,0,19404,202,202,117,17227
1,0,53099,224,224,121,50910
1,0,2191081,90,91,129,2188577
0,0,52834,186,186,27,50840
1,0,13918,125,125,7,11750
1,0,18062,137,137,32,16122
1,0,62927,153,153,106,60651
1,0,34512,93,94,116,32440
0,0,5683,58,59,124,3845
0,0,1835456,208,208,23,1833030
0,0,711734,32,33,21,710958
0,0,482055,115,115,30,479794
1,0,89110,210,210,95,86993
1,0,92121,143,143,27,90979
1,0,7735,188,188,99,5258
0,0,2352753,134,134,27,2351474
0,0,5117,218,218,103,2943
1,0,120751,189,189,81,119534
0,0,9642,213,213,17,7252
0,0,28514,113,0,124,26043
1,0,1699,88,89,59,101
0,0,3774,18,19,17,1570
0,0,468090,41,42,132,465892
1,0,3637,167,167,61,1680
0,0,619207,206,206,40,617003
0,0,369971,62,63,33,367785
1,0,10067,28,29,65,8418
0,0,1108,165,165,105,1
0,0,3468,72,73,124,1171
0,0,1009265,79,80,132,1006986
0,0,560608,183,183,85,558551
1,0,28523,83,84,132,26538
1,0,2650,25,26,41,386
1,0,6868,187,187,114,4559
1,0,50074,192,192,134,47909
0,0,487691,31,32,122,485538
1,0,17178,110,111,128,14941
0,0,669010,136,136,13,666635
1,0,2335,174,174,15,101
1,0,798,170,170,94,1
0,0,1167843,148,148,112,1165567
1,0,140815,229,229,67,140096
1,0,18493,48,49,47,16673
1,0,5471,141,141,124,3207
1,0,5333,21,22,50,3093
1,0,59387,96,97,57,57738
0,0,477141,201,201,41,476586
0,0,5583,101,102,124,3223
1,0,20192,205,205,12,18165
0,0,636865,81,82,49,634829
0,0,180595,122,122,80,178343
0,0,827,13,14,117,3
1,0,122003,230,230,95,119982
1,0,16433,196,196,105,14709
1,0,35613,198,198,24,33460
0,0,16106,75,76,133,14127
0,0,194620,128,128,39,192110
1,0,85349,67,68,42,84366
1,0,303473,217,217,138,301437
1,0,49973,26,27,14,48072
0,0,7225,108,109,124,4853
1,0,3201,61,62,37,2560
1,0,17152,140,140,124,14774
1,0,43304,161,161,96,40902
1,0,52112,106,107,35,49749
1,0,316113,227,227,63,313945
1,0,3704,22,23,135,1446
1,0,12933,116,116,36,10912
1,0,60946,150,150,105,58898
0,0,1287,19,20,5,1
1,0,3133,53,54,124,824
0,0,23314,236,236,83,21104
0,0,763294,179,179,6,761027
0,0,411395,38,39,82,410220
1,0,66424,233,233,123,64094
0,0,469090,35,36,126,466913
1,0,4184,235,235,123,1923
1,0,68193,151,151,84,66007
1,0,315631,216,216,107,313523
0,0,480279,207,207,65,478171
0,0,609383,80,81,41,607077
0,0,377705,100,101,120,375522
0,0,400277,27,28,109,398004
0,0,702444,214,214,26,701878
1,0,369509,63,64,28,367296
1,0,5540,45,46,104,3963
0,0,526037,40,41,41,525222
1,0,57522,129,129,26,55348
1,0,28472,222,222,11,26358
1,0,3258,211,211,20,754
0,0,961848,157,157,18,959689
1,0,16197,181,181,66,13717
1,0,1669,49,50,124,2
0,0,399311,94,95,0,397290
0,0,646569,185,185,45,644707
1,0,27218,69,70,65,24993
0,0,2152465,193,193,16,2150273
0,0,5726,0,1,36,3723
1,0,1909430,133,133,29,1907460
0,0,1835184,68,69,108,1832923
1,0,27070,144,144,85,24536
1,0,311650,215,215,107,309482
1,0,6765,195,195,111,4204
1,2,1518,60,61,124,1
0,0,477984,154,154,25,475453
1,0,19107,107,108,72,16912
1,0,2336,152,152,136,3
0,0,468765,86,87,19,466540
1,0,4334,98,99,124,1968
1,0,71096,142,142,44,68619
0,0,909502,76,77,127,907241
0,0,1116077,156,156,38,1113876
0,0,731499,33,34,20,729406
1,0,7491,130,130,124,5182
0,0,1333,15,16,117,3
0,0,811009,212,212,76,808763
0,0,1475,2,3,79,3
0,0,471716,221,221,73,470270
0,0,2123600,89,90,70,2121408
0,0,669243,190,190,64,667156
1,0,18709,36,37,132,16532
1,0,6479,139,139,124,5838
0,0,668634,160,160,101,666520
