Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Orthologous_Gene,Genomic_Start_Position
0,0,465591,164,164,111,462814
1,0,292921,246,246,118,290183
0,0,579976,259,259,84,577358
1,0,16377,145,145,45,13513
1,0,199898,35,35,90,197364
0,0,1633076,189,189,28,1630521
0,0,602587,42,42,82,600077
0,0,768058,77,77,70,765323
1,0,1129346,170,170,60,1126764
0,0,20976,59,59,10,18310
0,0,5331,150,150,95,2932
1,0,204433,64,64,44,201761
0,0,1825289,190,190,60,1822929
0,0,700388,14,14,104,697620
1,0,6553,119,119,61,4166
0,0,1169591,224,224,105,1166769
1,0,21057,156,156,43,18763
1,0,565683,139,139,115,563344
0,0,262330,244,244,81,259847
0,0,1251196,183,183,119,1248512
1,0,1015945,210,210,70,1013150
1,0,1147282,169,169,60,1144757
1,0,721934,76,76,34,719244
0,0,1582479,188,188,93,1579936
1,0,237391,72,72,20,234584
1,0,218715,57,57,69,215884
0,0,11062,4,4,35,8450
1,0,1570228,98,98,40,1568267
0,0,308185,67,67,85,306188
0,0,561205,47,47,117,558770
0,0,410579,135,135,17,407808
0,0,57145,58,58,88,54284
0,0,849988,207,207,77,847319
1,0,456596,15,15,36,453903
1,0,60414,228,228,13,57859
1,0,1007699,208,208,70,1005114
1,0,7898,9,9,62,5274
0,0,245264,50,50,2,242583
0,0,4732,122,122,95,2051
0,0,21506,60,60,95,18858
1,0,23129,125,125,95,20358
0,0,472189,71,71,48,469499
0,0,1014233,133,133,28,1011738
0,0,34218,61,61,95,31414
1,0,2102129,101,101,98,2099463
1,0,82609,137,137,41,79808
0,0,1317329,97,97,83,1314768
1,0,396615,253,253,11,394090
1,0,585607,83,83,118,583331
1,0,10603,6,6,1,7772
1,0,460231,148,148,24,457457
0,0,276688,212,212,93,274223
1,0,187696,250,250,15,185057
1,0,10893,92,92,58,8359
1,0,4709,30,30,50,2067
1,0,13678,157,157,16,10931
1,0,14331,231,231,24,11776
1,0,1650945,11,11,126,1648582
0,0,7054,121,121,50,4541
0,0,476059,149,149,101,473501
1,0,3590,213,213,29,942
0,0,1816759,192,192,110,1814429
1,0,2010450,108,108,111,2008033
1,0,529696,178,178,64,526820
0,0,280853,65,65,128,278046
0,0,436968,247,247,79,434224
1,0,408724,138,138,31,406415
0,0,1036042,116,116,122,1033382
0,0,25731,8,8,56,22858
0,0,35248,53,53,95,32438
1,0,2099,2,2,125,3
0,0,903444,114,114,47,900637
1,0,559805,147,147,89,557001
1,0,2171498,185,185,98,2169063
0,0,817323,79,79,70,814468
1,0,35322,194,194,61,32611
0,0,585177,206,206,22,582301
1,0,41459,220,220,105,38613
1,0,594398,177,177,7,592146
0,0,421319,162,162,127,418704
0,0,16042,110,110,50,13142
1,0,629809,112,112,7,627020
1,0,620072,45,45,92,617640
1,0,86749,154,154,67,84020
0,0,1115182,221,221,75,1112378
0,0,546370,48,48,92,543824
0,0,22835,146,146,95,20457
0,0,65602,23,23,45,62846
0,0,321121,173,173,93,318503
1,0,3099,86,86,50,313
1,0,2201057,56,56,110,2198634
0,0,1882048,103,103,116,1879670
0,0,2065088,100,100,28,2062416
1,0,8030,144,144,50,5538
1,0,54570,26,26,54,51787
1,0,12466,230,230,99,9926
0,0,1745786,12,12,71,1743231
0,0,1189938,226,226,106,1187140
1,0,596823,95,95,117,594229
1,0,565358,84,84,110,563163
1,0,935144,130,130,82,932427
1,0,7331,93,93,59,4482
1,0,167573,36,36,27,164778
1,0,191757,113,113,57,188965
1,0,344245,13,13,96,341906
1,0,205713,249,249,19,202903
0,0,546874,142,142,103,544250
0,0,1851640,105,105,78,1848668
0,0,468388,69,69,77,465485
0,0,14547,19,19,45,12235
0,0,425184,136,136,52,422410
1,0,249052,73,73,4,246272
0,0,7271,21,21,95,4884
0,0,3982,1,1,68,1541
0,0,71558,155,155,74,69066
0,0,399549,239,239,52,396772
0,0,11601,40,40,50,9187
1,0,175571,94,94,100,172800
0,0,110238,229,229,97,107374
0,0,783613,78,78,34,780839
1,0,8573,216,216,63,6039
1,0,7513,3,3,124,4757
1,0,171781,0,0,42,169685
1,0,221070,140,140,82,218443
1,0,1484951,184,184,44,1482129
1,0,880730,132,132,39,877992
1,0,12861,241,241,106,10087
0,0,763632,128,128,71,761305
1,0,1152001,182,182,107,1149578
0,0,184674,5,5,92,182293
1,0,194602,251,251,82,191840
1,0,2180588,55,55,55,2178147
1,0,17047,37,37,102,14579
0,0,256062,181,181,120,253732
0,0,1181628,225,225,75,1179322
1,0,2776,51,51,12,113
1,0,950785,131,131,39,948302
0,0,8596,124,124,50,5819
0,0,24923,63,63,18,22032
0,0,42017,202,202,49,39222
0,0,1200167,196,196,34,1197396
0,0,696919,74,74,22,694046
0,0,316755,118,118,91,314314
0,0,428401,70,70,73,425663
0,0,388287,240,240,114,385492
0,0,2113696,54,54,28,2111357
0,0,272153,66,66,70,269451
1,0,22052,242,242,9,19278
0,0,222070,180,180,65,219359
1,0,775880,129,129,78,773208
0,0,432436,160,160,60,429818
1,0,180486,34,34,41,177754
1,0,11536,32,32,50,9554
0,0,15093,158,158,129,12226
