Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
0,0,4829,263,263,37,4128,0
0,0,599763,238,238,6,598996,1
0,0,430625,13,13,134,430509,0
0,0,1142859,409,409,48,1142287,1
0,0,339516,230,230,81,338926,0
0,0,1413348,214,214,13,1412725,1
0,0,1066542,405,405,67,1065931,1
0,0,15668,346,346,20,15015,0
0,0,6518,307,307,152,5874,1
0,0,26110,309,309,31,25487,1
1,0,504309,428,428,147,503911,1
0,0,610947,368,368,170,610288,1
0,0,1935320,221,221,123,1934724,0
0,0,216763,325,325,145,216122,0
1,0,588625,160,160,109,587969,1
0,0,412598,286,286,44,411981,1
1,0,463493,101,101,78,462885,1
0,0,14001,394,394,155,13402,1
0,0,276224,139,139,80,275592,0
0,0,602338,323,323,92,601643,1
0,0,1845,389,389,87,1489,1
0,0,314714,123,123,25,314181,0
0,0,1464254,89,89,96,1463646,0
0,0,1100102,407,407,101,1099440,1
0,0,444695,33,33,111,444042,0
0,0,42175,386,386,151,41594,0
0,0,9261,130,130,41,8539,0
0,0,382637,58,58,159,382086,0
0,0,35038,306,306,121,34388,1
0,0,410050,253,253,23,409331,0
1,0,13194,351,351,105,12661,1
0,0,641578,83,83,54,640880,1
0,0,320021,423,423,97,319437,1
0,0,70385,303,303,160,69732,0
0,0,2893,384,384,149,2228,0
0,0,36160,21,21,53,35462,1
1,0,628319,187,187,63,627354,1
1,0,978860,281,281,118,978390,0
0,0,288480,177,177,99,287506,0
0,0,331967,156,156,134,331098,0
0,0,467996,366,366,165,467418,0
0,0,1344856,202,202,124,1344239,0
0,1,340144,413,413,98,339536,0
0,0,218124,169,169,21,217234,0
0,0,11303,52,52,75,10641,1
0,0,12594,201,201,94,11959,1
0,0,789660,154,154,58,789061,1
0,0,855201,25,25,171,854569,1
0,0,873,6,6,32,262,1
0,0,16035,344,344,52,15472,0
0,0,301818,284,284,31,301183,1
0,0,281,11,11,71,3,1
0,0,578960,77,77,115,578253,0
0,0,1665163,31,31,152,1664528,0
0,0,538452,148,148,118,537880,1
0,0,278450,249,249,45,277617,0
0,0,473006,259,259,134,472107,0
0,0,16573,168,168,127,15977,0
1,0,15631,124,124,54,14972,0
0,0,2130876,105,105,96,2130250,1
0,0,750998,204,204,132,750414,0
0,0,497850,299,299,41,497083,1
0,0,653543,84,84,54,652923,1
0,0,698962,97,97,96,698387,1
0,0,350824,414,414,98,350453,1
0,0,584282,135,135,6,583626,1
0,0,425782,144,144,46,425384,0
0,0,1183104,328,328,38,1182499,0
0,0,160801,403,403,49,160181,0
1,0,10872,104,104,102,10210,0
0,0,393310,287,287,10,392783,0
0,0,514088,298,298,41,513441,1
0,0,667099,5,5,6,666332,1
0,0,244449,293,293,120,243556,0
0,0,223254,294,294,23,222562,0
0,0,260483,179,179,99,259935,0
0,0,1069989,197,197,57,1069351,0
0,0,198335,44,44,6,197730,1
0,0,1235855,190,190,96,1235211,1
0,0,1109266,398,398,139,1108595,0
0,0,6197,387,387,156,5628,0
0,0,38888,79,79,56,38181,1
0,0,2159962,329,329,68,2159390,0
0,0,1411596,23,23,17,1410949,0
0,0,2152710,106,106,162,2152117,1
0,0,70633,60,60,127,70109,0
0,0,2442,290,290,29,1612,1
0,0,673589,188,188,12,672981,1
1,0,1671935,119,119,121,1671336,0
0,0,11230,375,375,126,10535,0
0,0,1875155,224,224,48,1874526,0
0,0,311313,422,422,136,310645,1
0,0,274287,175,175,98,273715,1
0,0,433446,209,209,5,432955,0
0,0,36542,385,385,151,35961,1
0,0,541203,103,103,63,540331,0
0,0,375081,122,122,25,374536,1
0,0,1134002,408,408,48,1133424,1
0,0,1473130,88,88,27,1472456,0
1,0,1261581,327,327,130,1260970,0
0,0,1121,3,3,164,531,0
0,0,405277,143,143,31,404699,0
0,0,1581481,219,219,83,1580900,1
0,0,1049,289,289,66,204,1
0,1,327963,424,424,97,327337,1
0,0,1392058,311,311,167,1391459,0
0,0,253089,180,180,21,252442,0
0,0,897457,278,278,60,896894,0
0,0,358436,283,283,56,358038,1
0,0,782,48,48,127,129,1
0,0,371048,282,282,98,370350,1
0,0,1932015,107,107,96,1931470,0
0,0,7470,274,274,127,6853,1
0,0,76266,285,285,46,75574,1
0,0,16265,14,14,144,15666,1
0,0,605996,244,244,6,605367,1
0,0,332148,411,411,98,331510,0
1,0,844685,369,369,113,844098,0
0,0,1790185,225,225,34,1789544,1
0,0,617680,239,239,15,617066,1
0,0,17055,50,50,41,16375,0
0,0,1591262,333,333,68,1590720,0
0,0,31626,358,358,22,31012,0
0,0,67780,415,415,31,67067,0
0,0,425359,254,254,23,424565,0
0,0,281837,181,181,99,281250,0
0,0,1169771,349,349,73,1169145,0
0,0,1192370,318,318,162,1191744,1
0,0,18926,390,390,153,18276,0
0,0,2103139,226,226,57,2102468,1
0,0,1094415,321,321,57,1093786,1
0,0,59685,51,51,75,58891,0
0,0,395098,43,43,162,394403,1
0,0,128464,416,416,7,128075,0
0,0,1132814,320,320,57,1132212,1
1,0,385637,22,22,55,384969,0
0,0,1348,170,170,41,512,1
0,0,567879,382,382,88,567310,0
0,0,190891,67,67,98,190256,1
0,0,3660,199,199,41,3085,1
0,0,756041,99,99,96,755460,1
0,0,1653046,113,113,57,1652444,1
0,0,7200,137,137,24,6637,0
0,0,17644,350,350,157,17072,0
0,0,388432,198,198,72,388043,1
0,0,1001979,95,95,167,1001410,0
0,0,1611491,332,332,123,1610868,0
0,0,6125,12,12,71,5631,1
0,0,1806636,339,339,148,1806064,0
0,0,1150552,317,317,17,1149983,1
0,0,377041,364,364,25,376496,1
0,0,389569,255,255,110,388676,0
0,0,1212108,314,314,17,1211533,0
0,0,1793869,335,335,96,1793264,1
0,0,1559,53,53,41,987,1
0,0,421453,417,417,162,420860,0
0,0,410649,145,145,31,410251,0
1,0,2936,1,1,85,2637,1
1,0,690105,151,151,55,689434,0
0,0,7534,345,345,150,7151,0
0,0,8892,377,377,4,8245,0
0,0,237931,291,291,23,237338,0
0,0,615493,18,18,47,614912,0
0,0,253619,173,173,31,252897,0
0,0,244194,183,183,21,243160,0
0,0,1176204,399,399,5,1175530,0
0,0,668902,152,152,76,668282,1
0,0,22995,308,308,56,22609,1
0,0,47042,80,80,31,46335,1
0,0,6670,233,233,41,6140,1
0,0,462219,365,365,116,461563,1
0,0,1079,129,129,75,750,0
1,0,1773473,336,336,121,1772775,1
0,0,1368555,312,312,74,1367977,1
0,0,170789,69,69,31,170208,1
1,0,44727,395,395,64,44119,1
0,0,917604,279,279,101,916954,0
0,0,7294,267,267,41,6638,0
0,0,9111,133,133,75,8734,0
0,0,633393,82,82,59,632488,1
1,0,1947,16,16,141,1330,1
0,0,1604078,116,116,74,1603452,0
0,0,219644,72,72,53,218985,1
0,0,1579,4,4,168,1004,1
0,0,462632,142,142,97,462006,0
0,0,1707,379,379,87,1054,0
0,0,555039,78,78,77,554104,0
1,0,891600,277,277,40,891058,1
0,0,522983,297,297,6,522417,1
0,0,897652,246,246,165,897068,0
0,0,445439,136,136,110,444747,0
0,0,5761,376,376,22,5141,0
0,0,407298,186,186,84,406639,0
0,0,95645,65,65,112,95094,1
0,0,296809,421,421,97,296102,1
0,0,438791,34,34,145,438168,1
0,0,296422,250,250,134,295724,0
0,0,311595,412,412,98,311224,1
0,0,22912,59,59,131,22523,0
1,0,22510,55,55,159,21845,0
0,0,262228,39,39,170,261515,0
0,0,603114,243,243,15,602248,1
0,0,610905,159,159,136,610333,0
1,0,862102,247,247,1,861431,0
0,0,8700,17,17,18,8095,0
0,0,1439745,91,91,57,1439215,1
0,0,9539,200,200,94,8904,1
0,0,367683,157,157,26,367096,0
0,0,11825,47,47,127,11139,0
0,0,406686,141,141,97,406078,0
0,0,32545,268,268,127,31979,0
0,0,2027,41,41,69,1341,0
0,0,465000,355,355,2,464038,0
1,0,874302,280,280,118,873739,1
0,0,1522297,87,87,17,1521722,0
0,0,456160,324,324,119,455483,0
1,0,28680,131,131,166,27985,0
0,0,478938,102,102,3,478315,0
0,0,494817,206,206,14,494134,1
0,0,21792,347,347,39,21193,0
0,0,649380,242,242,6,648745,1
1,0,499409,367,367,55,498789,0
0,0,21840,236,236,131,21079,0
0,0,551183,232,232,163,550740,0
0,0,53116,397,397,36,52718,0
0,0,302673,251,251,45,302005,0
0,0,633183,240,240,95,632827,1
0,0,1148872,410,410,34,1148204,0
0,0,548259,146,146,70,547909,0
0,0,627298,100,100,82,626603,1
0,0,555039,429,429,97,554545,1
0,0,269583,420,420,136,268954,0
0,0,1587490,216,216,91,1586741,0
0,0,1038285,194,194,96,1037734,1
0,0,266589,178,178,21,265723,0
0,0,21892,341,341,52,21179,0
0,0,400683,57,57,159,400036,1
0,0,1863,45,45,131,1279,0
0,0,564291,150,150,116,563632,1
0,0,1722444,340,340,21,1721857,1
0,0,1850809,110,110,28,1850192,1
0,0,1081012,406,406,171,1080440,1
0,0,217404,24,24,23,216745,0
0,0,2115566,27,27,96,2114982,1
0,0,5418,237,237,75,4696,1
0,0,266951,176,176,98,266226,0
0,0,643220,203,203,63,642618,0
0,0,238595,174,174,31,237978,1
0,0,174019,66,66,46,173294,1
0,0,33533,391,391,149,32910,1
0,0,66227,305,305,121,65685,0
0,0,1032696,195,195,57,1032121,1
0,0,1279824,191,191,17,1279111,1
0,0,549268,75,75,161,548651,0
1,0,1738968,29,29,40,1738420,0
0,0,110877,158,158,163,110344,1
1,0,44362,304,304,122,43754,1
0,0,375323,426,426,129,374682,1
0,0,1871216,109,109,17,1870641,0
0,0,48963,359,359,104,48349,0
0,0,63431,64,64,127,62859,0
0,0,559332,147,147,79,558976,0
0,0,21243,15,15,16,20602,1
1,0,807869,26,26,118,807330,1
0,0,17246,272,272,41,16593,0
0,0,11667,265,265,41,10975,1
0,0,1182146,316,316,57,1181541,1
0,0,777907,153,153,117,777242,0
0,0,474095,356,356,114,473496,0
0,0,548591,231,231,40,548190,0
0,0,1654543,32,32,152,1654004,1
0,0,15815,362,362,50,15231,0
0,0,417430,208,208,14,416753,1
0,0,50225,396,396,101,49587,0
0,0,23909,363,363,142,23259,0
0,0,1886263,223,223,101,1885670,0
0,0,1420673,92,92,162,1420101,0
0,0,1628056,217,217,106,1627475,0
0,0,5356,352,352,135,4736,1
0,0,272757,182,182,21,271798,0
0,0,422988,185,185,62,422386,0
0,0,431207,427,427,146,430704,0
0,0,563485,94,94,18,563114,0
0,0,1739,7,7,34,1236,1
0,0,488252,257,257,132,487683,0
0,0,2141017,330,330,48,2140400,0
0,0,305429,373,373,9,304515,0
1,0,210445,138,138,42,209840,1
0,0,636879,162,162,129,636250,1
0,0,2091750,38,38,57,2091055,1
0,0,211634,419,419,8,211245,0
0,0,34921,273,273,127,34262,1
0,0,1570983,121,121,96,1570405,1
0,0,596495,163,163,136,595866,0
0,0,3008,166,166,145,2760,1
0,0,491431,300,300,6,490859,1
0,0,458814,354,354,99,458125,0
0,0,283286,425,425,136,282588,0
1,0,11424,42,42,108,10828,0
0,0,1306828,213,213,91,1306226,1
0,0,14571,378,378,101,14272,0
0,0,6256,132,132,131,5888,0
0,0,77237,61,61,131,76545,0
0,0,1677970,118,118,137,1677395,0
0,0,566496,301,301,133,565864,1
0,0,1200244,315,315,57,1199621,0
0,0,8071,393,393,86,7124,1
0,0,631273,161,161,97,630704,1
0,0,1299223,189,189,96,1298663,0
1,0,1337715,215,215,30,1337152,0
1,0,893116,245,245,11,892445,1
0,0,102031,0,0,103,101630,1
0,0,452612,288,288,96,451995,0
0,0,542828,295,295,6,542232,1
0,0,2067976,37,37,162,2067425,0
0,0,632235,86,86,34,631654,1
0,0,253563,292,292,132,252895,0
0,0,1060193,193,193,57,1059636,1
0,0,54130,400,400,51,53294,1
1,0,225709,70,70,33,225092,1
0,0,2016292,331,331,61,2015537,0
0,0,55031,271,271,131,54300,0
0,0,42738,392,392,86,42403,1
0,0,683253,98,98,57,682675,0
0,0,930600,248,248,170,929947,1
0,0,510533,431,431,43,509916,0
0,0,1637787,114,114,57,1637185,1
0,0,602022,164,164,146,601444,0
0,0,9693,361,361,142,9067,0
0,0,325661,372,372,134,325122,0
0,0,57983,63,63,131,57381,1
0,0,482096,260,260,110,481446,0
0,0,152203,402,402,91,151562,0
0,0,7816,171,171,127,6941,1
0,0,459742,256,256,26,459083,0
0,0,8984,262,262,75,8412,1
0,0,285006,252,252,134,284026,0
0,0,786,374,374,35,88,0
0,0,521226,212,212,113,520573,0
0,0,1896,261,261,75,1198,1
0,0,423275,207,207,5,422700,0
0,0,297265,229,229,159,296609,0
0,0,413954,418,418,17,413337,0
0,0,10738,167,167,131,10142,1
0,0,410431,184,184,62,409799,0
0,0,717564,275,275,123,716974,1
0,0,497547,258,258,23,496699,0
0,0,1973331,334,334,74,1972666,0
0,0,9993,35,35,128,9376,1
0,0,12963,343,343,52,12349,0
0,0,1274037,192,192,57,1273459,1
1,0,2090413,220,220,40,2089832,1
0,0,203566,71,71,56,203195,1
0,0,641268,241,241,133,640657,1
0,0,1749740,337,337,96,1749048,0
0,0,537100,296,296,6,536468,1
0,0,3185,165,165,127,2544,1
0,0,1078119,196,196,162,1077559,0
0,0,567898,125,125,61,567485,0
0,0,4704,234,234,127,4066,0
0,0,55203,81,81,31,54550,0
0,0,288418,228,228,111,287768,0
0,0,165971,20,20,1,165327,0
0,0,627125,85,85,172,626559,1
0,0,1646736,218,218,19,1646206,0
0,0,11470,49,49,127,11081,1
0,0,661517,2,2,6,660867,1
