Entity_Type,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,14331,230,2,11776,1
1,1633076,186,1,1630521,0
0,7054,124,2,4541,0
0,456596,18,2,453903,1
0,3590,211,2,942,1
0,1757922,188,2,1755496,1
0,1984371,187,2,1981915,0
0,529696,175,2,526820,1
0,272153,69,2,269451,0
0,423886,70,2,421607,1
0,379418,170,2,376740,1
0,1189938,225,2,1187140,0
0,25731,11,3,22858,0
0,35248,55,2,32438,0
0,3982,4,2,1541,0
0,867065,117,2,864531,0
0,460231,148,2,457457,1
1,2113696,56,1,2111357,0
0,783613,81,2,780839,0
0,35322,191,2,32611,1
0,506933,22,3,504105,0
0,41459,219,3,38613,1
0,584285,174,0,581721,0
0,404953,161,2,402317,0
0,16042,113,3,13142,0
1,574686,147,1,571897,1
0,596823,98,2,594229,1
1,71558,154,1,69066,0
0,1102343,226,2,1099539,0
0,556640,252,2,553878,0
0,22835,146,2,20457,0
0,65602,28,2,62846,0
0,2171498,182,2,2169063,1
0,3099,89,2,313,1
0,2180588,57,2,2178147,1
0,1865809,108,2,1862957,0
0,2060220,183,2,2057611,1
0,8030,144,2,5538,1
0,54570,31,3,51787,1
0,12466,229,2,9926,1
0,1650945,14,2,1648582,1
0,1181628,224,2,1179322,0
0,580806,97,5,578836,1
0,321121,171,2,318503,0
0,880730,135,2,877992,1
0,7331,96,3,4482,1
0,156435,37,3,153649,1
0,249052,76,2,246272,1
0,344245,16,2,341906,1
0,194602,248,3,191840,1
0,536061,256,2,533287,0
0,1828534,110,2,1825916,0
0,450835,71,2,448496,1
0,14547,24,2,12235,0
0,417885,138,2,415123,0
0,237391,75,2,234584,1
0,7271,26,2,4884,0
0,1983,1,5,1,1
0,21057,155,2,18763,1
0,388287,239,2,385492,0
0,11601,44,2,9187,0
0,185153,27,2,182502,0
0,110238,228,3,107374,0
0,768058,80,2,765323,0
0,8573,215,2,6039,1
0,2099,5,5,3,1
0,191757,116,2,188965,1
0,205713,246,2,202903,1
0,1409461,102,3,1406588,1
0,775880,132,2,773208,1
0,12861,240,2,10087,1
0,735391,130,2,733043,0
0,1731005,190,3,1728183,0
0,171302,231,4,169443,0
0,187696,247,2,185057,1
0,2050620,20,2,2048281,1
0,17047,41,2,14579,1
0,222070,177,2,219359,0
0,1169591,223,3,1166769,0
1,2776,53,1,113,1
0,935144,133,2,932427,1
0,8596,127,2,5819,0
0,24923,66,2,22032,0
1,42017,199,1,39222,0
1,1150558,192,1,1147775,1
0,665447,78,3,662586,1
1,276688,210,1,274223,0
1,396615,250,1,394090,1
0,381075,237,2,378301,0
0,2102129,105,2,2099463,1
1,255561,21,1,253126,0
0,22052,241,2,19278,1
0,198843,129,2,196225,0
0,763632,131,2,761305,0
0,421319,160,2,418704,0
0,167573,40,3,164778,1
0,11536,36,2,9554,1
1,597333,3,1,595705,1
