GeneType,GeneDescription,OrthologId,GenomicEndPosition,GeneId,GeneDbId,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
1,0,39,619207,203,203,9,617003,0,0
0,0,38,194620,124,124,53,192110,1,0
0,0,34,52112,104,103,43,49749,1,1
1,0,102,1108,160,160,74,1,0,0
0,0,122,3468,71,70,93,1171,1,0
1,0,110,813661,181,181,37,811541,0,0
0,0,83,560608,180,180,16,558551,1,0
1,0,17,961848,152,152,36,959689,0,0
0,0,67,915393,63,62,33,914149,2,0
0,0,111,6868,184,184,118,4559,1,1
0,0,133,50074,190,190,3,47909,1,1
0,0,120,487691,32,31,18,485538,1,0
1,0,127,17178,107,106,100,14941,0,1
0,0,12,669010,131,131,16,666635,1,0
0,0,14,2335,170,170,12,101,3,1
0,0,91,798,165,165,76,1,3,1
0,0,132,1159648,142,142,41,1157084,1,0
0,0,64,140815,228,228,11,140096,2,1
0,0,58,3637,162,162,33,1680,2,1
0,0,122,5471,136,136,109,3207,1,1
0,0,47,5333,22,21,64,3093,1,1
1,0,30,8253,103,102,41,6340,0,1
0,0,40,477141,199,199,7,476586,2,0
0,0,122,5583,98,97,97,3223,1,0
1,0,11,20192,202,202,29,18165,0,1
1,0,46,636865,80,79,20,634829,0,0
0,0,78,180595,118,118,57,178343,1,0
0,0,115,827,15,14,60,3,2,0
1,0,92,122003,229,229,11,119982,0,1
0,0,102,16433,194,194,78,14709,2,1
1,0,23,35613,196,196,119,33460,0,1
1,0,132,16106,74,73,94,14127,0,0
0,0,26,2352753,129,129,52,2351474,2,0
0,0,41,85349,67,66,4,84366,2,1
0,0,137,303473,216,216,12,301437,3,1
0,0,13,49973,28,27,23,48072,2,1
0,0,122,7225,106,105,99,4853,1,0
0,0,36,3201,60,59,72,2560,2,1
0,0,122,17152,135,135,108,14774,1,1
0,0,32,369971,61,60,54,367785,1,0
1,0,70,19107,105,104,43,16912,0,1
0,0,60,316113,226,226,11,313945,1,1
0,0,134,3704,23,22,65,1446,1,1
0,0,129,4679,113,113,39,2307,1,1
0,0,15,2152465,191,191,51,2150273,1,0
1,0,4,1287,20,19,67,1,0,0
0,0,122,3133,52,51,87,824,1,1
0,0,81,23314,236,236,2,21104,1,0
0,0,5,763294,175,175,26,761027,1,0
1,0,80,411395,38,37,13,410220,0,0
1,0,130,51771,234,234,35,49540,0,1
1,0,124,469090,35,34,1,466913,0,0
0,0,126,909502,75,74,34,907241,1,0
0,0,82,68193,146,146,25,66007,1,1
0,0,104,315631,215,215,12,313523,1,1
1,0,62,10067,30,29,44,8418,0,1
1,0,40,609383,79,78,20,607077,0,0
0,0,118,377705,97,96,56,375522,1,0
0,0,106,400277,29,28,10,398004,1,0
0,0,25,702444,212,212,22,701878,3,0
1,0,27,369509,62,61,13,367296,0,1
0,0,101,5540,45,44,82,3963,2,1
0,0,40,526037,40,39,3,525222,3,0
0,0,25,57522,125,125,22,55348,1,1
1,0,15,1375691,119,119,44,1373202,0,0
1,0,19,3258,208,208,121,754,0,1
0,0,121,66424,233,233,35,64094,1,1
1,0,63,16197,177,177,117,13717,0,1
0,0,122,1669,48,47,84,2,3,1
1,0,0,399311,91,90,14,397290,0,0
0,0,44,646569,182,182,12,644707,2,0
0,0,47,20107,69,68,49,17801,1,1
0,0,68,2123600,87,86,51,2121408,1,0
1,0,35,5726,1,0,123,3723,0,0
1,0,28,654471,76,75,51,652312,0,1
1,0,21,828777,108,107,46,827212,0,1
0,0,83,27070,139,139,16,24536,1,1
0,0,104,311650,214,214,12,309482,1,1
0,0,108,6765,193,193,78,4204,1,1
0,2,122,1518,59,58,91,1,3,1
1,0,24,477984,149,149,5,475453,0,0
0,0,37,1178466,115,115,42,1176085,1,0
1,0,135,2336,147,147,112,3,0,1
1,0,102,60946,145,145,52,58898,0,1
0,0,122,4334,95,94,96,1968,1,1
1,0,35,1028709,167,167,39,1026565,0,0
1,0,37,224206,201,201,34,222371,0,1
0,0,26,92121,138,138,40,90979,1,1
1,0,19,731499,34,33,23,729406,0,0
0,0,122,7491,126,126,22,5182,1,1
0,0,115,1333,17,16,62,3,2,0
0,0,45,14203,58,57,32,11819,1,1
0,0,77,1475,3,2,124,3,3,0
0,0,71,471716,220,220,5,470270,2,0
1,0,28,1909430,128,128,51,1907460,0,1
1,0,61,669243,187,187,18,667156,0,0
0,0,131,18709,36,35,27,16532,1,1
0,0,122,6479,134,134,107,5838,2,1
0,0,98,668634,155,155,24,666520,1,0
