GeneType,GeneDescription,OrthologId,GenomicEndPosition,GeneId,GeneDbId,ChromosomeId,GenomicStartPosition,EncodedProteinDescription,StrandOrientation
0,0,44,85349,66,65,4,84366,2,1
0,0,141,303473,215,215,12,301437,3,1
0,0,14,49973,26,25,23,48072,2,1
0,0,124,6110,99,98,100,3849,1,0
1,0,44,9061,55,54,72,6806,0,1
0,0,124,6479,133,133,108,5838,2,1
0,0,35,369971,60,59,54,367785,1,0
1,0,73,19107,104,103,43,16912,0,1
0,0,63,316113,226,226,11,313945,1,1
0,0,50,5333,21,20,65,3093,1,1
0,0,132,4679,112,112,39,2307,1,1
0,0,16,2152465,190,190,51,2150273,1,0
0,0,33,1347,23,22,67,4,3,0
0,0,124,3770,50,49,88,732,2,1
0,0,83,23314,236,236,2,21104,1,0
0,0,6,763294,174,174,26,761027,1,0
1,0,82,411395,37,36,13,410220,0,0
1,0,133,51771,234,234,35,49540,0,1
1,0,127,469090,34,33,1,466913,0,0
0,0,129,909502,74,73,34,907241,1,0
0,0,84,68193,145,145,25,66007,1,1
0,0,105,315631,214,214,12,313523,1,1
1,0,65,10067,28,27,44,8418,0,1
1,0,43,609383,78,77,20,607077,0,0
0,0,3,351915,199,199,56,350539,2,1
0,0,107,400277,27,26,10,398004,1,0
0,0,27,702444,211,211,22,701878,3,0
1,0,29,369509,61,60,13,367296,0,1
0,0,78,3147,43,42,83,535,1,1
0,0,43,526037,39,38,3,525222,3,0
0,0,27,57522,124,124,22,55348,1,1
1,0,16,1375691,118,118,44,1373202,0,0
0,0,117,19404,198,198,121,17227,1,0
0,0,123,66424,233,233,35,64094,1,1
0,0,68,6576,164,164,117,4354,1,1
0,0,124,4947,46,45,85,2638,1,0
1,0,0,399311,90,89,14,397290,0,0
0,0,47,646569,181,181,12,644707,2,0
0,0,50,20107,68,67,49,17801,1,1
0,0,71,2123600,86,85,51,2121408,1,0
0,0,18,2949,221,221,123,565,1,0
1,0,30,654471,75,74,51,652312,0,1
1,0,23,828777,107,106,46,827212,0,1
0,0,85,27070,138,138,16,24536,1,1
0,0,105,311650,213,213,12,309482,1,1
0,0,109,16283,184,184,78,15441,2,1
0,0,124,5683,56,55,92,3845,3,0
1,0,26,477984,148,148,5,475453,0,0
0,0,40,1178466,114,114,42,1176085,1,0
1,0,118,22657,143,143,112,20729,0,0
1,0,103,60946,144,144,52,58898,0,1
1,0,116,34512,89,88,97,32440,0,1
1,0,38,1028709,166,166,39,1026565,0,0
1,0,40,224206,200,200,34,222371,0,1
0,0,28,92121,137,137,40,90979,1,1
1,0,21,731499,33,32,23,729406,0,0
0,0,124,7491,125,125,22,5182,1,1
0,0,55,1036,15,14,62,2,3,1
0,0,48,14203,57,56,32,11819,1,1
0,0,79,1475,2,1,124,3,3,0
0,0,74,471716,219,219,5,470270,2,0
1,0,30,1909430,127,127,51,1907460,0,1
1,0,64,669243,186,186,18,667156,0,0
0,0,134,18709,35,34,27,16532,1,1
1,0,34,18062,131,131,107,16122,0,1
0,0,99,668634,154,154,24,666520,1,0
