Gene_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
1,0,628999,143,3,626735,0
1,0,688837,89,3,685982,0
1,0,9121,288,3,6152,1
1,0,33240,54,3,30436,1
0,0,490870,46,0,489493,0
1,0,4777,18,3,2027,1
0,0,26225,206,0,24447,1
1,0,783456,82,3,780772,0
1,0,15107,263,3,12237,1
0,0,169188,307,0,166855,1
1,0,683526,258,3,681076,0
1,0,63873,309,3,60922,1
0,0,1185502,69,0,1183688,0
1,0,644271,99,3,641242,1
1,0,16574,221,3,14088,1
0,0,3713,284,1,2106,0
1,0,59561,140,3,57681,1
0,0,3597,234,0,1834,0
1,0,5794,136,3,3014,0
1,0,665511,168,3,663544,0
1,0,41742,308,3,39727,1
1,0,829858,120,3,827087,0
0,0,794113,242,1,793295,0
0,0,169312,66,0,166550,0
1,0,471708,198,3,469507,0
1,0,144749,118,3,141924,1
1,0,625252,228,3,622190,0
1,0,582823,21,3,581135,0
0,0,702008,180,0,700188,0
1,0,9553,114,3,7784,0
1,0,648458,159,3,645735,0
0,0,1917064,173,0,1914173,1
1,0,122539,190,3,120197,1
1,0,71114,195,3,69705,1
0,0,103187,322,1,101616,0
1,0,411506,58,3,408474,0
0,0,594892,226,0,591674,0
1,0,2350211,166,3,2347587,0
1,0,912033,74,3,909235,0
1,0,25743,230,3,24748,1
1,0,1182,93,3,1,1
0,0,4231,135,0,1391,1
0,0,14595,65,0,12280,1
1,0,9360,255,3,6577,0
1,0,14953,302,3,12005,1
1,0,88710,160,0,87850,1
1,0,760085,243,3,757590,0
1,0,14455,91,3,11690,0
1,0,106204,280,4,104012,1
0,0,4524,240,0,2574,0
1,0,486237,24,3,483109,0
0,0,19758,185,0,17038,0
0,0,47207,83,0,45534,1
0,0,36437,103,0,35517,1
1,0,5595,68,3,2761,1
1,0,931453,224,3,928565,0
1,0,2693,281,3,396,0
0,0,4036,63,0,1289,1
1,0,93761,72,3,90201,1
1,0,11733,75,3,9154,0
1,0,27235,148,3,24623,1
0,0,120500,321,0,118605,0
1,0,26060,260,3,23298,1
1,0,351197,216,3,348939,0
1,0,33122,282,3,30594,1
1,0,1425113,13,3,1422420,0
1,0,225780,80,3,223900,0
0,0,56433,248,1,54619,1
0,0,1739,11,1,3,1
0,0,201879,300,0,200095,0
1,0,1320804,151,3,1318300,0
0,0,650247,102,0,648161,0
0,0,3779,183,0,1517,0
0,0,64637,150,0,62859,1
1,0,4799,272,3,2103,0
1,0,7313,235,3,4734,0
0,0,19476,158,0,17815,1
1,0,7957,142,3,5381,0
0,0,840765,122,0,837994,0
1,0,2120212,106,3,2117660,0
0,0,739713,326,0,736933,0
0,0,2442,155,0,1297,1
1,0,29971,144,3,27197,1
1,0,1032018,49,3,1029001,0
1,0,16396,294,3,13598,0
1,0,492103,130,3,489575,0
0,0,3892,44,0,599,1
1,0,439193,287,3,435576,0
1,0,578138,100,3,576360,0
1,0,3857,104,3,1095,1
1,0,924785,236,3,922281,1
1,0,245943,61,3,244298,0
1,0,577397,7,3,576201,0
0,0,9141,219,0,8410,0
1,0,981807,278,3,979324,1
1,0,14712,220,3,11650,0
1,0,2360044,12,3,2358530,0
1,0,11256,253,3,8914,1
1,0,7825,92,3,5795,0
0,0,9869,53,0,8244,1
1,0,128705,207,3,127131,1
0,0,86361,188,0,83876,1
0,0,1981,298,0,2,0
1,0,483389,320,3,481422,0
1,0,494127,310,3,492577,1
0,0,21702,59,0,18811,0
1,0,38827,225,3,35924,1
1,0,5339,51,3,2904,1
0,0,748745,34,0,745776,0
1,0,3210,22,3,616,1
0,0,258722,217,0,256827,0
0,0,10587,182,0,8119,1
1,0,636457,212,3,635763,0
0,0,30562,279,1,28739,1
1,0,58311,299,3,56848,1
1,0,905988,98,3,903148,0
1,0,710712,200,3,708220,0
0,0,45706,261,0,43370,1
1,0,588116,3,3,586977,0
0,0,4613,117,0,1626,1
0,0,3158,6,0,342,1
1,0,690966,179,3,687994,0
1,0,15683,256,3,12888,0
1,0,378832,37,3,376718,0
1,0,39618,85,3,36688,1
0,0,571445,199,0,567813,0
0,0,467624,171,0,464685,0
1,0,2020967,177,3,2018517,0
0,0,4567,55,0,1604,0
1,0,24449,113,3,21516,0
0,0,54516,95,0,53479,1
1,0,197559,193,3,195199,1
0,0,955,154,1,2,1
1,0,1130391,197,3,1127446,0
0,0,61849,47,0,60071,1
1,0,1824669,164,3,1821786,0
1,0,21022,62,3,18272,1
1,0,517997,132,3,514713,0
1,0,2028531,267,3,2025571,0
1,0,4543,138,3,1706,1
0,0,77950,17,0,74987,1
0,0,1337382,270,1,1335682,0
0,0,1973,1,1,3,1
1,0,9934,88,3,6965,1
1,0,16389,181,3,14728,1
1,0,242630,119,3,239769,1
0,0,31215,301,1,30121,1
1,0,1175229,146,3,1172704,0
1,0,6217,319,3,3602,1
1,0,265804,202,3,263906,0
0,0,496864,169,0,494066,0
1,0,1709527,108,3,1707056,1
1,0,905310,38,3,902803,0
1,0,5025,156,3,2677,1
1,0,474181,192,3,471830,0
0,0,20670,139,0,18052,1
0,0,1434052,153,0,1432280,0
1,0,2327020,264,3,2324351,0
1,0,30617,149,3,28410,1
0,0,791878,121,0,790079,0
1,0,10460,78,3,8049,1
0,0,764760,203,0,762982,0
1,0,21822,317,3,18838,1
1,0,411543,244,3,408877,0
1,0,706189,14,3,704129,0
1,0,496021,26,3,493463,0
1,0,145152,315,3,142906,1
0,0,4421,31,0,3684,1
0,0,117865,210,0,115973,1
1,0,19013,45,3,16263,1
1,0,174847,194,3,172793,1
1,0,8963,175,3,6399,1
0,0,6840,285,0,3826,0
0,0,34372,2,0,33320,1
1,0,110366,249,3,107442,1
1,0,7278,97,3,4399,0
0,0,67475,297,0,65139,1
0,0,1140600,196,0,1138639,0
1,0,1174681,77,3,1172813,0
1,0,1443,19,3,1,1
0,0,7112,283,0,4374,1
1,0,1113039,296,3,1110685,1
1,0,7245,290,3,4687,1
1,0,12451,174,3,9695,1
0,0,2274,50,0,1,0
1,0,2194888,107,3,2192474,1
1,0,16715,187,3,14439,1
0,0,750304,208,0,747923,0
1,0,214887,306,3,212992,0
1,0,44770,25,3,42977,1
1,0,56555,323,3,54387,1
1,0,18751,110,3,16475,1
1,0,2149200,266,3,2146741,0
0,0,13820,28,0,12766,1
0,0,645301,276,0,642806,0
1,0,19819,123,3,16985,1
0,0,392186,223,0,389424,0
0,0,58458,115,0,55432,1
0,0,447897,286,1,446350,0
0,0,598524,94,1,596251,0
1,0,342240,152,3,339421,1
1,0,130785,105,3,128263,0
1,0,2892,67,3,97,0
1,0,596370,277,3,593812,0
1,0,46833,76,3,44356,0
1,0,670094,36,3,667467,0
0,0,2028848,178,2,2027736,0
1,0,68416,262,3,66416,1
1,0,4460,128,3,2295,0
0,1,655728,167,0,653962,0
1,0,201254,157,3,198909,0
1,0,4289,170,3,3018,1
1,0,3538,292,3,857,1
1,0,12394,304,3,9605,0
1,0,396132,245,3,393928,0
1,0,14564,60,3,12819,1
0,0,39476,269,0,36720,1
1,0,13956,214,3,10954,0
1,0,68621,191,3,67503,1
0,0,390438,238,0,389477,0
1,0,5678,129,3,4257,1
1,0,458839,16,3,457553,0
1,0,825842,311,3,823350,0
0,0,38223,30,0,36197,1
0,0,968,8,0,3,0
1,2,11541,325,3,8509,1
0,0,12865,289,0,9965,1
0,0,606712,237,0,603989,0
1,0,79885,229,3,77750,1
1,0,2982,71,3,445,1
1,0,22938,87,3,21226,1
1,0,1573917,165,3,1571158,0
0,0,531490,32,0,528650,0
0,0,4734,124,0,2191,0
0,0,729858,201,0,727477,0
0,0,367390,215,1,364778,0
0,0,966472,29,0,963723,0
0,0,18183,233,0,15433,0
1,0,4073,5,3,1218,0
1,0,15577,70,3,12521,1
1,0,2071578,163,3,2068987,0
1,0,27589,109,3,25172,0
1,0,22430,43,3,19944,1
1,0,181574,314,3,180063,1
1,0,801320,81,3,798915,0
0,0,11142,112,0,8839,1
1,0,16034,126,3,13233,0
1,0,10610,172,3,8169,1
0,0,553364,250,0,550602,0
1,0,16963,48,3,14936,0
0,0,1171911,147,0,1168945,0
1,0,585311,227,3,582390,0
1,0,1820,9,3,189,0
1,0,485801,33,3,483723,0
1,0,26744,324,3,24147,1
1,0,71684,295,3,69120,1
0,0,22871,4,0,21810,1
1,0,2325261,41,3,2323705,0
1,0,10910,90,3,8910,0
0,0,663320,259,0,660522,0
