GeneInstanceType,GeneDescription,GenomicEndPosition,GeneLabel,GeneDbId,EncodedProtein,GenomicStartPosition,StrandOrientation,HostTaxon
0,0,37767,7,1,32,34525,1,0
0,0,603897,29,26,19,600274,1,5
0,0,2336954,78,84,19,2333202,0,5
1,0,1134638,97,104,21,1130899,1,6
0,0,2313444,74,80,19,2309641,0,5
0,0,5098514,200,207,22,5096660,1,9
0,0,4283484,149,156,6,4279741,1,7
0,0,7542966,201,208,24,7539256,0,9
0,0,7783560,162,169,7,7780308,0,7
0,0,1186466,5,52,1,1182723,1,5
0,0,12019079,178,185,6,12015300,1,7
0,0,7772134,160,167,6,7771136,0,7
0,0,15685855,184,191,7,15683891,0,7
0,0,3501676,144,151,6,3498395,0,7
0,0,3175883,2,39,11,3172254,0,5
0,0,15650717,183,190,6,15648225,1,7
0,0,2302259,72,78,19,2298363,0,5
0,0,4041319,213,220,31,4037516,0,9
0,0,10051797,205,212,24,10048057,1,9
0,0,284585,53,58,19,280740,0,5
0,0,2364879,193,200,6,2363188,0,7
0,0,8313586,164,171,6,8309909,0,7
0,0,576555,127,134,32,575134,0,8
0,0,629638,189,196,6,626021,1,7
0,0,2224448,116,123,23,2222719,0,6
0,0,3332,137,144,6,2571,1,7
1,0,967249,90,97,16,963552,1,6
1,0,72858,21,11,29,68880,1,3
0,0,14275183,180,187,6,14273723,0,7
0,0,123502,108,115,19,119669,0,6
0,0,65003,21,10,30,62277,1,2
0,0,145983,51,56,3,142360,1,5
0,0,7777943,161,168,6,7774500,0,7
0,0,1910918,35,32,19,1908330,1,5
0,0,1129781,96,103,19,1126050,1,6
0,0,59232,11,6,30,57178,1,1
0,0,979875,92,99,19,976177,1,6
