GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,GenomicStartPosition,StrandOrientation,HostTaxon
0,1946524,66,66,13,31,1945502,1,4
0,15368259,129,129,13,19,15366826,0,4
0,14309948,123,123,13,37,14308893,0,4
1,4686426,76,76,13,22,4684330,0,4
0,7223642,27,27,1,1,7222040,1,3
0,10863636,109,109,13,38,10862464,0,4
0,13110183,49,49,1,2,13108690,0,3
0,1537359,16,16,1,6,1535937,0,3
0,6873317,93,93,13,19,6870258,1,4
0,14082326,120,120,13,19,14081394,1,4
0,9633706,104,104,13,20,9632528,0,4
0,5758988,24,24,1,0,5757861,1,3
0,81654,9,9,6,18,80512,1,2
0,23853903,180,180,13,38,23852545,1,4
0,16962662,144,144,13,19,16961430,1,4
1,174089,4,4,2,34,167799,1,1
0,3888303,19,19,1,43,3887290,1,3
0,12055523,115,115,13,20,12054483,1,4
1,99081,2,2,2,34,91365,1,1
1,7436601,97,97,13,29,7431780,0,4
0,4822884,23,23,1,17,4821965,0,3
0,15575248,131,131,13,19,15573908,0,4
0,13113318,50,50,1,9,13110727,0,3
0,9950434,107,107,13,20,9949362,1,4
0,8346935,100,100,13,19,8345610,0,4
0,21338975,167,167,13,23,21337707,1,4
1,16290323,139,139,13,40,16287284,1,4
0,8749,187,187,12,23,7319,1,4
0,24325727,183,183,13,19,24324600,1,4
0,14737741,52,52,1,14,14736827,1,3
1,8123260,35,35,1,30,8119900,0,3
0,22034406,172,172,13,20,22033199,0,4
0,7470439,31,31,1,0,7468958,0,3
0,7438734,98,98,13,19,7437391,1,4
0,1555909,17,17,1,7,1553879,1,3
0,18805214,151,151,13,20,18803756,0,4
0,16044124,134,134,13,38,16042352,0,4
0,1377494,64,64,13,43,1376007,1,4
0,7409936,30,30,1,5,7408131,1,3
0,19092299,154,154,13,19,19091385,1,4
0,8477276,37,37,1,16,8475756,0,3
0,3748838,73,73,13,19,3747495,1,4
0,16306157,140,140,13,20,16305157,1,4
0,7726763,34,34,1,43,7725846,1,3
0,12245091,116,116,13,20,12243976,0,4
0,20537413,161,161,13,19,20536571,0,4
0,3991758,6,6,4,2,3988690,0,1
0,5564839,83,83,13,39,5563799,0,4
0,11526257,43,43,1,8,11525184,1,3
0,9713721,105,105,13,20,9711766,1,4
0,21494170,168,168,13,19,21492995,0,4
0,16917457,142,142,13,39,16914834,0,4
0,22370663,173,173,13,39,22368995,0,4
0,9818594,39,39,1,0,9817575,1,3
0,15205645,128,128,13,42,15204587,1,4
0,1190069,63,63,13,39,1189272,0,4
0,6206204,25,25,1,44,6205003,1,3
1,196430,5,5,2,34,190759,0,1
0,6273200,87,87,13,20,6272185,1,4
0,3320883,71,71,13,23,3319447,0,4
0,1394797,65,65,13,20,1393953,1,4
0,20921047,165,165,13,39,20919837,0,4
0,23094018,178,178,13,20,23092635,0,4
1,2196289,69,69,13,32,2194207,1,4
1,5133342,7,7,5,34,5130638,1,1
0,1681418,12,12,8,20,1679283,0,2
0,13085487,48,48,1,13,13081270,0,3
1,19533804,158,158,13,21,19532201,0,4
1,9534947,103,103,13,27,9531795,0,4
0,1115867,10,10,9,20,1114074,1,2
0,15572469,130,130,13,20,15571309,1,4
0,157156,55,55,13,19,156131,1,4
0,20629260,162,162,13,19,20624929,0,4
1,9897110,106,106,13,21,9895189,0,4
0,20644984,164,164,13,20,20643740,0,4
0,21910490,171,171,13,39,21909174,0,4
1,13184258,51,51,1,30,13181388,1,3
0,11528056,44,44,1,0,11526539,1,3
1,5654798,85,85,13,21,5652840,1,4
0,10166666,40,40,1,3,10162488,1,3
0,18902845,152,152,13,20,18901746,1,4
0,16194865,137,137,13,38,16193285,1,4
0,19068634,153,153,13,19,19067516,1,4
0,17510816,149,149,13,19,17509830,1,4
0,24166126,181,181,13,19,24164795,1,4
1,20643501,163,163,13,24,20641411,1,4
0,15718387,133,133,13,38,15717122,1,4
1,12991286,47,47,1,30,12990102,0,3
1,9281160,38,38,1,30,9279771,1,3
0,2148612,68,68,13,19,2147431,0,4
0,1535813,15,15,1,43,1533903,0,3
0,12080076,46,46,1,4,12076498,1,3
0,20186152,160,160,13,19,20185019,0,4
0,14784791,127,127,13,38,14783577,1,4
0,23555821,179,179,13,19,23554982,1,4
0,17302256,147,147,13,31,17300595,0,4
0,17931183,150,150,13,20,17930112,0,4
0,8353309,101,101,13,23,8351207,1,4
1,7252507,28,28,1,15,7251456,0,3
0,14313028,124,124,13,37,14311819,0,4
1,22703905,176,176,13,21,22702368,1,4
0,690524,0,0,0,18,690027,1,0
0,10473550,42,42,1,2,10471814,1,3
0,13564907,118,118,13,20,13563621,0,4
0,8501731,102,102,13,20,8500823,1,4
1,13800591,119,119,13,28,13799374,1,4
0,5418484,81,81,13,33,5417666,1,4
0,4787700,77,77,13,19,4786735,1,4
0,6830368,92,92,13,19,6828929,0,4
0,1983400,67,67,13,31,1981871,1,4
0,19933346,159,159,13,39,19929547,0,4
0,578294,57,57,13,38,576495,0,4
0,21500635,169,169,13,38,21499448,1,4
0,21207146,166,166,13,19,21206232,0,4
0,7308392,96,96,13,23,7307190,1,4
0,24417944,184,184,13,38,24416316,1,4
0,990467,14,14,1,13,986793,1,3
0,17430624,148,148,13,36,17429500,1,4
0,39504,54,54,13,20,38457,0,4
0,5631591,84,84,13,23,5630353,0,4
0,1988897,13,13,8,20,1987326,0,2
1,3668916,72,72,13,45,3665455,0,4
0,16629275,141,141,13,19,16628019,1,4
0,5310760,80,80,13,19,5309435,1,4
