GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,ChromosomeLocation,EncodedProtein,GenomicStartPosition,StrandOrientation,HostTaxon
0,17169188,146,146,12,38,17167599,1,4
0,17204565,147,147,12,38,17202847,1,4
1,954065,60,60,12,25,950709,1,4
0,7485958,32,32,1,11,7483058,0,3
0,5310760,80,80,12,19,5309435,1,4
0,11930294,115,115,12,38,11928846,1,4
0,1163943,62,62,12,20,1162260,1,4
0,11141122,111,111,12,20,11139777,0,4
0,3552202,18,18,1,12,3549812,0,3
0,14297622,123,123,12,38,14294152,1,4
0,16271105,139,139,12,35,16270171,1,4
0,19098062,156,156,12,19,19092804,1,4
0,1488889,8,8,3,18,1488146,1,1
0,720767,1,1,0,18,720270,1,0
0,1138017,61,61,12,20,1136944,0,4
0,8446783,36,36,1,10,8444390,0,3
0,4986283,79,79,12,20,4984864,1,4
0,6830368,92,92,12,19,6828929,0,4
0,11411332,113,113,12,20,11410333,0,4
0,15699505,133,133,12,19,15698438,1,4
0,3320883,71,71,12,23,3319447,0,4
0,1981630,67,67,12,31,1980224,1,4
0,15368259,130,130,12,19,15366826,0,4
0,14309948,124,124,12,37,14308893,0,4
0,4787700,77,77,12,19,4786735,1,4
0,7223642,27,27,1,1,7222040,1,3
0,10863636,110,110,12,38,10862464,0,4
0,13110183,49,49,1,2,13108690,0,3
0,1537359,16,16,1,6,1535937,0,3
0,6917763,94,94,12,20,6916226,1,4
0,14082326,121,121,12,19,14081394,1,4
0,9633706,105,105,12,20,9632528,0,4
0,5758988,24,24,1,0,5757861,1,3
0,81654,9,9,6,18,80512,1,2
0,23853903,181,181,12,38,23852545,1,4
0,16962662,145,145,12,19,16961430,1,4
1,174089,4,4,2,34,167799,1,1
0,3888303,19,19,1,43,3887290,1,3
0,12055523,116,116,12,20,12054483,1,4
1,99081,2,2,2,34,91365,1,1
0,7438734,98,98,12,19,7437391,1,4
0,4822884,23,23,1,17,4821965,0,3
0,15575248,132,132,12,19,15573908,0,4
0,13113318,50,50,1,9,13110727,0,3
0,9950434,108,108,12,20,9949362,1,4
0,8353309,101,101,12,23,8351207,1,4
0,21338975,168,168,12,23,21337707,1,4
1,16290323,140,140,12,40,16287284,1,4
0,39504,54,54,12,20,38457,0,4
0,24325727,184,184,12,19,24324600,1,4
0,14737741,52,52,1,14,14736827,1,3
1,8123260,35,35,1,30,8119900,0,3
0,22034406,173,173,12,20,22033199,0,4
0,7470439,31,31,1,0,7468958,0,3
1,8082833,99,99,12,25,8078484,1,4
0,1555909,17,17,1,7,1553879,1,3
0,18805214,152,152,12,20,18803756,0,4
0,16044124,135,135,12,38,16042352,0,4
0,1384983,65,65,12,20,1383800,0,4
0,7409936,30,30,1,5,7408131,1,3
0,19092299,155,155,12,19,19091385,1,4
0,8477276,37,37,1,16,8475756,0,3
0,4054701,74,74,12,23,4053424,1,4
0,16306157,141,141,12,20,16305157,1,4
0,7726763,34,34,1,43,7725846,1,3
0,12245091,117,117,12,20,12243976,0,4
0,20537413,162,162,12,19,20536571,0,4
0,3991758,6,6,4,2,3988690,0,1
0,5631591,84,84,12,23,5630353,0,4
0,11526257,43,43,1,8,11525184,1,3
0,9713721,106,106,12,20,9711766,1,4
0,21494170,169,169,12,19,21492995,0,4
0,16917457,143,143,12,39,16914834,0,4
0,22370663,174,174,12,39,22368995,0,4
0,9818594,39,39,1,0,9817575,1,3
0,15205645,129,129,12,42,15204587,1,4
0,1377494,64,64,12,43,1376007,1,4
0,6206204,25,25,1,44,6205003,1,3
1,196430,5,5,2,34,190759,0,1
0,6407978,88,88,12,19,6406782,1,4
1,3668916,72,72,12,45,3665455,0,4
0,1619516,66,66,12,38,1618005,0,4
0,20921047,166,166,12,39,20919837,0,4
0,23094018,179,179,12,20,23092635,0,4
1,2395872,70,70,12,41,2393881,0,4
1,5133342,7,7,5,34,5130638,1,1
0,1681418,12,12,8,20,1679283,0,2
0,13085487,48,48,1,13,13081270,0,3
1,19533804,159,159,12,21,19532201,0,4
1,9534947,104,104,12,27,9531795,0,4
0,1115867,10,10,9,20,1114074,1,2
0,15572469,131,131,12,20,15571309,1,4
0,189059,56,56,12,38,186996,1,4
0,20629260,163,163,12,19,20624929,0,4
1,9897110,107,107,12,21,9895189,0,4
0,20644984,165,165,12,20,20643740,0,4
0,21910490,172,172,12,39,21909174,0,4
1,13184258,51,51,1,30,13181388,1,3
0,11528056,44,44,1,0,11526539,1,3
0,5694837,86,86,12,38,5693386,0,4
0,10166666,40,40,1,3,10162488,1,3
0,18902845,153,153,12,20,18901746,1,4
0,16194865,138,138,12,38,16193285,1,4
0,19068634,154,154,12,19,19067516,1,4
0,17510816,150,150,12,19,17509830,1,4
0,24166126,182,182,12,19,24164795,1,4
1,20643501,164,164,12,25,20641411,1,4
0,15718387,134,134,12,38,15717122,1,4
1,12991286,47,47,1,30,12990102,0,3
1,9281160,38,38,1,30,9279771,1,3
1,2196289,69,69,12,32,2194207,1,4
0,1535813,15,15,1,43,1533903,0,3
0,12080076,46,46,1,4,12076498,1,3
0,20186152,161,161,12,19,20185019,0,4
0,14784791,128,128,12,38,14783577,1,4
0,23555821,180,180,12,19,23554982,1,4
0,17302256,148,148,12,31,17300595,0,4
0,17931183,151,151,12,20,17930112,0,4
0,8501731,102,102,12,20,8500823,1,4
1,7252507,28,28,1,15,7251456,0,3
0,14313028,125,125,12,37,14311819,0,4
1,22703905,177,177,12,21,22702368,1,4
0,690524,0,0,0,18,690027,1,0
0,10473550,42,42,1,2,10471814,1,3
0,13564907,119,119,12,20,13563621,0,4
0,9395484,103,103,12,19,9394522,1,4
1,13800591,120,120,12,28,13799374,1,4
0,5535594,82,82,12,38,5533789,1,4
0,4961093,78,78,12,20,4960051,0,4
0,6835055,93,93,12,20,6834118,1,4
0,2148612,68,68,12,19,2147431,0,4
0,19933346,160,160,12,39,19929547,0,4
0,740910,58,58,12,38,739147,1,4
0,21500635,170,170,12,38,21499448,1,4
0,21207146,167,167,12,19,21206232,0,4
1,7436601,97,97,12,29,7431780,0,4
0,24417944,185,185,12,38,24416316,1,4
0,990467,14,14,1,13,986793,1,3
0,17430624,149,149,12,36,17429500,1,4
0,157156,55,55,12,19,156131,1,4
1,5654798,85,85,12,21,5652840,1,4
0,1988897,13,13,8,20,1987326,0,2
0,3723203,73,73,12,23,3721833,1,4
0,16629275,142,142,12,19,16628019,1,4
0,5418484,81,81,12,33,5417666,1,4
