GeneSubclass,GenomicEndPosition,GeneDbId,GeneLabel,EncodedProtein,OrthologousGene,ChromosomeId,GenomicStartPosition,StrandOrientation
0,2060220,183,183,2,102,31,2057611,1
1,255561,18,18,1,40,23,253126,0
0,12158,11,11,2,55,43,9363,1
0,21771,83,83,2,47,64,19363,0
0,506933,19,19,3,72,23,504105,0
0,454333,157,157,2,108,15,451748,0
0,262330,243,243,2,84,6,259847,0
0,568854,259,259,2,107,15,566233,0
0,16377,144,144,2,47,74,13513,1
1,199898,35,35,1,94,19,197364,1
1,1633076,186,186,1,29,31,1630521,0
0,602587,41,41,2,86,31,600077,0
0,768058,74,74,2,72,23,765323,0
0,1129346,167,167,2,62,32,1126764,1
0,20976,56,56,2,10,46,18310,0
0,5331,149,149,2,99,75,2932,0
0,629809,113,113,3,7,13,627020,1
0,1825289,187,187,2,62,32,1822929,0
1,590672,258,258,1,62,15,588504,0
0,6553,120,120,2,63,68,4166,1
0,1169591,222,222,3,109,24,1166769,0
0,13678,155,155,2,17,3,10931,1
0,468388,67,67,3,80,6,465485,0
1,476059,148,148,1,105,5,473501,0
0,1251196,180,180,2,122,30,1248512,0
0,1015945,207,207,2,72,23,1013150,1
0,1147282,166,166,2,62,32,1144757,1
0,721934,73,73,2,35,23,719244,1
1,1582479,185,185,1,97,31,1579936,0
0,221070,140,140,2,86,9,218443,1
0,463778,78,78,2,36,16,460986,0
0,11062,5,5,2,37,39,8450,0
0,1570228,99,99,5,42,30,1568267,1
1,308185,64,64,1,89,23,306188,0
0,546370,45,45,2,96,8,543824,0
0,399549,238,238,2,54,16,396772,0
0,57145,55,55,3,92,46,54284,0
0,849988,204,204,2,80,23,847319,0
1,408107,17,17,1,24,5,405750,0
0,60414,226,226,2,14,87,57859,1
0,1007699,205,205,2,72,23,1005114,1
0,7898,10,10,2,64,42,5274,1
0,245264,47,47,2,2,0,242583,0
0,4732,123,123,2,99,71,2051,0
0,21506,57,57,2,99,62,18858,0
0,23129,126,126,3,99,73,20358,1
0,428401,68,68,2,76,18,425663,0
1,1014233,134,134,1,29,31,1011738,0
0,34218,58,58,2,99,62,31414,0
0,2102129,102,102,2,102,31,2099463,1
0,15093,156,156,3,132,19,12226,0
0,1317329,98,98,2,87,30,1314768,0
0,352788,249,249,2,112,18,350182,1
0,565683,139,139,2,118,6,563344,1
0,10603,7,7,3,1,40,7772,1
0,212927,0,0,5,25,13,211077,1
1,276688,209,209,1,97,24,274223,0
0,652210,95,95,2,13,8,649424,0
0,10893,90,90,2,60,33,8359,1
0,4709,31,31,2,51,57,2067,1
0,119436,255,255,2,15,2,116878,0
0,14331,229,229,2,25,88,11776,1
0,1650945,12,12,2,129,31,1648582,1
0,7054,122,122,2,51,70,4541,0
0,456596,16,16,2,38,5,453903,1
0,3590,210,210,2,30,82,942,1
0,1816759,189,189,2,113,32,1814429,0
0,2010450,109,109,2,114,32,2008033,1
0,529696,175,175,2,66,1,526820,1
0,280853,62,62,2,131,23,278046,0
0,423886,65,65,2,118,6,421607,1
1,408724,138,138,1,32,35,406415,1
0,1036042,117,117,2,125,25,1033382,0
0,25731,9,9,3,58,41,22858,0
0,35248,50,50,2,99,61,32438,0
0,2099,3,3,5,128,37,3,1
1,903444,115,115,1,49,23,900637,0
0,460231,147,147,2,25,13,457457,1
0,2171498,182,182,2,102,31,2169063,1
0,817323,76,76,2,72,23,814468,0
0,35322,191,191,2,63,77,32611,1
0,585177,203,203,3,23,23,582301,0
0,41459,218,218,3,109,86,38613,1
0,584285,174,174,0,22,1,581721,0
0,404953,160,160,2,88,15,402317,0
0,16042,111,111,3,51,67,13142,0
1,574686,146,146,1,93,13,571897,1
0,596823,94,94,2,120,8,594229,1
1,71558,153,153,1,77,3,69066,0
0,1115182,219,219,2,78,24,1112378,0
0,556640,252,252,2,98,7,553878,0
0,22835,145,145,2,99,74,20457,0
0,65602,25,25,2,47,54,62846,0
0,321121,170,170,2,97,32,318503,0
0,3099,84,84,2,51,65,313,1
0,2201057,53,53,2,113,32,2198634,1
1,1882048,104,104,1,119,31,1879670,0
1,2065088,101,101,1,29,31,2062416,0
0,8030,143,143,2,51,74,5538,1
0,54570,28,28,3,56,44,51787,1
0,12466,228,228,2,103,87,9926,1
0,1745786,13,13,2,74,31,1743231,0
0,1189938,224,224,2,110,24,1187140,0
0,580806,93,93,5,85,8,578836,1
0,565358,82,82,2,113,32,563163,1
0,935144,131,131,2,86,31,932427,1
0,7331,91,91,3,61,48,4482,1
0,156435,34,34,3,86,19,153649,1
0,249052,70,70,2,4,9,246272,1
0,344245,14,14,2,100,0,341906,1
0,194602,248,248,3,86,9,191840,1
0,536061,256,256,2,88,15,533287,0
0,1851640,106,106,2,81,31,1848668,0
0,450835,66,66,2,118,6,448496,1
0,14547,21,21,2,47,52,12235,0
0,417885,136,136,2,53,16,415123,0
0,237391,69,69,2,21,9,234584,1
0,7271,23,23,2,99,53,4884,0
0,3982,2,2,2,70,36,1541,0
0,21057,154,154,2,44,3,18763,1
0,388287,239,239,2,117,16,385492,0
0,11601,39,39,2,51,59,9187,0
0,175571,92,92,2,104,28,172800,1
0,110238,227,227,3,101,87,107374,0
0,783613,75,75,2,35,23,780839,0
0,8573,214,214,2,65,84,6039,1
0,7513,4,4,2,127,38,4757,1
0,191757,114,114,2,59,10,188965,1
0,205713,246,246,2,20,9,202903,1
0,1484951,181,181,3,46,30,1482129,1
0,880730,133,133,2,41,31,877992,1
0,12861,240,240,2,110,89,10087,1
0,763632,129,129,2,74,31,761305,0
1,1152001,179,179,1,111,30,1149578,1
0,171302,230,230,4,13,12,169443,0
0,187696,247,247,2,16,9,185057,1
0,2180588,52,52,2,57,32,2178147,1
0,17047,37,37,2,106,45,14579,1
0,222070,177,177,2,67,5,219359,0
0,1181628,223,223,2,78,24,1179322,0
1,2776,48,48,1,12,61,113,1
0,950785,132,132,2,41,31,948302,1
0,8596,125,125,2,51,72,5819,0
0,24923,60,60,2,19,47,22032,0
1,42017,199,199,1,50,81,39222,0
0,1200167,193,193,2,35,23,1197396,0
0,696919,71,71,2,23,23,694046,0
1,316755,119,119,1,95,24,314314,0
1,396615,250,250,1,11,18,394090,1
0,381075,237,237,2,18,16,378301,0
1,2113696,51,51,1,29,31,2111357,0
0,272153,63,63,2,72,23,269451,0
0,22052,241,241,2,9,90,19278,1
0,198843,127,127,2,79,5,196225,0
0,775880,130,130,2,81,31,773208,1
0,421319,159,159,2,130,15,418704,0
0,167573,36,36,3,28,19,164778,1
0,11536,33,33,2,51,58,9554,1
1,597333,1,1,1,11,18,595705,1
