StrandOrientation,GeneDescription,OrthologId,GenomicEndPosition,GeneId,GeneDbId,EncodedProtein,GeneType,ChromosomeId,GenomicStartPosition
0,0,125,7548,56,55,1,0,92,5362
0,0,125,11573,111,110,1,0,104,9210
1,0,60,81116,5,4,2,0,13,80040
0,0,120,707127,49,48,1,0,23,704929
1,0,5,351915,200,200,2,0,58,350539
1,0,9,6111,24,23,2,0,69,4843
1,0,79,299939,227,227,0,1,11,297915
1,0,59,464804,165,165,0,1,22,462621
1,0,53,1036,15,14,3,0,64,2
0,0,113,763015,84,83,0,1,38,760970
0,0,19,547726,136,136,0,1,7,545198
0,0,118,19404,199,199,1,0,123,17227
1,0,122,53099,223,223,1,0,39,50910
1,0,129,2191081,89,88,1,0,54,2188577
0,0,26,52834,183,183,0,1,0,50840
1,0,8,13918,123,123,0,1,106,11750
1,0,31,18062,135,135,0,1,109,16122
0,0,115,436942,176,176,0,1,24,434816
1,0,117,34512,92,91,0,1,98,32440
0,0,125,5683,58,57,3,0,93,3845
0,0,22,1835456,207,207,0,1,49,1833030
0,0,19,731499,32,31,0,1,23,729406
0,0,29,482055,113,113,1,0,10,479794
0,0,85,560608,180,180,1,0,16,558551
1,0,26,92121,141,141,1,0,41,90979
1,0,99,7735,185,185,1,0,80,5258
0,0,26,2352753,132,132,2,0,54,2351474
0,0,102,5117,217,217,0,1,82,2943
1,0,81,120751,186,186,3,0,3,119534
0,0,16,9642,213,213,1,0,125,7252
0,0,125,28514,0,111,1,0,105,26043
1,0,59,1699,87,86,3,0,8,101
0,0,16,3774,19,18,0,1,66,1570
0,0,132,468090,40,39,0,1,2,465892
1,0,61,3637,162,162,2,0,34,1680
0,0,39,619207,205,205,0,1,9,617003
0,0,32,369971,62,61,1,0,56,367785
1,0,65,10067,28,27,0,1,46,8418
0,0,105,1108,160,160,0,1,77,1
0,0,125,3468,72,71,1,0,96,1171
0,0,132,1009265,79,78,1,0,38,1006986
0,0,95,609450,134,134,0,1,16,607396
1,0,132,28523,82,81,1,0,38,26538
1,0,40,2650,26,25,1,0,35,386
1,0,114,6868,184,184,1,0,121,4559
1,0,134,50074,189,189,1,0,3,47909
0,0,64,669243,187,187,0,1,18,667156
1,0,128,17178,109,108,0,1,103,14941
1,0,43,4593,2,1,1,0,17,2230
1,0,14,2335,169,169,3,0,12,101
1,0,94,798,166,166,3,0,79,1
0,0,112,1167843,145,145,0,1,42,1165567
1,0,67,140815,228,228,2,0,11,140096
1,0,46,18493,47,46,0,1,34,16673
1,0,125,5471,139,139,1,0,112,3207
1,0,49,5333,22,21,1,0,67,3093
1,0,56,59387,95,94,3,0,42,57738
0,0,40,477141,198,198,2,0,7,476586
0,0,125,5583,100,99,1,0,100,3223
1,0,10,40877,203,203,0,1,29,40377
0,0,4,175988,211,211,0,1,21,173664
0,0,80,180595,120,120,1,0,60,178343
0,0,118,827,14,13,2,0,63,3
1,0,95,122003,229,229,0,1,11,119982
1,0,105,16433,193,193,2,0,81,14709
1,0,23,35613,195,195,0,1,122,33460
0,0,133,16106,75,74,0,1,97,14127
0,0,38,194620,126,126,1,0,55,192110
1,0,41,85349,67,66,2,0,4,84366
1,0,138,303473,216,216,3,0,12,301437
0,0,20,703891,74,73,2,0,23,701787
0,0,125,7225,107,106,1,0,102,4853
1,0,36,3201,61,60,2,0,75,2560
1,0,125,17152,138,138,1,0,111,14774
1,0,96,43304,157,157,1,0,57,40902
1,0,34,52112,105,104,1,0,45,49749
1,0,63,316113,226,226,1,0,11,313945
1,0,135,3704,23,22,1,0,68,1446
1,0,35,12933,114,114,0,1,40,10912
1,0,105,60946,147,147,0,1,54,58898
0,0,6,1287,20,19,0,1,70,1
1,0,125,3133,53,52,1,0,90,824
0,0,83,23314,236,236,1,0,2,21104
1,0,132,18709,35,34,1,0,27,16532
0,0,82,411395,37,36,0,1,13,410220
1,0,124,66424,233,233,1,0,36,64094
0,0,126,469090,34,33,0,1,1,466913
1,0,124,4184,235,235,1,0,36,1923
0,0,0,754574,174,174,1,0,26,752403
1,0,107,315631,215,215,1,0,12,313523
0,0,65,480279,206,206,0,1,46,478171
0,0,48,636865,81,80,0,1,20,634829
0,0,121,377705,99,98,1,0,59,375522
0,0,109,400277,27,26,1,0,10,398004
0,0,104,703107,149,149,2,0,22,702547
1,0,27,369509,63,62,0,1,13,367296
1,0,103,5540,44,43,2,0,85,3963
0,0,40,526037,39,38,3,0,3,525222
1,0,116,115059,159,159,1,0,22,112891
1,0,12,28472,221,221,0,1,47,26358
1,0,19,3258,210,210,0,1,124,754
0,0,17,961848,155,155,0,1,37,959689
1,0,66,16197,178,178,0,1,120,13717
1,0,125,1669,48,47,3,0,87,2
0,0,0,399311,93,92,0,1,14,397290
0,0,44,646569,182,182,2,0,12,644707
1,0,65,27218,69,68,0,1,51,24993
0,0,15,2152465,190,190,1,0,53,2150273
0,0,35,5726,1,0,0,1,126,3723
1,0,28,1909430,131,131,0,1,53,1907460
0,0,108,1835184,68,67,1,0,48,1832923
1,0,95,67187,209,209,0,1,16,64983
1,0,107,311650,214,214,1,0,12,309482
1,0,111,6765,192,192,1,0,81,4204
1,1,125,1518,60,59,3,0,94,1
0,0,24,477984,152,152,0,1,5,475453
1,0,72,19107,106,105,0,1,45,16912
1,0,136,2336,150,150,0,1,115,3
0,0,18,468765,85,84,0,1,54,466540
1,0,125,4334,97,96,1,0,99,1968
1,0,43,71096,140,140,1,0,41,68619
0,0,127,909502,76,75,1,0,35,907241
0,0,37,1116077,154,154,0,1,41,1113876
1,0,106,62927,151,151,0,1,24,60651
1,0,25,57522,127,127,1,0,22,55348
0,0,118,1333,16,15,2,0,65,3
0,0,76,811009,212,212,0,1,33,808763
0,0,79,1475,3,2,3,0,127,3
0,0,73,471716,220,220,2,0,5,470270
0,0,70,2123600,88,87,1,0,53,2121408
1,0,49,4215,73,72,1,0,19,1969
0,0,123,252998,133,133,0,1,28,250869
1,0,125,6479,137,137,2,0,110,5838
1,0,84,68193,148,148,1,0,25,66007
