Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Genomic_Start_Position
0,0,400277,28,27,0,398004
0,0,702444,213,213,0,701878
1,0,369509,61,60,1,367296
1,0,5540,44,43,0,3963
0,0,526037,39,38,0,525222
1,0,57522,126,126,0,55348
1,0,28472,221,221,1,26358
1,0,3258,210,210,1,754
1,0,66424,233,233,0,64094
1,0,16197,179,179,1,13717
1,0,1669,47,46,0,2
0,0,399311,93,92,1,397290
0,0,646569,184,184,0,644707
1,0,27218,68,67,1,24993
0,0,2152465,192,192,0,2150273
0,0,5726,1,0,1,3723
1,0,1909430,130,130,1,1907460
0,0,1835184,67,66,0,1832923
1,0,27070,141,141,0,24536
1,0,311650,214,214,0,309482
1,0,6765,194,194,0,4204
1,2,1518,58,57,0,1
0,0,477984,151,151,1,475453
1,0,19107,106,105,1,16912
1,0,2336,149,149,1,3
0,0,468765,85,84,1,466540
1,0,4334,97,96,0,1968
0,0,1028709,169,169,1,1026565
1,0,224206,203,203,1,222371
1,0,92121,140,140,0,90979
0,0,731499,33,32,1,729406
1,0,7491,127,127,0,5182
0,0,1333,17,16,0,3
1,0,14203,57,56,0,11819
0,0,1475,3,2,0,3
0,0,471716,220,220,0,470270
0,0,2123600,88,87,0,2121408
0,0,669243,189,189,1,667156
1,0,18709,35,34,0,16532
1,0,6479,136,136,0,5838
0,0,668634,157,157,0,666520
