Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Id,Gene_Db_Id,Gene_Type,Genomic_Start_Position
0,0,568854,259,259,0,566233
1,0,16377,145,145,0,13513
1,0,180486,35,35,0,177754
0,0,1633076,187,187,1,1630521
0,0,602587,42,42,0,600077
0,0,736453,78,78,0,733583
1,0,1129346,169,169,0,1126764
0,0,20976,57,57,0,18310
0,0,5331,150,150,0,2932
1,0,629809,113,113,0,627020
0,0,1825289,188,188,0,1822929
0,0,590672,258,258,1,588504
1,0,6553,121,121,0,4166
0,0,1169591,223,223,0,1166769
1,0,13678,156,156,0,10931
0,0,468388,67,67,0,465485
0,0,476059,149,149,1,473501
0,0,1251196,181,181,0,1248512
1,0,1015945,208,208,0,1013150
1,0,1147282,168,168,0,1144757
0,0,696919,72,72,0,694046
0,0,1582479,186,186,1,1579936
1,0,221070,141,141,0,218443
0,0,463778,79,79,0,460986
0,0,11062,5,5,0,8450
1,0,1570228,99,99,0,1568267
0,0,280853,63,63,0,278046
0,0,546370,46,46,0,543824
0,0,399549,238,238,0,396772
0,0,57145,56,56,0,54284
0,0,817323,77,77,0,814468
0,0,408107,17,17,1,405750
1,0,60414,227,227,0,57859
1,0,1007699,206,206,0,1005114
1,0,7898,10,10,0,5274
0,0,245264,48,48,0,242583
0,0,4732,124,124,0,2051
0,0,21506,58,58,0,18858
1,0,23129,127,127,0,20358
0,0,428401,68,68,0,425663
0,0,1014233,135,135,1,1011738
0,0,34218,59,59,0,31414
1,0,2102129,102,102,0,2099463
0,0,15093,157,157,0,12226
0,0,1317329,98,98,0,1314768
1,0,352788,249,249,0,350182
1,0,565683,140,140,0,563344
1,0,10603,7,7,0,7772
1,0,212927,0,0,0,211077
0,0,276688,210,210,1,274223
0,0,652210,95,95,0,649424
1,0,10893,90,90,0,8359
1,0,4709,31,31,0,2067
0,0,119436,255,255,0,116878
1,0,14331,230,230,0,11776
1,0,1650945,12,12,0,1648582
0,0,7054,123,123,0,4541
1,0,456596,16,16,0,453903
1,0,3590,211,211,0,942
0,0,1816759,190,190,0,1814429
1,0,2010450,109,109,0,2008033
1,0,529696,176,176,0,526820
0,0,272153,64,64,0,269451
1,0,423886,65,65,0,421607
1,0,408724,139,139,1,406415
0,0,1036042,117,117,0,1033382
0,0,25731,9,9,0,22858
0,0,35248,51,51,0,32438
1,0,2099,3,3,0,3
0,0,903444,115,115,1,900637
1,0,460231,148,148,0,457457
1,0,2171498,183,183,0,2169063
0,0,783613,76,76,0,780839
1,0,35322,192,192,0,32611
0,0,506933,19,19,0,504105
1,0,41459,219,219,0,38613
0,0,584285,175,175,0,581721
0,0,404953,161,161,0,402317
0,0,16042,111,111,0,13142
1,0,574686,147,147,1,571897
1,0,596823,94,94,0,594229
0,0,71558,154,154,1,69066
0,0,1115182,220,220,0,1112378
0,0,556640,252,252,0,553878
0,0,22835,146,146,0,20457
0,0,65602,25,25,0,62846
0,0,321121,171,171,0,318503
1,0,3099,84,84,0,313
1,0,2201057,54,54,0,2198634
0,0,1882048,104,104,1,1879670
0,0,2065088,101,101,1,2062416
1,0,8030,144,144,0,5538
1,0,54570,28,28,0,51787
1,0,12466,229,229,0,9926
0,0,1745786,13,13,0,1743231
0,0,1189938,225,225,0,1187140
1,0,580806,93,93,0,578836
1,0,565358,82,82,0,563163
1,0,935144,132,132,0,932427
1,0,7331,91,91,0,4482
1,0,156435,34,34,0,153649
1,0,249052,71,71,0,246272
1,0,344245,14,14,0,341906
1,0,194602,248,248,0,191840
0,0,536061,256,256,0,533287
0,0,1851640,106,106,0,1848668
1,0,450835,66,66,0,448496
0,0,14547,21,21,0,12235
0,0,417885,137,137,0,415123
1,0,237391,70,70,0,234584
0,0,7271,23,23,0,4884
0,0,3982,2,2,0,1541
1,0,21057,155,155,0,18763
0,0,388287,239,239,0,385492
0,0,11601,40,40,0,9187
1,0,175571,92,92,0,172800
0,0,110238,228,228,0,107374
0,0,768058,75,75,0,765323
1,0,8573,215,215,0,6039
1,0,7513,4,4,0,4757
1,0,191757,114,114,0,188965
1,0,205713,246,246,0,202903
1,0,1484951,182,182,0,1482129
1,0,880730,134,134,0,877992
1,0,12861,240,240,0,10087
0,0,763632,130,130,0,761305
1,0,1152001,180,180,1,1149578
0,0,171302,231,231,0,169443
1,0,187696,247,247,0,185057
1,0,2180588,53,53,0,2178147
1,0,17047,38,38,0,14579
0,0,222070,178,178,0,219359
0,0,1181628,224,224,0,1179322
1,0,2776,49,49,1,113
1,0,950785,133,133,0,948302
0,0,8596,126,126,0,5819
0,0,24923,61,61,0,22032
0,0,42017,200,200,1,39222
0,0,1200167,194,194,0,1197396
1,0,665447,73,73,0,662586
0,0,316755,120,120,1,314314
1,0,396615,250,250,1,394090
0,0,381075,237,237,0,378301
0,0,2113696,52,52,1,2111357
0,0,255561,18,18,1,253126
1,0,22052,241,241,0,19278
0,0,198843,128,128,0,196225
1,0,775880,131,131,0,773208
0,0,421319,160,160,0,418704
1,0,167573,37,37,0,164778
1,0,11536,33,33,0,9554
1,0,597333,1,1,1,595705
