ENTITY_TYPE,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,SOCIAL_MEDIA_FOLLOWERS,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,MEMOIRE_DU_CYCLISME_CYCLIST_ID,BIRTH_PLACE,UCI_RIDER_ID,PROFESSION,WEIGHT_KG,BIRTH_DATE,OLYMPEDIA_PEOPLE_ID,LAST_NAME,FIRST_NAME,CYCLING_ARCHIVES_CYCLIST_ID,FIRST_CYCLING_RIDER_ID,EVENTS_PARTICIPATED,GENDER,HEIGHT_CM,FREEBASE_ID,SPORT_COUNTRY
0,25,,,1,,,8,30,20,,0,,35,15,22,24,,,1,0,,40,8
1,36,1761.0,11.0,49,226940.0,140750.0,51,3,17,13978.0,2,82.0,6,9,3,34,2452.0,33.0,22,1,192.0,16,8
0,29,,,46,268211.0,,7,30,20,,0,,35,15,22,24,,,19,0,,40,8
0,25,,,45,212951.0,,6,30,20,,0,,35,15,22,24,,,19,0,,40,8
1,11,4461.0,336.0,43,,140687.0,48,14,12,13540.0,2,72.0,4,15,7,32,8996.0,28.0,22,1,182.0,36,8
1,31,41892.0,19165.0,32,16935.0,137797.0,39,30,30,66315.0,2,73.0,29,15,29,22,43238.0,11313.0,13,1,184.0,3,8
1,14,47066.0,16881.0,33,41605.0,140633.0,40,18,31,59614.0,2,,24,15,5,23,32178.0,2530.0,22,1,175.0,31,3
1,8,43344.0,16653.0,13,63128.0,140818.0,20,17,0,64670.0,2,78.0,27,7,10,4,52068.0,2337.0,5,1,181.0,33,3
0,25,,,39,,,1,30,20,,0,,35,15,22,24,,,2,0,,20,8
1,9,22663.0,5789.0,15,1529344.0,140869.0,21,1,18,43936.0,2,69.0,13,11,11,5,22017.0,713.0,10,1,186.0,14,6
1,20,7153.0,544.0,27,10861.0,140516.0,34,0,4,12974.0,2,81.0,3,15,14,17,7364.0,547.0,22,1,190.0,12,0
0,37,,,48,,,5,30,20,,0,,35,15,22,24,,,18,0,,40,8
0,25,,,3,,,10,30,20,,0,,35,15,22,24,,,3,0,,28,8
1,21,49291.0,16898.0,24,,138803.0,30,20,24,499064.0,2,,17,15,17,14,58966.0,8094.0,17,1,,37,8
1,40,23059.0,5262.0,29,22846.0,140612.0,36,4,1,30737.0,2,67.0,18,15,4,19,19738.0,161.0,8,1,183.0,17,8
1,34,61775.0,23299.0,26,23252.0,164709.0,33,30,29,89223.0,2,68.0,31,15,26,16,72207.0,25726.0,16,1,186.0,5,8
0,25,,,6,,,12,30,20,,0,,35,15,22,24,,,11,0,,6,8
1,0,3262.0,387.0,9,1397142.0,137456.0,16,9,15,518429.0,2,62.0,8,2,6,0,1567.0,3.0,21,1,176.0,24,10
1,32,23167.0,7728.0,41,78246.0,140240.0,46,13,12,53912.0,2,76.0,19,15,33,30,28216.0,1581.0,22,1,189.0,22,1
1,39,15225.0,2437.0,42,,140630.0,47,29,26,30369.0,2,68.0,15,4,34,31,13510.0,147.0,21,1,176.0,13,9
0,2,,,7,,,13,30,20,,0,,35,15,22,24,,,12,0,,40,8
1,7,55192.0,19941.0,50,31137.0,135398.0,52,23,11,86228.0,2,75.0,26,15,19,35,59790.0,10971.0,16,1,180.0,2,1
1,13,52629.0,19903.0,17,11686.0,138911.0,23,25,3,75167.0,2,76.0,30,15,27,7,67145.0,12481.0,19,1,179.0,4,3
0,25,,,5,,,11,30,20,,0,,35,15,22,24,,,9,0,,38,8
1,18,19558.0,3828.0,21,65423.0,140870.0,28,22,9,34012.0,2,69.0,11,5,12,11,21215.0,264.0,5,1,182.0,15,2
0,4,,,8,,,14,30,20,,0,,35,15,22,24,,,15,0,,40,8
1,28,26009.0,12193.0,36,1940308.0,140797.0,42,28,33,54603.0,2,78.0,22,8,24,26,30229.0,784.0,4,1,184.0,21,8
1,35,30398.0,9794.0,11,37720.0,140493.0,18,11,19,62315.0,2,63.0,20,15,28,2,43241.0,2277.0,21,1,175.0,30,11
1,22,12135.0,101.0,25,,140774.0,32,5,16,15461.0,2,66.0,1,0,23,15,3302.0,281.0,22,1,174.0,26,5
0,25,,,34,,,3,30,20,,0,,35,15,22,24,,,14,0,,40,8
1,33,55907.0,20793.0,44,2918.0,168755.0,50,30,25,461093.0,2,73.0,34,15,0,33,66627.0,16610.0,16,1,178.0,9,2
1,23,15997.0,67.0,28,,140418.0,35,7,5,12711.0,2,74.0,0,15,30,18,7526.0,184.0,22,1,181.0,27,5
0,25,,,34,171551.0,,49,30,20,,0,,35,15,22,24,,,18,0,,40,8
1,16,420.0,2023.0,20,,140422.0,26,12,8,32099.0,2,63.0,9,15,15,10,14358.0,18.0,22,1,173.0,32,10
0,3,,,4,,,2,30,20,,0,,35,15,22,24,,,7,0,,34,8
