GENE_SUBCLASS,ORTHOLOG_ID,GENOMIC_END_POSITION,GENE_ID,GENE_DB_ID,ENCODED_PROTEIN,GENE_TYPE,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION
0,3,15958,191,191,0,0,11,15068,1
1,15,2445932,168,168,2,1,7,2445267,0
0,1,1948074,56,56,0,0,0,1947184,1
0,1,1546310,43,43,0,0,0,1545461,1
1,23,1361459,111,111,2,1,1,1360547,0
1,15,2262487,164,164,2,1,7,2261658,0
0,1,708959,18,18,0,0,0,708072,0
0,12,2079425,182,182,0,0,9,2078553,0
0,24,189169,219,219,0,0,13,188272,1
1,15,2695396,173,173,2,1,7,2694666,0
0,7,2407346,167,167,0,0,7,2406544,0
0,9,1908828,146,146,0,0,6,1907931,0
0,7,2615497,171,171,0,0,7,2614624,0
0,10,1231122,109,109,0,0,1,1230272,1
0,1,3632450,95,95,0,0,0,3631526,1
1,0,2773159,72,72,2,1,0,2772414,0
0,20,1823794,135,135,0,0,4,1822913,0
1,13,350187,221,221,2,1,13,349230,1
0,1,689590,17,17,0,0,0,688695,0
0,24,144405,216,216,0,0,13,143511,1
0,1,2586058,68,68,0,0,0,2585173,1
0,16,1237158,116,116,0,0,2,1236391,0
1,7,2764326,203,203,2,1,12,2763689,0
0,16,104951,112,112,0,0,2,104050,1
