GeneInstanceType,GeneDbId,GeneLabel,ChromosomeLocation,GenomicEndPosition,EncodedProtein,OrthologousGene,GenomicStartPosition,StrandOrientation,HostTaxon
0,32,30,2,3286868,7,10,3286059,1,2
0,86,84,2,11487101,7,10,11484873,0,2
0,19,18,2,2073035,7,10,2071746,0,2
0,28,27,2,3031323,7,5,3030043,1,2
1,127,125,2,15561014,9,12,15558877,1,2
0,16,15,2,1785389,7,10,1782996,0,2
0,15,14,2,1628397,7,10,1626123,1,2
0,98,96,2,12956825,7,5,12955719,0,2
0,61,59,2,8164445,8,10,8163233,1,2
0,59,57,2,7965878,7,10,7963455,0,2
0,64,62,2,8232570,7,10,8230168,0,2
0,27,26,2,3029992,7,10,3028916,1,2
0,75,73,2,9845686,7,5,9843275,1,2
0,66,64,2,8350308,7,10,8348458,0,2
0,88,86,2,12021212,7,10,12020358,0,2
0,130,128,2,16038394,7,10,16036619,0,2
0,110,108,2,14021314,7,10,14018849,1,2
0,34,32,2,3553809,7,5,3552361,0,2
0,73,71,2,9706413,7,10,9704311,0,2
0,116,114,2,14614431,7,5,14612995,0,2
0,44,42,2,5466519,7,10,5463817,0,2
0,55,53,2,7097182,7,10,7096025,1,2
0,21,20,2,2761750,7,5,2760080,1,2
0,91,89,2,12173979,7,10,12171535,1,2
0,99,97,2,13024132,7,10,13022618,0,2
0,104,102,2,13705715,7,10,13703439,0,2
0,45,43,2,5772076,7,5,5769602,1,2
0,133,131,10,3300191,1,11,3297723,1,3
0,108,106,2,13868185,7,5,13866410,0,2
0,94,92,2,12472520,7,10,12470607,0,2
0,82,80,2,10670632,8,5,10669550,0,2
0,39,37,2,4508576,7,5,4506687,1,2
1,2,4,3,77915,5,13,75424,1,0
0,97,95,2,12885802,7,10,12883403,1,2
0,0,2,7,2300772,2,1,2299801,1,0
0,123,121,2,15282675,7,10,15281380,0,2
0,36,34,2,4020827,7,5,4018416,1,2
0,23,22,2,2784194,7,10,2782275,1,2
0,60,58,2,8038739,7,10,8036352,1,2
0,58,56,2,7842920,7,10,7841907,0,2
0,22,21,2,2762554,7,5,2761790,1,2
0,33,31,2,3504879,7,5,3504241,1,2
1,3,5,6,55117,6,3,53636,1,0
0,31,0,2,3132233,3,5,3130347,1,2
0,52,50,2,6706175,7,10,6703758,0,2
0,107,105,2,13802602,7,5,13801166,0,2
0,85,83,2,11341496,8,10,11339779,0,2
0,70,68,2,9516566,7,10,9514707,0,2
0,63,61,2,8229221,7,10,8227185,0,2
1,119,117,2,14692771,4,9,14691052,1,2
0,120,118,2,14791965,7,10,14789578,0,2
0,69,67,2,9474310,7,5,9473225,0,2
0,8,7,8,1091042,5,2,1089543,0,1
0,9,8,2,186560,8,5,186008,1,2
0,43,41,2,5359299,8,10,5356971,0,2
0,112,110,2,14160002,7,10,14157573,1,2
0,103,101,2,13484700,8,10,13483357,0,2
0,11,10,2,1011527,7,10,1009692,1,2
0,54,52,2,6870045,7,10,6869104,1,2
0,121,119,2,14875024,7,10,14872559,1,2
0,105,103,2,13708115,7,10,13707042,0,2
0,109,107,2,14013635,7,10,14011533,1,2
0,122,120,2,14894280,7,10,14891860,1,2
0,46,44,2,5779398,7,5,5776933,1,2
0,40,38,2,4854052,7,10,4851767,1,2
0,84,82,2,11010848,7,10,11009904,1,2
0,37,35,2,4148437,7,10,4146020,1,2
0,135,133,9,4031942,0,7,4029417,1,3
1,42,40,2,5253033,7,12,5250597,0,2
0,35,33,2,4014438,7,5,4012006,1,2
0,68,66,2,9045174,7,5,9043609,1,2
0,13,12,2,1573446,7,10,1571035,0,2
1,41,39,2,5243548,4,9,5240869,0,2
0,129,127,2,15935494,7,10,15933065,1,2
0,101,99,2,13312312,7,5,13309862,0,2
0,25,24,2,2910442,7,5,2908016,1,2
0,126,124,2,15370292,7,5,15369072,1,2
0,5,1,4,63768,7,1,61399,1,0
0,38,36,2,4417708,7,10,4415243,0,2
0,115,113,2,14595893,8,10,14593756,0,2
0,102,100,2,13446223,7,10,13444466,1,2
0,117,115,2,14624798,8,10,14623034,1,2
0,81,79,2,10561413,7,5,10558942,1,2
0,78,76,2,10101905,8,10,10099667,0,2
0,89,87,2,12023497,8,10,12022159,0,2
0,67,65,2,8937048,7,5,8934748,0,2
0,56,54,2,7102848,7,10,7100704,0,2
1,93,91,2,12466916,4,9,12464636,0,2
0,134,132,10,5776202,1,14,5773752,1,3
0,12,11,2,1376419,7,10,1375355,1,2
0,53,51,2,6868158,7,10,6865732,1,2
0,83,81,2,10715086,7,10,10712660,1,2
0,10,9,2,294689,7,5,292269,1,2
0,71,69,2,9656539,7,10,9655445,0,2
0,80,78,2,10405317,7,10,10404418,1,2
