Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Gene_Label,Orthologous_Gene,Genomic_Start_Position
1,1134002,408,408,48,1133424
0,1473130,88,88,27,1472456
0,1261581,327,327,129,1260970
0,1121,3,3,163,531
0,405277,144,144,31,404699
1,1581481,219,219,83,1580900
1,1049,289,289,66,204
1,327963,424,424,97,327337
0,1392058,311,311,166,1391459
0,253089,180,180,21,252442
0,897457,278,278,60,896894
1,358436,283,283,56,358038
1,782,48,48,126,129
1,371048,282,282,98,370350
0,1932015,107,107,96,1931470
1,7470,274,274,126,6853
1,76266,285,285,46,75574
1,16265,14,14,143,15666
1,605996,244,244,6,605367
0,332148,411,411,98,331510
0,844685,369,369,112,844098
1,1790185,225,225,34,1789544
1,617680,239,239,15,617066
0,17055,50,50,41,16375
0,1591262,333,333,68,1590720
0,31626,358,358,22,31012
0,67780,415,415,31,67067
0,425359,254,254,23,424565
0,281837,181,181,99,281250
0,1169771,349,349,73,1169145
1,1192370,318,318,161,1191744
0,18926,390,390,152,18276
1,2103139,226,226,57,2102468
1,1094415,321,321,57,1093786
0,59685,51,51,75,58891
1,395098,43,43,161,394403
0,128464,416,416,7,128075
1,1132814,320,320,57,1132212
0,385637,22,22,55,384969
1,1348,170,170,41,512
0,567879,382,382,88,567310
1,190891,67,67,98,190256
1,3660,199,199,41,3085
1,756041,100,100,96,755460
1,1653046,113,113,57,1652444
0,7200,138,138,24,6637
0,17644,350,350,156,17072
1,388432,198,198,72,388043
0,1001979,96,96,166,1001410
0,1611491,332,332,122,1610868
1,6125,12,12,71,5631
0,1806636,339,339,147,1806064
1,1150552,317,317,17,1149983
1,377041,364,364,25,376496
0,389569,255,255,109,388676
0,1212108,314,314,17,1211533
1,1793869,335,335,96,1793264
1,1559,53,53,41,987
0,421453,417,417,161,420860
0,410649,146,146,31,410251
1,2936,1,1,85,2637
0,690105,152,152,55,689434
0,7534,345,345,149,7151
0,8892,377,377,4,8245
0,237931,291,291,23,237338
0,615493,18,18,47,614912
0,253619,173,173,31,252897
0,244194,183,183,21,243160
0,1176204,399,399,5,1175530
1,668902,153,153,76,668282
1,22995,308,308,56,22609
1,47042,80,80,31,46335
1,6670,233,233,41,6140
1,462219,365,365,115,461563
0,10321,129,129,41,9749
1,1773473,336,336,120,1772775
1,1368555,312,312,74,1367977
1,170789,69,69,31,170208
1,44727,395,395,64,44119
0,917604,279,279,101,916954
0,7294,267,267,41,6638
0,6256,133,133,130,5888
1,633393,82,82,59,632488
1,1947,16,16,140,1330
0,1604078,116,116,74,1603452
1,219644,72,72,53,218985
1,1579,4,4,167,1004
0,462632,143,143,97,462006
0,1707,379,379,87,1054
0,555039,78,78,77,554104
1,891600,277,277,40,891058
1,522983,297,297,6,522417
0,897652,246,246,164,897068
0,445439,137,137,109,444747
0,5761,376,376,22,5141
0,407298,186,186,84,406639
1,95645,65,65,111,95094
1,296809,421,421,97,296102
1,438791,34,34,144,438168
0,296422,250,250,133,295724
1,311595,412,412,98,311224
1,39701,54,54,41,39237
0,22510,56,56,158,21845
0,262228,39,39,169,261515
1,603114,243,243,15,602248
0,610905,160,160,135,610333
0,862102,247,247,1,861431
0,8700,17,17,18,8095
1,1439745,91,91,57,1439215
1,9539,200,200,94,8904
0,367683,158,158,26,367096
0,11825,47,47,126,11139
0,406686,142,142,97,406078
0,32545,268,268,126,31979
0,2027,41,41,69,1341
0,465000,355,355,2,464038
1,874302,280,280,117,873739
0,1522297,87,87,17,1521722
0,456160,324,324,118,455483
0,9111,134,134,75,8734
0,478938,103,103,3,478315
1,494817,206,206,14,494134
0,21792,347,347,39,21193
1,649380,242,242,6,648745
0,499409,367,367,55,498789
0,21840,236,236,130,21079
0,551183,232,232,162,550740
0,53116,397,397,36,52718
0,302673,251,251,45,302005
1,633183,240,240,95,632827
0,1148872,410,410,34,1148204
0,548259,147,147,70,547909
1,627298,101,101,82,626603
1,555039,429,429,97,554545
0,269583,420,420,135,268954
0,1587490,216,216,91,1586741
1,1038285,194,194,96,1037734
0,266589,178,178,21,265723
0,21892,341,341,52,21179
1,400683,58,58,158,400036
0,1863,45,45,130,1279
1,564291,151,151,115,563632
1,1722444,340,340,21,1721857
1,1850809,110,110,28,1850192
1,1081012,406,406,170,1080440
0,217404,24,24,23,216745
1,2115566,27,27,96,2114982
1,5418,237,237,75,4696
0,266951,176,176,98,266226
0,643220,203,203,63,642618
1,238595,174,174,31,237978
1,174019,66,66,46,173294
1,33533,391,391,148,32910
0,66227,305,305,120,65685
1,1032696,195,195,57,1032121
1,1279824,191,191,17,1279111
0,549268,75,75,160,548651
0,1738968,29,29,40,1738420
1,110877,159,159,162,110344
1,44362,304,304,121,43754
1,375323,426,426,128,374682
0,1871216,109,109,17,1870641
0,48963,359,359,103,48349
1,57983,64,64,130,57381
0,559332,148,148,79,558976
1,21243,15,15,16,20602
1,807869,26,26,117,807330
0,17246,272,272,41,16593
1,11667,265,265,41,10975
1,1182146,316,316,57,1181541
0,777907,154,154,116,777242
0,474095,356,356,113,473496
0,548591,231,231,40,548190
1,1654543,32,32,151,1654004
0,15815,362,362,50,15231
1,417430,208,208,14,416753
0,50225,396,396,101,49587
0,23909,363,363,141,23259
0,1886263,223,223,101,1885670
0,1420673,92,92,161,1420101
0,1628056,217,217,105,1627475
1,5356,352,352,134,4736
0,272757,182,182,21,271798
0,422988,185,185,62,422386
0,431207,427,427,145,430704
0,563485,94,94,18,563114
1,1739,7,7,34,1236
0,488252,257,257,131,487683
0,2141017,330,330,48,2140400
0,305429,373,373,9,304515
1,210445,139,139,42,209840
1,636879,163,163,128,636250
1,2091750,38,38,57,2091055
0,211634,419,419,8,211245
1,34921,273,273,126,34262
1,1570983,121,121,96,1570405
0,596495,164,164,135,595866
1,3008,166,166,144,2760
1,491431,300,300,6,490859
0,458814,354,354,99,458125
0,283286,425,425,135,282588
0,11424,42,42,107,10828
1,1306828,213,213,91,1306226
0,14571,378,378,101,14272
0,9261,131,131,41,8539
0,70633,61,61,126,70109
0,1677970,118,118,136,1677395
1,566496,301,301,132,565864
0,1200244,315,315,57,1199621
1,8071,393,393,86,7124
1,631273,162,162,97,630704
0,1299223,189,189,96,1298663
0,1337715,215,215,30,1337152
1,893116,245,245,11,892445
1,102031,0,0,102,101630
0,452612,288,288,96,451995
1,542828,295,295,6,542232
0,2067976,37,37,161,2067425
1,632235,86,86,34,631654
0,253563,292,292,131,252895
1,1060193,193,193,57,1059636
1,54130,400,400,51,53294
1,225709,70,70,33,225092
0,2016292,331,331,61,2015537
0,55031,271,271,130,54300
1,42738,392,392,86,42403
0,683253,99,99,57,682675
1,930600,248,248,169,929947
0,510533,431,431,43,509916
1,1637787,114,114,57,1637185
0,602022,165,165,145,601444
0,9693,361,361,141,9067
0,325661,372,372,133,325122
0,85370,63,63,75,84681
0,482096,260,260,109,481446
0,152203,402,402,91,151562
1,7816,171,171,126,6941
0,459742,256,256,26,459083
1,8984,262,262,75,8412
0,285006,252,252,133,284026
0,786,374,374,35,88
0,521226,212,212,112,520573
1,1896,261,261,75,1198
0,423275,207,207,5,422700
0,297265,229,229,158,296609
0,413954,418,418,17,413337
1,10738,167,167,130,10142
0,410431,184,184,62,409799
1,717564,275,275,122,716974
0,497547,258,258,23,496699
0,1973331,334,334,74,1972666
1,9993,35,35,127,9376
0,12963,343,343,52,12349
1,1274037,192,192,57,1273459
1,2090413,220,220,40,2089832
1,203566,71,71,56,203195
1,641268,241,241,132,640657
0,1749740,337,337,96,1749048
1,537100,296,296,6,536468
0,4555,135,135,130,3962
0,1078119,196,196,161,1077559
0,567898,125,125,61,567485
0,4704,234,234,126,4066
0,55203,81,81,31,54550
0,288418,228,228,110,287768
0,165971,20,20,1,165327
1,627125,85,85,171,626559
0,1646736,218,218,19,1646206
1,11470,49,49,126,11081
1,661517,2,2,6,660867
