Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
0,290907,118,1,1,288478
0,1731005,191,3,0,1728183
1,2060220,184,2,0,2057611
0,800723,165,2,0,798375
1,12158,11,2,0,9363
0,21771,83,2,0,19363
0,488327,204,3,0,485541
0,454333,158,2,0,451748
0,262330,243,2,0,259847
0,568854,259,2,0,566233
1,16377,145,2,0,13513
1,180486,35,2,0,177754
0,1633076,187,1,1,1630521
0,602587,42,2,0,600077
0,736453,78,3,0,733583
1,1129346,169,2,0,1126764
0,20976,57,2,0,18310
0,5331,150,2,0,2932
1,629809,113,3,0,627020
0,1825289,188,2,0,1822929
0,590672,258,1,1,588504
1,6553,121,2,0,4166
0,1169591,223,3,0,1166769
1,13678,156,2,0,10931
0,468388,67,3,0,465485
0,476059,149,1,1,473501
0,1251196,181,2,0,1248512
1,1015945,208,2,0,1013150
1,1147282,168,2,0,1144757
0,696919,72,2,0,694046
0,1582479,186,1,1,1579936
1,221070,141,2,0,218443
0,463778,79,2,0,460986
0,11062,5,2,0,8450
1,1570228,99,5,0,1568267
0,280853,63,2,0,278046
0,546370,46,2,0,543824
0,399549,238,2,0,396772
0,57145,56,3,0,54284
0,817323,77,2,0,814468
0,408107,17,1,1,405750
1,60414,227,2,0,57859
1,1007699,206,2,0,1005114
1,7898,10,2,0,5274
0,245264,48,2,0,242583
0,4732,124,2,0,2051
0,21506,58,2,0,18858
1,23129,127,3,0,20358
0,428401,68,2,0,425663
0,1014233,135,1,1,1011738
0,34218,59,2,0,31414
1,2102129,102,2,0,2099463
0,15093,157,3,0,12226
0,1317329,98,2,0,1314768
1,352788,249,2,0,350182
1,565683,140,2,0,563344
1,10603,7,3,0,7772
1,212927,0,5,0,211077
0,276688,210,1,1,274223
0,652210,95,2,0,649424
1,10893,90,2,0,8359
1,4709,31,2,0,2067
0,119436,255,2,0,116878
1,14331,230,2,0,11776
1,1650945,12,2,0,1648582
0,7054,123,2,0,4541
1,456596,16,2,0,453903
1,3590,211,2,0,942
0,1816759,190,2,0,1814429
1,2010450,109,2,0,2008033
1,529696,176,2,0,526820
0,272153,64,2,0,269451
1,423886,65,2,0,421607
1,408724,139,1,1,406415
0,1036042,117,2,0,1033382
0,25731,9,3,0,22858
0,35248,51,2,0,32438
1,2099,3,5,0,3
0,903444,115,1,1,900637
1,460231,148,2,0,457457
1,2171498,183,2,0,2169063
0,783613,76,2,0,780839
1,35322,192,2,0,32611
0,506933,19,3,0,504105
1,41459,219,3,0,38613
0,584285,175,0,0,581721
0,404953,161,2,0,402317
0,16042,111,3,0,13142
1,574686,147,1,1,571897
1,596823,94,2,0,594229
0,71558,154,1,1,69066
0,1115182,220,2,0,1112378
0,556640,252,2,0,553878
0,22835,146,2,0,20457
0,65602,25,2,0,62846
0,321121,171,2,0,318503
1,3099,84,2,0,313
1,2201057,54,2,0,2198634
0,1882048,104,1,1,1879670
0,2065088,101,1,1,2062416
1,8030,144,2,0,5538
1,54570,28,3,0,51787
1,12466,229,2,0,9926
0,1745786,13,2,0,1743231
0,1189938,225,2,0,1187140
1,580806,93,5,0,578836
1,565358,82,2,0,563163
1,935144,132,2,0,932427
1,7331,91,3,0,4482
1,156435,34,3,0,153649
1,249052,71,2,0,246272
1,344245,14,2,0,341906
1,194602,248,3,0,191840
0,536061,256,2,0,533287
0,1851640,106,2,0,1848668
1,450835,66,2,0,448496
0,14547,21,2,0,12235
0,417885,137,2,0,415123
1,237391,70,2,0,234584
0,7271,23,2,0,4884
0,3982,2,2,0,1541
1,21057,155,2,0,18763
0,388287,239,2,0,385492
0,11601,40,2,0,9187
1,175571,92,2,0,172800
0,110238,228,3,0,107374
0,768058,75,2,0,765323
1,8573,215,2,0,6039
1,7513,4,2,0,4757
1,191757,114,2,0,188965
1,205713,246,2,0,202903
1,1484951,182,3,0,1482129
1,880730,134,2,0,877992
1,12861,240,2,0,10087
0,763632,130,2,0,761305
1,1152001,180,1,1,1149578
0,171302,231,4,0,169443
1,187696,247,2,0,185057
1,2180588,53,2,0,2178147
1,17047,38,2,0,14579
0,222070,178,2,0,219359
0,1181628,224,2,0,1179322
1,2776,49,1,1,113
1,950785,133,2,0,948302
0,8596,126,2,0,5819
0,24923,61,2,0,22032
0,42017,200,1,1,39222
0,1200167,194,2,0,1197396
1,665447,73,3,0,662586
0,316755,120,1,1,314314
1,396615,250,1,1,394090
0,381075,237,2,0,378301
0,2113696,52,1,1,2111357
0,255561,18,1,1,253126
1,22052,241,2,0,19278
0,198843,128,2,0,196225
1,775880,131,2,0,773208
0,421319,160,2,0,418704
1,167573,37,3,0,164778
1,11536,33,2,0,9554
1,597333,1,1,1,595705
