GeneSubclass,GeneType,GenomicStartPosition,OrthologId,ChromosomeId,StrandOrientation,EncodedProtein,GeneDbId,GenomicEndPosition
0,0,3201416,8,0,1,1,104,3202332
0,0,1237682,8,0,1,1,32,1238650
0,0,37374,5,1,1,1,168,38255
0,0,3957831,8,0,0,1,141,3958817
0,0,812738,1,2,0,1,173,813663
0,0,2227599,4,7,0,1,216,2228516
0,0,3598376,8,0,0,1,119,3598785
0,0,2292070,8,0,1,1,56,2292995
0,0,3483913,8,0,1,1,116,3484725
0,0,3336940,8,0,0,1,108,3337829
1,1,4391482,3,0,1,2,156,4392476
0,0,816237,8,0,1,1,8,817233
0,0,2362303,8,0,1,1,63,2363229
0,0,3125490,0,10,0,1,231,3126460
0,0,2317439,8,0,1,1,57,2318302
0,0,1486532,8,0,0,1,42,1487516
0,0,1530673,2,5,1,1,196,1531659
0,0,3924162,8,0,1,1,134,3925106
0,0,1470038,8,0,0,1,39,1470924
0,0,3252689,8,0,1,1,105,3253701
0,0,3088123,0,10,0,1,223,3089002
0,0,3878232,8,0,0,1,131,3879177
0,0,1134492,8,0,1,1,23,1135405
0,0,3115586,0,10,0,1,228,3116397
1,1,2126698,3,0,0,2,52,2127533
0,0,2516791,8,0,0,1,72,2517420
0,0,45432,11,3,1,1,182,46423
0,0,120728,11,3,1,1,186,121633
0,0,1381870,8,0,0,1,38,1382865
0,0,1565667,2,5,1,1,199,1566639
1,1,1008886,16,1,0,2,171,1009605
0,0,1524684,13,8,0,1,217,1525569
0,0,821677,1,2,0,1,175,822698
0,0,966566,8,0,0,1,15,967539
0,0,1605094,8,0,1,1,43,1605990
0,0,2814647,8,0,1,1,81,2815583
0,0,3121014,0,10,0,1,230,3121885
1,1,1039800,3,0,0,2,18,1040606
0,0,834360,1,2,0,1,177,835336
0,0,3953625,8,0,0,1,140,3954615
0,0,1482386,8,0,0,1,41,1483126
0,0,62796,10,4,1,1,193,63777
0,0,3657775,8,0,0,1,125,3658680
0,0,4738454,8,0,1,1,166,4739055
0,0,1514896,10,4,0,1,194,1515860
0,0,1717211,3,6,0,1,210,1718127
0,0,744707,8,0,0,1,4,745630
0,0,2882695,8,0,1,1,92,2883682
0,0,1859648,8,0,1,1,49,1860672
0,0,3470331,8,0,0,1,113,3471297
0,0,709282,8,0,0,1,2,710413
0,0,3390208,8,0,0,1,111,3391129
0,0,2875871,8,0,1,1,90,2876969
0,0,1612027,8,0,1,1,45,1612962
0,0,3962225,8,0,0,1,142,3963135
0,0,2502987,8,0,0,1,70,2503866
0,0,37728,11,3,1,1,181,38718
0,0,1246604,8,0,1,1,33,1247370
1,1,962347,3,0,0,2,14,963298
0,0,812093,8,0,1,1,7,813072
0,0,4053370,8,0,1,1,149,4054409
0,0,817059,1,2,0,1,174,817549
1,1,1163401,3,0,1,2,24,1164370
0,0,2970900,8,0,0,1,95,2971478
0,0,2731745,8,0,0,1,79,2732709
0,0,2556763,8,0,0,1,73,2557700
0,0,3340903,8,0,0,1,109,3341774
0,0,1855124,8,0,1,1,48,1856079
0,0,573,4,7,1,1,214,1564
0,0,873910,8,0,1,1,12,874894
0,0,2718746,8,0,0,1,77,2719470
0,0,3982127,8,0,0,1,144,3983006
1,1,3357,6,4,1,2,190,4163
0,0,3474883,8,0,0,1,114,3475811
1,1,3882399,3,0,0,2,132,3883348
0,0,15481,4,7,1,1,215,16470
0,0,2120598,8,0,0,1,50,2121499
0,0,1648674,8,0,1,1,46,1649617
0,0,4092003,8,0,1,1,151,4092305
0,0,4697363,8,0,1,1,165,4698031
0,0,4674023,8,0,1,1,163,4674500
0,0,4044548,8,0,1,1,147,4045564
0,0,2240825,8,0,1,1,54,2241711
0,0,1608659,8,0,1,1,44,1609685
0,0,1642894,2,5,1,1,208,1643801
0,0,3091527,0,10,0,1,224,3092504
0,0,1083168,8,0,0,1,22,1084006
0,0,3948636,8,0,0,1,139,3949671
1,1,2509226,3,0,0,2,71,2510002
0,0,4768631,8,0,0,1,167,4769513
0,0,3119289,0,10,0,1,229,3120182
0,0,3851292,8,0,1,1,127,3851936
0,0,3344054,8,0,0,1,110,3344923
0,0,3870942,8,0,0,1,129,3871709
0,0,2833074,8,0,1,1,86,2834062
0,0,2603329,8,0,0,1,76,2604167
0,0,127746,11,3,1,1,188,128626
0,0,3192405,8,0,1,1,103,3193314
1,1,1530570,15,8,0,2,219,1531532
0,0,1079384,8,0,0,1,21,1080374
0,0,4685216,8,0,1,1,164,4685863
0,0,2367171,8,0,1,1,64,2368035
0,0,2929420,8,0,1,1,93,2930278
1,1,1194248,3,0,1,2,25,1195244
0,0,2843538,8,0,1,1,89,2844528
