GeneSubclass,GeneType,GenomicStartPosition,OrthologId,ChromosomeId,StrandOrientation,EncodedProtein,GeneDbId,GenomicEndPosition
0,0,3990489,8,0,0,1,145,3991057
0,0,712959,8,0,0,1,3,713930
0,0,3080348,8,0,0,1,99,3081081
0,0,3657775,8,0,0,1,124,3658680
0,0,3129888,0,10,0,1,232,3130797
0,0,3192405,8,0,1,1,102,3193314
0,0,34091,0,10,1,1,222,35088
0,0,3095699,0,10,0,1,225,3096667
0,0,3336940,8,0,0,1,107,3337829
0,0,2381690,8,0,1,1,67,2382674
0,0,1220745,8,0,1,1,30,1221715
0,0,3099590,0,10,0,1,226,3100508
0,0,1605587,2,5,1,1,202,1606577
0,0,2960623,8,0,0,1,94,2961608
0,0,3653626,8,0,0,1,123,3654541
0,0,3851292,8,0,1,1,126,3851936
0,0,1721734,3,6,0,1,211,1722743
0,0,4395898,8,0,1,1,156,4396545
0,0,37728,11,3,1,1,180,38718
0,0,2348378,8,0,1,1,58,2348993
0,0,4674023,8,0,1,1,162,4674500
0,0,2567453,8,0,0,1,74,2568455
0,0,1568882,2,5,1,1,200,1569787
0,0,869853,8,0,1,1,11,870727
0,0,1288988,8,0,0,1,34,1289899
0,0,1213213,8,0,1,1,29,1214186
0,0,3634361,8,0,1,1,122,3635309
0,0,4422687,8,0,0,1,157,4423505
0,0,1729945,3,6,0,1,213,1730683
0,0,3948636,8,0,0,1,138,3949671
0,0,1855124,8,0,1,1,47,1856079
0,0,2822807,8,0,1,1,82,2823781
0,0,812738,1,2,0,1,172,813663
0,0,53050,11,3,1,1,183,54050
0,0,1477894,8,0,0,1,40,1478839
0,0,2727547,8,0,0,1,78,2728505
0,0,1629542,2,5,1,1,206,1630504
0,0,3510660,8,0,1,1,117,3511547
0,0,1197318,8,0,1,1,26,1198292
1,1,885423,14,2,0,2,179,886301
0,0,3629473,8,0,1,1,121,3630502
1,1,36216,6,4,1,2,191,37246
0,0,705402,8,0,0,1,1,706356
0,0,3165117,0,10,0,1,234,3166097
0,0,2839937,8,0,1,1,87,2840902
0,0,1526144,13,8,0,1,218,1527077
1,1,3288906,3,0,1,2,106,3289870
0,0,2476,9,9,1,1,221,3289
0,0,2833074,8,0,1,1,85,2834062
0,0,1330142,8,0,0,1,35,1330950
0,0,2292070,8,0,1,1,55,2292995
0,0,3870942,8,0,0,1,128,3871709
0,0,1534863,2,5,1,1,197,1535834
0,0,1622000,2,5,1,1,205,1623017
0,0,1598787,2,5,1,1,201,1599674
0,0,866391,8,0,1,1,10,867371
1,1,1609781,12,5,1,2,203,1610485
0,0,3161514,0,10,0,1,233,3162441
0,0,1208980,8,0,1,1,28,1209985
0,0,32835,10,4,1,1,190,33815
0,0,749314,8,0,1,1,5,750322
0,0,3252689,8,0,1,1,104,3253701
0,0,1242183,8,0,1,1,32,1243198
0,0,40400,5,1,1,1,168,41331
0,0,3962225,8,0,0,1,141,3963135
0,0,817059,1,2,0,1,173,817549
0,0,2227599,4,7,0,1,216,2228516
0,0,3600815,8,0,0,1,119,3601569
0,0,2308875,8,0,1,1,56,2309588
0,0,3486897,8,0,1,1,116,3487893
0,0,3340903,8,0,0,1,108,3341774
1,1,4391482,3,0,1,2,155,4392476
0,0,816237,8,0,1,1,8,817233
0,0,2367171,8,0,1,1,63,2368035
0,0,3125490,0,10,0,1,231,3126460
0,0,2320393,8,0,1,1,57,2321136
0,0,1534977,8,0,0,1,42,1535963
0,0,1530673,2,5,1,1,196,1531659
0,0,3927312,8,0,1,1,134,3928035
0,0,1474233,8,0,0,1,39,1474816
0,0,3261420,8,0,1,1,105,3262281
0,0,3088123,0,10,0,1,223,3089002
0,0,3905933,8,0,1,1,132,3906646
0,0,1134492,8,0,1,1,23,1135405
0,0,3115586,0,10,0,1,228,3116397
1,1,2126698,3,0,0,2,51,2127533
0,0,2552386,8,0,0,1,72,2553401
0,0,49319,11,3,1,1,182,50281
0,0,124273,11,3,1,1,186,125238
0,0,1470038,8,0,0,1,38,1470924
0,0,1565667,2,5,1,1,199,1566639
1,1,1008886,16,1,0,2,170,1009605
0,0,1524684,13,8,0,1,217,1525569
0,0,825971,1,2,0,1,175,826843
0,0,966566,8,0,0,1,15,967539
0,0,1608659,8,0,1,1,43,1609685
0,0,2818421,8,0,1,1,81,2819209
0,0,3121014,0,10,0,1,230,3121885
1,1,1039800,3,0,0,2,18,1040606
0,0,837978,1,2,0,1,177,838943
0,0,3957831,8,0,0,1,140,3958817
0,0,1486532,8,0,0,1,41,1487516
0,0,62796,10,4,1,1,193,63777
0,0,3711781,8,0,0,1,125,3712714
0,0,4768631,8,0,0,1,166,4769513
0,0,1514896,10,4,0,1,194,1515860
0,0,1717211,3,6,0,1,210,1718127
0,0,744707,8,0,0,1,4,745630
0,0,2929420,8,0,1,1,92,2930278
0,0,2120598,8,0,0,1,49,2121499
0,0,3474883,8,0,0,1,113,3475811
0,0,709282,8,0,0,1,2,710413
0,0,3391673,8,0,0,1,111,3392268
0,0,2878703,8,0,1,1,90,2879567
0,0,1648674,8,0,1,1,45,1649617
0,0,3974574,8,0,0,1,142,3975591
0,0,2516791,8,0,0,1,71,2517420
0,0,40986,11,3,1,1,181,41910
0,0,1250937,8,0,1,1,33,1251779
1,1,962347,3,0,0,2,14,963298
0,0,812093,8,0,1,1,7,813072
0,0,4058242,8,0,1,1,149,4058883
0,0,821677,1,2,0,1,174,822698
1,1,1163401,3,0,1,2,24,1164370
0,0,2975048,8,0,0,1,95,2975921
0,0,2794433,8,0,1,1,79,2795416
0,0,2559575,8,0,0,1,73,2560429
0,0,3344054,8,0,0,1,109,3344923
0,0,1859648,8,0,1,1,48,1860672
0,0,573,4,7,1,1,214,1564
0,0,873910,8,0,1,1,12,874894
0,0,2723008,8,0,0,1,77,2723923
0,0,3986148,8,0,0,1,144,3986597
1,1,3357,6,4,1,2,189,4163
0,0,3483913,8,0,1,1,115,3484725
1,1,3882399,3,0,0,2,131,3883348
0,0,15481,4,7,1,1,215,16470
0,0,2123632,8,0,0,1,50,2124567
0,0,1798627,8,0,1,1,46,1799441
0,0,4265571,8,0,1,1,151,4266476
0,0,4738454,8,0,1,1,165,4739055
0,0,4685216,8,0,1,1,163,4685863
0,0,4048793,8,0,1,1,147,4049767
0,0,2269514,8,0,1,1,54,2270503
0,0,1612027,8,0,1,1,44,1612962
0,0,1642894,2,5,1,1,208,1643801
0,0,3091527,0,10,0,1,224,3092504
0,0,1083168,8,0,0,1,22,1084006
0,0,3953625,8,0,0,1,139,3954615
1,1,2509226,3,0,0,2,70,2510002
0,0,37374,5,1,1,1,167,38255
0,0,3119289,0,10,0,1,229,3120182
0,0,3855436,8,0,1,1,127,3856099
0,0,3390208,8,0,0,1,110,3391129
0,0,3874863,8,0,0,1,129,3875858
0,0,2836889,8,0,1,1,86,2837856
0,0,2718746,8,0,0,1,76,2719470
0,0,97,10,4,1,1,188,1066
0,0,3201416,8,0,1,1,103,3202332
1,1,1530570,15,8,0,2,219,1531532
0,0,1079384,8,0,0,1,21,1080374
0,0,4697363,8,0,1,1,164,4698031
0,0,2371039,8,0,1,1,64,2371632
0,0,2948707,8,0,1,0,93,2949277
1,1,1194248,3,0,1,2,25,1195244
0,0,2875871,8,0,1,1,89,2876969
