Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position
0,0,844685,369,369,3,1,112,844098
1,0,1790185,226,226,4,0,34,1789544
1,0,617680,239,239,4,0,15,617066
0,0,17055,50,50,4,0,41,16375
0,0,1591262,333,333,4,0,68,1590720
0,0,31626,358,358,4,0,22,31012
0,0,67780,415,415,4,0,31,67067
0,0,425359,254,254,4,0,23,424565
0,0,281837,182,182,4,0,99,281250
0,0,1169771,349,349,4,0,73,1169145
1,0,1192370,318,318,4,0,161,1191744
0,0,18926,390,390,4,0,152,18276
1,0,2103139,227,227,4,0,57,2102468
1,0,1094415,321,321,4,0,57,1093786
0,0,59685,51,51,4,0,75,58891
1,0,395098,43,43,4,0,161,394403
0,0,128464,416,416,2,0,7,128075
1,0,1132814,320,320,4,0,57,1132212
0,0,385637,22,22,3,1,55,384969
0,0,26079,168,168,4,0,130,25390
0,0,567879,382,382,2,0,88,567310
1,0,190891,67,67,4,0,98,190256
1,0,7816,172,172,4,0,126,6941
1,0,756041,100,100,4,0,96,755460
1,0,1653046,113,113,4,0,57,1652444
0,0,7200,138,138,4,0,24,6637
0,0,17644,350,350,4,0,156,17072
1,0,388432,199,199,2,0,72,388043
0,0,1001979,96,96,4,0,166,1001410
0,0,1611491,332,332,4,0,122,1610868
1,0,6125,12,12,4,0,71,5631
0,0,1806636,339,339,4,0,147,1806064
1,0,1150552,317,317,4,0,17,1149983
1,0,377041,364,364,4,0,25,376496
0,0,389569,255,255,4,0,109,388676
0,0,1212108,314,314,4,0,17,1211533
1,0,1793869,335,335,4,0,96,1793264
1,0,1559,53,53,4,0,41,987
0,0,421453,417,417,4,0,161,420860
0,0,410649,146,146,2,0,31,410251
1,0,2936,1,1,3,1,85,2637
0,0,690105,152,152,3,1,55,689434
0,0,7534,345,345,2,0,149,7151
0,0,8892,377,377,4,0,4,8245
0,0,237931,291,291,4,0,23,237338
0,0,615493,18,18,4,0,47,614912
0,0,253619,174,174,4,0,31,252897
0,0,244194,184,184,4,0,21,243160
0,0,1176204,399,399,4,0,5,1175530
1,0,668902,153,153,4,0,76,668282
1,0,22995,308,308,2,0,56,22609
1,0,47042,80,80,4,0,31,46335
1,0,3660,200,200,4,0,41,3085
1,0,462219,365,365,4,0,115,461563
0,0,10321,129,129,4,0,41,9749
1,0,1773473,336,336,3,1,120,1772775
1,0,1368555,312,312,4,0,74,1367977
1,0,170789,69,69,4,0,31,170208
1,0,44727,395,395,3,1,64,44119
0,0,917604,279,279,4,0,101,916954
0,0,7294,267,267,4,0,41,6638
0,0,6256,133,133,2,0,130,5888
1,0,633393,82,82,4,0,59,632488
1,0,1947,16,16,3,1,140,1330
0,0,1604078,116,116,4,0,74,1603452
1,0,219644,72,72,4,0,53,218985
1,0,1579,4,4,4,0,167,1004
0,0,462632,143,143,4,0,97,462006
0,0,1707,379,379,4,0,87,1054
0,0,555039,78,78,4,0,77,554104
1,0,891600,277,277,1,1,40,891058
1,0,522983,297,297,4,0,6,522417
0,0,897652,246,246,4,0,164,897068
0,0,445439,137,137,4,0,109,444747
0,0,5761,376,376,4,0,22,5141
0,0,407298,187,187,4,0,84,406639
1,0,95645,65,65,4,0,111,95094
1,0,296809,421,421,4,0,97,296102
1,0,438791,34,34,4,0,144,438168
0,0,296422,250,250,4,0,133,295724
1,0,311595,412,412,2,0,98,311224
1,0,39701,54,54,4,0,41,39237
0,0,22510,56,56,3,1,158,21845
0,0,262228,39,39,4,0,169,261515
1,0,603114,243,243,4,0,15,602248
0,0,610905,160,160,4,0,135,610333
0,0,862102,247,247,3,1,1,861431
0,0,8700,17,17,4,0,18,8095
1,0,1439745,91,91,4,0,57,1439215
1,0,9539,201,201,4,0,94,8904
0,0,367683,158,158,4,0,26,367096
0,0,11825,47,47,4,0,126,11139
0,0,406686,142,142,4,0,97,406078
0,0,32545,268,268,4,0,126,31979
0,0,2027,41,41,4,0,69,1341
0,0,465000,355,355,4,0,2,464038
1,0,874302,280,280,3,1,117,873739
0,0,1522297,87,87,4,0,17,1521722
0,0,456160,324,324,4,0,118,455483
0,0,9111,134,134,2,0,75,8734
0,0,478938,103,103,4,0,3,478315
1,0,494817,207,207,4,0,14,494134
0,0,21792,347,347,4,0,39,21193
1,0,649380,242,242,4,0,6,648745
0,0,499409,367,367,3,1,55,498789
0,0,21840,236,236,4,0,130,21079
0,0,551183,233,233,2,0,162,550740
0,0,53116,397,397,5,0,36,52718
0,0,302673,251,251,4,0,45,302005
1,0,633183,240,240,2,0,95,632827
0,0,1148872,410,410,4,0,34,1148204
0,0,548259,147,147,2,0,70,547909
1,0,627298,101,101,4,0,82,626603
1,0,555039,429,429,4,0,97,554545
0,0,269583,420,420,4,0,135,268954
0,0,1587490,217,217,4,0,91,1586741
1,0,1038285,195,195,4,0,96,1037734
0,0,266589,179,179,4,0,21,265723
0,0,21892,341,341,4,0,52,21179
1,0,400683,58,58,4,0,158,400036
0,0,1863,45,45,4,0,130,1279
1,0,564291,151,151,4,0,115,563632
1,0,1722444,340,340,4,0,21,1721857
1,0,1850809,110,110,4,0,28,1850192
1,0,1081012,406,406,4,0,170,1080440
0,0,217404,24,24,4,0,23,216745
1,0,2115566,27,27,4,0,96,2114982
1,0,5418,237,237,4,0,75,4696
0,0,266951,177,177,4,0,98,266226
0,0,643220,204,204,4,0,63,642618
1,0,238595,175,175,4,0,31,237978
1,0,174019,66,66,4,0,46,173294
1,0,33533,391,391,4,0,148,32910
0,0,66227,305,305,4,0,120,65685
1,0,1032696,196,196,4,0,57,1032121
1,0,1279824,192,192,4,0,17,1279111
0,0,549268,75,75,4,0,160,548651
0,0,1738968,29,29,3,1,40,1738420
1,0,110877,159,159,5,0,162,110344
1,0,44362,304,304,3,1,121,43754
1,0,375323,426,426,4,0,128,374682
0,0,1871216,109,109,4,0,17,1870641
0,0,48963,359,359,4,0,103,48349
1,0,57983,64,64,4,0,130,57381
0,0,559332,148,148,2,0,79,558976
1,0,21243,15,15,4,0,16,20602
1,0,807869,26,26,3,1,117,807330
0,0,17246,272,272,4,0,41,16593
1,0,11667,265,265,4,0,41,10975
1,0,1182146,316,316,4,0,57,1181541
0,0,777907,154,154,4,0,116,777242
0,0,474095,356,356,4,0,113,473496
0,0,548591,232,232,2,0,40,548190
1,0,1654543,32,32,4,0,151,1654004
0,0,15815,362,362,4,0,50,15231
1,0,417430,209,209,4,0,14,416753
0,0,50225,396,396,4,0,101,49587
0,0,23909,363,363,4,0,141,23259
0,0,1886263,224,224,4,0,101,1885670
0,0,1420673,92,92,4,0,161,1420101
0,0,1628056,218,218,4,0,105,1627475
1,0,5356,352,352,4,0,134,4736
0,0,272757,183,183,4,0,21,271798
0,0,422988,186,186,4,0,62,422386
0,0,431207,427,427,4,0,145,430704
0,0,563485,94,94,2,0,18,563114
1,0,1739,7,7,4,0,34,1236
0,0,488252,257,257,4,0,131,487683
0,0,2141017,330,330,4,0,48,2140400
0,0,305429,373,373,4,0,9,304515
1,0,210445,139,139,3,1,42,209840
1,0,636879,163,163,4,0,128,636250
1,0,2091750,38,38,4,0,57,2091055
0,0,211634,419,419,5,0,8,211245
1,0,34921,273,273,4,0,126,34262
1,0,1570983,121,121,4,0,96,1570405
0,0,596495,164,164,4,0,135,595866
1,0,3008,167,167,4,0,144,2760
1,0,491431,300,300,4,0,6,490859
0,0,458814,354,354,4,0,99,458125
0,0,283286,425,425,4,0,135,282588
0,0,11424,42,42,3,1,107,10828
1,0,1306828,214,214,4,0,91,1306226
0,0,14571,378,378,4,0,101,14272
0,0,9261,131,131,4,0,41,8539
0,0,70633,61,61,4,0,126,70109
0,0,1677970,118,118,4,0,136,1677395
1,0,566496,301,301,4,0,132,565864
0,0,1200244,315,315,4,0,57,1199621
1,0,8071,393,393,4,0,86,7124
1,0,631273,162,162,4,0,97,630704
0,0,1299223,190,190,4,0,96,1298663
0,0,1337715,216,216,3,1,30,1337152
1,0,893116,245,245,3,1,11,892445
1,0,102031,0,0,4,0,102,101630
0,0,452612,288,288,4,0,96,451995
1,0,542828,295,295,4,0,6,542232
0,0,2067976,37,37,4,0,161,2067425
1,0,632235,86,86,4,0,34,631654
0,0,253563,292,292,4,0,131,252895
1,0,1060193,194,194,4,0,57,1059636
1,0,54130,400,400,4,0,51,53294
1,0,225709,70,70,3,1,33,225092
0,0,2016292,331,331,4,0,61,2015537
0,0,55031,271,271,4,0,130,54300
1,0,42738,392,392,4,0,86,42403
0,0,683253,99,99,4,0,57,682675
1,0,930600,248,248,4,0,169,929947
0,0,510533,431,431,4,0,43,509916
1,0,1637787,114,114,4,0,57,1637185
0,0,602022,165,165,4,0,145,601444
0,0,9693,361,361,4,0,141,9067
0,0,325661,372,372,4,0,133,325122
0,0,85370,63,63,4,0,75,84681
0,0,482096,260,260,4,0,109,481446
0,0,152203,402,402,4,0,91,151562
1,0,1348,171,171,4,0,41,512
0,0,459742,256,256,4,0,26,459083
1,0,8984,262,262,4,0,75,8412
0,0,285006,252,252,4,0,133,284026
0,0,786,374,374,4,0,35,88
0,0,521226,213,213,4,0,112,520573
1,0,1896,261,261,4,0,75,1198
0,0,423275,208,208,4,0,5,422700
0,0,297265,230,230,4,0,158,296609
0,0,413954,418,418,4,0,17,413337
1,0,3185,166,166,4,0,126,2544
0,0,410431,185,185,4,0,62,409799
1,0,717564,275,275,4,0,122,716974
0,0,497547,258,258,4,0,23,496699
0,0,1973331,334,334,4,0,74,1972666
1,0,9993,35,35,4,0,127,9376
0,0,12963,343,343,4,0,52,12349
1,0,1274037,193,193,4,0,57,1273459
1,0,2090413,221,221,3,1,40,2089832
1,0,203566,71,71,2,0,56,203195
1,0,641268,241,241,4,0,132,640657
0,0,1749740,337,337,4,0,96,1749048
1,0,537100,296,296,4,0,6,536468
0,0,4555,135,135,4,0,130,3962
0,0,1078119,197,197,4,0,161,1077559
0,0,567898,125,125,2,0,61,567485
1,0,6670,234,234,4,0,41,6140
0,0,55203,81,81,4,0,31,54550
0,0,288418,229,229,4,0,110,287768
0,0,165971,20,20,4,0,1,165327
1,0,627125,85,85,4,0,171,626559
0,0,1646736,219,219,4,0,19,1646206
1,0,11470,49,49,2,0,126,11081
1,0,661517,2,2,4,0,6,660867
