Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Gene_Type,Orthologous_Gene,Genomic_Start_Position
0,0,1828534,106,106,2,0,84,1825916
1,0,483376,95,95,2,0,107,480707
0,0,1865809,104,104,2,0,73,1862957
0,0,139709,255,255,2,0,89,138117
0,0,404584,117,117,2,0,91,402206
0,0,1731005,192,192,3,0,9,1728183
1,0,2060220,185,185,2,0,100,2057611
0,0,255561,16,16,1,1,39,253126
1,0,12158,9,9,2,0,54,9363
0,0,21771,82,82,2,0,46,19363
0,0,506933,17,17,3,0,71,504105
0,0,465591,163,163,2,0,112,462814
0,0,262330,245,245,2,0,82,259847
0,0,579976,259,259,2,0,86,577358
1,0,16377,145,145,2,0,46,13513
1,0,199898,34,34,1,1,92,197364
0,0,1633076,188,188,1,1,29,1630521
0,0,602587,40,40,2,0,84,600077
0,0,768058,74,74,2,0,71,765323
1,0,1129346,169,169,2,0,61,1126764
0,0,20976,55,55,2,0,10,18310
0,0,5331,150,150,2,0,97,2932
1,0,204433,60,60,2,0,45,201761
0,0,1825289,189,189,2,0,61,1822929
0,0,700388,13,13,2,0,106,697620
1,0,6553,119,119,2,0,62,4166
0,0,1169591,224,224,3,0,107,1166769
1,0,13678,156,156,2,0,17,10931
0,0,468388,66,66,3,0,79,465485
0,0,476059,149,149,1,1,103,473501
0,0,1251196,182,182,2,0,120,1248512
1,0,1015945,209,209,2,0,71,1013150
1,0,1147282,168,168,2,0,61,1144757
1,0,721934,73,73,2,0,35,719244
0,0,1582479,187,187,1,1,95,1579936
1,0,221070,140,140,2,0,84,218443
1,0,218715,53,53,2,0,70,215884
0,0,11062,3,3,2,0,36,8450
1,0,1570228,98,98,5,0,41,1568267
0,0,308185,63,63,1,1,87,306188
0,0,546370,44,44,2,0,94,543824
0,0,410579,135,135,2,0,18,407808
0,0,57145,54,54,3,0,90,54284
0,0,849988,206,206,2,0,79,847319
0,0,408107,15,15,1,1,24,405750
1,0,60414,228,228,2,0,14,57859
1,0,1007699,207,207,2,0,71,1005114
1,0,7898,8,8,2,0,63,5274
0,0,245264,46,46,2,0,2,242583
0,0,4732,122,122,2,0,97,2051
0,0,21506,56,56,2,0,97,18858
1,0,23129,125,125,3,0,97,20358
0,0,472189,68,68,2,0,49,469499
0,0,1014233,133,133,1,1,29,1011738
0,0,34218,57,57,2,0,97,31414
1,0,2102129,101,101,2,0,100,2099463
1,0,82609,137,137,3,0,42,79808
0,0,1317329,97,97,2,0,85,1314768
1,0,396615,252,252,1,1,11,394090
1,0,565683,139,139,2,0,116,563344
1,0,10603,5,5,3,0,1,7772
1,0,460231,148,148,2,0,25,457457
0,0,276688,211,211,1,1,95,274223
0,0,652210,94,94,2,0,13,649424
1,0,10893,89,89,2,0,59,8359
1,0,4709,29,29,2,0,51,2067
0,0,119436,257,257,2,0,15,116878
1,0,14331,231,231,2,0,25,11776
1,0,1650945,10,10,2,0,127,1648582
0,0,7054,121,121,2,0,51,4541
1,0,456596,14,14,2,0,37,453903
1,0,3590,212,212,2,0,30,942
0,0,1816759,191,191,2,0,111,1814429
1,0,2010450,108,108,2,0,112,2008033
1,0,529696,177,177,2,0,65,526820
0,0,280853,61,61,2,0,129,278046
1,0,423886,64,64,2,0,116,421607
1,0,408724,138,138,1,1,32,406415
0,0,1036042,116,116,2,0,123,1033382
0,0,25731,7,7,3,0,57,22858
0,0,35248,49,49,2,0,97,32438
1,0,2099,1,1,5,0,126,3
0,0,903444,114,114,1,1,48,900637
1,0,559805,147,147,1,1,91,557001
1,0,2171498,184,184,2,0,100,2169063
0,0,817323,76,76,2,0,71,814468
1,0,35322,193,193,2,0,62,32611
0,0,585177,205,205,3,0,23,582301
1,0,41459,220,220,3,0,107,38613
0,0,584285,176,176,0,0,22,581721
0,0,421319,161,161,2,0,128,418704
0,0,16042,110,110,3,0,51,13142
1,0,629809,112,112,3,0,7,627020
1,0,596823,93,93,2,0,118,594229
0,0,71558,154,154,1,1,76,69066
0,0,1115182,221,221,2,0,77,1112378
0,0,556640,254,254,2,0,96,553878
0,0,22835,146,146,2,0,97,20457
0,0,65602,23,23,2,0,46,62846
0,0,321121,172,172,2,0,95,318503
1,0,3099,83,83,2,0,51,313
1,0,2201057,52,52,2,0,111,2198634
0,0,1882048,103,103,1,1,117,1879670
0,0,2065088,100,100,1,1,29,2062416
1,0,8030,144,144,2,0,51,5538
1,0,54570,26,26,3,0,55,51787
1,0,12466,230,230,2,0,101,9926
0,0,1745786,11,11,2,0,73,1743231
0,0,1189938,226,226,2,0,108,1187140
1,0,580806,92,92,5,0,83,578836
1,0,565358,81,81,2,0,111,563163
1,0,935144,130,130,2,0,84,932427
1,0,7331,90,90,3,0,60,4482
1,0,167573,35,35,3,0,28,164778
1,0,249052,70,70,2,0,4,246272
1,0,344245,12,12,2,0,98,341906
1,0,194602,250,250,3,0,84,191840
0,0,546874,142,142,2,0,105,544250
0,0,1851640,105,105,2,0,80,1848668
1,0,450835,65,65,2,0,116,448496
0,0,14547,19,19,2,0,46,12235
0,0,425184,136,136,2,0,53,422410
1,0,237391,69,69,2,0,21,234584
0,0,7271,21,21,2,0,97,4884
0,0,3982,0,0,2,0,69,1541
1,0,21057,155,155,2,0,43,18763
0,0,399549,240,240,2,0,53,396772
0,0,11601,38,38,2,0,51,9187
1,0,175571,91,91,2,0,102,172800
0,0,110238,229,229,3,0,99,107374
0,0,783613,75,75,2,0,35,780839
1,0,8573,216,216,2,0,64,6039
1,0,7513,2,2,2,0,125,4757
1,0,191757,113,113,2,0,58,188965
1,0,205713,248,248,2,0,20,202903
1,0,1484951,183,183,3,0,45,1482129
1,0,880730,132,132,2,0,40,877992
1,0,12861,242,242,2,0,108,10087
0,0,763632,128,128,2,0,73,761305
1,0,1152001,181,181,1,1,109,1149578
0,0,171302,232,232,4,0,13,169443
1,0,187696,249,249,2,0,16,185057
1,0,2180588,51,51,2,0,56,2178147
1,0,17047,36,36,2,0,104,14579
0,0,222070,179,179,2,0,66,219359
0,0,1181628,225,225,2,0,77,1179322
1,0,2776,47,47,1,1,12,113
1,0,950785,131,131,2,0,40,948302
0,0,8596,124,124,2,0,51,5819
0,0,24923,59,59,2,0,19,22032
0,0,42017,201,201,1,1,50,39222
0,0,1200167,195,195,2,0,35,1197396
0,0,696919,71,71,2,0,23,694046
0,0,316755,118,118,1,1,93,314314
0,0,428401,67,67,2,0,75,425663
0,0,388287,241,241,2,0,115,385492
0,0,2113696,50,50,1,1,29,2111357
0,0,272153,62,62,2,0,71,269451
1,0,22052,243,243,2,0,9,19278
0,0,198843,126,126,2,0,78,196225
1,0,775880,129,129,2,0,80,773208
0,0,432436,159,159,1,1,61,429818
1,0,180486,33,33,2,0,42,177754
1,0,11536,31,31,2,0,51,9554
0,0,15093,157,157,3,0,130,12226
