Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,0,8589,29,29,0,6541,1
0,0,1385359,154,154,0,1383590,0
1,0,688837,87,87,1,685982,0
0,0,54516,93,93,0,53479,1
0,0,1739,12,12,0,3,1
0,0,201879,299,299,0,200095,0
1,0,1320804,151,151,1,1318300,0
1,0,628364,100,100,1,625434,0
0,0,3779,183,183,0,1517,0
0,0,64637,150,150,0,62859,1
1,0,4799,270,270,1,2103,0
1,0,7313,236,236,1,4734,0
0,0,19476,160,160,0,17815,1
1,0,7957,142,142,1,5381,0
1,0,829858,119,119,1,827087,0
1,0,2071578,165,165,1,2068987,0
1,0,411543,245,245,1,408877,0
1,0,848494,163,163,1,847454,0
1,0,8756,145,145,1,5919,1
0,0,169188,306,306,0,166855,1
1,0,16396,294,294,1,13598,0
1,0,492103,129,129,1,489575,0
1,0,14953,302,302,1,12005,1
0,0,427483,287,287,0,425420,0
1,0,570499,252,252,1,567725,0
1,0,3857,103,103,1,1095,1
1,0,68621,192,192,1,67503,1
1,0,245943,61,61,1,244298,0
1,0,556405,240,240,1,554000,1
0,0,9141,221,221,0,8410,0
1,0,873816,172,172,1,871123,0
1,0,14712,222,222,1,11650,0
1,0,2360044,13,13,1,2358530,0
1,0,11256,254,254,1,8914,1
1,0,7825,90,90,1,5795,0
0,0,1137976,136,136,0,1133828,0
1,0,96498,209,209,1,94816,1
1,0,83774,188,188,1,82602,1
0,0,1981,297,297,0,2,0
1,0,483389,320,320,1,481422,0
0,0,85945,309,309,0,83153,1
0,0,21702,59,59,0,18811,0
0,0,22871,4,4,0,21810,1
1,0,5339,51,51,1,2904,1
0,0,728090,36,36,0,725151,0
1,0,3210,22,22,1,616,1
0,0,258722,219,219,0,256827,0
0,0,10587,182,182,0,8119,1
1,0,145152,315,315,1,142906,1
1,0,572075,300,300,1,569139,0
0,0,2028848,179,179,0,2027736,0
1,0,33122,281,281,1,30594,1
1,0,690828,274,274,1,688522,0
0,0,45706,261,261,0,43370,1
1,0,588116,3,3,1,586977,0
0,0,4613,117,117,0,1626,1
0,0,12865,289,289,0,9965,1
1,0,4342,81,81,1,1385,1
1,0,15683,257,257,1,12888,0
1,0,378832,38,38,1,376718,0
0,0,25602,134,134,0,22921,1
0,0,563158,321,321,0,560651,0
0,0,467624,171,171,0,464685,0
0,0,2010044,11,11,0,2009265,0
0,0,4567,55,55,0,1604,0
1,0,24449,112,112,1,21516,0
1,0,33240,54,54,1,30436,1
1,0,197559,194,194,1,195199,1
0,0,955,156,156,0,2,1
0,0,447897,285,285,0,446350,0
0,0,61849,46,46,0,60071,1
1,0,1721524,41,41,1,1718519,1
1,0,21022,62,62,1,18272,1
1,0,517997,131,131,1,514713,0
1,0,1984663,166,166,1,1981777,0
1,0,4543,137,137,1,1706,1
1,0,16034,125,125,1,13233,0
1,0,1133115,269,269,1,1130755,1
0,0,1973,1,1,0,3,1
1,0,1174681,75,75,1,1172813,0
0,0,3158,6,6,0,342,1
1,0,648458,161,161,1,645735,0
0,0,31215,301,301,0,30121,1
0,0,1171911,147,147,0,1168945,0
0,0,2772,318,318,0,301,1
1,0,265804,202,202,1,263906,0
0,0,496864,170,170,0,494066,0
1,0,1709527,107,107,1,1707056,1
1,0,29971,144,144,1,27197,1
1,0,5025,158,158,1,2677,1
1,0,474181,193,193,1,471830,0
0,0,20670,139,139,0,18052,1
0,0,1430611,98,98,0,1429409,0
1,0,2149200,265,265,1,2146741,0
1,0,30617,149,149,1,28410,1
0,0,750304,210,210,0,747923,0
1,0,10460,76,76,1,8049,1
1,0,754760,206,206,1,752910,0
1,0,6217,319,319,1,3602,1
1,0,396132,246,246,1,393928,0
1,0,128705,208,208,1,127131,1
1,0,496021,26,26,1,493463,0
1,0,56619,316,316,1,53854,1
0,0,4421,31,31,0,3684,1
0,0,117865,212,212,0,115973,1
0,0,6529,157,157,0,4547,1
1,0,174847,195,195,1,172793,1
1,0,8963,177,177,1,6399,1
0,0,6840,284,284,0,3826,0
1,0,1175229,146,146,1,1172704,0
1,0,110366,250,250,1,107442,1
1,0,7278,95,95,1,4399,0
1,0,22938,85,85,1,21226,1
1,0,1130391,198,198,1,1127446,0
1,0,11829,32,32,1,8980,1
1,0,1443,19,19,1,1,1
0,0,7112,282,282,0,4374,1
1,0,1008775,190,190,1,1006142,0
1,0,7245,290,290,1,4687,1
1,0,12451,176,176,1,9695,1
0,0,2274,50,50,0,1,0
1,0,2194888,106,106,1,2192474,1
1,0,905310,39,39,1,902803,0
0,0,729858,201,201,0,727477,0
1,0,214887,305,305,1,212992,0
0,0,34372,2,2,0,33320,1
0,0,38223,30,30,0,36197,1
1,0,18751,109,109,1,16475,1
1,0,2120212,105,105,1,2117660,0
1,0,3783,84,84,1,1453,1
1,0,596370,276,276,1,593812,0
1,0,19819,122,122,1,16985,1
0,0,392186,225,225,0,389424,0
0,0,36463,116,116,0,33455,1
1,0,439193,286,286,1,435576,0
0,0,598524,92,92,0,596251,0
1,0,342240,153,153,1,339421,1
1,0,107280,48,48,1,104554,0
1,0,2892,67,67,1,97,0
0,0,478312,10,10,0,477440,0
1,0,46833,74,74,1,44356,0
1,0,670094,37,37,1,667467,0
1,0,2020967,178,178,1,2018517,0
1,0,68416,262,262,1,66416,1
1,0,4460,127,127,1,2295,0
0,0,553364,251,251,0,550602,0
1,0,201254,159,159,1,198909,0
0,0,851849,120,120,0,849015,0
1,0,3538,292,292,1,857,1
1,0,12394,303,303,1,9605,0
0,0,748745,35,35,0,745776,0
1,0,14564,60,60,1,12819,1
0,0,39476,268,268,0,36720,1
1,0,13956,216,216,1,10954,0
1,0,58311,298,298,1,56848,1
0,0,645301,275,275,0,642806,0
1,0,5678,128,128,1,4257,1
1,0,458839,16,16,1,457553,0
0,0,811998,312,312,0,810235,0
1,0,26744,325,325,1,24147,1
0,0,968,8,8,0,3,0
1,0,905988,96,96,1,903148,0
1,0,9121,288,288,1,6152,1
1,0,582104,239,239,1,579438,0
1,0,79885,230,230,1,77750,1
1,0,2982,70,70,1,445,1
0,0,169312,66,66,0,166550,0
1,0,1113039,295,295,1,1110685,1
0,0,531490,33,33,0,528650,0
0,0,4734,123,123,0,2191,0
1,0,710712,200,200,1,708220,0
0,0,367390,217,217,0,364778,0
1,0,56555,324,324,1,54387,1
0,0,18183,234,234,0,15433,0
1,0,4073,5,5,1,1218,0
1,0,15577,69,69,1,12521,1
1,0,2028531,266,266,1,2025571,0
1,0,27589,108,108,1,25172,0
0,0,4119,43,43,0,967,1
1,0,27235,148,148,1,24623,1
1,0,783456,79,79,1,780772,0
0,0,11142,111,111,0,8839,1
1,0,242630,118,118,1,239769,1
1,0,10610,173,173,1,8169,1
1,0,106204,279,279,1,104012,1
1,0,16963,47,47,1,14936,0
1,0,9934,86,86,1,6965,1
1,0,577397,7,7,1,576201,0
1,0,1820,9,9,1,189,0
1,0,485801,34,34,1,483723,0
1,3,11541,326,326,1,8509,1
1,0,619021,152,152,1,617285,0
0,0,13820,28,28,0,12766,1
1,0,2325261,42,42,1,2323705,0
1,0,10910,88,88,1,8910,0
1,0,639965,258,258,1,637563,0
