Gene_Subclass,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,0,26225,206,206,0,24447,1
1,0,783456,82,82,1,780772,0
1,0,15107,263,263,1,12237,1
0,0,169188,307,307,0,166855,1
1,0,683526,258,258,1,681076,0
1,0,63873,309,309,1,60922,1
0,0,1185502,69,69,0,1183688,0
1,0,644271,99,99,1,641242,1
1,0,16574,221,221,1,14088,1
0,0,3713,284,284,0,2106,0
1,0,59561,140,140,1,57681,1
0,0,3597,234,234,0,1834,0
1,0,5794,136,136,1,3014,0
1,0,665511,168,168,1,663544,0
1,0,41742,308,308,1,39727,1
1,0,829858,120,120,1,827087,0
0,0,794113,242,242,0,793295,0
0,0,169312,66,66,0,166550,0
1,0,471708,198,198,1,469507,0
1,0,144749,118,118,1,141924,1
1,0,625252,228,228,1,622190,0
1,0,582823,21,21,1,581135,0
0,0,702008,180,180,0,700188,0
1,0,9553,114,114,1,7784,0
1,0,648458,159,159,1,645735,0
0,0,1917064,173,173,0,1914173,1
1,0,122539,190,190,1,120197,1
1,0,71114,195,195,1,69705,1
0,0,103187,322,322,0,101616,0
1,0,411506,58,58,1,408474,0
0,0,594892,226,226,0,591674,0
1,0,2350211,166,166,1,2347587,0
1,0,912033,74,74,1,909235,0
1,0,25743,230,230,1,24748,1
1,0,1182,93,93,1,1,1
0,0,4231,135,135,0,1391,1
0,0,14595,65,65,0,12280,1
1,0,9360,255,255,1,6577,0
1,0,14953,302,302,1,12005,1
1,0,88710,160,160,1,87850,1
1,0,760085,243,243,1,757590,0
1,0,14455,91,91,1,11690,0
1,0,106204,280,280,1,104012,1
0,0,4524,240,240,0,2574,0
1,0,486237,24,24,1,483109,0
0,0,19758,185,185,0,17038,0
0,0,47207,83,83,0,45534,1
0,0,36437,103,103,0,35517,1
1,0,5595,68,68,1,2761,1
1,0,931453,224,224,1,928565,0
1,0,2693,281,281,1,396,0
0,0,4036,63,63,0,1289,1
1,0,93761,72,72,1,90201,1
1,0,11733,75,75,1,9154,0
1,0,27235,148,148,1,24623,1
0,0,120500,321,321,0,118605,0
1,0,26060,260,260,1,23298,1
1,0,351197,216,216,1,348939,0
1,0,33122,282,282,1,30594,1
1,0,1425113,13,13,1,1422420,0
1,0,225780,80,80,1,223900,0
0,0,56433,248,248,0,54619,1
0,0,1739,11,11,0,3,1
0,0,201879,300,300,0,200095,0
1,0,1320804,151,151,1,1318300,0
0,0,650247,102,102,0,648161,0
0,0,3779,183,183,0,1517,0
0,0,64637,150,150,0,62859,1
1,0,4799,272,272,1,2103,0
1,0,7313,235,235,1,4734,0
0,0,19476,158,158,0,17815,1
1,0,7957,142,142,1,5381,0
0,0,840765,122,122,0,837994,0
1,0,2120212,106,106,1,2117660,0
0,0,739713,326,326,0,736933,0
0,0,2442,155,155,0,1297,1
1,0,29971,144,144,1,27197,1
1,0,1032018,49,49,1,1029001,0
1,0,16396,294,294,1,13598,0
1,0,492103,130,130,1,489575,0
0,0,3892,44,44,0,599,1
1,0,439193,287,287,1,435576,0
1,0,578138,100,100,1,576360,0
1,0,3857,104,104,1,1095,1
1,0,924785,236,236,1,922281,1
1,0,245943,61,61,1,244298,0
1,0,577397,7,7,1,576201,0
0,0,9141,219,219,0,8410,0
1,0,981807,278,278,1,979324,1
1,0,14712,220,220,1,11650,0
1,0,2360044,12,12,1,2358530,0
1,0,11256,253,253,1,8914,1
1,0,7825,92,92,1,5795,0
0,0,9869,53,53,0,8244,1
1,0,128705,207,207,1,127131,1
0,0,86361,188,188,0,83876,1
0,0,1981,298,298,0,2,0
1,0,483389,320,320,1,481422,0
1,0,494127,310,310,1,492577,1
0,0,21702,59,59,0,18811,0
1,0,38827,225,225,1,35924,1
1,0,5339,51,51,1,2904,1
0,0,748745,34,34,0,745776,0
1,0,3210,22,22,1,616,1
0,0,258722,217,217,0,256827,0
0,0,10587,182,182,0,8119,1
1,0,636457,212,212,1,635763,0
0,0,30562,279,279,0,28739,1
1,0,58311,299,299,1,56848,1
1,0,905988,98,98,1,903148,0
1,0,710712,200,200,1,708220,0
0,0,45706,261,261,0,43370,1
1,0,588116,3,3,1,586977,0
0,0,4613,117,117,0,1626,1
0,0,3158,6,6,0,342,1
1,0,690966,179,179,1,687994,0
1,0,15683,256,256,1,12888,0
1,0,378832,37,37,1,376718,0
1,0,39618,85,85,1,36688,1
0,0,571445,199,199,0,567813,0
0,0,467624,171,171,0,464685,0
1,0,2020967,177,177,1,2018517,0
0,0,4567,55,55,0,1604,0
1,0,24449,113,113,1,21516,0
0,0,54516,95,95,0,53479,1
1,0,197559,193,193,1,195199,1
0,0,955,154,154,0,2,1
1,0,1130391,197,197,1,1127446,0
0,0,61849,47,47,0,60071,1
1,0,1824669,164,164,1,1821786,0
1,0,21022,62,62,1,18272,1
1,0,517997,132,132,1,514713,0
1,0,2028531,267,267,1,2025571,0
1,0,4543,138,138,1,1706,1
0,0,77950,17,17,0,74987,1
0,0,1337382,270,270,0,1335682,0
0,0,1973,1,1,0,3,1
1,0,9934,88,88,1,6965,1
1,0,16389,181,181,1,14728,1
1,0,242630,119,119,1,239769,1
0,0,31215,301,301,0,30121,1
1,0,1175229,146,146,1,1172704,0
1,0,6217,319,319,1,3602,1
1,0,265804,202,202,1,263906,0
0,0,496864,169,169,0,494066,0
1,0,1709527,108,108,1,1707056,1
1,0,905310,38,38,1,902803,0
1,0,5025,156,156,1,2677,1
1,0,474181,192,192,1,471830,0
0,0,20670,139,139,0,18052,1
0,0,1434052,153,153,0,1432280,0
1,0,2327020,264,264,1,2324351,0
1,0,30617,149,149,1,28410,1
0,0,791878,121,121,0,790079,0
1,0,10460,78,78,1,8049,1
0,0,764760,203,203,0,762982,0
1,0,21822,317,317,1,18838,1
1,0,411543,244,244,1,408877,0
1,0,706189,14,14,1,704129,0
1,0,496021,26,26,1,493463,0
1,0,145152,315,315,1,142906,1
0,0,4421,31,31,0,3684,1
0,0,117865,210,210,0,115973,1
1,0,19013,45,45,1,16263,1
1,0,174847,194,194,1,172793,1
1,0,8963,175,175,1,6399,1
0,0,6840,285,285,0,3826,0
0,0,34372,2,2,0,33320,1
1,0,110366,249,249,1,107442,1
1,0,7278,97,97,1,4399,0
0,0,67475,297,297,0,65139,1
0,0,1140600,196,196,0,1138639,0
1,0,1174681,77,77,1,1172813,0
1,0,1443,19,19,1,1,1
0,0,7112,283,283,0,4374,1
1,0,1113039,296,296,1,1110685,1
1,0,7245,290,290,1,4687,1
1,0,12451,174,174,1,9695,1
0,0,2274,50,50,0,1,0
1,0,2194888,107,107,1,2192474,1
1,0,16715,187,187,1,14439,1
0,0,750304,208,208,0,747923,0
1,0,214887,306,306,1,212992,0
1,0,44770,25,25,1,42977,1
1,0,56555,323,323,1,54387,1
1,0,18751,110,110,1,16475,1
1,0,2149200,266,266,1,2146741,0
0,0,13820,28,28,0,12766,1
0,0,645301,276,276,0,642806,0
1,0,19819,123,123,1,16985,1
0,0,392186,223,223,0,389424,0
0,0,58458,115,115,0,55432,1
0,0,447897,286,286,0,446350,0
0,0,598524,94,94,0,596251,0
1,0,342240,152,152,1,339421,1
1,0,130785,105,105,1,128263,0
1,0,2892,67,67,1,97,0
1,0,596370,277,277,1,593812,0
1,0,46833,76,76,1,44356,0
1,0,670094,36,36,1,667467,0
0,0,2028848,178,178,0,2027736,0
1,0,68416,262,262,1,66416,1
1,0,4460,128,128,1,2295,0
0,1,655728,167,167,0,653962,0
1,0,201254,157,157,1,198909,0
1,0,4289,170,170,1,3018,1
1,0,3538,292,292,1,857,1
1,0,12394,304,304,1,9605,0
1,0,396132,245,245,1,393928,0
1,0,14564,60,60,1,12819,1
0,0,39476,269,269,0,36720,1
1,0,13956,214,214,1,10954,0
1,0,68621,191,191,1,67503,1
0,0,390438,238,238,0,389477,0
1,0,5678,129,129,1,4257,1
1,0,458839,16,16,1,457553,0
1,0,825842,311,311,1,823350,0
0,0,38223,30,30,0,36197,1
0,0,968,8,8,0,3,0
1,2,11541,325,325,1,8509,1
0,0,12865,289,289,0,9965,1
0,0,606712,237,237,0,603989,0
1,0,79885,229,229,1,77750,1
1,0,2982,71,71,1,445,1
1,0,22938,87,87,1,21226,1
1,0,1573917,165,165,1,1571158,0
0,0,531490,32,32,0,528650,0
0,0,4734,124,124,0,2191,0
0,0,729858,201,201,0,727477,0
0,0,367390,215,215,0,364778,0
0,0,966472,29,29,0,963723,0
0,0,18183,233,233,0,15433,0
1,0,4073,5,5,1,1218,0
1,0,15577,70,70,1,12521,1
1,0,2071578,163,163,1,2068987,0
1,0,27589,109,109,1,25172,0
1,0,22430,43,43,1,19944,1
1,0,181574,314,314,1,180063,1
1,0,801320,81,81,1,798915,0
0,0,11142,112,112,0,8839,1
1,0,16034,126,126,1,13233,0
1,0,10610,172,172,1,8169,1
0,0,553364,250,250,0,550602,0
1,0,16963,48,48,1,14936,0
0,0,1171911,147,147,0,1168945,0
1,0,585311,227,227,1,582390,0
1,0,1820,9,9,1,189,0
1,0,485801,33,33,1,483723,0
1,0,26744,324,324,1,24147,1
1,0,71684,295,295,1,69120,1
0,0,22871,4,4,0,21810,1
1,0,2325261,41,41,1,2323705,0
1,0,10910,90,90,1,8910,0
0,0,663320,259,259,0,660522,0
