ViafId,FreebaseId,OfficialWebsite,CommonsCategory
129454605.0,109,151,306
138813597.0,73,105,277
236371642.0,35,192,29
154758959.0,232,197,37
130187352.0,267,74,117
124335719.0,316,34,151
304538503.0,316,0,172
7.475148997656461e+21,98,78,128
251380480.0,162,163,249
158263965.0,155,173,232
168102849.0,161,0,172
139492016.0,209,284,70
138407449.0,177,177,284
143849075.0,316,49,80
125475793.0,315,161,25
234191213.0,289,77,122
154758959.0,232,197,37
147736716.0,260,280,301
159579700.0,36,278,298
243076111.0,216,233,134
316733607.0,179,17,13
149921888.0,169,7,267
123172222.0,57,150,303
222028075.0,34,224,104
146221602.0,300,154,304
127757650.0,60,222,72
150084602.0,274,104,189
312732044.0,241,185,12
150089697.0,9,58,202
142524838.0,142,125,226
146565993.0,246,132,6
148933771.0,69,190,58
316878015.0,76,25,153
136040784.0,24,16,87
149744041.0,75,85,130
153787951.0,108,239,254
137228189.0,251,209,68
133609710.0,164,159,275
147747721.0,277,64,94
240515288.0,227,62,91
143296197.0,100,136,248
147762058.0,273,240,149
154323889.0,166,184,280
243889070.0,99,65,97
124369919.0,43,137,239
146785329.0,146,244,169
169185894.0,237,29,55
124327357.0,11,0,231
149551740.0,33,167,274
235897079.0,316,4,102
132441531.0,202,221,69
156652814.0,145,260,167
158291886.0,272,37,21
264835402.0,150,0,164
149845755.0,316,0,211
237013719.0,91,0,172
167905464.0,304,273,126
312739635.0,310,165,308
154831329.0,253,0,293
136040784.0,24,16,87
251380480.0,162,163,249
153171915.0,281,232,234
154039736.0,26,281,302
144231507.0,151,245,178
165356017.0,261,13,9
143849075.0,316,49,80
147345791.0,295,69,106
144272257.0,280,157,313
168860481.0,54,0,265
3.8144648342599115e+19,127,269,263
143787274.0,221,97,166
170297260.0,184,236,140
139540695.0,230,45,155
316735070.0,158,10,266
146565993.0,246,132,6
155934955.0,7,57,205
145816661.0,121,66,101
1.2144647639603028e+19,186,0,172
147693495.0,165,264,272
124562170.0,147,135,242
124331820.0,10,55,193
124792169.0,4,228,115
169185894.0,237,29,55
156652814.0,145,260,167
140713831.0,174,241,285
140311233.0,298,72,109
316734418.0,212,0,299
147736716.0,260,280,301
152448610.0,117,251,208
2.3144814298750923e+19,252,259,246
127299962.0,49,162,43
167749132.0,223,42,20
124562170.0,147,135,242
129021221.0,262,186,14
154774965.0,13,53,196
134395876.0,22,172,84
135958350.0,245,51,78
141918290.0,122,115,201
236361347.0,250,148,297
128544491.0,105,170,116
7.475148997656461e+21,98,78,128
154758959.0,232,197,37
146669294.0,316,5,170
157098389.0,19,214,88
145420598.0,114,114,200
163480438.0,77,220,100
240105729.0,107,246,179
150098761.0,286,20,23
169605151.0,238,89,73
235204004.0,83,0,296
139739068.0,171,194,172
133156117.0,124,126,227
245823073.0,29,200,42
312549521.0,265,160,33
154803923.0,194,100,173
148920722.0,15,158,192
141914082.0,138,0,137
133677400.0,247,169,142
159635910.0,70,147,144
234980080.0,2,36,282
155855229.0,148,101,176
138486691.0,129,247,180
254102264.0,89,107,8
143875300.0,283,94,157
151283358.0,256,40,257
3.5144782953960296e+19,176,47,289
168643745.0,287,30,56
316431278.0,64,0,71
127828127.0,316,263,0
8.214542456398683e+19,240,0,305
152072361.0,224,88,145
6.014147727657465e+21,20,35,152
235522400.0,153,0,162
7.281485742973245e+20,125,0,57
125209978.0,111,243,165
155937641.0,81,8,238
167803551.0,316,0,172
140763599.0,228,266,255
142995804.0,87,282,90
149551740.0,33,167,274
145382516.0,311,19,22
126729863.0,135,112,195
141826349.0,168,67,270
128413012.0,71,275,61
140306806.0,61,0,250
130195798.0,199,139,253
154758959.0,232,197,37
315951683.0,316,68,163
146809177.0,93,18,17
124347765.0,312,91,213
167021112.0,208,234,136
136052582.0,249,61,85
136081793.0,50,215,82
147680367.0,62,203,51
149121152.0,308,80,160
153633776.0,51,216,11
154758959.0,232,197,37
312739660.0,48,256,237
247821920.0,189,0,172
238501890.0,131,237,141
245435132.0,21,110,138
133681437.0,6,59,207
158074156.0,67,199,59
153665086.0,210,193,30
170183917.0,288,219,99
234980080.0,2,36,282
139090781.0,279,187,15
316733280.0,79,131,236
158824135.0,123,188,18
155932452.0,291,225,107
153613090.0,27,180,1
261909586.0,313,12,32
150098761.0,286,20,23
158263965.0,155,173,232
233699358.0,5,213,197
144231507.0,151,245,178
159635910.0,70,147,144
139090781.0,279,187,15
150089700.0,17,210,219
125479061.0,258,268,259
158263965.0,155,173,232
204709298.0,316,0,172
143085917.0,78,217,95
3.446159820942314e+21,136,117,210
158263965.0,155,173,232
139492016.0,209,284,70
131312953.0,102,3,273
146584771.0,23,155,310
155855229.0,148,101,176
316431278.0,64,0,71
125046031.0,297,267,262
172016188.0,316,0,172
154758959.0,232,197,37
170297260.0,184,236,140
8.214542456398683e+19,240,0,305
155864429.0,144,238,147
128956370.0,175,257,290
124347063.0,63,108,278
316431278.0,64,0,71
169605151.0,238,89,73
134440270.0,271,140,261
3.446159820942314e+21,136,117,210
189116956.0,101,211,98
127389766.0,128,124,224
142519565.0,130,242,156
143071586.0,84,6,220
128479115.0,32,272,48
172535936.0,222,41,4
240575982.0,206,0,50
123100743.0,231,178,19
125492314.0,270,87,143
8.114481440771423e+19,197,0,75
148935135.0,255,270,256
124562170.0,147,135,242
147680367.0,62,203,51
189116956.0,101,211,98
140311233.0,298,72,109
132519121.0,141,120,218
247232196.0,90,32,63
127299962.0,49,162,43
134926349.0,316,0,172
248139919.0,172,144,281
152816100.0,316,0,172
153646202.0,118,2,216
154323889.0,166,184,280
125550855.0,37,28,54
137230658.0,38,96,105
151283358.0,256,40,257
235263855.0,196,0,83
316431278.0,64,0,71
129127119.0,44,138,241
154702212.0,181,283,309
158415129.0,269,15,158
125569162.0,3,22,294
234598004.0,68,265,252
132460416.0,205,129,103
167749132.0,223,42,20
234191213.0,289,77,122
170334907.0,188,0,27
132508744.0,159,133,186
234353633.0,214,46,188
140702847.0,314,196,36
316431278.0,64,0,71
152376980.0,65,153,76
149921888.0,169,7,267
129228832.0,234,152,92
142061839.0,316,0,172
135958350.0,245,51,78
150675140.0,92,202,49
151401243.0,316,0,172
123162663.0,163,261,245
138983708.0,193,103,184
133320235.0,143,0,264
150696197.0,191,274,276
123335724.0,307,79,159
132519121.0,141,120,218
239642545.0,157,14,10
316431278.0,64,0,71
146570365.0,248,48,74
6.444148574320824e+21,170,0,172
172439089.0,316,0,172
261909586.0,313,12,32
127379211.0,207,44,52
125479061.0,258,268,259
142522184.0,204,249,185
132508744.0,159,133,186
135561010.0,285,92,148
130170035.0,220,95,161
146565993.0,246,132,6
144231507.0,151,245,178
144231507.0,151,245,178
140824408.0,56,82,129
126805835.0,226,9,247
145420598.0,114,114,200
134852476.0,55,134,287
144875967.0,190,207,44
250779617.0,119,127,228
237013719.0,91,0,172
143615766.0,201,166,131
136077614.0,115,113,198
155934080.0,254,164,154
131284385.0,278,149,300
154774965.0,13,53,196
137228189.0,251,209,68
133320235.0,143,0,264
167448500.0,244,0,279
128920262.0,42,109,124
245615266.0,80,0,86
149551740.0,33,167,274
157098389.0,19,214,88
144231507.0,151,245,178
149744041.0,75,85,130
133623905.0,266,231,81
234764773.0,52,171,183
146903411.0,40,230,127
143849075.0,316,49,80
144231507.0,151,245,178
140698851.0,96,63,182
137913992.0,276,227,113
261909586.0,313,12,32
132522106.0,82,0,89
189116956.0,101,211,98
247821920.0,189,0,172
158263965.0,155,173,232
152361066.0,110,76,120
137191199.0,152,248,181
2.3144814298750923e+19,252,259,246
125708410.0,182,285,312
133235826.0,211,168,67
236381063.0,215,75,118
158263965.0,155,173,232
4.891454246100868e+20,94,0,38
245909322.0,160,116,206
247680186.0,85,262,251
142524838.0,142,125,226
128594881.0,66,218,60
138365642.0,219,31,62
139586873.0,58,258,244
133320235.0,143,0,264
160050945.0,213,279,146
135580970.0,299,73,111
316431278.0,64,0,71
152428924.0,139,123,223
130173784.0,59,26,45
147693495.0,165,264,272
6.914464842445348e+19,282,255,233
137152383.0,173,142,268
139904780.0,235,84,135
144739790.0,293,102,177
261909586.0,313,12,32
134883260.0,86,0,132
134349049.0,45,174,240
129821845.0,239,205,243
124906451.0,120,223,123
138983708.0,193,103,184
143057405.0,303,27,47
158991425.0,97,176,93
123513507.0,225,106,191
126729863.0,135,112,195
136077614.0,115,113,198
168643745.0,287,30,56
261909586.0,313,12,32
146210387.0,149,0,174
145816661.0,121,66,101
158415129.0,269,15,158
143787274.0,221,97,166
153171915.0,281,232,234
155860715.0,180,179,307
155932452.0,291,225,107
153737106.0,74,0,175
158296428.0,25,206,65
136050044.0,46,0,64
124562170.0,147,135,242
129077658.0,39,81,125
127030001.0,264,50,77
158263965.0,155,173,232
