STRAND_ORIENTATION,ORTHOLOG_ID,GENOMIC_END_POSITION,GENE_DB_ID,ENCODED_PROTEIN,CHROMOSOME_ID,GENOMIC_START_POSITION
0,23,961008,37,0,0,960057
0,23,818515,30,0,0,817520
0,11,1798060,167,0,4,1797042
1,20,74070,136,0,1,73103
0,14,2500826,202,1,7,2499858
1,23,3747742,125,0,0,3746758
0,24,2052986,223,0,9,2051981
0,23,1493581,54,0,0,1492608
0,23,2790671,93,0,0,2789740
1,1,192905,265,0,13,191876
1,12,81446,174,0,6,80444
0,3,2402964,201,0,7,2401983
1,23,3501883,117,0,0,3500926
1,23,1169323,46,0,0,1168314
1,23,2609560,88,0,0,2608581
0,2,175684,5,1,0,174773
0,3,2611171,204,0,7,2610116
1,23,3907034,131,0,0,3906026
0,23,756430,28,0,0,755452
0,10,2620539,244,1,12,2619563
1,20,1379,134,0,1,408
1,2,1719528,63,1,0,1718592
0,17,2929889,254,0,12,2928926
0,23,29762,1,0,0,28779
1,8,146994,175,1,6,146054
1,2,3832545,128,1,0,3831499
0,8,1944091,179,1,6,1943137
1,23,2931247,99,0,0,2930282
1,3,80570,188,0,7,79583
1,2,3864794,129,1,0,3863936
1,24,29305,219,0,9,28341
0,3,2787380,212,0,7,2786407
1,23,2970973,102,0,0,2969987
0,11,1819402,168,0,4,1818421
0,23,2886495,96,0,0,2885569
1,23,1029803,40,2,0,1028849
1,6,47733,215,0,8,46712
1,23,1831592,67,0,0,1830638
0,5,1202243,144,0,2,1201265
0,23,1323924,50,0,0,1322970
0,17,2991514,257,0,12,2990543
0,2,1609442,58,1,0,1608554
0,23,325126,9,0,0,324116
0,10,2866118,251,1,12,2865319
1,3,257930,196,0,7,256958
0,18,825304,169,1,5,824320
0,23,797603,29,0,0,796557
1,0,62075,135,1,1,61062
1,9,83058,232,0,10,82100
1,9,243795,236,0,10,242828
0,23,101259,4,0,0,100271
1,23,3485524,116,0,0,3484511
0,23,854400,34,0,0,853408
1,2,530848,17,1,0,529877
1,11,93901,156,0,4,93026
0,22,2164937,226,1,9,2163912
1,2,3565904,119,1,0,3564858
0,17,2729418,249,0,12,2728442
1,23,3958204,133,0,0,3957431
1,23,1842055,68,0,0,1841258
1,23,3896577,130,0,0,3895570
1,23,3626724,122,0,0,3625683
0,23,264759,7,0,0,263742
1,23,1863193,69,0,0,1862233
0,23,418380,13,0,0,417494
0,5,1314686,150,0,2,1313668
1,23,1158170,45,0,0,1157129
1,14,188127,193,1,7,187156
1,2,1104725,43,0,0,1103973
1,6,59985,216,0,8,58996
1,19,3129,141,1,2,2111
0,17,2571118,241,0,12,2570141
0,3,2630816,205,0,7,2629838
0,3,2768159,211,0,7,2767187
0,8,2075234,183,1,6,2074416
1,1,77248,261,0,13,76246
1,16,19593,238,1,11,18641
1,14,116363,190,1,7,115392
1,2,992940,38,1,0,992231
1,3,268646,197,0,7,267636
1,11,82197,155,0,4,81176
0,23,1206640,47,0,0,1205634
1,24,10066,218,0,9,9119
1,3,47279,186,0,7,46316
0,2,7609,0,1,0,6614
1,23,3008310,104,0,0,3007265
0,23,1632520,59,0,0,1631515
0,23,52191,2,0,0,51200
0,23,1435342,52,0,0,1434369
0,23,2247622,81,0,0,2246622
0,3,2599688,203,0,7,2598686
0,23,937139,36,0,0,936183
0,2,462656,15,1,0,461872
1,23,2647975,89,0,0,2647001
1,23,1550036,56,0,0,1549070
1,2,474134,16,1,0,473342
0,17,2718036,248,0,12,2717006
0,23,361388,11,0,0,360375
1,23,2598728,87,0,0,2597760
0,2,1305031,49,1,0,1304292
0,11,1753616,162,0,4,1752621
0,10,2694134,247,1,12,2693159
1,23,3821699,127,0,0,3820752
1,13,207934,235,1,10,206941
0,17,2806993,250,0,12,2805961
0,23,1647699,60,0,0,1646762
0,23,1456456,53,0,0,1455519
1,12,5080,170,0,6,4079
1,3,35674,185,0,7,34737
1,7,2821,258,1,13,1796
0,12,2037842,182,0,6,2036855
0,11,1782786,165,0,4,1781826
1,23,1758744,64,0,0,1757779
0,23,1410592,51,0,0,1409631
0,17,2491047,240,0,12,2490060
1,1,98100,262,0,13,97104
0,23,669332,24,0,0,668377
1,15,7509,214,1,8,6770
1,11,36053,154,0,4,35076
1,2,1571655,57,1,0,1570786
1,3,56587,187,0,7,55870
1,21,168621,157,1,4,168018
1,1,204979,266,0,13,203989
1,14,300350,198,1,7,299433
0,5,1190403,143,0,2,1189413
1,23,3699200,124,0,0,3698199
0,5,1242580,145,0,2,1241593
1,23,2901620,97,0,0,2900680
1,23,2595178,86,0,0,2594197
0,3,2799553,213,0,7,2798511
0,23,3422379,115,0,0,3421396
1,7,49077,259,1,13,48083
0,23,632947,23,0,0,631997
1,3,4464,184,0,7,3665
1,23,2023898,77,0,0,2022911
1,23,3035493,105,0,0,3034472
1,2,1004126,39,1,0,1003339
1,23,2953405,100,0,0,2952535
