Strand_Orientation,Gene_Description,Genomic_Start_Position,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
1,0,20602,4,13,21243
1,0,617066,4,230,617680
0,1,339536,4,411,340144
0,0,861431,3,239,862102
0,0,1874526,4,215,1875155
1,0,632827,2,231,633183
0,0,58891,4,47,59685
0,0,1610868,4,328,1611491
0,0,31012,4,355,31626
1,0,75574,4,276,76266
0,0,430509,4,11,430625
0,0,287506,4,173,288480
0,0,1186465,4,344,1187163
0,0,1199621,4,310,1200244
0,0,18276,4,388,18926
1,0,2114982,4,24,2115566
1,0,1109041,4,314,1109679
1,0,987,4,49,1559
0,0,413337,4,416,413954
1,0,159101,4,65,159847
1,0,1138561,4,313,1139142
1,0,461563,4,362,462219
1,0,512,4,165,1348
0,0,1344239,4,196,1344856
1,0,203195,2,68,203566
1,0,3085,4,193,3660
0,0,1001410,4,93,1001979
0,0,1671336,3,117,1671935
1,0,2760,4,160,3008
0,0,17072,4,346,17644
0,0,392783,4,278,393310
0,0,1024453,4,189,1025055
1,0,1654004,4,29,1654543
1,0,10434,4,12,11006
0,0,1840178,4,108,1840810
1,0,1181541,4,311,1182146
1,0,355831,3,429,356421
0,0,398035,4,246,398667
1,0,1235211,2,185,1235855
0,0,1806064,4,335,1806636
0,0,6641,4,51,7249
0,0,451995,4,279,452612
0,0,425384,2,137,425782
0,0,531,4,1,1121
1,0,724664,4,148,725245
0,0,7151,2,341,7534
0,0,14272,4,375,14571
0,0,243556,4,286,244449
0,0,621803,4,25,622513
0,0,260553,4,172,261062
0,0,252442,4,176,253089
0,0,304515,4,370,305429
0,0,689434,3,145,690105
1,0,25487,4,303,26110
0,0,54550,4,79,55203
1,0,6140,4,224,6670
0,0,467418,4,363,467996
0,0,750,2,125,1079
1,1,1784156,4,331,1784731
0,0,1391459,4,306,1392058
1,0,173294,4,63,174019
1,0,44119,3,393,44727
0,0,978390,1,273,978860
0,0,6638,4,259,7294
0,0,8734,2,129,9111
1,0,640880,4,81,641578
0,0,2211,4,15,2852
0,0,1609563,4,113,1610144
1,0,225092,3,67,225709
1,0,262,4,4,873
1,0,503911,3,425,504309
0,0,1054,4,376,1707
0,0,569783,4,73,570400
0,0,896894,4,270,897457
1,0,528356,4,290,528985
1,0,929947,4,240,930600
0,0,459083,4,247,459742
0,0,8245,4,374,8892
0,0,409799,4,179,410431
1,0,95094,4,62,95645
1,0,296102,4,419,296809
1,0,438168,4,31,438791
0,0,302005,4,242,302673
0,0,331510,4,409,332148
0,0,22523,2,56,22912
1,0,19953,4,72,20624
0,0,275592,4,133,276224
1,0,605367,4,236,605996
1,0,630704,4,155,631273
1,0,892445,3,237,893116
1,0,9376,4,32,9993
1,0,1447573,4,87,1448091
1,0,11959,4,195,12594
0,0,388676,4,245,389569
0,0,27344,4,42,28027
1,0,426186,4,134,426818
0,0,31979,4,260,32545
0,0,10828,3,39,11424
0,0,473496,4,352,474095
1,0,891058,1,269,891600
1,0,1570405,4,119,1570983
1,0,486679,4,199,487260
0,0,27985,3,127,28680
0,0,478315,4,100,478938
0,0,1108595,4,396,1109266
0,0,21193,4,343,21792
1,0,651543,4,234,652493
1,0,537880,4,143,538452
0,0,21079,4,227,21840
0,0,567485,2,122,567898
0,0,52718,5,395,53116
0,0,308044,4,368,308712
1,0,640657,4,232,641268
0,0,1590720,4,329,1591262
0,0,558976,2,141,559332
0,0,642618,4,197,643220
1,0,587969,3,154,588625
0,0,268954,4,418,269583
0,0,1590901,3,209,1591401
1,0,1059636,4,187,1060193
0,0,271798,4,178,272757
0,0,21179,4,337,21892
1,0,400036,4,54,400683
0,0,11139,4,43,11825
1,0,610288,4,365,610947
0,0,1182499,4,323,1183104
0,0,1870641,4,107,1871216
1,0,1099440,4,405,1100102
0,0,222562,4,287,223254
1,0,2130250,4,103,2130876
1,0,4696,4,228,5418
1,0,273715,4,170,274287
1,0,211887,4,428,212591
0,0,252897,4,168,253619
1,0,190256,4,64,190891
1,0,32910,4,389,33533
0,0,65685,4,299,66227
1,0,1037734,4,188,1038285
0,0,1298663,4,183,1299223
0,0,554104,4,76,555039
1,0,1789544,4,216,1790185
1,0,110344,5,152,110877
0,0,69732,4,296,70385
0,0,406078,4,135,406686
1,1,1893637,4,109,1894275
0,0,48349,4,356,48963
0,0,62859,4,61,63431
0,0,563114,2,92,563485
1,0,1330,3,14,1947
1,1,849029,4,22,849658
0,0,16593,4,264,17246
1,0,10975,4,257,11667
1,0,1191744,4,312,1192370
1,0,789061,4,147,789660
0,0,484143,4,353,484940
0,0,550740,2,223,551183
0,0,1664528,4,28,1665163
0,0,15231,4,359,15815
0,0,422700,4,201,423275
0,0,49587,4,394,50225
0,0,23259,4,360,23909
0,0,1934724,4,212,1935320
1,0,1439215,4,88,1439745
0,0,1646206,4,210,1646736
1,0,4736,4,348,5356
0,0,281250,4,177,281837
0,0,216745,4,21,217404
0,0,462006,4,136,462632
0,0,564760,2,380,565167
1,0,4241,4,6,4939
0,0,496699,4,249,497547
0,0,2159390,4,324,2159962
1,0,1721857,4,336,1722444
1,0,626559,4,83,627125
0,0,509916,4,430,510533
1,0,2102468,4,217,2103139
0,0,211245,5,417,211634
1,0,34262,4,265,34921
0,0,1578312,4,118,1578872
0,0,601444,4,158,602022
1,0,8904,4,194,9539
1,0,497083,4,293,497850
0,0,464038,4,351,465000
0,0,282588,4,423,283286
0,0,1279,4,41,1863
0,0,1337152,3,207,1337715
1,0,10110,2,37,10499
0,0,5888,2,128,6256
0,0,76545,4,58,77237
0,0,1685527,0,115,1685667
1,0,583626,4,131,584282
0,0,1211533,4,309,1212108
1,0,7124,4,391,8071
1,0,636250,4,156,636879
1,0,1356881,4,308,1357417
1,0,1412725,4,206,1413348
0,0,897068,4,238,897652
1,0,101630,4,0,102031
0,0,459570,4,280,460277
1,0,550314,4,288,550961
1,0,2081918,4,34,2082607
1,0,672981,4,182,673589
0,0,261997,4,284,262590
0,0,1069351,4,191,1069989
1,0,53294,4,398,54130
1,0,237978,4,169,238595
1,0,2039173,4,326,2039757
0,0,54300,4,263,55031
1,0,42403,4,390,42738
1,0,698387,4,95,698962
1,0,1037092,4,367,1037760
0,0,522157,4,431,522585
1,0,1652444,4,111,1653046
0,0,610333,4,153,610905
0,0,9067,4,358,9693
0,0,331098,4,150,331967
1,0,57381,4,60,57983
0,0,487683,4,248,488252
0,0,151562,4,400,152203
1,0,6941,4,166,7816
0,0,472107,4,250,473006
1,0,8412,4,253,8984
0,0,295724,4,241,296422
0,0,88,4,371,786
0,0,540331,4,101,541203
1,0,1198,4,252,1896
0,0,432955,4,202,433446
0,0,296609,4,220,297265
0,0,420860,4,415,421453
1,0,10142,4,161,10738
0,0,422386,4,180,422988
0,0,738989,4,268,739582
0,0,741234,4,198,741926
1,0,2020752,4,35,2021354
0,0,21845,3,52,22510
0,0,12349,4,339,12963
1,0,1279111,4,186,1279824
0,0,2140400,4,325,2141017
1,0,212727,4,69,213605
1,0,648745,4,233,649380
1,0,1772775,3,332,1773473
1,0,542232,4,289,542828
1,0,2544,4,159,3185
1,0,1093786,4,316,1094415
0,0,547909,2,140,548259
0,0,4066,4,225,4704
0,0,67067,4,413,67780
0,0,287768,4,219,288418
1,0,497556,4,427,498188
1,0,632488,4,80,633393
0,0,606242,4,84,606832
1,0,10641,4,48,11303
1,0,666332,4,3,667099
