Strand_Orientation,Gene_Description,Genomic_Start_Position,Encoded_Protein,Gene_Db_Id,Genomic_End_Position
1,0,2152117,4,106,2152710
0,0,750414,4,201,750998
1,0,497083,4,296,497850
1,0,652923,4,84,653543
0,0,729363,4,96,729959
1,0,350453,2,414,350824
1,0,583626,4,133,584282
0,0,425384,2,142,425782
0,0,1260970,3,324,1261581
0,0,160181,4,403,160801
0,0,10210,3,104,10872
1,0,411981,4,282,412598
1,0,513441,4,295,514088
1,0,666332,4,4,667099
0,0,243556,4,290,244449
0,0,222562,4,291,223254
0,0,259935,4,176,260483
0,0,1077559,4,193,1078119
1,0,197730,4,42,198335
1,0,1242540,4,187,1243238
0,0,1175530,4,399,1176204
0,0,5628,4,387,6197
1,0,38181,4,79,38888
0,0,374062,4,41,374682
0,0,1420101,4,91,1420673
1,0,388043,2,195,388432
0,0,70109,4,59,70633
0,0,10535,4,374,11230
0,0,694383,4,307,694973
0,0,1677395,4,118,1677970
0,0,5141,4,375,5761
0,0,1885670,4,218,1886263
1,0,310645,4,422,311313
1,0,273715,4,173,274287
0,0,455483,4,321,456160
1,0,35961,4,385,36542
0,0,540331,4,103,541203
1,0,374536,4,122,375081
1,0,1142287,4,409,1142859
1,0,1480762,4,93,1481322
1,0,1306226,4,209,1306828
1,0,1236,4,6,1739
0,0,404699,4,141,405277
0,0,1586741,4,212,1587490
1,0,1612,4,287,2442
1,1,327337,4,424,327963
0,0,1410949,4,21,1411596
0,0,252442,4,177,253089
0,0,916954,4,275,917604
1,0,358038,2,279,358436
1,0,11081,2,47,11470
1,0,370350,4,278,371048
0,0,1942577,4,9,1943209
1,0,6853,4,270,7470
1,0,75574,4,281,76266
1,0,20602,4,14,21243
1,0,605367,4,239,605996
0,0,331510,4,411,332148
0,0,861431,3,242,862102
0,0,1874526,4,219,1875155
1,0,617066,4,234,617680
0,0,58891,4,49,59685
0,0,1610868,4,330,1611491
0,0,31012,4,357,31626
0,0,67067,4,415,67780
0,0,424565,4,249,425359
0,0,287506,4,175,288480
0,0,1186465,4,346,1187163
0,0,1199621,4,312,1200244
0,0,18276,4,390,18926
1,0,2114982,4,25,2115566
1,0,1109041,4,316,1109679
1,0,987,4,51,1559
0,0,413337,4,418,413954
0,0,128075,2,416,128464
1,0,1138561,4,315,1139142
1,0,461563,4,364,462219
1,0,512,4,168,1348
0,0,1344239,4,199,1344856
1,0,190256,4,66,190891
1,0,3085,4,196,3660
0,0,1001410,4,95,1001979
0,0,1671336,3,119,1671935
1,0,2760,4,164,3008
0,0,17072,4,348,17644
0,0,392783,4,283,393310
0,0,1024453,4,192,1025055
1,0,1654004,4,30,1654543
1,0,10434,4,13,11006
0,0,1840178,4,110,1840810
1,0,1181541,4,313,1182146
1,0,376496,4,363,377041
0,0,388676,4,250,389569
1,0,1235211,2,188,1235855
0,0,1806064,4,337,1806636
0,0,6641,4,53,7249
0,0,451995,4,284,452612
0,0,410251,2,143,410649
0,0,531,4,2,1121
1,0,724664,4,152,725245
0,0,7151,2,343,7534
0,0,14272,4,377,14571
0,0,237338,4,288,237931
0,0,621803,4,26,622513
0,0,252897,4,171,253619
0,0,243160,4,180,244194
0,0,304515,4,372,305429
0,0,689434,3,149,690105
1,0,22609,2,305,22995
1,0,46335,4,80,47042
1,0,6140,4,228,6670
0,0,467418,4,365,467996
0,0,750,2,127,1079
1,1,1784156,4,333,1784731
0,0,1391459,4,308,1392058
1,0,170208,4,68,170789
1,0,44119,3,395,44727
0,0,978390,1,277,978860
0,0,6638,4,263,7294
0,0,8734,2,131,9111
1,0,632488,4,82,633393
0,0,2211,4,16,2852
0,0,1609563,4,115,1610144
1,0,218985,4,71,219644
1,0,262,4,5,873
0,0,462006,4,140,462632
0,0,1054,4,378,1707
0,0,554104,4,78,555039
0,0,896894,4,274,897457
1,0,522417,4,294,522983
1,0,929947,4,243,930600
0,0,444747,4,134,445439
0,0,8245,4,376,8892
0,0,406639,4,183,407298
1,0,95094,4,64,95645
1,0,296102,4,421,296809
1,0,438168,4,32,438791
0,0,295724,4,245,296422
1,0,311224,2,412,311595
0,0,22523,2,58,22912
1,0,19953,4,74,20624
0,0,275592,4,137,276224
1,0,602248,4,238,603114
0,0,610333,4,157,610905
1,0,892445,3,240,893116
1,0,9376,4,33,9993
1,0,1447573,4,89,1448091
1,0,11959,4,198,12594
0,0,367096,4,155,367683
0,0,27344,4,44,28027
0,0,406078,4,139,406686
0,0,31979,4,264,32545
0,0,10828,3,40,11424
0,0,473496,4,354,474095
1,0,891058,1,273,891600
1,0,1570405,4,121,1570983
1,0,486679,4,202,487260
0,0,27985,3,129,28680
0,0,478315,4,102,478938
0,0,1108595,4,398,1109266
0,0,21193,4,345,21792
1,0,648745,4,237,649380
1,0,537880,4,147,538452
0,0,21079,4,231,21840
0,0,567485,2,124,567898
0,0,52718,5,397,53116
0,0,302005,4,246,302673
1,0,632827,2,235,633183
0,0,1590720,4,331,1591262
0,0,558976,2,145,559332
1,0,626603,4,100,627298
1,0,554545,4,429,555039
0,0,268954,4,420,269583
0,0,1590901,3,213,1591401
1,0,1059636,4,190,1060193
0,0,271798,4,179,272757
0,0,21179,4,339,21892
1,0,400036,4,56,400683
0,0,11139,4,45,11825
1,0,610288,4,367,610947
0,0,1182499,4,325,1183104
0,0,1870641,4,109,1871216
1,0,1099440,4,407,1100102
0,0,216745,4,22,217404
1,0,2130250,4,105,2130876
1,0,4696,4,232,5418
0,0,266226,4,174,266951
0,0,642618,4,200,643220
1,0,237978,4,172,238595
1,0,173294,4,65,174019
1,0,32910,4,391,33533
0,0,65685,4,302,66227
1,0,1037734,4,191,1038285
0,0,1298663,4,186,1299223
0,0,548651,4,75,549268
1,0,1789544,4,220,1790185
1,0,110344,5,156,110877
1,0,43754,3,301,44362
1,0,374682,4,426,375323
1,1,1893637,4,111,1894275
0,0,48349,4,358,48963
0,0,62859,4,63,63431
0,0,563114,2,94,563485
1,0,1330,3,15,1947
1,1,849029,4,23,849658
0,0,16593,4,268,17246
1,0,10975,4,261,11667
1,0,1191744,4,314,1192370
1,0,789061,4,151,789660
0,0,484143,4,355,484940
0,0,550740,2,227,551183
0,0,1664528,4,29,1665163
0,0,15231,4,361,15815
0,0,422700,4,204,423275
0,0,49587,4,396,50225
0,0,23259,4,362,23909
0,0,1934724,4,216,1935320
1,0,1439215,4,90,1439745
0,0,1646206,4,214,1646736
1,0,4736,4,350,5356
0,0,281250,4,178,281837
0,0,422386,4,182,422988
0,0,430704,4,427,431207
0,0,564760,2,382,565167
1,0,4241,4,7,4939
0,0,487683,4,252,488252
0,0,2159390,4,326,2159962
1,0,1721857,4,338,1722444
1,0,209840,3,136,210445
1,0,636250,4,160,636879
1,0,2102468,4,221,2103139
0,0,211245,5,419,211634
1,0,34262,4,269,34921
0,0,1578312,4,120,1578872
0,0,595866,4,161,596495
1,0,8904,4,197,9539
1,0,490859,4,297,491431
0,0,464038,4,353,465000
0,0,282588,4,425,283286
0,0,1279,4,43,1863
0,0,1337152,3,211,1337715
1,0,10110,2,38,10499
0,0,5888,2,130,6256
0,0,76545,4,60,77237
0,0,1685527,0,117,1685667
1,0,565864,4,298,566496
0,0,1211533,4,311,1212108
1,0,7124,4,393,8071
1,0,630704,4,159,631273
1,0,1356881,4,310,1357417
1,0,1412725,4,210,1413348
0,0,897068,4,241,897652
1,0,101630,4,0,102031
0,0,459570,4,285,460277
1,0,542232,4,292,542828
1,0,2081918,4,35,2082607
1,0,672981,4,185,673589
0,0,252895,4,289,253563
0,0,1069351,4,194,1069989
1,0,53294,4,400,54130
1,0,225092,3,69,225709
1,0,2039173,4,328,2039757
0,0,54300,4,267,55031
1,0,42403,4,392,42738
1,0,698387,4,97,698962
1,0,1037092,4,369,1037760
0,0,509916,4,431,510533
1,0,1652444,4,113,1653046
0,0,601444,4,162,602022
0,0,9067,4,360,9693
0,0,325122,4,371,325661
1,0,57381,4,62,57983
0,0,481446,4,255,482096
0,0,151562,4,402,152203
1,0,6941,4,169,7816
0,0,459083,4,251,459742
1,0,8412,4,257,8984
0,0,284026,4,247,285006
0,0,88,4,373,786
0,0,520573,4,208,521226
1,0,1198,4,256,1896
0,0,432955,4,205,433446
0,0,296609,4,224,297265
0,0,420860,4,417,421453
1,0,10142,4,165,10738
0,0,409799,4,181,410431
0,0,738989,4,272,739582
0,0,496699,4,253,497547
1,0,2020752,4,36,2021354
0,0,21845,3,54,22510
0,0,12349,4,341,12963
1,0,1279111,4,189,1279824
0,0,2140400,4,327,2141017
1,0,203195,2,70,203566
1,0,640657,4,236,641268
1,0,1772775,3,334,1773473
1,0,536468,4,293,537100
1,0,2544,4,163,3185
1,0,1093786,4,318,1094415
0,0,547909,2,144,548259
0,0,4066,4,229,4704
0,0,54550,4,81,55203
0,0,287768,4,223,288418
0,0,165327,4,18,165971
1,0,626559,4,85,627125
0,0,606242,4,86,606832
1,0,10641,4,50,11303
1,0,660867,4,1,661517
