STRAND_ORIENTATION,GENOMIC_END_POSITION,GENE_ID,GENE_DB_ID,ENCODED_PROTEIN,CHROMOSOME_ID,GENOMIC_START_POSITION
0,2611171,204,204,0,7,2610116
0,2751961,210,210,0,7,2751003
0,2075234,182,182,1,6,2074416
1,65837,260,260,0,13,64781
1,19593,238,238,1,11,18641
1,116363,190,190,1,7,115392
0,914773,35,35,1,0,913902
1,257930,196,196,0,7,256958
1,82197,154,154,0,4,81176
0,1206640,46,46,0,0,1205634
1,59985,216,216,0,8,58996
1,35674,185,185,0,7,34737
1,315605,267,267,0,13,314638
1,3008310,103,103,0,0,3007265
0,1632520,58,58,0,0,1631515
0,52191,2,2,0,0,51200
0,1435342,51,51,0,0,1434369
0,2247622,80,80,0,0,2246622
0,2402964,201,201,0,7,2401983
0,937139,36,36,0,0,936183
0,407514,12,12,1,0,406664
1,2647975,88,88,0,0,2647001
1,1550036,55,55,0,0,1549070
0,462656,15,15,1,0,461872
0,2659219,246,246,0,12,2658195
0,361388,11,11,0,0,360375
1,2598728,86,86,0,0,2597760
0,1305031,48,48,1,0,1304292
0,1753616,161,161,0,4,1752621
0,2694134,247,247,1,12,2693159
1,3821699,126,126,0,0,3820752
1,207934,235,235,1,10,206941
0,2729418,249,249,0,12,2728442
0,1647699,59,59,0,0,1646762
0,1456456,52,52,0,0,1455519
1,5080,169,169,0,6,4079
1,23469,184,184,0,7,22545
1,2821,258,258,1,13,1796
0,2037842,181,181,0,6,2036855
0,1782786,164,164,0,4,1781826
1,1758744,63,63,0,0,1757779
0,1410592,50,50,0,0,1409631
0,2410931,239,239,0,12,2409980
1,77248,261,261,0,13,76246
0,669332,24,24,0,0,668377
1,7509,214,214,1,8,6770
1,36053,153,153,0,4,35076
1,1571655,56,56,1,0,1570786
1,47279,186,186,0,7,46316
1,168621,156,156,1,4,168018
1,192905,265,265,0,13,191876
1,300350,197,197,1,7,299433
0,1190403,142,142,0,2,1189413
1,3699200,123,123,0,0,3698199
0,1242580,144,144,0,2,1241593
1,2901620,96,96,0,0,2900680
1,2595178,85,85,0,0,2594197
0,2787380,212,212,0,7,2786407
0,3422379,114,114,0,0,3421396
1,49077,259,259,1,13,48083
0,632947,23,23,0,0,631997
1,4464,183,183,0,7,3665
1,2023898,76,76,0,0,2022911
1,3035493,104,104,0,0,3034472
1,992940,38,38,1,0,992231
1,2953405,99,99,0,0,2952535
