Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Orthologous_Gene,Genomic_Start_Position,Strand_Orientation
1,0,499409,366,366,3,55,498789,0
0,0,262228,38,38,4,167,261515,0
0,0,350824,414,414,2,97,350453,1
0,0,224418,167,167,4,21,223792,0
0,0,17055,49,49,4,42,16375,0
0,0,1049,284,284,4,67,204,1
0,0,807166,152,152,4,115,806492,1
1,0,874302,275,275,3,116,873739,1
0,0,281,10,10,5,72,3,1
0,0,16035,342,342,4,53,15472,0
0,0,311595,412,412,2,97,311224,1
0,0,6125,11,11,4,72,5631,1
0,0,578960,78,78,4,113,578253,0
0,0,1670681,29,29,4,121,1670067,0
1,0,544317,147,147,1,111,543658,0
0,0,285006,246,246,4,132,284026,0
0,0,482096,254,254,4,108,481446,0
0,0,16573,165,165,4,125,15977,0
0,0,1236,125,125,4,0,691,0
0,0,2152710,106,106,4,159,2152117,1
0,0,218124,166,166,4,21,217234,0
0,0,497850,295,295,4,42,497083,1
0,0,314714,123,123,4,25,314181,0
0,0,729959,96,96,4,17,729363,0
0,0,358436,278,278,2,56,358038,1
0,0,584282,133,133,4,6,583626,1
0,1,22696,74,74,4,60,22061,1
1,0,1261581,324,324,3,128,1260970,0
0,0,160801,403,403,4,49,160181,0
1,0,10872,104,104,3,101,10210,0
0,0,412598,280,280,4,45,411981,1
0,0,514088,294,294,4,42,513441,1
0,0,667099,4,4,4,6,666332,1
0,0,253563,288,288,4,130,252895,0
0,0,237931,286,286,4,23,237338,0
0,0,266589,177,177,4,21,265723,0
0,0,1078119,193,193,4,159,1077559,0
0,0,198335,43,43,4,6,197730,1
0,0,1243238,187,187,4,159,1242540,1
0,0,1176204,399,399,4,5,1175530,0
0,0,6197,387,387,4,153,5628,0
0,0,47042,81,81,4,31,46335,1
0,0,374682,42,42,4,17,374062,0
0,0,1420673,91,91,4,159,1420101,0
0,0,388432,195,195,2,73,388043,1
0,0,70633,60,60,4,125,70109,0
0,0,11230,374,374,4,124,10535,0
0,0,694973,307,307,4,69,694383,0
0,0,1677970,118,118,4,135,1677395,0
0,0,5761,375,375,4,22,5141,0
0,0,1886263,218,218,4,100,1885670,0
0,0,311313,422,422,4,134,310645,1
0,0,282372,174,174,4,47,281740,1
0,0,456160,321,321,4,117,455483,0
0,0,36542,385,385,4,148,35961,1
0,0,541203,103,103,4,64,540331,0
0,0,377041,363,363,4,25,376496,1
0,0,1142859,409,409,4,48,1142287,1
0,0,1481322,93,93,4,74,1480762,1
0,0,1306828,209,209,4,90,1306226,1
0,0,1739,6,6,4,34,1236,1
0,0,410649,141,141,2,31,410251,0
0,0,1587490,212,212,4,90,1586741,0
0,0,2442,285,285,4,29,1612,1
0,1,327963,424,424,4,96,327337,1
0,0,1411596,22,22,4,17,1410949,0
0,0,260483,178,178,4,98,259935,0
0,0,917604,274,274,4,100,916954,0
0,0,371048,277,277,4,97,370350,1
0,0,11470,48,48,2,125,11081,1
0,0,377176,142,142,4,97,376607,0
0,0,1943209,9,9,4,57,1942577,0
0,0,7470,269,269,4,125,6853,1
0,0,120884,35,35,2,105,120498,0
0,0,21243,15,15,4,16,20602,1
0,0,605996,239,239,4,6,605367,1
0,1,340144,413,413,4,97,339536,0
1,0,862102,242,242,3,1,861431,0
0,0,1875155,219,219,4,48,1874526,0
0,0,617680,234,234,4,15,617066,1
0,0,59685,50,50,4,75,58891,0
0,0,1611491,330,330,4,121,1610868,0
0,0,31626,357,357,4,22,31012,0
0,0,76266,279,279,4,47,75574,1
0,0,430625,13,13,4,132,430509,0
0,0,288480,176,176,4,98,287506,0
0,0,1187163,346,346,4,167,1186465,0
0,0,1200244,312,312,4,57,1199621,0
0,0,18926,390,390,4,150,18276,0
0,0,2115566,26,26,4,95,2114982,1
0,0,1109679,316,316,4,95,1109041,1
0,0,1559,52,52,4,42,987,1
0,0,413954,418,418,4,17,413337,0
0,0,159847,68,68,4,97,159101,1
0,0,1139142,315,315,4,57,1138561,1
0,0,462219,364,364,4,114,461563,1
0,0,1348,168,168,4,42,512,1
0,0,1344856,199,199,4,122,1344239,0
0,0,203566,71,71,2,56,203195,1
0,0,3660,196,196,4,42,3085,1
0,0,1001979,95,95,4,164,1001410,0
1,0,1671935,119,119,3,119,1671336,0
0,0,3008,163,163,4,142,2760,1
0,0,17644,348,348,4,154,17072,0
0,0,393310,281,281,4,10,392783,0
0,0,1025055,192,192,4,74,1024453,0
0,0,1654543,31,31,4,149,1654004,1
0,0,11006,14,14,4,138,10434,1
0,0,1840810,110,110,4,57,1840178,0
0,0,1182146,313,313,4,57,1181541,1
1,0,356421,430,430,3,136,355831,1
0,0,398667,249,249,4,23,398035,0
0,0,1235855,188,188,2,95,1235211,1
0,0,1806636,337,337,4,145,1806064,0
0,0,7249,54,54,4,42,6641,0
0,0,452612,282,282,4,95,451995,0
0,0,425782,140,140,2,47,425384,0
0,0,1121,2,2,4,161,531,0
0,0,725245,151,151,4,115,724664,1
0,0,7534,343,343,2,147,7151,0
0,0,14571,377,377,4,100,14272,0
0,0,244449,289,289,4,118,243556,0
0,0,622513,27,27,4,95,621803,0
0,0,261062,175,175,4,31,260553,0
0,0,253089,179,179,4,21,252442,0
0,0,305429,372,372,4,9,304515,0
1,0,690105,148,148,3,55,689434,0
0,0,26110,306,306,4,31,25487,1
0,0,55203,82,82,4,31,54550,0
0,0,6670,228,228,4,42,6140,1
0,0,467996,365,365,4,162,467418,0
0,0,1079,127,127,2,75,750,0
0,1,1784731,333,333,4,145,1784156,1
0,0,1392058,308,308,4,164,1391459,0
0,0,174019,66,66,4,47,173294,1
1,0,44727,395,395,3,65,44119,1
1,0,978860,276,276,1,116,978390,0
0,0,7294,262,262,4,42,6638,0
0,0,9111,131,131,2,75,8734,0
0,0,641578,83,83,4,54,640880,1
0,0,2852,17,17,4,36,2211,0
0,0,1610144,115,115,4,74,1609563,0
1,0,225709,70,70,3,33,225092,1
0,0,873,5,5,4,32,262,1
0,0,462632,139,139,4,96,462006,0
0,0,1707,378,378,4,86,1054,0
0,0,555039,79,79,4,77,554104,0
0,0,897457,273,273,4,59,896894,0
0,0,522983,293,293,4,6,522417,1
0,0,930600,243,243,4,167,929947,1
0,0,459742,250,250,4,26,459083,0
0,0,8892,376,376,4,4,8245,0
0,0,410431,182,182,4,62,409799,0
0,0,95645,65,65,4,110,95094,1
0,0,296809,421,421,4,96,296102,1
0,0,438791,33,33,4,142,438168,1
0,0,302673,245,245,4,46,302005,0
0,0,332148,411,411,4,97,331510,0
0,0,22912,59,59,2,129,22523,0
0,0,20624,75,75,4,66,19953,1
0,0,276224,136,136,4,80,275592,0
0,0,603114,238,238,4,15,602248,1
0,0,610905,156,156,4,134,610333,0
1,0,893116,240,240,3,11,892445,1
0,0,9993,34,34,4,126,9376,1
0,0,1448091,89,89,4,17,1447573,1
0,0,12594,198,198,4,93,11959,1
0,0,389569,248,248,4,108,388676,0
0,0,28027,45,45,4,125,27344,0
0,0,406686,138,138,4,96,406078,0
0,0,32545,263,263,4,125,31979,0
1,0,11424,41,41,3,106,10828,0
0,0,474095,354,354,4,112,473496,0
1,0,891600,272,272,1,41,891058,1
0,0,1570983,121,121,4,95,1570405,1
0,0,487260,202,202,4,123,486679,1
1,0,28680,129,129,3,163,27985,0
0,0,478938,102,102,4,3,478315,0
0,0,1109266,398,398,4,137,1108595,0
0,0,21792,345,345,4,40,21193,0
0,0,649380,237,237,4,6,648745,1
0,0,538452,146,146,4,116,537880,1
0,0,21840,231,231,4,129,21079,0
0,0,567898,124,124,2,61,567485,0
0,0,53116,397,397,5,37,52718,0
0,0,308712,370,370,4,26,308044,0
0,0,633183,235,235,2,94,632827,1
0,0,1591262,331,331,4,69,1590720,0
0,0,559332,144,144,2,79,558976,0
0,0,627298,100,100,4,82,626603,1
0,0,555039,429,429,4,96,554545,1
0,0,269583,420,420,4,134,268954,0
1,0,1591401,213,213,3,128,1590901,0
0,0,1060193,190,190,4,57,1059636,1
0,0,272757,181,181,4,21,271798,0
0,0,21892,339,339,4,53,21179,0
0,0,400683,57,57,4,156,400036,1
0,0,11825,46,46,4,125,11139,0
0,0,610947,367,367,4,167,610288,1
0,0,1183104,325,325,4,39,1182499,0
0,0,1871216,109,109,4,17,1870641,0
0,0,1100102,407,407,4,100,1099440,1
0,0,223254,290,290,4,23,222562,0
0,0,2130876,105,105,4,95,2130250,1
0,0,5418,232,232,4,75,4696,1
0,0,274287,173,173,4,97,273715,1
0,0,643220,200,200,4,64,642618,0
0,0,253619,171,171,4,31,252897,0
0,0,190891,67,67,4,97,190256,1
0,0,33533,391,391,4,146,32910,1
0,0,66227,302,302,4,119,65685,0
0,0,1038285,191,191,4,95,1037734,1
0,0,1299223,186,186,4,95,1298663,0
0,0,549268,76,76,4,158,548651,0
0,0,1790185,220,220,4,34,1789544,1
0,0,110877,155,155,5,160,110344,1
0,0,70385,299,299,4,157,69732,0
0,0,375323,426,426,4,127,374682,1
0,1,1894275,111,111,4,28,1893637,1
0,0,48963,358,358,4,103,48349,0
0,0,63431,64,64,4,125,62859,0
0,0,563485,94,94,2,18,563114,0
1,0,1947,16,16,3,139,1330,1
0,1,849658,24,24,4,121,849029,1
0,0,17246,267,267,4,42,16593,0
0,0,11667,260,260,4,42,10975,1
0,0,1192370,314,314,4,159,1191744,1
0,0,789660,150,150,4,58,789061,1
0,0,484940,355,355,4,51,484143,0
0,0,551183,227,227,2,160,550740,0
0,0,1665163,30,30,4,149,1664528,0
0,0,15815,361,361,4,50,15231,0
0,0,423275,204,204,4,5,422700,0
0,0,50225,396,396,4,100,49587,0
0,0,23909,362,362,4,140,23259,0
0,0,1935320,216,216,4,121,1934724,0
0,0,1439745,90,90,4,57,1439215,1
0,0,1646736,214,214,4,19,1646206,0
0,0,5356,350,350,4,133,4736,1
0,0,281837,180,180,4,98,281250,0
0,0,217404,23,23,4,23,216745,0
0,0,431207,427,427,4,143,430704,0
0,0,565167,382,382,2,79,564760,0
0,0,4939,7,7,4,1,4241,1
0,0,497547,252,252,4,23,496699,0
0,0,2159962,326,326,4,69,2159390,0
0,0,1722444,338,338,4,21,1721857,1
1,0,210445,135,135,3,43,209840,1
0,0,636879,159,159,4,127,636250,1
0,0,2103139,221,221,4,57,2102468,1
0,0,211634,419,419,5,8,211245,0
0,0,34921,268,268,4,125,34262,1
0,0,1578872,120,120,4,17,1578312,0
0,0,596495,160,160,4,134,595866,0
0,0,9539,197,197,4,93,8904,1
0,0,491431,296,296,4,6,490859,1
0,0,465000,353,353,4,2,464038,0
0,0,283286,425,425,4,134,282588,0
0,0,1863,44,44,4,129,1279,0
1,0,1337715,211,211,3,30,1337152,0
0,0,10499,39,39,2,92,10110,1
0,0,6256,130,130,2,129,5888,0
0,0,77237,61,61,4,129,76545,0
0,0,1685667,117,117,0,159,1685527,0
0,0,566496,297,297,4,131,565864,1
0,0,1212108,311,311,4,17,1211533,0
0,0,8071,393,393,4,85,7124,1
0,0,631273,158,158,4,96,630704,1
0,0,1357417,310,310,4,145,1356881,1
0,0,1413348,210,210,4,13,1412725,1
0,0,897652,241,241,4,162,897068,0
0,0,102031,0,0,4,102,101630,1
0,0,460277,283,283,4,57,459570,0
0,0,542828,291,291,4,6,542232,1
0,0,2082607,36,36,4,57,2081918,1
0,0,673589,185,185,4,12,672981,1
0,0,262590,287,287,4,130,261997,0
0,0,1069989,194,194,4,57,1069351,0
0,0,54130,400,400,4,52,53294,1
0,0,238595,172,172,4,31,237978,1
0,0,2039757,328,328,4,168,2039173,1
0,0,55031,266,266,4,129,54300,0
0,0,42738,392,392,4,85,42403,1
0,0,698962,97,97,4,95,698387,1
0,0,1037760,369,369,4,167,1037092,1
0,0,510533,431,431,4,44,509916,0
0,0,1653046,113,113,4,57,1652444,1
0,0,602022,161,161,4,143,601444,0
0,0,9693,360,360,4,140,9067,0
0,0,331967,153,153,4,132,331098,0
0,0,57983,63,63,4,129,57381,1
0,0,488252,251,251,4,130,487683,0
0,0,152203,402,402,4,90,151562,0
0,0,7816,169,169,4,125,6941,1
0,0,473006,253,253,4,132,472107,0
0,0,8984,256,256,4,75,8412,1
0,0,296422,244,244,4,132,295724,0
0,0,786,373,373,4,35,88,0
0,0,521226,208,208,4,111,520573,0
0,0,1896,255,255,4,75,1198,1
0,0,433446,205,205,4,5,432955,0
0,0,297265,224,224,4,156,296609,0
0,0,421453,417,417,4,159,420860,0
0,0,10738,164,164,4,129,10142,1
0,0,422988,183,183,4,62,422386,0
0,0,739582,271,271,4,69,738989,0
0,0,741926,201,201,4,46,741234,0
0,0,2021354,37,37,4,17,2020752,1
1,0,22510,55,55,3,156,21845,0
0,0,12963,341,341,4,53,12349,0
0,0,1279824,189,189,4,17,1279111,1
0,0,2141017,327,327,4,48,2140400,0
0,0,213605,72,72,4,47,212727,1
0,0,641268,236,236,4,131,640657,1
1,0,1773473,334,334,3,119,1772775,1
0,0,537100,292,292,4,6,536468,1
0,0,3185,162,162,4,125,2544,1
0,0,1094415,318,318,4,57,1093786,1
0,0,548259,143,143,2,71,547909,0
0,0,4704,229,229,4,125,4066,0
0,0,67780,415,415,4,31,67067,0
0,0,288418,223,223,4,109,287768,0
0,0,165971,19,19,4,1,165327,0
0,0,627125,85,85,4,169,626559,1
0,0,606832,86,86,4,48,606242,0
0,0,11303,51,51,4,75,10641,1
0,0,661517,1,1,4,6,660867,1
