Strand_Orientation,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position
0,796416,189,1,0,789632
0,18102,16,1,0,7759
0,635740,96,1,0,625292
1,29124,136,1,0,18715
0,510863,221,1,0,500484
0,347622,84,1,0,337195
0,8750,10,3,1,352
1,12299,146,3,1,2049
0,816094,66,1,0,805796
0,746001,145,1,0,735628
1,18044,37,1,0,13358
0,902706,95,1,0,892584
0,656937,157,1,0,646543
0,406298,26,1,0,400980
0,490459,111,1,0,480062
1,188433,128,1,0,178087
1,34480,144,1,0,24017
0,400877,71,2,0,396354
0,571102,15,1,0,563645
0,508446,160,1,0,497998
1,22907,1,2,0,17262
1,192236,129,3,1,185259
1,7036,196,1,0,1
0,1048694,137,1,0,1038261
1,14711,134,3,1,4479
1,5905,53,1,0,1
1,8139,179,3,1,1
1,15047,122,3,1,4680
0,610602,140,1,0,600223
1,46671,99,1,0,36289
0,138943,49,2,0,131411
0,682115,114,1,0,675892
0,656716,87,1,0,646334
0,56068,177,1,0,45617
0,2370774,165,1,0,2360422
1,107347,18,1,0,100946
1,364951,59,3,1,356759
1,79790,209,3,1,69342
0,698669,82,1,0,688299
0,545365,222,1,0,535076
1,7213,72,1,0,1
1,12287,132,3,1,1776
0,572820,184,1,0,566630
1,1301475,104,1,0,1291027
1,53674,205,1,0,43286
0,7785,139,2,0,1726
0,1049310,58,1,0,1038856
1,22220,224,1,0,11901
1,934030,203,3,1,926063
0,243214,169,1,0,232769
1,76316,29,2,0,71757
1,5029,28,2,0,2
0,780586,126,1,0,770171
1,12152,206,1,0,4158
1,102066,45,1,0,91621
1,19621,51,1,0,13649
1,72152,149,1,0,61794
1,600090,183,1,0,589645
0,9497,187,3,1,3
1,364064,56,1,0,353619
