GeneType,OrthologId,GenomicEndPosition,GeneDbId,ChromosomeId,GenomicStartPosition,StrandOrientation
0,76,1694274,72,20,1693627,0
0,92,531335,182,1,530982,1
0,10,1070767,208,15,1069991,0
1,13,269718,154,20,269074,1
0,25,81801,42,49,80905,1
0,75,247509,149,16,246700,0
0,25,13948,33,47,13148,0
0,25,18040,116,62,16886,0
0,96,320234,152,16,319014,0
0,10,402910,141,15,402068,1
1,31,223492,258,5,222386,0
1,86,563168,92,15,561921,1
0,44,1677,79,53,712,1
0,10,946792,9,15,945539,1
0,56,2165485,196,19,2164835,1
0,82,643595,19,20,642765,1
1,43,477748,125,16,476525,1
0,78,738,4,23,1,0
0,93,571633,48,7,570836,0
0,25,37248,172,72,35989,1
0,7,251858,25,15,251211,0
1,54,55904,35,29,55386,1
0,57,589228,218,15,588062,0
1,13,663114,20,20,662260,0
0,25,28969,28,44,28568,0
0,99,914563,160,19,913814,0
0,51,195113,158,4,194031,0
0,22,432927,261,5,431740,0
0,22,217780,257,5,216641,0
1,4,1887968,133,19,1886823,0
0,75,1194158,245,16,1193721,0
0,20,9906,7,24,8728,1
0,96,457778,184,16,456996,0
0,62,1422032,56,20,1421220,0
0,52,265814,213,12,265029,1
0,14,749937,97,15,749176,1
0,59,12102,233,40,11231,0
0,49,2155792,197,19,2155145,0
0,75,266241,148,16,265438,0
0,61,526428,62,6,525421,0
1,5,667923,96,15,666610,1
1,41,29439,228,76,28678,0
0,58,1098330,244,16,1097515,0
0,51,204825,255,5,203728,0
0,94,17814,248,82,16873,1
0,75,1193619,243,16,1192936,0
0,17,9178,78,31,8375,1
1,66,7239,193,0,5971,1
0,25,13009,157,69,11804,0
1,35,13592,108,60,12324,1
1,70,3587,169,71,2544,0
0,10,837722,223,15,837087,0
0,76,979496,122,20,978543,1
0,0,1863,110,61,1015,0
0,62,2097143,200,20,2096334,1
0,40,1932905,69,20,1932552,0
0,10,878597,146,15,877761,0
0,69,1897997,132,19,1897239,0
1,5,827468,221,15,826311,1
1,36,489292,90,5,488510,1
1,64,2901,234,41,1762,0
1,62,35179,45,14,34406,1
0,103,1487286,190,18,1486264,1
1,90,652441,52,8,651695,1
0,2,15525,118,33,14710,1
0,44,12388,140,66,11468,0
0,51,184240,250,4,182630,0
0,95,12268,249,83,10958,0
0,100,1428734,55,20,1428093,0
0,25,13418,156,68,12669,0
0,83,210588,256,5,209491,0
0,0,10624,100,55,9845,0
0,106,5008,12,27,4142,0
0,102,37518,34,29,36670,0
1,33,556235,181,1,555144,0
0,45,255296,147,16,254511,0
0,39,395123,89,5,394149,0
0,72,1338,209,38,835,1
0,18,1034038,251,19,1032938,1
0,68,7162,237,42,6368,1
0,25,18784,106,59,18002,0
0,61,1805,167,35,1182,0
0,75,1148502,242,16,1147669,0
0,27,79682,175,14,78918,0
0,82,1974665,201,20,1973874,0
0,58,1077230,241,16,1076451,0
0,59,41608,204,73,40412,1
0,75,386514,185,16,385279,0
0,86,15379,232,79,14528,0
0,49,74539,177,2,73328,0
0,10,305564,87,15,304740,0
0,25,23025,138,65,22318,0
0,7,247162,15,15,246347,0
0,51,260482,0,4,260114,0
0,56,663709,111,19,662936,1
0,79,612409,102,5,611441,0
1,77,29968,171,72,28721,0
0,25,1832,65,51,591,0
0,62,1989097,202,20,1988282,1
1,12,2102,119,63,1101,1
1,1,27009,46,30,25858,1
0,55,1687805,73,20,1687044,0
1,13,1925877,70,20,1925107,1
0,0,19059,174,72,18244,0
0,85,31870,235,42,31118,0
0,13,1026,238,80,841,1
1,105,26635,170,72,25832,0
0,0,18582,63,51,17713,0
0,76,1447013,54,20,1446237,1
0,46,1011398,162,19,1010715,0
0,93,550504,49,7,549704,0
0,82,2029082,24,20,2027874,1
0,76,970864,124,20,969914,1
0,0,30765,31,46,29968,1
0,65,907521,144,15,906301,0
1,23,137805,164,13,136807,0
0,24,486743,60,1,485586,0
1,79,381597,18,10,380962,0
1,5,517373,26,15,516597,1
0,76,1631767,74,20,1631120,0
0,48,408192,88,5,407215,0
0,25,10011,40,48,9199,1
0,10,705599,94,15,704769,0
0,54,323886,165,12,323095,1
1,71,76658,41,49,76494,0
0,89,4632,139,34,3406,1
0,37,252454,187,4,251303,0
0,10,658646,93,15,657867,0
0,0,39296,66,52,38151,0
0,46,1577124,199,19,1576114,0
0,28,65754,246,82,64810,1
1,43,493669,126,16,492404,1
0,11,17173,230,78,16040,1
1,2,2556,179,36,1318,0
1,23,182780,44,13,181743,1
1,30,613080,214,11,611866,1
0,46,1968229,131,19,1967444,1
0,55,749602,57,20,748862,1
1,42,6002,253,84,5043,0
0,100,684782,59,20,683826,0
0,56,1783506,134,19,1782673,1
1,23,295086,107,13,293887,1
1,56,745129,166,9,744176,0
0,63,19523,47,30,18321,1
0,85,36547,236,42,35690,0
0,7,422034,21,4,420934,0
1,4,937169,161,19,936387,1
1,81,17599,80,54,16553,0
0,55,975187,123,20,974237,1
0,25,3650,155,67,2478,1
0,0,10217,32,46,9084,1
0,38,23056,205,74,22262,0
0,103,1471918,192,18,1470884,0
0,96,416187,127,16,415021,1
0,103,1522877,191,18,1521903,1
0,65,832741,222,15,831566,0
0,7,617253,219,15,616495,0
0,32,1944141,6,20,1943758,0
0,96,250812,150,16,249592,0
1,19,655,1,85,2,1
0,37,384191,39,4,383100,0
0,62,731234,58,20,730422,0
0,10,313431,86,15,312547,0
0,65,941707,10,15,940901,1
0,25,23810,64,51,22572,1
0,10,863354,145,15,862533,0
