GENE_SUBCLASS,GENOMIC_END_POSITION,GENE_ID,GENE_DB_ID,ENCODED_PROTEIN,GENE_TYPE,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION
1,2500826,202,202,1,1,7,2499858,0
0,3747742,125,125,0,0,0,3746758,1
0,2052986,223,223,0,0,9,2051981,0
0,1493581,54,54,0,0,0,1492608,0
0,2790671,93,93,0,0,0,2789740,0
0,192905,265,265,0,0,13,191876,1
0,125184,174,174,0,0,6,124229,1
0,2402964,201,201,0,0,7,2401983,0
0,3501883,117,117,0,0,0,3500926,1
0,1169323,46,46,0,0,0,1168314,1
0,2609560,88,88,0,0,0,2608581,1
1,175684,5,5,1,1,0,174773,0
0,2611171,204,204,0,0,7,2610116,0
0,3907034,131,131,0,0,0,3906026,1
0,756430,28,28,0,0,0,755452,0
1,2620539,244,244,1,1,12,2619563,0
0,1379,134,134,0,0,1,408,1
1,1719528,63,63,1,1,0,1718592,1
0,2929889,254,254,0,0,12,2928926,0
0,29762,1,1,0,0,0,28779,0
1,146994,175,175,1,1,6,146054,1
1,3832545,128,128,1,1,0,3831499,1
1,1944091,178,178,1,1,6,1943137,0
0,2931247,99,99,0,0,0,2930282,1
0,80570,188,188,0,0,7,79583,1
1,3864794,129,129,1,1,0,3863936,1
0,29305,219,219,0,0,9,28341,1
0,2787380,212,212,0,0,7,2786407,0
0,2970973,102,102,0,0,0,2969987,1
0,1858012,168,168,0,0,4,1857026,0
0,2886495,96,96,0,0,0,2885569,0
0,1029803,40,40,2,0,0,1028849,1
0,47733,215,215,0,0,8,46712,1
0,1831592,67,67,0,0,0,1830638,1
0,1202243,144,144,0,0,2,1201265,0
0,1323924,50,50,0,0,0,1322970,0
0,2991514,257,257,0,0,12,2990543,0
1,1609442,58,58,1,1,0,1608554,0
0,325126,9,9,0,0,0,324116,0
1,2866118,251,251,1,1,12,2865319,0
0,257930,196,196,0,0,7,256958,1
1,825304,169,169,1,1,5,824320,0
0,797603,29,29,0,0,0,796557,0
1,62075,135,135,1,1,1,61062,1
0,83058,232,232,0,0,10,82100,1
0,243795,236,236,0,0,10,242828,1
0,101259,4,4,0,0,0,100271,0
0,3485524,116,116,0,0,0,3484511,1
0,854400,34,34,0,0,0,853408,0
1,530848,17,17,1,1,0,529877,1
0,194080,157,157,0,0,4,193107,1
1,2164937,226,226,1,1,9,2163912,0
1,3565904,119,119,1,1,0,3564858,1
0,2729418,249,249,0,0,12,2728442,0
0,3958204,133,133,0,0,0,3957431,1
0,1842055,68,68,0,0,0,1841258,1
0,3896577,130,130,0,0,0,3895570,1
0,3626724,122,122,0,0,0,3625683,1
0,264759,7,7,0,0,0,263742,0
0,1863193,69,69,0,0,0,1862233,1
0,418380,13,13,0,0,0,417494,0
0,16637,150,150,0,0,3,15686,1
0,1158170,45,45,0,0,0,1157129,1
1,188127,193,193,1,1,7,187156,1
1,1104725,43,43,0,1,0,1103973,1
0,59985,216,216,0,0,8,58996,1
1,3129,141,141,1,1,2,2111,1
0,2571118,241,241,0,0,12,2570141,0
0,2630816,205,205,0,0,7,2629838,0
0,2768159,211,211,0,0,7,2767187,0
1,2075234,182,182,1,1,6,2074416,0
0,77248,261,261,0,0,13,76246,1
1,19593,238,238,1,1,11,18641,1
1,116363,190,190,1,1,7,115392,1
1,992940,38,38,1,1,0,992231,1
0,268646,197,197,0,0,7,267636,1
0,93901,155,155,0,0,4,93026,1
0,1206640,47,47,0,0,0,1205634,0
0,10066,218,218,0,0,9,9119,1
0,47279,186,186,0,0,7,46316,1
1,7609,0,0,1,1,0,6614,0
0,3008310,104,104,0,0,0,3007265,1
0,1632520,59,59,0,0,0,1631515,0
0,52191,2,2,0,0,0,51200,0
0,1435342,52,52,0,0,0,1434369,0
0,2247622,81,81,0,0,0,2246622,0
0,2599688,203,203,0,0,7,2598686,0
0,937139,36,36,0,0,0,936183,0
1,462656,15,15,1,1,0,461872,0
0,2647975,89,89,0,0,0,2647001,1
0,1550036,56,56,0,0,0,1549070,1
1,474134,16,16,1,1,0,473342,1
0,2718036,248,248,0,0,12,2717006,0
0,361388,11,11,0,0,0,360375,0
0,2598728,87,87,0,0,0,2597760,1
1,1305031,49,49,1,1,0,1304292,0
0,1764239,162,162,0,0,4,1763508,0
1,2694134,247,247,1,1,12,2693159,0
0,3821699,127,127,0,0,0,3820752,1
1,207934,235,235,1,1,10,206941,1
0,2806993,250,250,0,0,12,2805961,0
0,1647699,60,60,0,0,0,1646762,0
0,1456456,53,53,0,0,0,1455519,0
0,22128,170,170,0,0,6,21118,1
0,35674,185,185,0,0,7,34737,1
1,2821,258,258,1,1,13,1796,1
0,4464,183,183,0,0,7,3665,1
0,1798060,166,166,0,0,4,1797042,0
0,1758744,64,64,0,0,0,1757779,1
0,1410592,51,51,0,0,0,1409631,0
0,2491047,240,240,0,0,12,2490060,0
0,98100,262,262,0,0,13,97104,1
0,669332,24,24,0,0,0,668377,0
1,7509,214,214,1,1,8,6770,1
0,82197,154,154,0,0,4,81176,1
1,1571655,57,57,1,1,0,1570786,1
0,56587,187,187,0,0,7,55870,1
1,168621,156,156,1,1,4,168018,1
0,204979,266,266,0,0,13,203989,1
1,300350,198,198,1,1,7,299433,1
0,1190403,143,143,0,0,2,1189413,0
0,3699200,124,124,0,0,0,3698199,1
0,1242580,145,145,0,0,2,1241593,0
0,2901620,97,97,0,0,0,2900680,1
0,2595178,86,86,0,0,0,2594197,1
0,2799553,213,213,0,0,7,2798511,0
0,3422379,115,115,0,0,0,3421396,0
1,49077,259,259,1,1,13,48083,1
0,632947,23,23,0,0,0,631997,0
0,23469,184,184,0,0,7,22545,1
0,2023898,77,77,0,0,0,2022911,1
0,3035493,105,105,0,0,0,3034472,1
1,1004126,39,39,1,1,0,1003339,1
0,2953405,100,100,0,0,0,2952535,1
