GeneType,GenomicEndPosition,GeneDbId,GenomicStartPosition,StrandOrientation
0,1066,0,947,1
1,1161359,96,1159086,0
1,73875,213,71692,1
1,8168,50,5343,0
1,1842055,211,1840004,0
1,40883,52,38052,1
1,9729,92,7402,1
1,17064,80,15238,0
1,521580,40,519241,0
1,207218,122,204852,1
1,640440,118,637990,0
1,957,169,103,1
1,504842,75,502038,0
1,45868,115,44981,1
1,18211,55,15392,1
1,963,78,103,1
1,772241,49,769332,0
0,1411,1,1097,0
1,630925,172,630173,0
1,35958,41,35374,1
1,34273,7,33176,1
1,617,57,1,0
1,478396,137,477242,0
1,392192,108,389835,0
1,28437,220,25624,1
1,4194,219,3232,0
1,16367,33,13620,1
1,13228,197,10472,1
1,1874,59,3,1
1,51751,110,49106,0
0,581031,238,580762,0
1,184333,77,183608,0
1,382722,104,380155,0
1,9773,228,7086,0
1,10829,83,8487,1
1,281858,155,279111,0
1,326018,105,323649,0
1,112160,88,109194,0
1,563,45,3,1
1,8610,81,7165,0
1,250640,174,247890,0
1,1020701,164,1018377,0
1,23344,166,21104,0
1,57748,53,55331,1
1,7904,100,5580,1
0,2011553,3,2010699,0
1,26773,114,26201,1
1,2033316,142,2030554,0
1,15743,208,15195,1
1,822273,214,821002,0
1,16756,28,15296,0
1,88412,98,86619,1
1,7310,234,4494,0
0,586872,180,586129,0
1,360854,47,358083,1
1,215357,64,214062,1
1,254233,181,251879,1
1,26957,139,26184,0
1,856711,132,855554,0
