Gene_Type,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,783875,65,783721,5,0
1,228,17,1,5,0
1,8634,57,6310,5,0
1,28634,137,28311,5,1
1,392192,101,389835,5,0
1,1874,54,3,5,1
0,17833,30,17345,1,1
1,609376,203,606950,5,0
1,2735,213,1362,5,1
1,1444050,22,1442287,5,0
1,922,9,412,5,0
1,481120,104,478592,5,0
1,4965,123,2173,5,1
1,2208,139,1,5,1
1,15743,202,15195,5,1
1,2190,94,1,5,1
1,7580,83,6150,5,1
1,317768,188,315381,5,0
1,781276,163,779186,5,0
1,46181,179,45609,5,1
1,703894,110,701207,5,0
0,2011553,3,2010699,3,0
1,563,43,3,5,1
0,1066,0,947,1,1
1,617,52,1,5,0
1,498493,235,497942,5,0
1,6017,218,3066,5,0
1,52798,121,51977,5,1
1,585603,185,583600,5,0
0,805,62,2,1,0
1,89160,178,86623,5,1
1,88412,91,86619,5,1
1,101201,25,100433,5,1
1,5632,13,4214,5,0
1,1161359,89,1159086,5,0
1,929,16,492,5,0
1,10351,173,7736,5,1
1,1338938,189,1337487,5,0
1,699100,68,696140,5,0
1,16367,31,13620,5,1
1,1153652,143,1152030,5,0
1,32383,198,29822,5,0
1,69602,79,68706,5,1
1,71222,125,69540,5,1
1,24991,111,22313,5,0
1,57820,33,56951,5,0
1,73875,207,71692,5,1
1,5666,165,3972,5,0
1,33980,160,31590,5,1
1,578251,159,576644,5,0
1,475584,92,473026,5,0
1,583,155,2,5,0
1,3829,29,839,5,1
1,56560,220,55610,5,1
1,453362,128,452610,5,0
1,1381,99,2,5,0
1,915785,187,913926,5,0
1,772241,46,769332,5,0
0,1231,12,899,1,1
1,1575,18,712,5,1
1,74451,228,72187,5,1
1,17714,48,16719,5,1
1,45115,199,42281,5,0
1,7904,93,5580,5,1
1,147,10,1,5,0
1,521339,131,518895,5,0
1,612431,129,611934,5,0
1,750468,63,747616,5,0
1,10805,102,10074,5,0
1,10537,197,8039,5,1
1,4197,144,3526,5,1
1,6226,11,4295,5,0
1,1020701,158,1018377,5,0
1,63967,206,63425,5,1
1,2783,38,909,5,1
1,1852084,64,1850486,5,0
1,382722,97,380155,5,0
1,2706,84,1,5,1
1,8632,69,7892,5,0
1,521580,39,519241,5,0
1,814312,217,811961,5,0
1,34273,7,33176,5,1
1,58454,109,55821,5,1
1,504842,70,502038,5,0
1,26773,107,26201,5,1
1,856711,127,855554,5,0
1,112160,81,109194,5,0
1,752571,45,750136,5,0
1,6087,15,4936,5,1
1,630925,167,630173,5,0
0,795045,186,794215,1,0
0,587282,66,586959,2,0
1,3080,51,735,5,1
1,478396,132,477242,5,0
1,822273,208,821002,5,0
1,2334536,193,2334039,5,0
1,4194,214,3232,5,0
1,957,164,103,5,1
1,13228,190,10472,5,1
1,3052,53,605,5,0
1,640440,112,637990,5,0
1,963,72,103,5,1
1,216862,122,214952,5,0
1,360854,44,358083,5,1
1,9773,226,7086,5,0
0,346850,200,346512,2,1
1,56420,153,55923,5,1
1,23155,181,22973,5,1
1,663276,130,662509,5,0
1,1902,41,1699,5,1
1,17064,74,15238,5,0
1,250640,169,247890,5,0
1,944659,157,941918,5,1
1,23344,161,21104,5,0
1,40883,49,38052,5,1
1,557,86,3,5,1
1,1132750,113,1130948,5,0
0,45867,21,45670,2,1
0,2029693,136,2028950,3,0
1,821170,95,818471,5,0
1,805101,138,802591,5,0
1,15156,24,14362,5,1
1,66037,90,63011,5,1
1,7310,233,4494,5,0
0,586872,175,586129,2,0
1,10829,77,8487,5,1
1,182518,42,180932,5,1
1,207218,117,204852,5,1
1,2035,126,1445,5,0
0,870832,50,869711,2,0
