Strand_Orientation,Gene_Description,Genomic_End_Position,Gene_Db_Id,Gene_Label,Encoded_Protein,Genomic_Start_Position
0,0,185153,24,24,2,182502
0,0,378614,162,162,2,375975
0,0,309384,109,109,2,306937
1,0,585607,80,80,2,583331
0,0,7162,20,20,2,4697
1,0,650434,39,39,3,647633
1,0,23290,218,218,2,20606
0,0,9867,60,60,2,7462
1,0,442799,201,201,1,439932
0,0,1713823,8,8,2,1711409
0,0,700388,15,15,2,697620
0,0,14845,47,47,3,11996
0,0,8092,214,214,2,5759
1,0,13979,197,197,1,11352
0,0,1053239,111,111,2,1050549
0,0,15062,84,84,2,12438
1,0,1100880,194,194,1,1098211
1,0,8115,171,171,3,5269
1,0,379418,169,169,2,376740
1,0,2047179,184,184,2,2044399
0,0,585177,204,204,3,582301
0,0,475012,141,141,2,472298
0,0,1324430,87,87,2,1322082
0,0,1156973,236,236,2,1154469
1,0,9580,196,196,1,6749
1,0,50888,151,151,2,48174
1,0,1096585,235,235,2,1093946
0,0,758419,45,45,2,756089
0,0,12594,150,150,2,9967
1,0,9089,217,217,2,6579
0,0,45075,124,124,1,42286
1,0,1611964,99,99,1,1609262
0,0,1828534,106,106,2,1825916
1,0,483376,95,95,2,480707
0,0,1865809,104,104,2,1862957
0,0,139709,253,253,2,138117
0,0,290907,117,117,1,288478
0,0,1731005,190,190,3,1728183
1,0,2060220,183,183,2,2057611
0,0,800723,164,164,2,798375
1,0,12158,11,11,2,9363
0,0,21771,82,82,2,19363
0,0,488327,203,203,3,485541
0,0,454333,157,157,2,451748
0,0,262330,243,243,2,259847
0,0,568854,259,259,2,566233
1,0,16377,144,144,2,13513
1,0,180486,35,35,2,177754
0,0,1633076,186,186,1,1630521
0,0,602587,42,42,2,600077
0,0,736453,77,77,3,733583
1,0,1129346,168,168,2,1126764
0,0,20976,57,57,2,18310
0,0,5331,149,149,2,2932
1,0,629809,112,112,3,627020
0,0,1825289,187,187,2,1822929
0,0,590672,258,258,1,588504
1,0,6553,120,120,2,4166
0,0,1169591,223,223,3,1166769
1,0,13678,155,155,2,10931
0,0,468388,67,67,3,465485
0,0,476059,148,148,1,473501
0,0,1251196,180,180,2,1248512
1,0,1015945,208,208,2,1013150
1,0,1147282,167,167,2,1144757
0,0,696919,72,72,2,694046
0,0,1582479,185,185,1,1579936
1,0,221070,140,140,2,218443
0,0,463778,78,78,2,460986
0,0,11062,5,5,2,8450
1,0,1570228,98,98,5,1568267
0,0,280853,63,63,2,278046
0,0,546370,46,46,2,543824
0,0,399549,238,238,2,396772
0,0,57145,56,56,3,54284
0,0,849988,205,205,2,847319
0,0,408107,17,17,1,405750
1,0,60414,227,227,2,57859
1,0,1007699,206,206,2,1005114
1,0,7898,10,10,2,5274
0,0,245264,48,48,2,242583
0,0,4732,123,123,2,2051
0,0,21506,58,58,2,18858
1,0,23129,126,126,3,20358
0,0,428401,68,68,2,425663
0,0,1014233,134,134,1,1011738
0,0,34218,59,59,2,31414
1,0,2102129,101,101,2,2099463
0,0,15093,156,156,3,12226
0,0,1317329,97,97,2,1314768
1,0,352788,249,249,2,350182
1,0,565683,139,139,2,563344
1,0,10603,7,7,3,7772
1,0,212927,0,0,5,211077
0,0,276688,210,210,1,274223
0,0,652210,94,94,2,649424
1,0,10893,89,89,2,8359
1,0,4709,31,31,2,2067
0,0,119436,255,255,2,116878
1,0,14331,230,230,2,11776
1,0,1650945,12,12,2,1648582
0,0,7054,122,122,2,4541
1,0,456596,16,16,2,453903
1,0,3590,211,211,2,942
0,0,1816759,189,189,2,1814429
1,0,2010450,108,108,2,2008033
1,0,529696,175,175,2,526820
0,0,272153,64,64,2,269451
1,0,423886,65,65,2,421607
1,0,408724,138,138,1,406415
0,0,1036042,116,116,2,1033382
0,0,25731,9,9,3,22858
0,0,35248,51,51,2,32438
1,0,2099,3,3,5,3
0,0,903444,114,114,1,900637
1,0,460231,147,147,2,457457
1,0,2171498,182,182,2,2169063
0,0,783613,76,76,2,780839
1,0,35322,191,191,2,32611
0,0,506933,19,19,3,504105
1,0,41459,219,219,3,38613
0,0,584285,174,174,0,581721
0,0,404953,160,160,2,402317
0,0,16042,110,110,3,13142
1,0,574686,146,146,1,571897
1,0,596823,93,93,2,594229
0,0,71558,153,153,1,69066
0,0,1115182,220,220,2,1112378
0,0,556640,252,252,2,553878
0,0,22835,145,145,2,20457
0,0,65602,25,25,2,62846
0,0,321121,170,170,2,318503
1,0,3099,83,83,2,313
1,0,2201057,54,54,2,2198634
0,0,1882048,103,103,1,1879670
0,0,2065088,100,100,1,2062416
1,0,8030,143,143,2,5538
1,0,54570,28,28,3,51787
1,0,12466,229,229,2,9926
0,0,1745786,13,13,2,1743231
0,0,1189938,225,225,2,1187140
1,0,580806,92,92,5,578836
1,0,565358,81,81,2,563163
1,0,935144,131,131,2,932427
1,0,7331,90,90,3,4482
1,0,156435,34,34,3,153649
1,0,249052,71,71,2,246272
1,0,344245,14,14,2,341906
1,0,194602,248,248,3,191840
0,0,536061,256,256,2,533287
0,0,1851640,105,105,2,1848668
1,0,450835,66,66,2,448496
0,0,14547,21,21,2,12235
0,0,417885,136,136,2,415123
1,0,237391,70,70,2,234584
0,0,7271,23,23,2,4884
0,0,3982,2,2,2,1541
1,0,21057,154,154,2,18763
0,0,388287,239,239,2,385492
0,0,11601,40,40,2,9187
1,0,175571,91,91,2,172800
0,0,110238,228,228,3,107374
0,0,768058,75,75,2,765323
1,0,8573,215,215,2,6039
1,0,7513,4,4,2,4757
1,0,191757,113,113,2,188965
1,0,205713,246,246,2,202903
1,0,1484951,181,181,3,1482129
1,0,880730,133,133,2,877992
1,0,12861,240,240,2,10087
0,0,763632,129,129,2,761305
1,0,1152001,179,179,1,1149578
0,0,171302,231,231,4,169443
1,0,187696,247,247,2,185057
1,0,2180588,53,53,2,2178147
1,0,17047,38,38,2,14579
0,0,222070,177,177,2,219359
0,0,1181628,224,224,2,1179322
1,0,2776,49,49,1,113
1,0,950785,132,132,2,948302
0,0,8596,125,125,2,5819
0,0,24923,61,61,2,22032
0,0,42017,199,199,1,39222
0,0,1200167,193,193,2,1197396
1,0,665447,73,73,3,662586
0,0,316755,119,119,1,314314
1,0,396615,250,250,1,394090
0,0,381075,237,237,2,378301
0,0,2113696,52,52,1,2111357
0,0,255561,18,18,1,253126
1,0,22052,241,241,2,19278
0,0,198843,127,127,2,196225
1,0,775880,130,130,2,773208
0,0,421319,159,159,2,418704
1,0,167573,37,37,3,164778
1,0,11536,33,33,2,9554
1,0,597333,1,1,1,595705
