PROFESSION,PROFILE_IMAGE,CYCLE_BASE_CYCLIST_ID,CQ_RANKING_MALE_CYCLIST_ID,COMMONS_CATEGORY,PRO_CYCLING_STATS_CYCLIST_ID,CYCLIST_NAME,CYCLIST_DESCRIPTION,MEMOIRE_DU_CYCLISME_CYCLIST_ID,GTAA_ID,TWITTER_USERNAME,BIRTHPLACE,UCI_RIDER_ID,NATIVE_NAME,MUNZINGER_SPORT_ID,WEIGHT_KG,BIRTH_DATE,SPORTS_TEAM,OLYMPEDIA_PEOPLE_ID,LAST_NAME,FIRST_NAME,SPORTS_REFERENCECOM_OLYMPIC_ATHLETE_ID_ARCHIVED,CYCLING_ARCHIVES_CYCLIST_ID,PARTICIPATED_EVENTS,FIRST_CYCLING_RIDER_ID,HEIGHT_CM,FREEBASE_ID,SPORT_COUNTRY
1,18,19255.0,3891,12,140196,12,31,19127.0,229128.0,7,3,32532,5,1000009898.0,71.0,11,10,113194.0,30,10,18,11292,15,716,183.0,5,15
0,20,69190.0,25740,15,196424,15,9,,,17,7,112082,8,1000010620.0,,33,16,,32,12,0,115868,13,38195,175.0,33,3
0,35,15225.0,2437,29,140630,29,33,9635.0,235910.0,10,29,30369,8,,68.0,12,21,111612.0,36,26,17,13510,16,147,176.0,9,12
0,3,43410.0,17901,5,139783,5,19,46672.0,,2,22,66795,8,,70.0,27,15,,18,5,0,42590,11,6413,189.0,20,7
0,30,8783.0,4443,31,140517,31,11,14122.0,224192.0,26,18,44439,8,1000010102.0,64.0,14,19,135248.0,19,28,11,19060,5,730,178.0,17,9
0,10,3132.0,1861,16,140928,16,28,2412.0,229526.0,10,30,23069,8,,69.0,3,7,,5,13,0,1472,0,288,175.0,6,9
0,4,46381.0,18610,17,137427,17,13,56596.0,,18,24,71557,6,1000009949.0,62.0,25,15,133837.0,0,14,1,63999,8,12474,173.0,0,9
0,12,22663.0,5789,7,140869,7,3,12014.0,229534.0,22,17,43936,2,1000008372.0,69.0,10,10,126950.0,13,6,9,22017,4,713,186.0,10,6
0,28,3827.0,4557,34,140194,34,2,2988.0,229037.0,4,26,48167,18,,69.0,13,12,,8,31,0,25237,17,1783,179.0,16,1
0,12,22663.0,5789,7,140869,7,3,12014.0,229534.0,22,17,43936,2,1000008372.0,69.0,10,10,126950.0,13,6,9,22017,4,713,186.0,10,6
0,22,51170.0,11818,26,137745,26,16,,,12,6,77534,13,,62.0,17,4,,22,24,0,66567,17,6222,178.0,28,4
0,30,8783.0,4443,31,140517,31,11,14122.0,224192.0,26,18,44439,8,1000010102.0,64.0,14,19,135248.0,19,28,11,19060,5,730,178.0,17,9
1,18,19255.0,3891,12,140196,12,31,19127.0,229128.0,7,3,32532,5,1000009898.0,71.0,11,10,113194.0,30,10,18,11292,15,716,183.0,5,15
0,27,30026.0,7147,24,140611,24,0,42655.0,235627.0,24,10,57601,11,1000009699.0,62.0,8,3,132499.0,27,22,15,32008,17,563,172.0,18,9
0,13,3518.0,3,9,140315,9,17,2721.0,90959.0,10,4,16554,8,1000006622.0,58.0,4,14,,7,7,0,1807,17,149,169.0,11,5
0,5,16289.0,5,2,140924,2,26,19443.0,163334.0,21,16,14575,8,1000006677.0,61.0,1,11,103634.0,31,2,19,7005,16,38,177.0,15,13
0,32,56672.0,22018,32,168758,32,6,,,28,8,86735,16,,,31,9,143136.0,15,29,0,74063,17,16639,183.0,4,15
0,8,,24316,3,181239,3,24,,,20,34,97280,21,,67.0,32,6,146238.0,33,3,0,104872,13,37281,186.0,33,11
0,7,,25026,27,198985,27,7,,,8,14,109855,14,,54.0,35,13,141956.0,16,25,0,109700,12,58639,163.0,33,2
0,29,39842.0,12843,21,140292,21,8,52504.0,236516.0,9,32,67388,7,1000008619.0,58.0,19,2,141955.0,28,18,0,57418,3,2276,166.0,24,2
0,6,47589.0,20960,30,158017,30,29,67463.0,,27,35,74994,8,1000009620.0,83.0,28,3,146671.0,20,27,0,65329,10,16724,193.0,1,14
0,17,46909.0,16707,11,134924,11,32,52074.0,256137.0,6,25,62712,4,1000009124.0,65.0,22,0,134609.0,2,9,3,56765,17,10303,183.0,29,5
1,1,49682.0,17893,28,134456,28,5,58541.0,,13,2,553301,15,1000009895.0,58.0,26,18,143135.0,35,26,0,65130,16,6242,172.0,30,15
0,5,16289.0,5,2,140924,2,26,19443.0,163334.0,21,16,14575,8,1000006677.0,61.0,1,11,103634.0,31,2,19,7005,16,38,177.0,15,13
0,34,47214.0,16722,35,140674,35,23,46202.0,239778.0,16,27,64531,8,,71.0,24,12,132670.0,34,32,20,52973,18,6228,183.0,27,1
0,9,41075.0,10536,4,140489,4,14,42346.0,,1,21,60455,1,,68.0,16,8,,24,4,0,46549,16,948,183.0,23,9
0,31,56666.0,18975,0,133024,0,4,64111.0,,0,2,70590,8,1000009894.0,58.0,26,18,133999.0,35,0,21,65132,11,20147,172.0,31,15
0,23,171.0,311,19,140861,19,30,140.0,229564.0,10,1,14494,8,,65.0,2,18,126386.0,1,16,2,118,17,91,172.0,7,9
0,20,69190.0,25740,15,196424,15,9,,,17,7,112082,8,1000010620.0,,33,16,,32,12,0,115868,13,38195,175.0,33,3
0,16,65688.0,24926,10,198937,10,7,,,5,36,95844,3,1000010017.0,60.0,34,5,,3,8,0,100412,7,58275,175.0,33,2
0,34,47214.0,16722,35,140674,35,23,46202.0,239778.0,16,27,64531,8,,71.0,24,12,132670.0,34,32,20,52973,18,6228,183.0,27,1
0,37,11585.0,1994,37,140778,37,18,16105.0,225135.0,30,15,28378,20,1000008014.0,65.0,7,0,111576.0,23,34,13,13069,17,133,181.0,22,5
0,24,61866.0,23334,20,185156,20,7,,,14,19,97634,8,1000010464.0,65.0,29,0,133265.0,21,17,12,100717,9,35077,170.0,3,2
0,16,65688.0,24926,10,198937,10,7,,,5,36,95844,3,1000010017.0,60.0,34,5,,3,8,0,100412,7,58275,175.0,33,2
0,24,61866.0,23334,20,185156,20,7,,,14,19,97634,8,1000010464.0,65.0,29,0,133265.0,21,17,12,100717,9,35077,170.0,3,2
0,35,15225.0,2437,29,140630,29,33,9635.0,235910.0,10,29,30369,8,,68.0,12,21,111612.0,36,26,17,13510,16,147,176.0,9,12
0,36,41885.0,13080,33,140628,33,15,54334.0,255923.0,15,11,64737,17,1000008833.0,65.0,21,8,,26,30,0,58535,14,860,180.0,19,4
0,15,44733.0,16677,36,140118,36,12,55213.0,225975.0,29,12,73892,19,1000009348.0,69.0,23,17,135249.0,10,33,7,64982,6,2324,185.0,25,8
0,11,5172.0,161,6,140762,6,1,11434.0,97772.0,10,9,13388,8,1000006900.0,68.0,0,12,14276.0,12,19,8,5689,17,86,174.0,8,0
0,26,56041.0,20719,23,174582,23,25,66232.0,1672796.0,25,31,88889,10,1000009959.0,65.0,18,19,135863.0,29,21,16,72449,10,18655,177.0,32,9
0,14,22917.0,6177,8,140232,8,18,2003.0,,3,20,45643,8,,65.0,15,3,134607.0,4,7,4,20659,1,1006,179.0,26,5
0,26,56041.0,20719,23,174582,23,25,66232.0,1672796.0,25,31,88889,10,1000009959.0,65.0,18,19,135863.0,29,21,16,72449,10,18655,177.0,32,9
1,0,28095.0,12823,25,137337,25,0,45429.0,255886.0,11,0,58891,12,1000010213.0,71.0,20,3,123794.0,9,23,6,34412,17,2322,182.0,14,0
1,18,19255.0,3891,12,140196,12,31,19127.0,229128.0,7,3,32532,5,1000009898.0,71.0,11,10,113194.0,30,10,18,11292,15,716,183.0,5,15
