Gene_Type,Ortholog_Id,Genomic_End_Position,Gene_Db_Id,Genomic_Start_Position,Strand_Orientation
1,135,28634,137,28311,1
1,124,392192,100,389835,0
0,57,2270,54,1968,1
0,21,17833,30,17345,1
1,70,609376,203,606950,0
1,13,2735,213,1362,1
1,107,1444050,22,1442287,0
1,18,922,9,412,0
1,79,481120,103,478592,0
1,37,215,5,3,0
1,65,2208,139,1,1
1,92,15743,202,15195,1
1,1,4959,95,2632,0
1,36,38673,84,38134,1
1,0,317768,188,315381,0
1,6,781276,163,779186,0
1,50,46181,179,45609,1
1,17,703894,109,701207,0
0,93,2011553,3,2010699,0
1,141,563,43,3,1
0,101,1066,0,947,1
1,62,3052,52,605,0
1,2,498493,235,497942,0
1,73,6017,218,3066,0
1,131,4965,122,2173,1
1,90,585603,185,583600,0
0,114,805,62,2,0
1,14,89160,178,86623,1
1,8,88412,90,86619,1
1,83,101201,25,100433,1
1,14,5632,13,4214,0
1,74,1161359,88,1159086,0
1,39,929,16,492,0
1,21,10351,173,7736,1
1,107,1338938,189,1337487,0
1,138,699100,68,696140,0
1,20,16367,31,13620,1
1,122,1153652,143,1152030,0
1,41,32383,198,29822,0
1,84,69602,78,68706,1
1,7,71222,124,69540,1
1,11,18217,114,15659,0
1,61,57820,33,56951,0
1,75,73875,207,71692,1
1,127,5666,165,3972,0
1,74,33980,160,31590,1
1,27,578251,159,576644,0
1,122,475584,91,473026,0
1,105,583,155,2,0
1,66,3829,29,839,1
1,72,56560,220,55610,1
1,15,453362,127,452610,0
1,26,11981,99,9216,0
1,99,915785,187,913926,0
1,132,772241,46,769332,0
0,100,1231,12,899,1
1,5,1575,18,712,1
1,28,74451,228,72187,1
1,128,3080,50,735,1
1,96,45115,199,42281,0
1,54,2190,93,1,1
1,10,147,10,1,0
1,127,521339,130,518895,0
1,135,612431,128,611934,0
1,0,750468,63,747616,0
1,78,24991,110,22313,0
1,103,10537,197,8039,1
1,12,4197,144,3526,1
1,34,6226,11,4295,0
1,3,1020701,158,1018377,0
1,135,63967,206,63425,1
1,97,2783,38,909,1
1,126,1852084,64,1850486,0
1,48,382722,96,380155,0
1,81,2706,83,1,1
1,1,17064,73,15238,0
1,56,521580,39,519241,0
1,102,814312,217,811961,0
1,64,34273,7,33176,1
1,105,58454,108,55821,1
1,27,504842,69,502038,0
1,105,26773,106,26201,1
1,16,856711,126,855554,0
1,142,112160,80,109194,0
1,132,752571,45,750136,0
1,117,6087,15,4936,1
1,83,630925,167,630173,0
0,120,795045,186,794215,0
0,69,587282,66,586959,0
1,4,617,51,1,0
1,127,478396,131,477242,0
1,120,822273,208,821002,0
1,74,2334536,193,2334039,0
1,123,4194,214,3232,0
1,20,957,164,103,1
1,87,13228,190,10472,1
1,45,1874,53,3,1
1,94,640440,111,637990,0
1,111,963,71,103,1
1,140,216862,121,214952,0
1,48,360854,44,358083,1
1,29,9773,226,7086,0
0,85,346850,200,346512,1
1,0,56420,153,55923,1
1,17,23155,181,22973,1
1,135,663276,129,662509,0
1,17,1902,41,1699,1
1,135,8610,74,7165,0
1,76,250640,169,247890,0
1,74,944659,157,941918,1
1,110,23344,161,21104,0
1,106,40883,48,38052,1
1,125,7904,92,5580,1
1,51,1132750,112,1130948,0
0,54,45867,21,45670,1
0,80,2029693,136,2028950,0
1,6,821170,94,818471,0
1,118,805101,138,802591,0
1,25,15156,24,14362,1
1,122,66037,89,63011,1
1,73,7310,233,4494,0
0,67,586872,175,586129,0
1,48,10829,76,8487,1
1,7,182518,42,180932,1
1,77,207218,116,204852,1
1,74,26957,133,26184,0
0,28,870832,49,869711,0
