Gene_Classification,Genomic_End_Position,Gene_Db_Id,Gene_Label,Entity_Type,Genomic_Start_Position,Strand_Orientation
0,983808,116,116,0,982858,1
1,497744,121,121,1,496932,1
1,3831,171,171,1,3070,1
1,3587,165,165,1,2544,0
0,10011,38,38,0,9199,1
0,1474427,53,53,0,1473666,0
0,36547,223,223,0,35690,0
0,531335,175,175,0,530982,1
1,477748,120,120,1,476525,1
1,1925877,68,68,1,1925107,1
0,1564778,74,74,0,1564014,1
0,1106541,228,228,0,1105297,0
0,15525,111,111,0,14710,1
1,2102,113,113,1,1101,1
0,178084,112,112,0,176870,1
0,705599,93,93,0,704769,0
0,77581,8,8,0,76523,1
0,837722,210,210,0,837087,0
0,1677,77,77,0,712,1
0,301271,149,149,0,300510,0
1,11639,198,198,1,10170,0
0,2202884,186,186,0,2202237,1
0,1487286,182,182,0,1486264,1
0,2879,136,136,0,2091,1
0,12102,220,220,0,11231,0
1,551759,89,89,1,550737,1
0,12897,5,5,0,11857,1
0,863354,143,143,0,862533,0
1,2640,173,173,1,1327,0
0,2089274,126,126,0,2088630,1
0,384191,37,37,0,383100,0
0,323886,162,162,0,323095,1
0,571633,48,48,0,570836,0
0,684782,58,58,0,683826,0
0,914563,158,158,0,913814,0
0,31139,62,62,0,29922,0
1,1247221,181,181,1,1246121,0
0,1222996,108,108,0,1222181,1
1,290434,82,82,1,289571,0
0,1022329,213,213,0,1021526,1
0,36628,46,46,0,35402,1
1,1131697,172,172,1,1130438,1
0,31870,222,222,0,31118,0
1,295086,102,102,1,293887,1
0,941707,7,7,0,940901,1
1,2901,221,221,1,1762,0
0,1639752,125,125,0,1638709,0
0,644758,119,119,0,643769,0
0,17814,236,236,0,16873,1
0,826530,13,13,0,825718,1
0,335,10,10,0,3,0
1,7239,185,185,1,5971,1
1,41030,154,154,1,39978,0
0,19059,169,169,0,18244,0
1,1152958,195,195,1,1151783,1
0,1745136,193,193,0,1744339,0
1,2521,110,110,1,1283,1
0,250812,147,147,0,249592,0
0,731234,57,57,0,730422,0
0,1070767,196,196,0,1069991,0
1,137805,161,161,1,136807,0
0,461022,201,201,0,460051,1
0,1604402,190,190,0,1603254,0
0,11189,50,50,0,10047,1
1,13960,14,14,1,13361,1
0,39296,63,63,0,38151,0
0,375903,35,35,0,374896,1
0,12268,237,237,0,10958,0
0,2097143,192,192,0,2096334,1
0,13009,155,155,0,11804,0
0,550504,49,49,0,549704,0
0,11743,224,224,0,10985,1
1,556235,174,174,1,555144,0
0,1165493,230,230,0,1164663,0
1,381597,15,15,1,380962,0
0,9178,76,76,0,8375,1
0,2165485,187,187,0,2164835,1
1,41345,80,80,1,40839,0
1,29968,167,167,1,28721,0
0,358168,104,104,0,357524,0
0,492438,202,202,0,491209,0
0,37518,31,31,0,36670,0
0,1588977,124,124,0,1588012,0
0,1147481,178,178,0,1146423,1
0,15379,219,219,0,14528,0
0,77977,41,41,0,77144,0
0,617253,207,207,0,616495,0
0,3650,151,151,0,2478,1
0,537352,90,90,0,536177,1
1,35179,44,44,1,34406,1
0,614,51,51,0,222,1
1,1921338,128,128,1,1920505,1
1,287088,101,101,1,285889,1
0,1173402,231,231,0,1172566,0
0,37248,168,168,0,35989,1
1,55904,32,32,1,55386,1
1,1887968,130,130,1,1886823,0
0,432927,247,247,0,431740,0
0,13082,114,114,0,12327,1
0,386514,176,176,0,385279,0
1,827468,209,209,1,826311,1
0,28969,25,25,0,28568,0
0,738,2,2,0,1,0
0,5008,9,9,0,4142,0
0,227094,19,19,0,226831,1
0,14090,64,64,0,12945,0
0,1026,225,225,0,841,1
0,1863,105,105,0,1015,0
0,2029082,20,20,0,2027874,1
1,445921,18,18,1,445157,0
0,247162,12,12,0,246347,0
0,1018268,212,212,0,1017216,1
0,23025,137,137,0,22318,0
0,1675,215,215,0,854,1
1,26635,166,166,1,25832,0
0,2151652,67,67,0,2150759,1
0,2155792,188,188,0,2155145,0
0,392050,88,88,0,391007,0
0,19523,47,47,0,18321,1
0,1687805,71,71,0,1687044,0
0,10624,97,97,0,9845,0
0,266241,145,145,0,265438,0
0,305564,86,86,0,304740,0
0,486743,59,59,0,485586,0
0,277578,84,84,0,276769,0
0,822069,208,208,0,821287,0
0,1047,1,1,0,259,0
0,265814,200,200,0,265029,1
0,18784,100,100,0,18002,0
0,992655,211,211,0,991897,1
0,297062,81,81,0,295851,0
1,13592,103,103,1,12324,1
0,30765,28,28,0,29968,1
0,422034,17,17,0,420934,0
0,907521,142,142,0,906301,0
0,12388,139,139,0,11468,0
1,269718,150,150,1,269074,1
0,65754,234,234,0,64810,1
0,1522877,183,183,0,1521903,1
0,17173,217,217,0,16040,1
0,13948,30,30,0,13148,0
0,313431,85,85,0,312547,0
0,285745,83,83,0,284939,0
0,975187,118,118,0,974237,1
0,1679298,73,73,0,1678525,0
1,6002,241,241,1,5043,0
1,1592913,75,75,1,1591840,1
1,663114,16,16,1,662260,0
0,407549,140,140,0,406749,1
0,251858,21,21,0,251211,0
1,4723,24,24,1,4340,1
0,23810,60,60,0,22572,1
0,231201,246,246,0,230431,0
0,2142542,189,189,0,2141583,0
0,13418,153,153,0,12669,0
0,1694274,70,70,0,1693627,0
1,25842,199,199,1,24370,0
1,9998,78,78,1,9753,0
0,1577124,191,191,0,1576114,0
0,1229889,180,180,0,1228786,0
0,1778534,132,132,0,1777443,0
0,1075329,3,3,0,1075195,1
1,884301,141,141,1,883339,1
1,23852,33,33,1,23046,0
0,1148502,229,229,0,1147669,0
1,655,0,0,1,2,1
1,223492,245,245,1,222386,0
0,1631767,72,72,0,1631120,0
0,658646,92,92,0,657867,0
0,272963,214,214,0,272211,0
1,11872,133,133,1,11348,0
0,247509,146,146,0,246700,0
