GENE_SUBCLASS,GENOMIC_END_POSITION,GENE_DB_ID,GENE_LABEL,ENCODED_PROTEIN,GENE_TYPE,ORTHOLOGOUS_GENE,CHROMOSOME_ID,GENOMIC_START_POSITION,STRAND_ORIENTATION,HOST_TAXON
0,217482,85,75,0,0,17,7,214914,0,1
0,138648,13,3,0,0,1,3,136021,1,1
0,70005,81,71,0,0,27,6,67486,0,1
0,4461009,143,133,0,0,20,16,4457615,0,2
0,2395747,97,87,0,0,14,9,2393186,1,1
0,2673309,123,113,0,0,8,14,2670702,1,1
1,2910575,51,41,1,1,16,3,2908089,0,1
0,1317662,2,182,8,0,4,1,1309285,0,0
0,74000,1,183,9,0,4,1,65153,1,0
0,111289,12,2,0,0,1,3,109064,1,1
0,7491757,161,151,0,0,20,16,7489223,1,2
0,1391159,33,23,0,0,1,3,1388603,1,1
0,2858514,50,40,0,0,1,3,2855967,0,1
0,23739,83,73,0,0,17,7,21180,0,1
0,70037,112,102,0,0,23,12,67552,0,1
0,792264,25,15,0,0,1,3,789739,0,1
0,554415,20,10,0,0,1,3,551855,0,1
0,2107875,108,98,0,0,30,11,2105290,1,1
0,2544507,99,89,0,0,14,9,2541900,1,1
0,1337697,31,21,0,0,1,3,1335236,1,1
0,6074434,152,142,0,0,20,16,6071781,0,2
0,1229605,79,69,0,0,28,5,1227838,1,1
0,9288531,175,165,0,0,20,16,9286452,1,2
0,3841080,141,131,0,0,20,16,3837700,1,2
0,3024950,53,43,0,0,1,3,3022395,0,1
0,313399,95,85,0,0,14,9,310825,1,1
0,3966935,67,57,0,0,1,3,3964340,0,1
0,5555629,149,139,0,0,20,16,5554012,1,2
0,1009570,132,122,0,0,20,16,1006293,1,2
1,2515928,121,111,1,1,32,14,2513345,1,1
0,180420,129,119,0,0,6,15,177821,0,1
0,6249,7,183,9,0,25,18,2785,1,3
0,4479071,144,134,0,0,20,16,4475691,0,2
0,1812129,86,76,0,0,17,7,1809556,1,1
0,583789,0,178,2,0,10,0,577704,0,0
0,3225151,59,49,0,0,1,3,3222519,1,1
0,5553159,148,138,0,0,20,16,5550519,1,2
0,48261,111,101,0,0,23,12,45704,0,1
0,9465862,176,166,0,0,20,16,9462959,1,2
0,1271019,72,62,0,0,15,4,1268464,0,1
0,3788108,63,53,0,0,1,3,3785516,1,1
1,1881401,90,80,1,1,22,8,1878264,1,1
0,2775859,124,114,0,0,8,14,2773477,1,1
0,11491605,182,172,0,0,20,16,11488193,0,2
1,1257770,9,181,7,1,12,18,1251493,0,3
0,9812460,178,168,0,0,20,16,9809345,1,2
0,7301425,160,150,0,0,20,16,7297934,1,2
1,104069,102,92,1,1,29,10,101635,0,1
0,6487134,156,146,0,0,20,16,6483699,1,2
0,3364409,60,50,0,0,1,3,3361804,1,1
0,4096738,142,132,0,0,20,16,4094053,0,2
1,1640646,36,26,1,1,16,3,1638147,1,1
0,195498,114,104,0,0,23,12,192903,0,1
0,278837,16,6,0,0,1,3,276246,1,1
0,6340229,155,145,0,0,20,16,6336787,1,2
1,2546198,45,35,1,1,16,3,2543841,1,1
0,7521259,162,152,0,0,20,16,7518704,0,2
0,974932,28,18,0,0,1,3,972368,0,1
0,2832377,125,115,0,0,8,14,2829856,1,1
0,6798362,159,149,0,0,20,16,6796157,0,2
0,1834206,87,77,0,0,17,7,1831628,1,1
1,1378057,73,63,1,1,21,4,1375631,1,1
0,3199877,4,179,4,0,3,2,3192675,0,0
0,2075907,41,31,0,0,1,3,2073477,0,1
0,8188446,168,158,0,0,20,16,8185060,0,2
0,4009666,68,58,0,0,1,3,4007167,0,1
1,2013789,91,81,1,1,22,8,2011921,1,1
0,3018810,127,117,0,0,8,14,3016217,1,1
1,1898659,105,95,1,1,31,11,1897916,1,1
0,7702507,164,154,0,0,20,16,7701485,0,2
0,2012085,106,96,0,0,30,11,2009454,1,1
0,208593,15,5,0,0,24,3,206040,1,1
0,5664331,150,140,0,0,20,16,5660952,0,2
0,1243344,8,182,8,0,25,18,1237210,0,3
0,2634340,46,36,0,0,1,3,2631846,0,1
0,807956,26,16,0,0,1,3,805413,1,1
0,339659,17,7,0,0,1,3,337089,1,1
1,118746,78,68,1,1,9,5,117685,0,1
1,3457,118,108,1,1,13,13,914,0,1
0,782478,24,14,0,0,1,3,779851,1,1
0,3152141,10,179,4,0,19,19,3149505,0,3
0,1525904,134,124,0,0,20,16,1523219,0,2
0,8793953,173,163,0,0,20,16,8792608,0,2
1,3684594,62,52,1,1,16,3,3681970,0,1
0,3931150,66,56,0,0,1,3,3928596,0,1
0,2429577,138,128,0,0,20,16,2428348,0,2
0,2133422,109,99,0,0,30,11,2130841,1,1
0,11554700,184,174,0,0,20,16,11551441,1,2
1,70453,75,65,1,1,9,5,67921,0,1
0,126324,69,59,0,0,15,4,123777,0,1
1,113856,77,67,1,1,9,5,111328,0,1
1,2490168,98,88,1,1,7,9,2487763,1,1
0,9727528,177,167,0,0,20,16,9724646,1,2
0,8307364,169,159,0,0,20,16,8305311,1,2
0,2262157,43,33,0,0,1,3,2259551,1,1
0,7783306,165,155,0,0,20,16,7780625,0,2
1,1710182,37,27,1,1,16,3,1707561,0,1
0,2645042,122,112,0,0,8,14,2642440,1,1
1,1939345,39,29,1,1,16,3,1937476,0,1
1,517660,19,9,1,1,16,3,515103,0,1
1,261604,130,120,1,1,18,15,260634,0,1
1,90236,76,66,1,1,9,5,87929,0,1
0,185640,113,103,0,0,23,12,183119,1,1
0,8773791,172,162,0,0,20,16,8773333,1,2
0,7662566,163,153,0,0,20,16,7660260,1,2
0,749277,23,13,0,0,1,3,746678,1,1
0,3808941,140,130,0,0,20,16,3806404,0,2
0,8688786,171,161,0,0,20,16,8685338,0,2
1,1181753,71,61,1,1,21,4,1179211,0,1
0,106931,104,94,0,0,30,11,104331,0,1
1,57262,120,110,1,1,32,14,55095,0,1
1,9024451,174,164,1,1,2,16,9022179,1,2
1,679691,21,11,1,1,16,3,677123,1,1
0,3797871,64,54,0,0,1,3,3795245,0,1
0,6091863,153,143,0,0,20,16,6088898,0,2
0,2707185,100,90,0,0,14,9,2704583,1,1
1,303189,115,105,1,1,5,12,301356,0,1
0,1331626,3,181,6,0,4,1,1324597,0,0
0,8169951,167,157,0,0,20,16,8167613,1,2
0,107770,89,79,0,0,0,8,105177,0,1
0,3860538,65,55,0,0,1,3,3858058,0,1
0,212174,93,83,0,0,14,9,209637,0,1
0,1884925,38,28,0,0,1,3,1882350,0,1
0,1370547,32,22,0,0,1,3,1368049,1,1
0,2999429,52,42,0,0,1,3,2996892,0,1
0,716637,22,12,0,0,1,3,714284,1,1
1,140302,70,60,1,1,21,4,138044,0,1
0,12352982,186,176,0,0,20,16,12350355,0,2
1,104332,92,82,1,1,7,9,102488,0,1
1,4360,80,70,1,1,32,6,1803,0,1
0,3206690,58,48,0,0,1,3,3204136,0,1
1,1586214,5,0,3,1,21,20,1583362,1,3
0,2761440,139,129,0,0,20,16,2757968,1,2
1,373649,18,8,1,1,16,3,371237,1,1
0,11515016,183,173,0,0,20,16,11512266,1,2
0,2197321,42,32,0,0,1,3,2195324,1,1
0,2044656,136,126,0,0,20,16,2041244,0,2
0,866423,27,17,0,0,1,3,863911,1,1
0,2902813,126,116,0,0,8,14,2900168,1,1
0,1500121,35,25,0,0,1,3,1497505,1,1
