Entity_Type,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,0,14845,47,3,11996,0
0,0,8092,214,2,5759,0
1,0,13979,197,1,11352,1
0,0,1053239,111,2,1050549,0
0,0,15062,84,2,12438,0
1,0,1100880,194,1,1098211,1
0,0,8115,171,3,5269,1
0,0,379418,169,2,376740,1
0,0,2047179,184,2,2044399,1
0,0,585177,204,3,582301,0
0,0,475012,141,2,472298,0
0,0,1324430,87,2,1322082,0
0,0,1156973,236,2,1154469,0
1,0,9580,196,1,6749,1
0,0,50888,151,2,48174,1
0,0,1096585,235,2,1093946,1
0,0,758419,45,2,756089,0
0,0,12594,150,2,9967,0
0,0,9089,217,2,6579,1
1,0,45075,124,1,42286,0
1,0,1611964,99,1,1609262,1
0,0,1828534,106,2,1825916,0
0,0,483376,95,2,480707,1
0,0,1865809,104,2,1862957,0
0,0,139709,253,2,138117,0
1,0,290907,117,1,288478,0
0,0,1731005,190,3,1728183,0
0,0,2060220,183,2,2057611,1
0,0,800723,164,2,798375,0
0,0,12158,11,2,9363,1
0,0,21771,82,2,19363,0
0,0,488327,203,3,485541,0
0,0,454333,157,2,451748,0
0,0,262330,243,2,259847,0
0,0,568854,259,2,566233,0
0,0,16377,144,2,13513,1
0,0,180486,35,2,177754,1
1,0,1633076,186,1,1630521,0
0,0,602587,42,2,600077,0
0,0,736453,77,3,733583,0
0,0,1129346,168,2,1126764,1
0,0,20976,57,2,18310,0
0,0,5331,149,2,2932,0
0,0,629809,112,3,627020,1
0,0,1825289,187,2,1822929,0
1,0,590672,258,1,588504,0
0,0,6553,120,2,4166,1
0,0,1169591,223,3,1166769,0
0,0,13678,155,2,10931,1
0,0,468388,67,3,465485,0
1,0,476059,148,1,473501,0
0,0,1251196,180,2,1248512,0
0,0,1015945,208,2,1013150,1
0,0,1147282,167,2,1144757,1
0,0,696919,72,2,694046,0
1,0,1582479,185,1,1579936,0
0,0,221070,140,2,218443,1
0,0,463778,78,2,460986,0
0,0,11062,5,2,8450,0
0,0,1570228,98,5,1568267,1
0,0,280853,63,2,278046,0
0,0,546370,46,2,543824,0
0,0,399549,238,2,396772,0
0,0,57145,56,3,54284,0
0,0,849988,205,2,847319,0
1,0,408107,17,1,405750,0
0,0,60414,227,2,57859,1
0,0,1007699,206,2,1005114,1
0,0,7898,10,2,5274,1
0,0,245264,48,2,242583,0
0,0,4732,123,2,2051,0
0,0,21506,58,2,18858,0
0,0,23129,126,3,20358,1
0,0,428401,68,2,425663,0
1,0,1014233,134,1,1011738,0
0,0,34218,59,2,31414,0
0,0,2102129,101,2,2099463,1
0,0,15093,156,3,12226,0
0,0,1317329,97,2,1314768,0
0,0,352788,249,2,350182,1
0,0,565683,139,2,563344,1
0,0,10603,7,3,7772,1
0,0,212927,0,5,211077,1
1,0,276688,210,1,274223,0
0,0,652210,94,2,649424,0
0,0,10893,89,2,8359,1
0,0,4709,31,2,2067,1
0,0,119436,255,2,116878,0
0,0,14331,230,2,11776,1
0,0,1650945,12,2,1648582,1
0,0,7054,122,2,4541,0
0,0,456596,16,2,453903,1
0,0,3590,211,2,942,1
0,0,1816759,189,2,1814429,0
0,0,2010450,108,2,2008033,1
0,0,529696,175,2,526820,1
0,0,272153,64,2,269451,0
0,0,423886,65,2,421607,1
1,0,408724,138,1,406415,1
0,0,1036042,116,2,1033382,0
0,0,25731,9,3,22858,0
0,0,35248,51,2,32438,0
0,0,2099,3,5,3,1
1,0,903444,114,1,900637,0
0,0,460231,147,2,457457,1
0,0,2171498,182,2,2169063,1
0,0,783613,76,2,780839,0
0,0,35322,191,2,32611,1
0,0,506933,19,3,504105,0
0,0,41459,219,3,38613,1
0,0,584285,174,0,581721,0
0,0,404953,160,2,402317,0
0,0,16042,110,3,13142,0
1,0,574686,146,1,571897,1
0,0,596823,93,2,594229,1
1,0,71558,153,1,69066,0
0,0,1115182,220,2,1112378,0
0,0,556640,252,2,553878,0
0,0,22835,145,2,20457,0
0,0,65602,25,2,62846,0
0,0,321121,170,2,318503,0
0,0,3099,83,2,313,1
0,0,2201057,54,2,2198634,1
1,0,1882048,103,1,1879670,0
1,0,2065088,100,1,2062416,0
0,0,8030,143,2,5538,1
0,0,54570,28,3,51787,1
0,0,12466,229,2,9926,1
0,0,1745786,13,2,1743231,0
0,0,1189938,225,2,1187140,0
0,0,580806,92,5,578836,1
0,0,565358,81,2,563163,1
0,0,935144,131,2,932427,1
0,0,7331,90,3,4482,1
0,0,156435,34,3,153649,1
0,0,249052,71,2,246272,1
0,0,344245,14,2,341906,1
0,0,194602,248,3,191840,1
0,0,536061,256,2,533287,0
0,0,1851640,105,2,1848668,0
0,0,450835,66,2,448496,1
0,0,14547,21,2,12235,0
0,0,417885,136,2,415123,0
0,0,237391,70,2,234584,1
0,0,7271,23,2,4884,0
0,0,3982,2,2,1541,0
0,0,21057,154,2,18763,1
0,0,388287,239,2,385492,0
0,0,11601,40,2,9187,0
0,0,175571,91,2,172800,1
0,0,110238,228,3,107374,0
0,0,768058,75,2,765323,0
0,0,8573,215,2,6039,1
0,0,7513,4,2,4757,1
0,0,191757,113,2,188965,1
0,0,205713,246,2,202903,1
0,0,1484951,181,3,1482129,1
0,0,880730,133,2,877992,1
0,0,12861,240,2,10087,1
0,0,763632,129,2,761305,0
1,0,1152001,179,1,1149578,1
0,0,171302,231,4,169443,0
0,0,187696,247,2,185057,1
0,0,2180588,53,2,2178147,1
0,0,17047,38,2,14579,1
0,0,222070,177,2,219359,0
0,0,1181628,224,2,1179322,0
1,0,2776,49,1,113,1
0,0,950785,132,2,948302,1
0,0,8596,125,2,5819,0
0,0,24923,61,2,22032,0
1,0,42017,199,1,39222,0
0,0,1200167,193,2,1197396,0
0,0,665447,73,3,662586,1
1,0,316755,119,1,314314,0
1,0,396615,250,1,394090,1
0,0,381075,237,2,378301,0
1,0,2113696,52,1,2111357,0
1,0,255561,18,1,253126,0
0,0,22052,241,2,19278,1
0,0,198843,127,2,196225,0
0,0,775880,130,2,773208,1
0,0,421319,159,2,418704,0
0,0,167573,37,3,164778,1
0,0,11536,33,2,9554,1
1,0,597333,1,1,595705,1
