SportType,StageWinner,StageDate,NextStage,StartLocation,PreviousStage,StageNumber,StageDescription,StageType,RaceEvent,ProCyclingStatsRaceId
1,4,43,58,148,62,5.0,16,24,22,171001.0
1,71,26,24,154,31,6.0,16,25,9,
1,66,153,157,134,155,14.0,16,21,49,279160.0
1,84,133,145,17,143,6.0,16,21,45,268337.0
0,58,29,29,37,167,0.0,16,26,12,163630.0
1,17,163,47,78,23,,3,12,16,163736.0
1,74,158,170,137,152,,21,20,50,279561.0
1,32,122,119,122,120,5.0,16,21,38,256066.0
1,28,11,17,24,9,,21,16,8,139026.0
1,32,17,18,73,26,2.0,16,21,11,
1,42,124,122,20,167,1.0,16,21,40,256320.0
1,14,154,158,132,156,15.0,16,24,49,279161.0
1,41,155,159,121,157,16.0,16,24,49,279162.0
1,47,104,112,142,114,4.0,16,24,36,247147.0
1,46,4,7,58,3,,21,6,4,
1,73,163,123,94,89,,6,13,34,209948.0
1,32,163,43,37,22,,21,7,16,163638.0
1,3,163,154,25,171,,0,18,42,255575.0
1,32,163,84,68,34,,21,17,20,172999.0
1,87,90,104,93,105,8.0,16,21,30,210008.0
1,22,128,149,59,148,4.0,16,21,46,
1,71,117,125,1,123,1.0,16,21,41,255761.0
1,92,3,1,85,4,2.0,16,25,3,
1,59,119,127,135,125,4.0,16,24,41,255764.0
1,63,6,8,85,167,1.0,16,25,7,
1,10,52,51,88,56,4.0,25,25,19,171070.0
1,73,85,175,55,170,5.0,29,22,31,209947.0
1,32,49,48,44,167,1.0,25,22,19,171067.0
1,42,88,102,17,102,3.0,27,21,30,210003.0
1,7,27,25,16,32,7.0,16,21,9,
1,75,163,171,66,111,,21,1,42,256070.0
1,3,113,130,26,128,3.0,16,24,43,255570.0
1,33,15,6,57,13,5.0,14,21,6,139126.0
1,35,37,36,39,41,8.0,16,22,14,163710.0
1,58,140,140,129,137,14.0,16,23,45,268346.0
1,52,54,53,145,58,7.0,25,25,19,171073.0
1,71,75,71,76,75,13.0,27,25,25,181544.0
1,88,138,138,21,135,12.0,16,24,45,268344.0
1,71,51,50,150,55,3.0,25,21,19,171069.0
1,83,84,178,77,169,2.0,29,23,31,209944.0
1,71,127,148,0,147,3.0,16,23,46,
1,28,5,3,62,2,,21,3,5,116778.0
1,32,56,85,73,90,3.0,32,22,29,
1,13,48,42,87,48,8.0,16,23,17,171033.0
1,42,95,94,107,95,13.0,16,22,30,210014.0
1,5,129,150,7,149,5.0,16,23,46,
1,49,120,117,23,118,2.0,16,21,38,256063.0
1,40,148,163,140,153,2.0,16,25,49,279148.0
1,36,44,38,32,44,4.0,16,24,17,171029.0
1,84,111,121,142,122,4.0,16,24,39,255527.0
1,63,14,5,67,12,4.0,15,25,6,139125.0
1,71,32,31,61,36,3.0,16,25,14,163705.0
1,80,163,16,98,8,,7,11,8,138997.0
1,20,64,61,60,65,5.0,24,24,23,
1,42,73,69,8,88,10.0,27,24,25,181541.0
1,34,16,175,116,14,7.0,17,21,6,139128.0
1,73,126,153,63,167,1.0,16,22,47,268305.0
1,66,130,151,82,150,6.0,16,24,46,
1,24,71,82,43,86,8.0,27,25,25,181538.0
1,67,12,15,36,7,,21,8,8,139034.0
1,32,20,27,62,10,,21,3,10,149877.0
1,4,42,57,86,61,3.0,16,24,22,170999.0
1,18,143,143,29,140,19.0,16,25,45,268352.0
1,15,93,92,3,93,11.0,16,25,30,210012.0
1,93,23,21,119,167,1.0,16,22,9,
1,77,112,129,14,127,2.0,16,22,43,255569.0
1,1,67,78,34,81,3.0,27,28,25,181533.0
1,68,145,133,105,131,3.0,16,25,44,270409.0
1,42,96,95,138,96,14.0,16,24,30,210015.0
1,31,157,161,102,159,18.0,16,23,49,279164.0
1,73,163,167,51,133,,21,5,51,279178.0
1,32,163,89,97,53,,4,12,28,181554.0
1,64,163,63,79,35,,21,10,21,170995.0
1,32,163,87,147,43,,13,1,28,181367.0
1,29,45,39,108,45,5.0,16,25,17,171030.0
1,82,118,126,71,124,2.0,16,23,41,255762.0
1,32,163,166,69,126,,21,14,48,268378.0
1,39,137,137,2,134,11.0,16,24,45,268343.0
1,12,161,174,56,165,5.0,16,21,52,290174.0
1,74,151,155,131,162,9.0,16,22,49,279155.0
1,44,115,132,72,130,5.0,16,23,43,255572.0
1,0,41,56,14,60,2.0,16,28,22,170998.0
1,45,55,54,42,59,8.0,25,23,19,171074.0
1,24,70,81,52,85,7.0,27,25,25,181537.0
1,86,25,23,111,30,5.0,16,24,9,
1,29,40,46,11,52,6.0,16,21,18,170993.0
1,81,105,113,99,115,5.0,16,24,36,247148.0
1,32,156,160,109,158,17.0,16,25,49,279163.0
1,13,135,135,1,145,9.0,16,24,45,268340.0
1,50,139,139,76,136,13.0,16,25,45,268345.0
1,22,91,90,129,106,9.0,16,21,30,210009.0
1,72,35,34,153,39,6.0,16,23,14,163708.0
1,55,107,115,110,117,7.0,16,21,36,247150.0
1,11,150,165,142,161,8.0,16,21,49,279154.0
1,94,163,13,98,5,,22,11,5,114197.0
1,15,47,41,31,47,7.0,16,25,17,171032.0
1,48,86,105,75,109,2.0,30,23,32,209992.0
1,98,92,91,123,107,10.0,16,25,30,210011.0
1,73,125,179,54,172,,23,2,54,256841.0
1,60,163,107,4,63,,21,19,27,180620.0
1,10,79,75,144,79,18.0,27,25,25,181550.0
1,3,60,66,30,70,5.0,10,21,24,
1,19,69,80,20,84,6.0,27,21,25,181536.0
1,37,146,134,136,132,4.0,16,25,44,270410.0
1,7,81,175,64,82,21.0,27,25,25,181553.0
1,58,149,164,149,160,3.0,16,21,49,279149.0
1,86,131,152,7,151,7.0,16,24,46,
1,42,82,110,133,67,,21,9,34,209900.0
1,6,160,169,130,163,2.0,16,23,53,293156.0
1,58,24,22,48,29,4.0,16,21,9,
1,51,136,136,91,146,10.0,16,21,45,268342.0
1,71,66,77,92,73,2.0,27,25,25,181532.0
1,24,57,86,6,91,4.0,12,25,29,
1,46,21,28,40,15,,21,4,10,149878.0
1,32,74,70,2,74,11.0,27,24,25,181542.0
1,8,121,118,47,119,4.0,16,22,38,256065.0
1,60,163,88,79,49,,21,10,28,180695.0
