profession,profile_image,cycle_base_cyclist_id,cq_ranking_male_cyclist_id,commons_category,instagram_handle,social_media_followers,pro_cycling_stats_cyclist_id,current_team,cyclist_name,memoire_du_cyclisme_cyclist_id,nationality,twitter_handle,birthplace,uci_rider_id,languages,weight_kg,birthdate,first_name,cycling_archives_cyclist_id,surname,first_cycling_rider_id,height_cm,freebase_id,cycling_discipline
1,12,44733.0,16677.0,40,0,213342.0,140118.0,29,40,55213.0,11,39,25,73892.0,7,69.0,17,38,64982.0,10,2324.0,185.0,28,0
1,21,58428.0,21992.0,18,22,23650.0,168776.0,25,18,,10,12,37,86895.0,7,,37,18,77835.0,26,16793.0,179.0,9,3
1,25,14372.0,56.0,28,0,,140610.0,36,28,18135.0,8,18,17,14262.0,6,63.0,2,27,5274.0,31,27.0,174.0,12,3
1,26,38259.0,13066.0,25,0,26443.0,140384.0,32,25,45665.0,0,28,7,62919.0,3,72.0,16,25,39964.0,21,2211.0,178.0,20,3
1,3,52038.0,20697.0,1,3,9866.0,156131.0,11,1,69727.0,8,1,30,86630.0,6,68.0,27,1,68186.0,5,20584.0,180.0,2,3
1,10,3132.0,1861.0,14,0,,140928.0,13,14,2412.0,16,18,35,23069.0,11,69.0,3,14,1472.0,7,288.0,175.0,11,3
1,18,62729.0,23558.0,16,13,20811.0,181257.0,21,16,,3,31,20,97437.0,1,75.0,34,16,101407.0,2,27121.0,192.0,32,3
1,33,61775.0,23299.0,19,25,23252.0,164709.0,23,19,,16,37,38,89223.0,0,68.0,28,19,72207.0,33,25726.0,186.0,5,3
1,43,54395.0,20730.0,42,32,252749.0,168961.0,3,42,,1,25,13,75859.0,2,70.0,31,40,74709.0,41,18258.0,187.0,8,1
1,39,66570.0,27708.0,36,29,,202331.0,35,36,,17,23,22,109775.0,3,58.0,42,35,119805.0,27,65025.0,170.0,32,1
1,28,26009.0,12193.0,32,23,1940308.0,140797.0,8,32,9096.0,14,36,42,54603.0,9,78.0,13,31,30229.0,30,784.0,184.0,19,2
1,16,43343.0,18233.0,12,11,25211.0,140123.0,18,12,45928.0,1,10,23,68235.0,7,,22,12,52559.0,34,5059.0,186.0,1,3
1,42,11585.0,1994.0,41,31,569371.0,140778.0,1,41,16105.0,8,40,26,28378.0,6,65.0,5,39,13069.0,24,133.0,181.0,22,3
1,8,,29474.0,7,6,,215760.0,10,7,,5,9,0,638202.0,7,,43,7,149604.0,14,92666.0,184.0,32,3
1,7,62255.0,24189.0,6,5,5751.0,187231.0,9,6,,6,5,8,79522.0,4,64.0,36,6,82930.0,8,34011.0,176.0,32,3
1,37,57346.0,21244.0,37,27,17154.0,153344.0,2,37,65966.0,1,21,11,77502.0,7,72.0,30,36,59352.0,3,16786.0,190.0,32,3
1,1,46381.0,18610.0,15,2,77168.0,137427.0,27,15,56596.0,6,26,33,71557.0,4,62.0,23,15,63999.0,0,12474.0,173.0,0,1
1,20,505.0,7.0,17,0,3077244.0,126972.0,22,17,390.0,18,33,29,,3,71.0,0,17,300.0,1,2.0,177.0,26,3
1,9,43344.0,16653.0,5,0,63128.0,140818.0,6,5,45469.0,6,3,1,64670.0,4,78.0,19,5,52068.0,11,2337.0,181.0,25,0
0,23,48143.0,21971.0,22,16,205449.0,168754.0,0,22,,11,34,18,79462.0,7,,33,22,64280.0,42,16672.0,184.0,31,1
1,19,7153.0,544.0,21,0,10861.0,140516.0,31,21,11845.0,0,13,6,12974.0,3,81.0,1,21,7364.0,16,547.0,190.0,14,3
1,2,69634.0,26526.0,34,26,5000.0,194619.0,20,34,,15,20,19,149727.0,10,66.0,41,33,115790.0,28,45992.0,176.0,32,3
1,0,47885.0,18123.0,26,30,21399.0,139801.0,33,26,55661.0,10,15,41,68832.0,7,71.0,20,25,58401.0,37,6309.0,179.0,3,3
1,14,16313.0,3333.0,11,10,134950.0,140752.0,7,11,19461.0,1,8,24,44513.0,2,74.0,6,11,18746.0,38,150.0,181.0,10,3
1,17,69190.0,25740.0,13,12,,196424.0,28,13,,3,24,14,112082.0,1,,39,13,115868.0,39,38195.0,175.0,32,3
1,40,23059.0,5262.0,23,0,22846.0,140612.0,27,23,1434.0,6,4,2,30737.0,4,67.0,8,23,19738.0,6,161.0,183.0,16,4
1,34,56666.0,18975.0,0,1,32176.0,133024.0,31,0,64111.0,17,0,5,70590.0,3,58.0,24,0,65132.0,40,20147.0,172.0,30,4
1,42,11585.0,1994.0,41,31,569371.0,140778.0,1,41,16105.0,8,40,26,28378.0,6,65.0,5,39,13069.0,24,133.0,181.0,22,3
1,41,49495.0,23426.0,10,8,29588.0,177246.0,26,10,,11,30,12,87061.0,7,,38,10,88470.0,17,37748.0,181.0,32,3
