Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
1,752571,45,45,1,750136,5,0
1,6087,15,15,1,4936,5,1
1,630925,167,167,1,630173,5,0
0,795045,186,186,0,794215,1,0
0,587282,66,66,0,586959,2,0
1,3080,51,51,1,735,5,1
1,478396,131,131,1,477242,5,0
1,822273,208,208,1,821002,5,0
1,2334536,193,193,1,2334039,5,0
1,4194,214,214,1,3232,5,0
1,957,164,164,1,103,5,1
1,13228,190,190,1,10472,5,1
1,3052,53,53,1,605,5,0
1,640440,111,111,1,637990,5,0
1,963,72,72,1,103,5,1
1,216862,121,121,1,214952,5,0
1,360854,44,44,1,358083,5,1
1,9773,226,226,1,7086,5,0
0,346850,200,200,0,346512,2,1
1,56420,153,153,1,55923,5,1
1,23155,181,181,1,22973,5,1
1,663276,129,129,1,662509,5,0
1,1902,41,41,1,1699,5,1
1,17064,74,74,1,15238,5,0
1,250640,169,169,1,247890,5,0
1,944659,157,157,1,941918,5,1
1,23344,161,161,1,21104,5,0
1,40883,49,49,1,38052,5,1
1,557,86,86,1,3,5,1
1,1132750,112,112,1,1130948,5,0
0,45867,21,21,0,45670,2,1
0,2029693,136,136,0,2028950,3,0
1,821170,94,94,1,818471,5,0
1,805101,138,138,1,802591,5,0
1,15156,24,24,1,14362,5,1
1,66037,90,90,1,63011,5,1
1,7310,233,233,1,4494,5,0
0,586872,175,175,0,586129,2,0
1,10829,77,77,1,8487,5,1
1,182518,42,42,1,180932,5,1
1,207218,116,116,1,204852,5,1
1,26957,133,133,1,26184,5,0
0,870832,50,50,0,869711,2,0
