Gene_Subclass,Genomic_End_Position,Gene_Db_Id,Gene_Label,Gene_Type,Genomic_Start_Position,Encoded_Protein_Description,Strand_Orientation
0,9695,153,153,0,7212,0,1
1,474181,190,190,1,471830,3,0
1,4543,136,136,1,1706,3,1
0,1430611,96,96,0,1429409,1,0
1,2149200,264,264,1,2146741,3,0
1,3014,93,93,1,228,3,1
0,750304,207,207,0,747923,0,0
1,46833,73,73,1,44356,3,0
1,754760,203,203,1,752910,3,0
1,6217,318,318,1,3602,3,1
1,396132,243,243,1,393928,3,0
1,128705,205,205,1,127131,3,1
1,496021,25,25,1,493463,3,0
1,56619,315,315,1,53854,3,1
1,1094,22,22,1,159,3,1
0,117865,210,210,0,115973,0,1
0,6529,155,155,0,4547,0,1
1,174847,192,192,1,172793,3,1
1,12451,174,174,1,9695,3,1
0,15772,283,283,0,13661,0,0
1,1175229,144,144,1,1172704,3,0
1,388046,37,37,1,385203,3,0
1,1182,90,90,1,1,3,1
1,22938,84,84,1,21226,3,1
1,1130391,195,195,1,1127446,3,0
1,11829,31,31,1,8980,3,1
1,4777,17,17,1,2027,3,1
0,24358,272,272,0,21590,0,0
1,1008775,187,187,1,1006142,3,0
0,6840,284,284,0,3826,0,0
1,10610,171,171,1,8169,3,1
1,2272,39,39,1,2,3,0
1,1767155,266,266,1,1764399,3,1
1,905310,38,38,1,902803,3,0
0,729858,198,198,0,727477,0,0
1,214887,304,304,1,212992,3,0
0,34372,1,1,0,33320,0,1
0,38223,29,29,0,36197,0,1
1,27589,107,107,1,25172,3,0
1,2120212,104,104,1,2117660,3,0
1,3783,83,83,1,1453,3,1
1,596370,276,276,1,593812,3,0
1,19819,120,120,1,16985,3,1
0,392186,223,223,0,389424,0,0
0,36463,114,114,0,33455,0,1
1,439193,286,286,1,435576,3,0
0,598524,91,91,0,596251,1,0
0,17724,293,293,0,14986,1,1
1,107280,47,47,1,104554,3,0
1,21022,61,61,1,18272,3,1
0,478312,9,9,0,477440,0,0
1,2982,69,69,1,445,3,1
1,342240,150,150,1,339421,3,1
1,2020967,176,176,1,2018517,3,0
1,68416,260,260,1,66416,3,1
0,1204,125,125,0,2,0,0
0,553364,249,249,0,550602,0,0
1,2360044,12,12,1,2358530,3,0
0,851849,118,118,0,849015,0,0
0,3713,282,282,0,2106,1,0
1,16396,294,294,1,13598,3,0
0,748745,34,34,0,745776,0,0
0,4567,54,54,0,1604,0,0
1,20212,245,245,1,17501,3,1
1,3790,208,208,1,806,3,0
1,58311,298,298,1,56848,3,1
0,645301,275,275,0,642806,0,0
1,7188,123,123,1,4384,3,0
1,458839,15,15,1,457553,3,0
0,811998,311,311,0,810235,0,0
1,26744,325,325,1,24147,3,1
1,2449,0,0,1,11,3,0
1,905988,94,94,1,903148,3,0
1,9121,288,288,1,6152,3,1
1,582104,237,237,1,579438,3,0
1,79885,228,228,1,77750,3,1
1,15577,68,68,1,12521,3,1
0,169312,65,65,0,166550,0,0
1,1113039,295,295,1,1110685,3,1
0,531490,32,32,0,528650,0,0
1,15172,111,111,1,12569,3,0
1,710712,197,197,1,708220,3,0
1,351197,216,216,1,348939,3,0
1,56555,324,324,1,54387,3,1
1,6673,231,231,1,3815,3,0
0,31215,301,301,0,30121,1,1
1,4394,67,67,1,1644,3,1
1,2028531,265,265,1,2025571,3,0
1,11733,72,72,1,9154,3,0
0,4119,42,42,0,967,0,1
1,27235,146,146,1,24623,3,1
1,783456,78,78,1,780772,3,0
0,29687,109,109,0,27789,0,1
1,242630,116,116,1,239769,3,1
1,3660,170,170,1,874,3,1
1,106204,279,279,1,104012,4,1
0,1981,297,297,0,2,0,0
1,9934,85,85,1,6965,3,1
1,577397,6,6,1,576201,3,0
1,1820,8,8,1,189,3,0
1,485801,33,33,1,483723,3,0
1,11541,326,326,1,8509,3,1
1,619021,149,149,1,617285,3,0
0,13820,27,27,0,12766,0,1
1,2194888,105,105,1,2192474,3,1
0,47207,79,79,0,45534,0,1
1,639965,256,256,1,637563,3,0
