StrandOrientation,GenomicEndPosition,GeneDbId,ChromosomeLocation,EncodedProtein,GenomicStartPosition
0,16917457,143,12,37,16914834
0,22370663,174,12,37,22368995
1,10166666,39,1,3,10162488
1,15205645,129,12,40,15204587
1,1377494,64,12,41,1376007
1,6206204,25,1,42,6205003
0,196430,5,2,32,190759
1,6407978,88,12,17,6406782
0,3668916,72,12,43,3665455
0,1619516,66,12,36,1618005
0,20921047,166,12,37,20919837
0,23094018,179,12,18,23092635
0,2395872,70,12,39,2393881
1,5133342,7,5,32,5130638
0,1681418,12,8,18,1679283
0,13088563,48,1,2,13085495
0,19533804,159,12,19,19532201
0,9534947,104,12,25,9531795
1,1115867,10,9,18,1114074
1,15572469,131,12,18,15571309
1,189059,56,12,36,186996
0,20629260,163,12,17,20624929
0,9897110,107,12,19,9895189
0,20644984,165,12,18,20643740
0,21910490,172,12,37,21909174
1,14737741,51,1,13,14736827
0,12043902,44,1,0,12042832
0,5694837,86,12,36,5693386
1,10471813,40,1,6,10470053
1,18902845,153,12,18,18901746
1,16194865,138,12,36,16193285
1,19068634,154,12,17,19067516
1,17510816,150,12,17,17509830
1,24166126,182,12,17,24164795
1,20643501,164,12,23,20641411
1,15718387,134,12,36,15717122
0,13085487,47,1,12,13081270
1,9818594,38,1,0,9817575
1,2196289,69,12,30,2194207
0,1535813,15,1,41,1533903
0,12991286,46,1,28,12990102
0,20186152,161,12,17,20185019
1,14784791,128,12,36,14783577
1,23555821,180,12,17,23554982
0,17302256,148,12,29,17300595
0,17931183,151,12,18,17930112
1,8501731,102,12,18,8500823
1,7321944,28,1,41,7320766
0,14313028,125,12,35,14311819
1,22703905,177,12,19,22702368
1,690524,0,0,16,690027
1,11526257,42,1,8,11525184
0,13564907,119,12,18,13563621
1,9395484,103,12,17,9394522
1,13800591,120,12,26,13799374
1,5535594,82,12,36,5533789
0,4961093,78,12,18,4960051
1,6835055,93,12,18,6834118
0,2148612,68,12,17,2147431
0,19933346,160,12,37,19929547
1,740910,58,12,36,739147
1,21500635,170,12,36,21499448
0,21207146,167,12,17,21206232
0,7436601,97,12,27,7431780
1,24417944,185,12,36,24416316
1,990467,14,1,12,986793
1,17430624,149,12,34,17429500
1,157156,55,12,17,156131
1,5654798,85,12,19,5652840
0,1988897,13,8,18,1987326
1,3723203,73,12,21,3721833
1,16629275,142,12,17,16628019
1,5418484,81,12,31,5417666
