Gene_Classification,Gene_Description,Genomic_End_Position,Gene_Db_Id,Encoded_Protein,Gene_Type,Genomic_Start_Position,Strand_Orientation
0,0,1118634,319,4,0,1117975,1
1,0,347837,17,3,1,347313,0
0,0,250738,323,4,0,250097,0
0,0,1579,2,4,0,1004,1
0,0,570400,76,4,0,569783,0
0,0,552848,144,4,0,552180,1
0,0,52129,264,4,0,51491,0
1,0,19103,380,3,1,18480,1
0,0,4829,256,4,0,4128,0
0,0,599763,232,4,0,598996,1
0,0,436400,11,4,0,435816,0
0,0,1148872,410,4,0,1148204,0
0,0,339516,224,4,0,338926,0
0,0,1581481,214,4,0,1580900,1
0,0,1081012,406,4,0,1080440,1
0,0,15668,344,4,0,15015,0
0,0,6518,303,4,0,5874,1
0,0,33001,19,4,0,32291,1
1,0,504309,428,3,1,503911,1
0,0,668902,148,4,0,668282,1
0,0,1995197,216,4,0,1994529,0
0,0,216763,322,4,0,216122,0
1,0,588625,156,3,1,587969,1
0,0,416038,383,4,0,415541,0
1,0,463493,101,3,1,462885,1
0,0,14001,394,4,0,13402,1
1,0,385637,20,3,1,384969,0
0,0,602338,320,4,0,601643,1
0,0,1845,389,2,0,1489,1
0,0,375081,122,4,0,374536,1
0,0,1473130,87,4,0,1472456,0
0,0,1134002,408,4,0,1133424,1
0,0,444695,31,4,0,444042,0
0,0,42175,386,4,0,41594,0
0,0,9261,128,4,0,8539,0
0,0,382637,57,4,0,382086,0
0,0,35038,302,4,0,34388,1
0,0,416102,246,4,0,415509,0
1,0,13194,349,3,1,12661,1
0,0,653543,84,4,0,652923,1
0,0,320021,423,4,0,319437,1
0,0,78452,299,4,0,77844,0
0,0,2893,384,4,0,2228,0
0,0,38888,79,4,0,38181,1
0,0,22995,304,2,0,22609,1
0,0,1066542,405,4,0,1065931,1
0,0,438865,351,4,0,438233,0
0,0,345916,153,4,0,345353,0
1,0,499409,366,3,1,498789,0
0,0,262228,37,4,0,261515,0
0,0,350824,414,2,0,350453,1
0,0,224418,166,4,0,223792,0
0,0,17055,48,4,0,16375,0
0,0,1049,283,4,0,204,1
0,0,807166,151,4,0,806492,1
1,0,874302,274,3,1,873739,1
0,0,281,9,5,0,3,1
0,0,16035,342,4,0,15472,0
0,0,311595,412,2,0,311224,1
0,0,6125,10,4,0,5631,1
0,0,578960,77,4,0,578253,0
0,0,1670681,28,4,0,1670067,0
1,0,544317,146,1,1,543658,0
0,0,285006,245,4,0,284026,0
0,0,482096,253,4,0,481446,0
0,0,16573,164,4,0,15977,0
0,0,1236,125,4,0,691,0
0,0,2152710,106,4,0,2152117,1
0,0,218124,165,4,0,217234,0
0,0,497850,294,4,0,497083,1
0,0,314714,123,4,0,314181,0
0,0,729959,96,4,0,729363,0
0,0,358436,277,2,0,358038,1
0,0,584282,133,4,0,583626,1
0,1,22696,73,4,0,22061,1
1,0,1261581,324,3,1,1260970,0
0,0,160801,403,4,0,160181,0
1,0,10872,104,3,1,10210,0
0,0,412598,279,4,0,411981,1
0,0,514088,293,4,0,513441,1
0,0,53893,306,4,0,53279,1
0,0,253563,287,4,0,252895,0
0,0,237931,285,4,0,237338,0
0,0,266589,176,4,0,265723,0
0,0,1078119,192,4,0,1077559,0
0,0,198335,42,4,0,197730,1
0,0,1243238,186,4,0,1242540,1
0,0,1176204,399,4,0,1175530,0
0,0,6197,387,4,0,5628,0
0,0,47042,80,4,0,46335,1
0,0,374682,41,4,0,374062,0
0,0,1420673,91,4,0,1420101,0
0,0,388432,194,2,0,388043,1
0,0,70633,59,4,0,70109,0
0,0,11230,374,4,0,10535,0
0,0,694973,307,4,0,694383,0
0,0,1677970,118,4,0,1677395,0
0,0,5761,375,4,0,5141,0
0,0,1886263,217,4,0,1885670,0
0,0,311313,422,4,0,310645,1
0,0,282372,173,4,0,281740,1
0,0,456160,321,4,0,455483,0
0,0,36542,385,4,0,35961,1
0,0,541203,103,4,0,540331,0
0,0,377041,363,4,0,376496,1
0,0,1142859,409,4,0,1142287,1
0,0,1481322,93,4,0,1480762,1
0,0,1306828,208,4,0,1306226,1
0,0,1739,5,4,0,1236,1
0,0,410649,140,2,0,410251,0
0,0,1587490,211,4,0,1586741,0
0,0,2442,284,4,0,1612,1
0,1,327963,424,4,0,327337,1
0,0,1411596,21,4,0,1410949,0
0,0,260483,177,4,0,259935,0
0,0,917604,273,4,0,916954,0
0,0,371048,276,4,0,370350,1
0,0,11470,47,2,0,11081,1
0,0,377176,141,4,0,376607,0
0,0,1943209,8,4,0,1942577,0
0,0,7470,268,4,0,6853,1
0,0,120884,34,2,0,120498,0
0,0,21243,14,4,0,20602,1
0,0,605996,238,4,0,605367,1
0,1,340144,413,4,0,339536,0
1,0,862102,241,3,1,861431,0
0,0,1875155,218,4,0,1874526,0
0,0,617680,233,4,0,617066,1
0,0,59685,49,4,0,58891,0
0,0,1611491,330,4,0,1610868,0
0,0,31626,357,4,0,31012,0
0,0,76266,278,4,0,75574,1
0,0,430625,12,4,0,430509,0
0,0,288480,175,4,0,287506,0
0,0,1187163,346,4,0,1186465,0
0,0,1200244,312,4,0,1199621,0
0,0,18926,390,4,0,18276,0
0,0,2115566,25,4,0,2114982,1
0,0,1109679,316,4,0,1109041,1
0,0,1559,51,4,0,987,1
0,0,413954,418,4,0,413337,0
0,0,159847,67,4,0,159101,1
0,0,1139142,315,4,0,1138561,1
0,0,462219,364,4,0,461563,1
0,0,1348,167,4,0,512,1
0,0,1344856,198,4,0,1344239,0
0,0,203566,70,2,0,203195,1
0,0,3660,195,4,0,3085,1
0,0,1001979,95,4,0,1001410,0
1,0,1671935,119,3,1,1671336,0
0,0,3008,162,4,0,2760,1
0,0,17644,348,4,0,17072,0
0,0,393310,280,4,0,392783,0
0,0,1025055,191,4,0,1024453,0
0,0,1654543,30,4,0,1654004,1
0,0,11006,13,4,0,10434,1
0,0,1840810,110,4,0,1840178,0
0,0,1182146,313,4,0,1181541,1
1,0,356421,430,3,1,355831,1
0,0,398667,248,4,0,398035,0
0,0,1235855,187,2,0,1235211,1
0,0,1806636,337,4,0,1806064,0
0,0,7249,53,4,0,6641,0
0,0,452612,281,4,0,451995,0
0,0,425782,139,2,0,425384,0
0,0,1121,1,4,0,531,0
0,0,725245,150,4,0,724664,1
0,0,7534,343,2,0,7151,0
0,0,14571,377,4,0,14272,0
0,0,244449,288,4,0,243556,0
0,0,622513,26,4,0,621803,0
0,0,261062,174,4,0,260553,0
0,0,253089,178,4,0,252442,0
0,0,305429,372,4,0,304515,0
1,0,690105,147,3,1,689434,0
0,0,26110,305,4,0,25487,1
0,0,55203,81,4,0,54550,0
0,0,6670,227,4,0,6140,1
0,0,467996,365,4,0,467418,0
0,0,1079,127,2,0,750,0
0,1,1784731,333,4,0,1784156,1
0,0,1392058,308,4,0,1391459,0
0,0,174019,65,4,0,173294,1
1,0,44727,395,3,1,44119,1
1,0,978860,275,1,1,978390,0
0,0,7294,261,4,0,6638,0
0,0,9111,131,2,0,8734,0
0,0,641578,83,4,0,640880,1
0,0,2852,16,4,0,2211,0
0,0,1610144,115,4,0,1609563,0
1,0,225709,69,3,1,225092,1
0,0,873,4,4,0,262,1
0,0,462632,138,4,0,462006,0
0,0,1707,378,4,0,1054,0
0,0,555039,78,4,0,554104,0
0,0,897457,272,4,0,896894,0
0,0,522983,292,4,0,522417,1
0,0,930600,242,4,0,929947,1
0,0,459742,249,4,0,459083,0
0,0,8892,376,4,0,8245,0
0,0,410431,181,4,0,409799,0
0,0,95645,64,4,0,95094,1
0,0,296809,421,4,0,296102,1
0,0,438791,32,4,0,438168,1
0,0,302673,244,4,0,302005,0
0,0,332148,411,4,0,331510,0
0,0,22912,58,2,0,22523,0
0,0,20624,74,4,0,19953,1
0,0,276224,135,4,0,275592,0
0,0,603114,237,4,0,602248,1
0,0,610905,155,4,0,610333,0
1,0,893116,239,3,1,892445,1
0,0,9993,33,4,0,9376,1
0,0,1448091,89,4,0,1447573,1
0,0,12594,197,4,0,11959,1
0,0,389569,247,4,0,388676,0
0,0,28027,44,4,0,27344,0
0,0,406686,137,4,0,406078,0
0,0,32545,262,4,0,31979,0
1,0,11424,40,3,1,10828,0
0,0,474095,354,4,0,473496,0
1,0,891600,271,1,1,891058,1
0,0,1570983,121,4,0,1570405,1
0,0,487260,201,4,0,486679,1
1,0,28680,129,3,1,27985,0
0,0,478938,102,4,0,478315,0
0,0,1109266,398,4,0,1108595,0
0,0,21792,345,4,0,21193,0
0,0,652493,236,4,0,651543,1
0,0,538452,145,4,0,537880,1
0,0,21840,230,4,0,21079,0
0,0,567898,124,2,0,567485,0
0,0,53116,397,5,0,52718,0
0,0,308712,370,4,0,308044,0
0,0,641268,234,4,0,640657,1
0,0,1591262,331,4,0,1590720,0
0,0,559332,143,2,0,558976,0
0,0,627298,100,4,0,626603,1
0,0,555039,429,4,0,554545,1
0,0,269583,420,4,0,268954,0
1,0,1591401,212,3,1,1590901,0
0,0,1060193,189,4,0,1059636,1
0,0,272757,180,4,0,271798,0
0,0,21892,339,4,0,21179,0
0,0,400683,56,4,0,400036,1
0,0,11825,45,4,0,11139,0
0,0,610947,367,4,0,610288,1
0,0,1183104,325,4,0,1182499,0
0,0,1871216,109,4,0,1870641,0
0,0,1100102,407,4,0,1099440,1
0,0,223254,289,4,0,222562,0
0,0,2130876,105,4,0,2130250,1
0,0,5418,231,4,0,4696,1
0,0,274287,172,4,0,273715,1
0,0,643220,199,4,0,642618,0
0,0,253619,170,4,0,252897,0
0,0,190891,66,4,0,190256,1
0,0,33533,391,4,0,32910,1
0,0,66227,301,4,0,65685,0
0,0,1038285,190,4,0,1037734,1
0,0,1299223,185,4,0,1298663,0
0,0,549268,75,4,0,548651,0
0,0,1790185,219,4,0,1789544,1
0,0,110877,154,5,0,110344,1
0,0,70385,298,4,0,69732,0
0,0,375323,426,4,0,374682,1
0,1,1894275,111,4,0,1893637,1
0,0,48963,358,4,0,48349,0
0,0,63431,63,4,0,62859,0
0,0,563485,94,2,0,563114,0
1,0,1947,15,3,1,1330,1
0,1,849658,23,4,0,849029,1
0,0,17246,266,4,0,16593,0
0,0,11667,259,4,0,10975,1
0,0,1192370,314,4,0,1191744,1
0,0,789660,149,4,0,789061,1
0,0,484940,355,4,0,484143,0
0,0,551183,226,2,0,550740,0
0,0,1665163,29,4,0,1664528,0
0,0,15815,361,4,0,15231,0
0,0,423275,203,4,0,422700,0
0,0,50225,396,4,0,49587,0
0,0,23909,362,4,0,23259,0
0,0,1935320,215,4,0,1934724,0
0,0,1439745,90,4,0,1439215,1
0,0,1646736,213,4,0,1646206,0
0,0,5356,350,4,0,4736,1
0,0,281837,179,4,0,281250,0
0,0,217404,22,4,0,216745,0
0,0,431207,427,4,0,430704,0
0,0,565167,382,2,0,564760,0
0,0,4939,6,4,0,4241,1
0,0,497547,251,4,0,496699,0
0,0,2159962,326,4,0,2159390,0
0,0,1722444,338,4,0,1721857,1
0,0,627125,85,4,0,626559,1
0,0,636879,158,4,0,636250,1
0,0,2103139,220,4,0,2102468,1
0,0,211634,419,5,0,211245,0
0,0,34921,267,4,0,34262,1
0,0,1578872,120,4,0,1578312,0
0,0,596495,159,4,0,595866,0
0,0,9539,196,4,0,8904,1
0,0,491431,295,4,0,490859,1
0,0,465000,353,4,0,464038,0
0,0,283286,425,4,0,282588,0
0,0,1863,43,4,0,1279,0
1,0,1337715,210,3,1,1337152,0
0,0,10499,38,2,0,10110,1
0,0,6256,130,2,0,5888,0
0,0,77237,60,4,0,76545,0
0,0,1685667,117,0,0,1685527,0
0,0,566496,296,4,0,565864,1
0,0,1212108,311,4,0,1211533,0
0,0,8071,393,4,0,7124,1
0,0,631273,157,4,0,630704,1
0,0,1357417,310,4,0,1356881,1
0,0,1413348,209,4,0,1412725,1
0,0,897652,240,4,0,897068,0
0,0,102031,0,4,0,101630,1
0,0,460277,282,4,0,459570,0
0,0,542828,290,4,0,542232,1
0,0,2082607,35,4,0,2081918,1
0,0,673589,184,4,0,672981,1
0,0,262590,286,4,0,261997,0
0,0,1069989,193,4,0,1069351,0
0,0,54130,400,4,0,53294,1
0,0,238595,171,4,0,237978,1
0,0,2039757,328,4,0,2039173,1
0,0,55031,265,4,0,54300,0
0,0,42738,392,4,0,42403,1
0,0,698962,97,4,0,698387,1
0,0,1037760,369,4,0,1037092,1
0,0,510533,431,4,0,509916,0
0,0,1653046,113,4,0,1652444,1
0,0,602022,160,4,0,601444,0
0,0,9693,360,4,0,9067,0
0,0,331967,152,4,0,331098,0
0,0,57983,62,4,0,57381,1
0,0,488252,250,4,0,487683,0
0,0,152203,402,4,0,151562,0
0,0,7816,168,4,0,6941,1
0,0,473006,252,4,0,472107,0
0,0,8984,255,4,0,8412,1
0,0,296422,243,4,0,295724,0
0,0,786,373,4,0,88,0
0,0,521226,207,4,0,520573,0
0,0,1896,254,4,0,1198,1
0,0,433446,204,4,0,432955,0
0,0,297265,223,4,0,296609,0
0,0,421453,417,4,0,420860,0
0,0,10738,163,4,0,10142,1
0,0,422988,182,4,0,422386,0
0,0,739582,270,4,0,738989,0
0,0,741926,200,4,0,741234,0
0,0,2021354,36,4,0,2020752,1
1,0,22510,54,3,1,21845,0
0,0,12963,341,4,0,12349,0
0,0,1279824,188,4,0,1279111,1
0,0,2141017,327,4,0,2140400,0
0,0,213605,71,4,0,212727,1
0,0,649380,235,4,0,648745,1
1,0,1773473,334,3,1,1772775,1
0,0,537100,291,4,0,536468,1
0,0,3185,161,4,0,2544,1
0,0,1094415,318,4,0,1093786,1
0,0,548259,142,2,0,547909,0
0,0,4704,228,4,0,4066,0
0,0,67780,415,4,0,67067,0
0,0,288418,222,4,0,287768,0
0,0,165971,18,4,0,165327,0
0,0,633393,82,4,0,632488,1
0,0,606832,86,4,0,606242,0
0,0,11303,50,4,0,10641,1
0,0,667099,3,4,0,666332,1
