GeneSubclass,GeneDescription,OrthologId,GenomicEndPosition,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
1,0,58,14455,92,1,112,11690,0
1,0,151,106204,280,1,17,104012,1
0,0,2,4524,240,0,140,2574,0
1,0,17,486237,25,1,46,483109,0
0,0,86,19758,186,0,134,17038,0
0,0,97,47207,84,0,111,45534,1
0,0,161,36437,104,0,116,35517,1
1,0,37,5595,69,1,106,2761,1
1,0,133,931453,225,1,39,928565,0
1,0,71,2693,281,1,95,396,0
0,0,104,4036,64,0,66,1289,1
1,0,59,93761,73,1,64,90201,1
1,0,60,11733,76,1,81,9154,0
1,0,134,27235,149,1,28,24623,1
0,0,146,120500,321,0,9,118605,0
1,0,159,26060,260,1,2,23298,1
1,0,113,351197,217,1,61,348939,0
1,0,48,33122,282,1,40,30594,1
1,0,142,1425113,14,1,51,1422420,0
1,0,4,225780,81,1,25,223900,0
0,0,163,56433,248,0,39,54619,1
0,0,25,1739,12,0,71,3,1
0,0,127,201879,300,0,60,200095,0
1,0,85,1320804,152,1,58,1318300,0
0,0,51,650247,103,0,25,648161,0
0,0,158,3779,184,0,132,1517,0
0,0,15,64637,151,0,64,62859,1
1,0,52,4799,272,1,143,2103,0
1,0,105,7313,235,1,139,4734,0
0,0,148,19476,159,0,127,17815,1
1,0,173,7957,143,1,125,5381,0
0,0,182,840765,123,0,35,837994,0
1,0,130,2120212,107,1,57,2117660,0
0,0,177,739713,326,0,29,736933,0
0,0,176,2442,156,0,34,1297,1
1,0,121,29971,145,1,44,27197,1
1,0,175,1032018,50,1,43,1029001,0
1,0,174,16396,294,1,148,13598,0
1,0,81,492103,131,1,0,489575,0
0,0,157,3892,45,0,53,599,1
1,0,134,439193,287,1,45,435576,0
1,0,4,578138,101,1,25,576360,0
1,0,179,3857,105,1,117,1095,1
1,0,122,924785,236,1,56,922281,1
1,0,105,245943,62,1,4,244298,0
1,0,35,577397,7,1,26,576201,0
0,0,65,9141,220,0,136,8410,0
1,0,118,981807,278,1,51,979324,1
1,0,172,14712,221,1,90,11650,0
1,0,147,2360044,13,1,58,2358530,0
1,0,166,11256,253,1,91,8914,1
1,0,129,7825,93,1,113,5795,0
0,0,135,9869,54,0,57,8244,1
1,0,82,128705,208,1,27,127131,1
0,0,160,86361,189,0,15,83876,1
0,0,38,1981,298,0,98,2,0
1,0,137,483389,320,1,5,481422,0
1,0,11,494127,310,1,16,492577,1
0,0,67,21702,60,0,103,18811,0
1,0,24,38827,226,1,23,35924,1
1,0,62,5339,52,1,100,2904,1
0,0,89,748745,35,0,28,745776,0
1,0,88,3210,23,1,72,616,1
0,0,117,258722,218,0,9,256827,0
0,0,50,10587,183,0,131,8119,1
1,0,26,145152,315,1,13,142906,1
0,0,159,30562,279,0,17,28739,1
1,0,122,58311,299,1,56,56848,1
1,0,48,905988,99,1,40,903148,0
1,0,102,710712,201,1,35,708220,0
0,0,134,45706,261,0,2,43370,1
1,0,12,588116,3,1,8,586977,0
0,0,140,4613,118,0,5,1626,1
0,0,103,3158,6,0,38,342,1
1,0,110,690966,180,1,30,687994,0
1,0,169,15683,256,1,94,12888,0
1,0,116,378832,38,1,62,376718,0
1,0,142,39618,86,1,51,36688,1
0,0,53,571445,200,0,19,567813,0
0,0,68,467624,172,0,11,464685,0
1,0,154,2020967,178,1,55,2018517,0
0,0,156,4567,56,0,79,1604,0
1,0,28,24449,114,1,84,21516,0
0,0,163,54516,96,0,39,53479,1
1,0,43,197559,194,1,9,195199,1
0,0,32,955,155,0,87,2,1
1,0,134,1130391,198,1,45,1127446,0
0,0,15,61849,48,0,64,60071,1
1,0,130,1824669,165,1,57,1821786,0
1,0,112,21022,63,1,104,18272,1
1,0,81,517997,133,1,0,514713,0
1,0,130,2028531,267,1,57,2025571,0
1,0,8,4543,139,1,123,1706,1
0,0,5,77950,18,0,22,74987,1
0,0,36,1337382,270,0,51,1335682,0
0,0,56,1973,1,0,153,3,1
1,0,61,9934,89,1,48,6965,1
1,0,40,16389,182,1,38,14728,1
1,0,15,242630,120,1,21,239769,1
0,0,66,31215,301,0,67,30121,1
1,0,61,1175229,147,1,48,1172704,0
0,0,3,2772,318,0,13,301,1
1,0,18,265804,203,1,10,263906,0
0,0,5,496864,170,0,6,494066,0
1,0,147,1709527,109,1,58,1707056,1
1,0,121,905310,39,1,44,902803,0
1,0,30,5025,157,1,126,2677,1
1,0,105,474181,193,1,4,471830,0
0,0,116,20670,140,0,124,18052,1
0,0,145,1434052,154,0,51,1432280,0
1,0,130,2327020,264,1,57,2324351,0
1,0,106,30617,150,1,65,28410,1
0,0,55,791878,122,0,35,790079,0
1,0,2,10460,79,1,110,8049,1
0,0,7,764760,204,0,29,762982,0
1,0,96,6217,319,1,13,3602,1
1,0,98,411543,244,1,29,408877,0
1,0,44,706189,15,1,27,704129,0
1,0,184,496021,27,1,1,493463,0
1,0,26,56619,316,1,13,53854,1
0,0,170,4421,32,0,75,3684,1
0,0,101,117865,211,0,2,115973,1
1,0,28,19013,46,1,34,16263,1
1,0,21,174847,195,1,9,172793,1
1,0,4,8963,176,1,130,6399,1
0,0,163,6840,285,0,145,3826,0
0,0,149,34372,2,0,49,33320,1
1,0,138,110366,249,1,63,107442,1
1,0,41,7278,98,1,115,4399,0
0,0,176,67475,297,0,55,65139,1
0,0,39,1140600,197,0,45,1138639,0
1,0,33,1174681,78,1,47,1172813,0
1,0,49,1443,20,1,70,1,1
0,0,97,7112,283,0,144,4374,1
1,0,13,1113039,296,1,57,1110685,1
1,0,80,7245,290,1,146,4687,1
1,0,81,12451,175,1,129,9695,1
0,0,68,2274,51,0,77,1,0
1,0,85,2194888,108,1,58,2192474,1
1,0,134,16715,188,1,45,14439,1
0,0,180,750304,209,0,35,747923,0
1,0,43,214887,306,1,9,212992,0
1,0,13,44770,26,1,49,42977,1
1,0,22,56555,323,1,41,54387,1
1,0,78,18751,111,1,83,16475,1
1,0,130,2149200,266,1,57,2146741,0
0,0,64,13820,29,0,23,12766,1
1,0,120,596370,277,1,11,593812,0
1,0,81,19819,124,1,0,16985,1
0,0,8,392186,224,0,11,389424,0
0,0,24,58458,116,0,16,55432,1
0,0,115,447897,286,0,45,446350,0
0,0,104,598524,95,0,7,596251,0
1,0,147,342240,153,1,58,339421,1
1,0,175,130785,106,1,18,128263,0
1,0,124,2892,68,1,105,97,0
0,0,20,478312,10,0,11,477440,0
1,0,31,46833,77,1,109,44356,0
1,0,85,670094,37,1,58,667467,0
0,0,143,2028848,179,0,55,2027736,0
1,0,27,68416,262,1,2,66416,1
1,0,94,4460,129,1,86,2295,0
0,1,0,655728,168,0,17,653962,0
1,0,107,201254,158,1,59,198909,0
1,0,52,4289,171,1,36,3018,1
1,0,63,3538,292,1,97,857,1
1,0,146,12394,304,1,149,9605,0
1,0,6,396132,245,1,29,393928,0
1,0,128,14564,61,1,80,12819,1
0,0,184,39476,269,0,142,36720,1
1,0,100,13956,215,1,89,10954,0
1,0,87,68621,192,1,56,67503,1
0,0,8,645301,276,0,11,642806,0
1,0,5,5678,130,1,121,4257,1
1,0,155,458839,17,1,11,457553,0
1,0,69,825842,311,1,38,823350,0
0,0,109,38223,31,0,41,36197,1
0,0,154,968,8,0,152,3,0
1,2,101,11541,325,1,41,8509,1
0,0,180,12865,289,0,37,9965,1
1,0,8,582104,238,1,12,579438,0
1,0,120,79885,230,1,11,77750,1
1,0,150,2982,72,1,108,445,1
1,0,162,22938,88,1,55,21226,1
1,0,130,1573917,166,1,57,1571158,0
0,0,42,531490,33,0,3,528650,0
0,0,25,4734,125,0,85,2191,0
0,0,180,729858,202,0,35,727477,0
0,0,99,367390,216,0,61,364778,0
0,0,57,966472,30,0,42,963723,0
0,0,88,18183,233,0,138,15433,0
1,0,37,4073,5,1,68,1218,0
1,0,50,15577,71,1,107,12521,1
1,0,13,2071578,164,1,57,2068987,0
1,0,123,27589,110,1,82,25172,0
1,0,73,22430,44,1,32,19944,1
1,0,9,181574,314,1,28,180063,1
1,0,126,801320,82,1,32,798915,0
0,0,77,11142,113,0,119,8839,1
1,0,92,16034,127,1,22,13233,0
1,0,79,10610,173,1,128,8169,1
0,0,51,553364,250,0,17,550602,0
1,0,72,16963,49,1,99,14936,0
0,0,149,1171911,148,0,48,1168945,0
1,0,15,585311,228,1,26,582390,0
1,0,34,1820,9,1,154,189,0
1,0,46,485801,34,1,3,483723,0
1,0,22,26744,324,1,41,24147,1
1,0,109,71684,295,1,15,69120,1
0,0,64,22871,4,0,23,21810,1
1,0,147,2325261,42,1,58,2323705,0
1,0,70,10910,91,1,112,8910,0
0,0,125,663320,259,0,22,660522,0
