GeneSubclass,GeneDescription,OrthologId,GenomicEndPosition,GeneDbId,GeneType,ChromosomeId,GenomicStartPosition,StrandOrientation
0,0,155,2010044,11,0,57,2009265,0
0,0,24,794113,243,0,33,793295,0
1,0,13,1008775,190,1,59,1006142,0
0,0,166,56433,249,0,41,54619,1
1,0,91,654938,253,1,27,652152,0
1,0,170,8756,147,1,46,5919,1
0,0,60,4216,135,0,48,1460,1
1,0,175,411506,60,1,33,408474,0
0,0,156,1137976,139,0,58,1133828,0
0,0,84,1204,129,0,88,2,0
0,0,109,8397,16,0,9,5578,1
0,0,7,764760,203,0,31,762982,0
1,0,147,976,21,1,75,2,1
1,0,105,587182,275,1,37,584897,1
1,0,6,3258,41,1,78,436,0
1,0,181,6116,59,1,104,4224,1
0,0,12,606712,238,0,12,603989,0
1,0,73,21218,242,1,26,18921,1
0,0,136,2501,86,0,38,102,1
1,0,159,7457,215,1,41,4911,1
0,0,54,490870,47,0,1,489493,0
1,0,171,4777,19,1,71,2027,1
0,0,76,26225,207,0,66,24447,1
1,0,74,22430,45,1,34,19944,1
1,0,162,15107,263,1,2,12237,1
0,0,16,169188,308,0,45,166855,1
0,0,128,663320,259,0,24,660522,0
0,0,24,58458,117,0,16,55432,1
0,0,60,1185502,71,0,48,1183688,0
1,0,13,644271,101,1,59,641242,1
1,0,138,16574,223,1,139,14088,1
0,0,157,3713,285,0,98,2106,0
1,0,122,59561,142,1,51,57681,1
0,0,2,3597,235,0,141,1834,0
1,0,103,5794,138,1,124,3014,0
0,1,0,655728,170,0,18,653962,0
1,0,167,41742,309,1,45,39727,1
0,0,55,791878,124,0,37,790079,0
1,0,175,760085,244,1,33,757590,0
0,0,79,169312,68,0,56,166550,0
1,0,178,130785,107,1,20,128263,0
1,0,77,122539,191,1,14,120197,1
0,0,119,594892,227,0,28,591674,0
0,0,53,571445,199,0,21,567813,0
1,0,113,690966,180,1,32,687994,0
1,0,28,9553,116,1,86,7784,0
1,0,75,582823,22,1,21,581135,0
0,0,155,1917064,174,0,57,1914173,1
1,0,77,25743,231,1,14,24748,1
1,0,108,71114,196,1,4,69705,1
0,0,120,103187,324,0,9,101616,0
0,0,62,702008,181,0,32,700188,0
1,0,15,585311,228,1,28,582390,0
1,0,85,2350211,169,1,60,2347587,0
1,0,129,491613,136,1,41,488857,1
1,0,18,12191,232,1,14,9909,1
1,0,115,1182,95,1,116,1,1
0,0,59,4231,137,0,52,1391,1
0,0,155,14595,67,0,68,12280,1
1,0,47,9360,256,1,95,6577,0
1,0,10,14953,303,1,54,12005,1
1,0,82,29749,163,1,29,26915,1
1,0,175,430057,186,1,33,427406,0
1,0,58,14455,93,1,114,11690,0
0,0,162,30562,280,0,18,28739,1
0,0,2,4524,241,0,142,2574,0
1,0,17,486237,25,1,48,483109,0
0,0,86,19758,185,0,136,17038,0
0,0,99,47207,83,0,113,45534,1
0,0,164,36437,105,0,118,35517,1
1,0,38,5595,70,1,108,2761,1
1,0,135,912033,75,1,41,909235,0
1,0,71,2693,282,1,97,396,0
0,0,107,4036,65,0,68,1289,1
1,0,59,93761,74,1,66,90201,1
1,0,60,11733,76,1,83,9154,0
1,0,44,706189,15,1,29,704129,0
0,0,149,120500,323,0,9,118605,0
1,0,162,26060,260,1,2,23298,1
1,0,116,351197,218,1,63,348939,0
0,0,155,8589,30,0,42,6541,1
1,0,145,1425113,14,1,53,1422420,0
1,0,8,688837,91,1,26,685982,0
0,0,166,54516,97,0,41,53479,1
0,0,25,1739,12,0,73,3,1
0,0,129,201879,300,0,62,200095,0
1,0,85,1320804,153,1,60,1318300,0
1,0,91,628364,103,1,27,625434,0
0,0,161,3779,183,0,134,1517,0
0,0,15,64637,152,0,66,62859,1
1,0,52,4799,272,1,145,2103,0
1,0,108,7313,236,1,141,4734,0
0,0,151,19476,161,0,129,17815,1
1,0,176,7957,144,1,127,5381,0
1,0,21,829858,122,1,37,827087,0
1,0,132,2120212,108,1,59,2117660,0
1,0,100,411543,245,1,31,408877,0
1,0,1,848494,164,1,35,847454,0
1,0,124,29971,146,1,46,27197,1
1,0,178,1032018,51,1,45,1029001,0
1,0,177,16396,295,1,150,13598,0
1,0,81,492103,132,1,0,489575,0
0,0,160,3892,46,0,55,599,1
1,0,137,439193,288,1,47,435576,0
1,0,91,570499,252,1,27,567725,0
1,0,182,3857,106,1,119,1095,1
1,0,125,924785,237,1,58,922281,1
1,0,108,245943,63,1,4,244298,0
1,0,36,556405,240,1,28,554000,1
0,0,65,9141,221,0,138,8410,0
1,0,121,981807,279,1,53,979324,1
1,0,175,14712,222,1,92,11650,0
1,0,150,2360044,13,1,60,2358530,0
1,0,169,11256,254,1,93,8914,1
1,0,131,7825,94,1,115,5795,0
0,0,138,9869,55,0,59,8244,1
1,0,82,96498,209,1,29,94816,1
1,0,112,83774,188,1,15,82602,1
0,0,39,1981,298,0,100,2,0
1,0,140,483389,321,1,5,481422,0
0,0,179,85945,310,0,16,83153,1
0,0,67,21702,61,0,105,18811,0
0,0,64,22871,4,0,25,21810,1
1,0,62,5339,53,1,102,2904,1
0,0,107,728090,37,0,30,725151,0
1,0,89,3210,23,1,74,616,1
0,0,120,258722,219,0,9,256827,0
0,0,50,10587,182,0,133,8119,1
1,0,26,145152,316,1,13,142906,1
1,0,104,572075,301,1,17,569139,0
1,0,125,58311,299,1,58,56848,1
1,0,48,33122,283,1,42,30594,1
1,0,21,690828,276,1,37,688522,0
0,0,137,45706,261,0,2,43370,1
1,0,12,588116,3,1,8,586977,0
0,0,143,4613,120,0,5,1626,1
0,0,183,12865,290,0,39,9965,1
1,0,113,4342,84,1,32,1385,1
1,0,172,15683,257,1,96,12888,0
1,0,119,378832,39,1,64,376718,0
1,0,145,39618,85,1,53,36688,1
0,0,96,563158,322,0,21,560651,0
0,0,68,467624,172,0,11,464685,0
1,0,157,2020967,178,1,57,2018517,0
0,0,159,4567,57,0,81,1604,0
1,0,28,24449,115,1,86,21516,0
1,0,129,33240,56,1,41,30436,1
1,0,43,197559,194,1,9,195199,1
0,0,33,955,157,0,89,2,1
1,0,137,1130391,198,1,47,1127446,0
0,0,15,61849,48,0,66,60071,1
1,0,132,1824669,167,1,59,1821786,0
1,0,115,21022,64,1,106,18272,1
1,0,81,517997,134,1,0,514713,0
1,0,132,2028531,267,1,59,2025571,0
1,0,8,4543,140,1,125,1706,1
1,0,93,16034,128,1,24,13233,0
0,0,37,1337382,270,0,53,1335682,0
0,0,56,1973,1,0,155,3,1
1,0,61,9934,90,1,50,6965,1
0,0,106,3158,6,0,40,342,1
1,0,145,648458,162,1,22,645735,0
0,0,66,31215,302,0,69,30121,1
1,0,61,1175229,148,1,50,1172704,0
0,0,3,2772,319,0,13,301,1
1,0,18,265804,202,1,10,263906,0
0,0,5,496864,171,0,6,494066,0
1,0,150,1709527,110,1,60,1707056,1
1,0,124,905310,40,1,46,902803,0
1,0,30,5025,159,1,128,2677,1
1,0,108,474181,193,1,4,471830,0
0,0,119,20670,141,0,126,18052,1
0,0,148,1434052,156,0,53,1432280,0
1,0,132,2327020,264,1,59,2324351,0
1,0,109,30617,151,1,67,28410,1
0,0,183,750304,210,0,37,747923,0
1,0,2,10460,79,1,112,8049,1
1,0,100,754760,206,1,31,752910,0
1,0,98,6217,320,1,13,3602,1
1,0,6,396132,246,1,31,393928,0
1,0,82,128705,208,1,29,127131,1
1,0,186,496021,27,1,1,493463,0
1,0,26,56619,317,1,13,53854,1
0,0,173,4421,33,0,77,3684,1
0,0,103,117865,212,0,2,115973,1
0,0,95,6529,158,0,36,4547,1
1,0,21,174847,195,1,9,172793,1
1,0,4,8963,176,1,132,6399,1
0,0,166,6840,286,0,147,3826,0
0,0,152,34372,2,0,51,33320,1
1,0,141,110366,250,1,65,107442,1
1,0,41,7278,99,1,117,4399,0
0,0,179,67475,297,0,57,65139,1
0,0,40,1140600,197,0,47,1138639,0
1,0,34,1174681,78,1,49,1172813,0
1,0,49,1443,20,1,72,1,1
0,0,99,7112,284,0,146,4374,1
1,0,13,1113039,296,1,59,1110685,1
1,0,80,7245,291,1,148,4687,1
1,0,81,12451,175,1,131,9695,1
0,0,68,2274,52,0,79,1,0
1,0,85,2194888,109,1,60,2192474,1
1,0,137,16715,187,1,47,14439,1
0,0,183,729858,201,0,37,727477,0
1,0,43,214887,307,1,9,212992,0
1,0,13,44770,26,1,51,42977,1
0,0,112,38223,32,0,43,36197,1
1,0,78,18751,112,1,85,16475,1
1,0,132,2149200,266,1,59,2146741,0
1,0,24,3783,88,1,25,1453,1
1,0,123,596370,278,1,11,593812,0
1,0,81,19819,125,1,0,16985,1
0,0,8,392186,225,0,11,389424,0
0,0,114,36463,119,0,16,33455,1
0,0,118,447897,287,0,47,446350,0
0,0,107,598524,96,0,7,596251,0
1,0,150,342240,155,1,60,339421,1
1,0,32,107280,50,1,19,104554,0
1,0,127,2892,69,1,107,97,0
0,0,20,478312,10,0,11,477440,0
1,0,31,46833,77,1,111,44356,0
1,0,85,670094,38,1,60,667467,0
0,0,146,2028848,179,0,57,2027736,0
1,0,27,68416,262,1,2,66416,1
1,0,95,4460,130,1,88,2295,0
0,0,51,553364,251,0,18,550602,0
1,0,110,201254,160,1,61,198909,0
0,0,87,851849,123,0,37,849015,0
1,0,63,3538,293,1,99,857,1
1,0,149,12394,305,1,151,9605,0
0,0,90,748745,36,0,30,745776,0
1,0,130,14564,62,1,82,12819,1
0,0,186,39476,269,0,144,36720,1
1,0,102,13956,216,1,91,10954,0
1,0,88,68621,192,1,58,67503,1
0,0,8,645301,277,0,11,642806,0
1,0,5,5678,131,1,123,4257,1
1,0,158,458839,17,1,11,457553,0
0,0,45,811998,313,0,40,810235,0
1,0,22,26744,325,1,43,24147,1
0,0,157,968,8,0,154,3,0
1,0,48,905988,100,1,42,903148,0
1,0,117,9121,289,1,39,6152,1
1,0,8,582104,239,1,12,579438,0
1,0,123,79885,230,1,11,77750,1
1,0,153,2982,73,1,110,445,1
1,0,165,22938,89,1,57,21226,1
1,0,132,1573917,168,1,59,1571158,0
0,0,42,531490,34,0,3,528650,0
0,0,25,4734,126,0,87,2191,0
1,0,105,710712,200,1,37,708220,0
0,0,101,367390,217,0,63,364778,0
0,0,57,966472,31,0,44,963723,0
0,0,89,18183,234,0,140,15433,0
1,0,38,4073,5,1,70,1218,0
1,0,50,15577,72,1,109,12521,1
1,0,13,2071578,166,1,59,2068987,0
1,0,126,27589,111,1,84,25172,0
0,0,144,4119,44,0,34,967,1
1,0,137,27235,150,1,30,24623,1
1,0,74,783456,82,1,34,780772,0
0,0,77,11142,114,0,121,8839,1
1,0,15,242630,121,1,23,239769,1
1,0,79,10610,173,1,130,8169,1
1,0,154,106204,281,1,18,104012,1
1,0,72,16963,49,1,101,14936,0
0,0,152,1171911,149,0,50,1168945,0
1,0,36,577397,7,1,28,576201,0
1,0,35,1820,9,1,156,189,0
1,0,46,485801,35,1,3,483723,0
1,3,103,11541,326,1,43,8509,1
1,0,18,619021,154,1,14,617285,0
0,0,64,13820,29,0,25,12766,1
1,0,150,2325261,43,1,60,2323705,0
1,0,70,10910,92,1,114,8910,0
1,0,93,639965,258,1,24,637563,0
