Entity_Type,Genomic_End_Position,Gene_Id,Gene_Db_Id,Encoded_Protein,Genomic_Start_Position,Strand_Orientation
0,3097194,25,25,1,3096508,0
0,12567288,94,94,2,12566661,1
0,6088421,47,47,1,6085950,0
0,1662089,13,13,5,1659698,1
0,14766244,110,110,21,14765282,0
0,11497432,87,87,2,11496159,0
0,2912105,22,22,1,2911437,1
0,938369,5,5,2,937674,0
0,24218799,160,160,1,24217882,0
0,18449802,131,131,2,18448896,0
0,421354,1,1,11,418907,0
0,2597044,17,17,14,2596686,1
0,22586503,151,151,8,22583996,1
0,23902858,158,158,2,23901544,1
0,15431493,114,114,10,15429022,1
0,42748,167,167,14,41047,1
0,2862968,21,21,5,2861630,1
0,12160930,91,91,8,12160046,1
0,16835079,119,119,23,16833925,1
0,23866829,157,157,2,23865703,1
0,16416071,118,118,22,16413631,1
0,11654127,89,89,8,11653435,1
1,563875,4,4,6,561461,0
0,6170322,48,48,2,6168823,1
0,13282465,98,98,26,13280789,0
0,16920482,120,120,19,16919435,1
0,19133424,137,137,1,19132048,1
0,6835,163,163,14,4667,1
0,21703774,148,148,2,21701900,0
0,17627223,126,126,2,17625592,1
0,7009171,55,55,2,7008393,1
0,18038313,128,128,2,18037247,1
0,6362947,50,50,5,6361372,1
0,4253831,33,33,8,4252749,1
0,14479105,109,109,2,14478302,0
0,3453161,29,29,1,3451287,0
0,13013122,97,97,1,13011857,0
0,2003214,14,14,5,2002366,0
0,17542792,124,124,2,17541345,0
0,17122877,121,121,5,17120601,1
0,8306625,63,63,5,8305246,1
0,3235158,28,28,2,3233849,1
0,20286216,139,139,5,20285100,1
0,4431456,35,35,27,4430512,1
0,9200825,73,73,5,9199485,1
0,17643761,127,127,2,17642746,0
0,4102721,32,32,12,4101290,1
1,15463044,115,115,0,15461240,1
1,40361,166,166,18,37650,1
0,10634319,81,81,1,10632709,1
0,5212347,41,41,1,5211163,1
0,14201412,106,106,23,14200354,1
0,21840929,149,149,1,21839502,1
0,18150907,129,129,5,18149782,1
0,23311866,153,153,2,23310921,0
0,4756236,37,37,5,4754812,0
0,8297673,62,62,2,8296462,1
0,3049161,23,23,25,3048399,0
0,424362,2,2,23,423166,0
0,11412405,85,85,2,11411355,0
1,8987276,71,71,4,8985246,0
0,8380600,64,64,2,8379902,1
0,21107478,146,146,2,21106076,0
0,22342311,150,150,1,22341328,1
0,8750931,69,69,1,8750116,0
0,448516,3,3,16,445739,0
0,1005104,7,7,2,1003707,1
0,5776202,46,46,1,5773752,1
0,20600592,142,142,1,20599396,0
0,13967339,104,104,16,13965975,0
0,1044324,9,9,5,1043726,0
0,18233087,130,130,1,18230676,0
0,7252202,57,57,5,7251567,0
0,21033305,145,145,1,21032577,1
0,14264630,107,107,5,14263463,0
0,19361160,138,138,2,19359904,0
0,22800650,152,152,1,22799643,0
0,6283351,49,49,2,6282458,0
0,5252907,42,42,17,5251626,1
0,10815148,83,83,2,10814110,1
0,4838125,38,38,9,4836803,0
0,19131431,136,136,11,19128978,1
0,24324304,161,161,2,24323249,0
0,18526135,132,132,1,18525296,0
0,5764705,45,45,2,5763288,1
0,4622430,36,36,24,4620634,1
1,8706530,68,68,3,8704372,0
0,1565906,12,12,5,1564519,1
0,5646569,44,44,1,5645517,0
0,17573162,125,125,1,17572161,0
0,24075061,159,159,2,24073248,1
0,13816694,102,102,16,13815414,0
0,3098509,26,26,1,3097631,0
0,17383110,122,122,5,17381675,1
0,23718778,156,156,2,23717642,0
0,9294,164,164,14,6891,1
0,5210452,40,40,25,5209340,1
0,15945723,116,116,2,15943858,1
0,13953853,103,103,1,13952477,0
0,16025845,117,117,8,16025135,0
0,10517795,80,80,2,10516812,1
0,9369143,77,77,5,9368165,0
0,11737964,90,90,2,11736173,0
0,8662629,67,67,1,8661322,0
1,7507311,58,58,4,7506176,0
0,12665749,95,95,1,12664313,1
0,24717108,162,162,2,24715475,1
0,1471242,11,11,2,1469688,1
0,21368024,147,147,2,21366772,1
0,7207112,56,56,1,7205454,1
0,10790484,82,82,1,10789222,0
0,1005618,8,8,2,1005001,1
0,9120663,72,72,1,9118189,1
0,20333137,140,140,1,20331131,0
0,10514318,79,79,1,10512900,0
