GeneType,GeneDescription,GenomicEndPosition,GeneId,GeneDbId,ChromosomeId,GenomicStartPosition,StrandOrientation
0,0,5333,21,20,65,3093,1
0,0,4679,112,112,39,2307,1
0,0,2152465,190,190,51,2150273,0
0,0,1347,23,22,67,4,0
0,0,3770,50,49,88,732,1
0,0,23314,236,236,2,21104,0
0,0,763294,174,174,26,761027,0
1,0,411395,37,36,13,410220,0
1,0,51771,234,234,35,49540,1
1,0,469090,34,33,1,466913,0
0,0,909502,74,73,34,907241,0
0,0,68193,145,145,25,66007,1
0,0,315631,214,214,12,313523,1
1,0,10067,28,27,44,8418,1
1,0,609383,78,77,20,607077,0
0,0,351915,199,199,56,350539,1
0,0,400277,27,26,10,398004,0
0,0,702444,211,211,22,701878,0
1,0,369509,61,60,13,367296,1
0,0,3147,43,42,83,535,1
0,0,526037,39,38,3,525222,0
0,0,57522,124,124,22,55348,1
1,0,1375691,118,118,44,1373202,0
0,0,19404,198,198,121,17227,0
0,0,66424,233,233,35,64094,1
0,0,6576,164,164,117,4354,1
0,0,4947,46,45,85,2638,0
1,0,399311,90,89,14,397290,0
0,0,646569,181,181,12,644707,0
0,0,20107,68,67,49,17801,1
0,0,2123600,86,85,51,2121408,0
0,0,2949,221,221,123,565,0
1,0,654471,75,74,51,652312,1
1,0,828777,107,106,46,827212,1
0,0,27070,138,138,16,24536,1
0,0,311650,213,213,12,309482,1
0,0,16283,184,184,78,15441,1
0,0,5683,56,55,92,3845,0
1,0,477984,148,148,5,475453,0
0,0,1178466,114,114,42,1176085,0
1,0,22657,143,143,112,20729,0
1,0,60946,144,144,52,58898,1
1,0,34512,89,88,97,32440,1
1,0,1028709,166,166,39,1026565,0
1,0,224206,200,200,34,222371,1
0,0,92121,137,137,40,90979,1
1,0,731499,33,32,23,729406,0
0,0,7491,125,125,22,5182,1
0,0,1036,15,14,62,2,1
0,0,14203,57,56,32,11819,1
0,0,1475,2,1,124,3,0
0,0,471716,219,219,5,470270,0
1,0,1909430,127,127,51,1907460,1
1,0,669243,186,186,18,667156,0
0,0,18709,35,34,27,16532,1
1,0,18062,131,131,107,16122,1
0,0,668634,154,154,24,666520,0
