Strand_Orientation,Genomic_Start_Position,Gene_Label,Encoded_Protein,Gene_Db_Id,Orthologous_Gene,Entity_Type,Genomic_End_Position
0,563645,14,1,14,103,0,571102
1,59128,217,1,217,49,0,69531
0,2601,67,1,67,48,0,13163
0,733,21,1,21,131,0,5956
1,1776,133,3,133,8,1,12287
1,1030,0,0,2,3,0,7614
1,44338,125,1,125,95,0,54831
0,2360422,164,1,164,92,0,2370774
1,1,195,1,195,123,0,7036
1,14646,102,1,102,39,0,24830
1,69342,207,3,207,6,1,79790
1,55971,127,2,127,95,0,64484
1,117557,148,3,148,120,1,127990
1,28143,186,1,186,98,0,32850
0,204667,54,1,54,109,0,207695
1,25871,216,1,216,50,0,36235
1,5925,32,1,32,55,0,11492
1,1224493,177,3,177,133,1,1233807
0,20468,75,1,75,121,0,30892
1,50482,6,1,6,104,0,54812
0,306168,49,1,49,67,0,311779
1,43286,203,1,203,137,0,53674
1,14486,77,1,77,59,0,21015
1,15590,153,1,153,41,0,25969
1,3028,23,3,23,13,1,9243
1,78604,117,1,117,16,0,89016
0,565420,142,3,142,96,1,574518
0,2,193,2,193,63,0,7954
1,60752,82,1,82,19,0,71128
0,337195,84,1,84,108,0,347622
0,54806,22,1,22,41,0,65194
1,4680,121,3,121,41,1,15047
0,232769,168,1,168,52,0,243214
0,31758,37,1,37,113,0,42086
0,4143,33,2,33,114,0,11147
1,14689,170,1,170,52,0,22103
0,231410,160,2,160,66,0,239506
0,208664,3,3,3,71,1,217558
0,1038856,61,1,61,43,0,1049310
0,3,116,1,116,47,0,8611
0,51870,38,1,38,130,0,62219
0,1460,17,1,17,65,0,11755
0,576509,45,1,45,14,0,586972
1,30197,198,1,198,122,0,40663
1,2115,99,3,99,116,1,11231
0,613279,90,1,90,23,0,623676
1,52823,174,1,174,75,0,63253
0,494840,11,1,11,127,0,505288
0,770171,126,1,126,11,0,780586
1,147781,214,1,214,97,0,158064
1,7990,196,2,196,10,0,12312
0,1342479,106,1,106,46,0,1352921
1,348857,97,2,97,10,0,353296
0,4539,34,1,34,80,0,13465
0,1137248,122,1,122,1,0,1147531
0,584655,50,3,50,86,1,595061
0,1038261,138,1,138,36,0,1048694
1,206012,9,3,9,38,1,214744
1,1,188,3,188,5,1,6387
1,1,73,1,73,30,0,7213
1,217409,35,1,35,39,0,225073
0,2,79,1,79,106,0,5392
0,600223,141,1,141,123,0,610602
0,541838,151,1,151,77,0,548110
0,36631,60,3,60,65,1,47046
0,2011656,5,2,5,99,0,2017022
0,556376,202,3,202,77,1,566844
1,33702,24,1,24,58,0,39653
1,1,55,1,55,53,0,5905
0,1014285,200,3,200,21,1,1020605
1,6891,69,1,69,76,0,17336
0,7666,70,1,70,62,0,18048
1,9304,57,1,57,106,0,19647
0,789632,187,1,187,7,0,796416
0,242332,210,1,210,110,0,252780
0,7759,16,1,16,117,0,18102
0,352,10,3,10,105,1,8750
0,222871,209,1,209,61,0,230403
0,628055,173,1,173,45,0,638425
1,26002,15,2,15,104,0,34341
0,2,74,2,74,74,0,5467
1,4479,135,3,135,134,1,14711
1,1,26,1,26,130,0,5231
1,1291027,104,1,104,54,0,1301475
0,531839,47,1,47,102,0,536745
0,1340908,152,3,152,133,1,1351353
1,100946,18,1,18,118,0,107347
1,2,28,2,28,68,0,5029
1,71676,163,1,163,22,0,82139
1,529028,113,2,113,100,0,534898
1,91272,81,2,81,79,0,97751
0,1018586,20,1,20,98,0,1028641
0,53935,98,1,98,128,0,64329
1,2,80,2,80,41,0,6046
1,353619,59,1,59,25,0,364064
0,494255,103,1,103,25,0,501262
1,1382515,105,1,105,0,0,1392969
0,726108,224,3,224,121,1,736142
0,2987,159,1,159,122,0,13390
0,625292,96,1,96,32,0,635740
1,3,136,2,136,58,0,6239
0,500484,220,1,220,12,0,510863
0,277652,208,1,208,92,0,288082
1,1905,8,1,8,49,0,12200
0,1726,140,2,140,44,0,7785
0,765552,132,1,132,89,0,775910
0,418893,124,1,124,44,0,424985
1,5433,87,3,87,40,1,11317
1,478468,86,1,86,107,0,487135
0,646543,155,1,155,1,0,656937
0,396354,72,2,72,10,0,400877
0,480062,110,1,110,47,0,490459
1,178087,129,1,129,121,0,188433
1,24017,144,1,144,15,0,34480
1,71757,29,2,29,75,0,76316
1,11901,223,1,223,103,0,22220
0,497998,158,1,158,61,0,508446
1,1674489,56,1,56,46,0,1684949
1,61794,147,1,147,57,0,72152
1,16665,194,3,194,135,1,27113
1,30431,92,3,92,93,1,40882
1,1858,134,3,134,4,1,12411
0,890,48,1,48,124,0,6131
0,41546,178,2,178,55,0,47173
0,3,111,1,111,30,0,3514
1,556752,143,1,143,85,0,563694
0,2,91,2,91,84,0,3034
0,131411,51,2,51,62,0,138943
1,589645,182,1,182,100,0,600090
0,646334,88,1,88,7,0,656716
1,1098,176,1,176,82,0,11537
0,2335691,165,1,165,23,0,2345983
1,13649,53,1,53,118,0,19621
1,21774,93,3,93,39,1,25728
1,50520,206,1,206,23,0,60872
0,688299,83,1,83,62,0,698669
0,535076,221,1,221,78,0,545365
1,1,71,3,71,23,1,6309
0,3,128,3,128,33,1,7511
0,566630,183,1,183,125,0,572820
0,1200861,162,1,162,129,0,1211309
1,43140,30,1,30,0,0,53597
1,18715,137,1,137,16,0,29124
0,1838054,41,1,41,2,0,1848415
0,892584,95,1,95,31,0,902706
1,42064,43,3,43,21,1,52443
1,27714,169,1,169,129,0,34912
0,675331,118,1,118,79,0,685626
1,1581,27,3,27,99,1,11957
1,21127,76,1,76,26,0,31572
1,4158,204,1,204,115,0,12152
1,91621,44,1,44,125,0,102066
1,356759,62,3,62,39,1,364951
1,103,146,2,146,29,0,6015
1,561022,181,3,181,60,1,571446
1,1,179,3,179,56,1,8139
0,321641,167,1,167,52,0,332104
