Strand_Orientation,Genomic_Start_Position,Gene_Label,Encoded_Protein,Gene_Db_Id,Orthologous_Gene,Entity_Type,Genomic_End_Position
0,337195,84,1,84,110,0,347622
0,54806,22,1,22,43,0,65194
1,323,121,1,121,127,0,6388
0,232769,167,1,167,54,0,243214
0,51870,38,1,38,132,0,62219
1,11071,34,1,34,17,0,19188
1,14689,169,1,169,54,0,22103
0,231410,159,2,159,67,0,239506
0,208664,3,3,3,73,1,217558
0,1038856,60,1,60,45,0,1049310
0,3,148,1,148,14,0,5929
1,25298,43,3,43,61,1,35770
0,733,21,1,21,133,0,5956
0,576509,46,1,46,13,0,586972
1,78117,198,1,198,56,0,88568
0,3143,106,3,106,98,1,13525
0,613279,89,1,89,23,0,623676
1,1098,175,1,175,85,0,11537
0,494840,11,1,11,129,0,505288
0,770171,126,1,126,10,0,780586
1,147781,214,1,214,100,0,158064
1,7990,195,2,195,9,0,12312
0,1342479,105,1,105,48,0,1352921
1,348857,96,2,96,9,0,353296
0,1,36,1,36,15,0,5893
0,1137248,122,1,122,1,0,1147531
0,584655,50,3,50,89,1,595061
0,1038261,137,1,137,38,0,1048694
1,206012,9,3,9,40,1,214744
0,3,189,2,189,91,0,3341
0,2,73,2,73,76,0,5467
1,217409,35,1,35,41,0,225073
1,2,79,2,79,43,0,6046
0,600223,140,1,140,125,0,610602
0,541838,151,1,151,79,0,548110
0,3,115,1,115,49,0,8611
0,2011656,5,2,5,102,0,2017022
0,556376,202,3,202,79,1,566844
1,33702,25,1,25,60,0,39653
1,9304,57,1,57,108,0,19647
0,1014285,200,3,200,21,1,1020605
1,6891,68,1,68,78,0,17336
1,1,70,3,70,23,1,6309
0,3,64,1,64,44,0,6144
0,789632,187,1,187,6,0,796416
0,242332,210,1,210,112,0,252780
0,3,17,3,17,49,1,6275
0,352,10,3,10,107,1,8750
0,222871,209,1,209,64,0,230403
0,628055,172,1,172,47,0,638425
1,26002,15,2,15,106,0,34341
0,3,78,3,78,126,1,5690
1,3,135,2,135,60,0,6239
1,1,27,1,27,132,0,5231
1,1291027,103,1,103,56,0,1301475
0,531839,48,1,48,104,0,536745
0,1340908,152,3,152,135,1,1351353
1,100946,18,1,18,120,0,107347
0,2,30,1,30,82,0,6877
1,71676,162,1,162,22,0,82139
1,529028,112,2,112,103,0,534898
1,91272,80,2,80,82,0,97751
0,1018586,20,1,20,101,0,1028641
0,53935,97,1,97,130,0,64329
0,9420,83,1,83,95,0,19778
1,353619,59,1,59,26,0,364064
0,494255,102,1,102,26,0,501262
1,1382515,104,1,104,0,0,1392969
0,726108,224,3,224,123,1,736142
0,7759,16,1,16,119,0,18102
0,625292,95,1,95,34,0,635740
1,18715,136,1,136,15,0,29124
0,500484,220,1,220,11,0,510863
0,277652,208,1,208,95,0,288082
1,1905,8,1,8,51,0,12200
1,2049,144,3,144,49,1,12299
0,765552,131,1,131,92,0,775910
0,418893,124,1,124,46,0,424985
1,5433,86,3,86,42,1,11317
1,478468,85,1,85,109,0,487135
0,646543,154,1,154,1,0,656937
0,396354,71,2,71,9,0,400877
0,480062,109,1,109,49,0,490459
1,178087,128,1,128,123,0,188433
1,24017,143,1,143,14,0,34480
1,71757,29,2,29,77,0,76316
1,11901,223,1,223,105,0,22220
0,497998,157,1,157,64,0,508446
1,1674489,56,1,56,48,0,1684949
1,61794,146,1,146,59,0,72152
1,1,194,1,194,125,0,7036
1,30431,91,3,91,96,1,40882
1,4479,134,3,134,136,1,14711
1,1,55,1,55,55,0,5905
1,1,178,3,178,58,1,8139
1,4680,120,3,120,43,1,15047
1,556752,142,1,142,88,0,563694
1,36289,98,1,98,44,0,46671
0,131411,51,2,51,65,0,138943
1,589645,181,1,181,103,0,600090
0,646334,87,1,87,6,0,656716
0,45617,176,1,176,26,0,56068
0,2335691,164,1,164,23,0,2345983
1,13649,53,1,53,120,0,19621
1,21774,92,3,92,41,1,25728
1,50520,206,1,206,23,0,60872
0,688299,82,1,82,65,0,698669
0,535076,221,1,221,81,0,545365
1,1,72,1,72,32,0,7213
1,1776,132,3,132,7,1,12287
0,566630,182,1,182,127,0,572820
0,1200861,161,1,161,131,0,1211309
1,43140,31,1,31,0,0,53597
0,1726,139,2,139,46,0,7785
0,1838054,41,1,41,2,0,1848415
0,892584,94,1,94,33,0,902706
1,42064,44,3,44,21,1,52443
1,27714,168,1,168,131,0,34912
0,675331,117,1,117,82,0,685626
1,2,28,2,28,70,0,5029
1,21127,75,1,75,27,0,31572
1,4158,204,1,204,118,0,12152
1,91621,45,1,45,127,0,102066
1,356759,61,3,61,41,1,364951
1,103,145,2,145,31,0,6015
1,561022,180,3,180,63,1,571446
0,3,185,3,185,35,1,9497
0,321641,166,1,166,54,0,332104
